year,age_gr,regtyp,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Urban regions,No,0.98994,1859,1859,0.98541,0.99448
2009,17-29 y.,Rural regions,No,0.98544,961,961,0.97786,0.99302
2009,30-45 y.,Urban regions,Yes,0.01483,40,3084,0.01056,0.01910
2009,30-45 y.,Urban regions,No,0.98517,3044,3084,0.98090,0.98944
2009,30-45 y.,Rural regions,Yes,0.01768,36,1591,0.01120,0.02415
2009,30-45 y.,Rural regions,No,0.98232,1555,1591,0.97585,0.98880
2009,46-65 y.,Urban regions,Yes,0.07772,276,4050,0.06947,0.08596
2009,46-65 y.,Urban regions,No,0.92228,3774,4050,0.91404,0.93053
2009,46-65 y.,Rural regions,Yes,0.08606,183,2275,0.07453,0.09759
2009,46-65 y.,Rural regions,No,0.91394,2092,2275,0.90241,0.92547
2009,66 and older,Urban regions,Yes,0.27918,693,2704,0.26227,0.29609
2009,66 and older,Urban regions,No,0.72082,2011,2704,0.70391,0.73773
2009,66 and older,Rural regions,Yes,0.27463,391,1459,0.25172,0.29754
2009,66 and older,Rural regions,No,0.72537,1068,1459,0.70246,0.74828
2011,17-29 y.,Urban regions,No,0.99033,1993,1993,0.98603,0.99462
2011,17-29 y.,Rural regions,No,0.98447,962,962,0.97665,0.99229
2011,30-45 y.,Urban regions,Yes,0.01603,54,3197,0.01168,0.02039
2011,30-45 y.,Urban regions,No,0.98397,3143,3197,0.97961,0.98832
2011,30-45 y.,Rural regions,Yes,0.02031,35,1659,0.01352,0.02710
2011,30-45 y.,Rural regions,No,0.97969,1624,1659,0.97290,0.98648
2011,46-65 y.,Urban regions,Yes,0.07975,356,4871,0.07214,0.08736
2011,46-65 y.,Urban regions,No,0.92025,4515,4871,0.91264,0.92786
2011,46-65 y.,Rural regions,Yes,0.07524,217,2903,0.06564,0.08484
2011,46-65 y.,Rural regions,No,0.92476,2686,2903,0.91516,0.93436
2011,66 and older,Urban regions,Yes,0.24732,794,3312,0.23262,0.26202
2011,66 and older,Urban regions,No,0.75268,2518,3312,0.73798,0.76738
2011,66 and older,Rural regions,Yes,0.26102,475,1809,0.24078,0.28127
2011,66 and older,Rural regions,No,0.73898,1334,1809,0.71873,0.75922
2013,17-29 y.,Urban regions,No,0.99091,1707,1707,0.98641,0.99541
2013,17-29 y.,Rural regions,No,0.98253,803,803,0.97347,0.99160
2013,30-45 y.,Urban regions,Yes,0.02092,49,2673,0.01549,0.02634
2013,30-45 y.,Urban regions,No,0.97908,2624,2673,0.97366,0.98451
2013,30-45 y.,Rural regions,Yes,0.02038,33,1400,0.01297,0.02778
2013,30-45 y.,Rural regions,No,0.97962,1367,1400,0.97222,0.98703
2013,46-65 y.,Urban regions,Yes,0.08111,343,4500,0.07314,0.08909
2013,46-65 y.,Urban regions,No,0.91889,4157,4500,0.91091,0.92686
2013,46-65 y.,Rural regions,Yes,0.08230,228,2819,0.07216,0.09245
2013,46-65 y.,Rural regions,No,0.91770,2591,2819,0.90755,0.92784
2013,66 and older,Urban regions,Yes,0.26604,812,3181,0.25068,0.28140
2013,66 and older,Urban regions,No,0.73396,2369,3181,0.71860,0.74932
2013,66 and older,Rural regions,Yes,0.26641,459,1757,0.24574,0.28709
2013,66 and older,Rural regions,No,0.73359,1298,1757,0.71291,0.75426
2015,17-29 y.,Urban regions,No,0.98992,2615,2615,0.98609,0.99375
2015,17-29 y.,Rural regions,No,0.98164,1255,1255,0.97421,0.98907
2015,30-45 y.,Urban regions,Yes,0.01856,76,4825,0.01475,0.02236
2015,30-45 y.,Urban regions,No,0.98144,4749,4825,0.97764,0.98525
2015,30-45 y.,Rural regions,Yes,0.01745,47,2531,0.01235,0.02255
2015,30-45 y.,Rural regions,No,0.98255,2484,2531,0.97745,0.98765
2015,46-65 y.,Urban regions,Yes,0.08237,399,5642,0.07519,0.08954
2015,46-65 y.,Urban regions,No,0.91763,5243,5642,0.91046,0.92481
2015,46-65 y.,Rural regions,Yes,0.07490,238,3235,0.06583,0.08397
2015,46-65 y.,Rural regions,No,0.92510,2997,3235,0.91603,0.93417
2015,66 and older,Urban regions,Yes,0.26090,808,3089,0.24541,0.27639
2015,66 and older,Urban regions,No,0.73910,2281,3089,0.72361,0.75459
2015,66 and older,Rural regions,Yes,0.27133,464,1795,0.25076,0.29191
2015,66 and older,Rural regions,No,0.72867,1331,1795,0.70809,0.74924
2017,17-29 y.,Urban regions,Yes,0.00907,31,2945,0.00564,0.01249
2017,17-29 y.,Urban regions,No,0.99093,2914,2945,0.98751,0.99436
2017,17-29 y.,Rural regions,No,0.98406,1392,1392,0.97748,0.99064
2017,30-45 y.,Urban regions,Yes,0.02195,92,4842,0.01782,0.02608
2017,30-45 y.,Urban regions,No,0.97805,4750,4842,0.97392,0.98218
2017,30-45 y.,Rural regions,Yes,0.02608,61,2415,0.01972,0.03243
2017,30-45 y.,Rural regions,No,0.97392,2354,2415,0.96757,0.98028
2017,46-65 y.,Urban regions,Yes,0.07763,441,6286,0.07101,0.08424
2017,46-65 y.,Urban regions,No,0.92237,5845,6286,0.91576,0.92899
2017,46-65 y.,Rural regions,Yes,0.08428,280,3687,0.07531,0.09325
2017,46-65 y.,Rural regions,No,0.91572,3407,3687,0.90675,0.92469
2017,66 and older,Urban regions,Yes,0.24748,748,3107,0.23230,0.26265
2017,66 and older,Urban regions,No,0.75252,2359,3107,0.73735,0.76770
2017,66 and older,Rural regions,Yes,0.25893,472,1853,0.23897,0.27888
2017,66 and older,Rural regions,No,0.74107,1381,1853,0.72112,0.76103
2019,17-29 y.,No answer / don't know,No,0.92613,113,113,0.87769,0.97457
