year,bula_h,migback,ple0014,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,No migration background,Yes,0.003152430470316278,47,17741,0.003139022277217542,0.003165838663415014
2009,Schleswig-Holstein,No migration background,No,0.02764143532004668,409,17741,0.02760222262990104,0.027680648010192318
2009,Schleswig-Holstein,Direct migration background,No,0.0034819846901639265,40,17741,0.0034678953995833216,0.0034960739807445313
2009,Hamburg,No migration background,No,0.017132523228407866,233,17741,0.017101485404327547,0.017163561052488185
2009,Lower Saxony,No migration background,Yes,0.009900409920004356,169,17741,0.00987672896846521,0.009924090871543502
2009,Lower Saxony,No migration background,No,0.07453011311825335,1288,17741,0.074467295689385,0.0745929305471217
2009,Lower Saxony,Direct migration background,No,0.007866316454829037,123,17741,0.007845186239418671,0.007887446670239403
2009,Lower Saxony,Indirect migration background,No,0.0029480633275658467,43,17741,0.0029350957033940092,0.0029610309517376842
2009,Bremen,No migration background,No,0.008926932670292364,112,17741,0.008904435023866605,0.008949430316718122
2009,North Rhine-Westphalia,No migration background,Yes,0.019702219516045946,306,17741,0.01966897885079382,0.01973546018129807
2009,North Rhine-Westphalia,No migration background,No,0.15542995808040141,2683,17741,0.15534329815287748,0.15551661800792535
2009,North Rhine-Westphalia,Direct migration background,Yes,0.002319863756818708,31,17741,0.0023083568121938297,0.0023313707014435865
2009,North Rhine-Westphalia,Direct migration background,No,0.030441062718488548,414,17741,0.030399971394728192,0.030482154042248903
2009,North Rhine-Westphalia,Indirect migration background,No,0.013275253256392488,190,17741,0.013247878356602977,0.013302628156181998
2009,Hesse,No migration background,Yes,0.00566744796461503,91,17741,0.005649492662383358,0.005685403266846702
2009,Hesse,No migration background,No,0.051851134213427824,906,17741,0.05179810068583901,0.05190416774101664
2009,Hesse,Direct migration background,No,0.01126070067502405,137,17741,0.011235462571014675,0.011285938779033427
2009,Hesse,Indirect migration background,No,0.006489044012510693,61,17741,0.006469839211543585,0.006508248813477801
2009,"Rhineland-Palatinate, Saarland",No migration background,Yes,0.005053601636687612,83,17741,0.005036641339232881,0.005070561934142343
