year,migback,sex,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,male,Yes,0.09163,808,7498,0.08510,0.09816
2009,No migration background,male,No,0.75764,6690,7498,0.74794,0.76734
2009,No migration background,female,Yes,0.08725,699,8152,0.08112,0.09338
2009,No migration background,female,No,0.77474,7453,8152,0.76567,0.78381
2009,Direct migration background,male,Yes,0.09392,73,760,0.07317,0.11467
2009,Direct migration background,male,No,0.87639,687,760,0.85298,0.89981
2009,Direct migration background,female,Yes,0.08292,65,899,0.06489,0.10096
2009,Direct migration background,female,No,0.89623,834,899,0.87628,0.91617
2009,Indirect migration background,male,No,0.52178,336,336,0.46829,0.57527
2009,Indirect migration background,female,No,0.54623,364,364,0.49502,0.59745
2011,No migration background,male,Yes,0.09259,1002,8519,0.08644,0.09875
2011,No migration background,male,No,0.70239,7517,8519,0.69268,0.71210
2011,No migration background,female,Yes,0.07688,786,9414,0.07150,0.08226
2011,No migration background,female,No,0.71440,8628,9414,0.70527,0.72352
2011,Direct migration background,male,Yes,0.07135,93,892,0.05445,0.08825
2011,Direct migration background,male,No,0.75565,799,892,0.72743,0.78386
2011,Direct migration background,female,Yes,0.05974,72,1124,0.04588,0.07360
2011,Direct migration background,female,No,0.76931,1052,1124,0.74467,0.79394
2011,Indirect migration background,male,No,0.39247,372,372,0.34278,0.44216
2011,Indirect migration background,female,No,0.38580,407,407,0.33845,0.43316
2013,No migration background,male,Yes,0.09908,961,7745,0.09243,0.10574
2013,No migration background,male,No,0.69118,6784,7745,0.68089,0.70147
2013,No migration background,female,Yes,0.08510,810,8676,0.07923,0.09097
2013,No migration background,female,No,0.70996,7866,8676,0.70041,0.71951
2013,Direct migration background,male,Yes,0.04760,82,752,0.03238,0.06283
2013,Direct migration background,male,No,0.44079,670,752,0.40528,0.47629
2013,Direct migration background,female,Yes,0.05561,85,994,0.04136,0.06987
2013,Direct migration background,female,No,0.46056,909,994,0.42956,0.49156
2013,Indirect migration background,male,No,0.23560,332,332,0.18988,0.28132
2013,Indirect migration background,female,No,0.23099,355,355,0.18708,0.27489
2015,No migration background,male,Yes,0.10479,986,8737,0.09836,0.11121
2015,No migration background,male,No,0.74905,7751,8737,0.73996,0.75814
2015,No migration background,female,Yes,0.08497,812,10286,0.07958,0.09036
2015,No migration background,female,No,0.78121,9474,10286,0.77322,0.78920
2015,Direct migration background,male,Yes,0.07289,147,2001,0.06150,0.08429
2015,Direct migration background,male,No,0.75083,1854,2001,0.73187,0.76978
2015,Direct migration background,female,Yes,0.05559,105,2472,0.04656,0.06463
2015,Direct migration background,female,No,0.79172,2367,2472,0.77571,0.80773
2015,Indirect migration background,male,No,0.47715,706,706,0.44028,0.51402
2015,Indirect migration background,female,No,0.45984,803,803,0.42534,0.49433
2017,No migration background,male,Yes,0.10397,1027,9364,0.09779,0.11015
2017,No migration background,male,No,0.75054,8337,9364,0.74178,0.75931
2017,No migration background,female,Yes,0.08032,819,10747,0.07518,0.08546
2017,No migration background,female,No,0.78574,9928,10747,0.77798,0.79350
2017,Direct migration background,male,Yes,0.08431,162,2133,0.07251,0.09610
2017,Direct migration background,male,No,0.80138,1971,2133,0.78445,0.81832
2017,Direct migration background,female,Yes,0.04481,100,2683,0.03698,0.05264
2017,Direct migration background,female,No,0.87553,2583,2683,0.86303,0.88802
2017,Indirect migration background,male,No,0.48757,744,744,0.45163,0.52351
2017,Indirect migration background,female,No,0.49257,839,839,0.45872,0.52642
2019,No migration background,male,Yes,0.11214,1173,9729,0.10587,0.11841
2019,No migration background,male,No,0.74191,8556,9729,0.73321,0.75061
2019,No migration background,female,Yes,0.08786,853,10388,0.08241,0.09330
2019,No migration background,female,No,0.77596,9535,10388,0.76794,0.78398
2019,Direct migration background,male,Yes,0.06701,129,1805,0.05547,0.07855
2019,Direct migration background,male,No,0.81446,1676,1805,0.79652,0.83240
2019,Direct migration background,female,Yes,0.04723,102,2225,0.03841,0.05604
2019,Direct migration background,female,No,0.87132,2123,2225,0.85741,0.88524
2019,Indirect migration background,male,No,0.49415,719,719,0.45758,0.53072
2019,Indirect migration background,female,No,0.50952,808,808,0.47503,0.54402
2021,No migration background,male,Yes,0.10577,765,6165,0.09809,0.11345
2021,No migration background,male,No,0.74313,5400,6165,0.73222,0.75404
2021,No migration background,female,Yes,0.09764,630,6884,0.09063,0.10465
2021,No migration background,female,No,0.75093,6254,6884,0.74072,0.76115
2021,Direct migration background,male,Yes,0.08887,156,2686,0.07811,0.09963
2021,Direct migration background,male,No,0.83829,2530,2686,0.82437,0.85222
2021,Direct migration background,female,Yes,0.06352,113,2499,0.05395,0.07308
2021,Direct migration background,female,No,0.85601,2386,2499,0.84224,0.86978
2021,Indirect migration background,male,No,0.42495,419,419,0.37756,0.47234
2021,Indirect migration background,female,No,0.48724,471,471,0.44205,0.53243
