,Unnamed: 0,year,regtyp,ple0014,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Urban regions,Yes,0.09678,1031,18018,0.09312,0.10145
1,1,2009,Urban regions,No,0.90322,10651,18018,0.88777,0.92044
2,2,2009,Rural regions,Yes,0.10072,623,18018,0.09439,0.1075
3,3,2009,Rural regions,No,0.89928,5713,18018,0.87545,0.91769
4,4,2011,Urban regions,Yes,0.09806,1222,20745,0.09319,0.10253
5,5,2011,Urban regions,No,0.90194,12138,20745,0.88613,0.91871
6,6,2011,Rural regions,Yes,0.10376,748,20745,0.09757,0.10958
7,7,2011,Rural regions,No,0.89624,6637,20745,0.87405,0.91557
8,8,2013,Urban regions,Yes,0.11193,1216,18866,0.10669,0.11795
9,9,2013,Urban regions,No,0.88807,10831,18866,0.87068,0.90482
10,10,2013,Rural regions,Yes,0.1136,734,18866,0.1064,0.12148
11,11,2013,Rural regions,No,0.8864,6085,18866,0.86686,0.90562
12,12,2015,Urban regions,Yes,0.10009,1311,25040,0.09441,0.10463
13,13,2015,Urban regions,No,0.89991,14860,25040,0.88376,0.9162
14,14,2015,Rural regions,Yes,0.10525,774,25040,0.09906,0.11298
15,15,2015,Rural regions,No,0.89475,8095,25040,0.87166,0.91428
16,16,2017,Urban regions,Yes,0.0937,1311,26549,0.08931,0.09827
17,17,2017,Urban regions,No,0.9063,15836,26549,0.89096,0.92168
18,18,2017,Rural regions,Yes,0.1058,836,26549,0.09811,0.11274
19,19,2017,Rural regions,No,0.8942,8566,26549,0.87252,0.91679
20,20,2019,Urban regions,Yes,0.09697,1399,25171,0.09121,0.10253
21,21,2019,Urban regions,No,0.90303,14966,25171,0.88429,0.92043
22,22,2019,Rural regions,Yes,0.11446,842,25171,0.10707,0.12319
23,23,2019,Rural regions,No,0.88554,7964,25171,0.86201,0.91171
24,24,2021,Urban regions,Yes,0.10609,1085,19166,0.09843,0.11429
25,25,2021,Urban regions,No,0.89391,11911,19166,0.86988,0.91527
26,26,2021,Rural regions,Yes,0.11764,616,19166,0.10665,0.12822
27,27,2021,Rural regions,No,0.88236,5554,19166,0.85211,0.91602
