year,regtyp,sampreg,ple0014,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,West,Yes,0.09521,879,10186,0.08951,0.10091
2009,Urban regions,West,No,0.90479,9307,10186,0.89909,0.91049
2009,Urban regions,East,Yes,0.10820,152,1533,0.09265,0.12376
2009,Urban regions,East,No,0.89180,1381,1533,0.87624,0.90735
2009,Rural regions,West,Yes,0.09471,296,3291,0.08471,0.10472
2009,Rural regions,West,No,0.90529,2995,3291,0.89528,0.91529
2009,Rural regions,East,Yes,0.11221,327,3008,0.10093,0.12349
2009,Rural regions,East,No,0.88779,2681,3008,0.87651,0.89907
2011,Urban regions,West,Yes,0.09511,1033,11730,0.08980,0.10042
2011,Urban regions,West,No,0.90489,10697,11730,0.89958,0.91020
2011,Urban regions,East,Yes,0.12463,190,1662,0.10875,0.14052
2011,Urban regions,East,No,0.87537,1472,1662,0.85948,0.89125
2011,Rural regions,West,Yes,0.10031,412,4110,0.09112,0.10949
2011,Rural regions,West,No,0.89969,3698,4110,0.89051,0.90888
2011,Rural regions,East,Yes,0.11014,335,3243,0.09936,0.12091
2011,Rural regions,East,No,0.88986,2908,3243,0.87909,0.90064
2013,Urban regions,West,Yes,0.11109,1043,10563,0.10509,0.11708
2013,Urban regions,West,No,0.88891,9520,10563,0.88292,0.89491
2013,Urban regions,East,Yes,0.12130,174,1511,0.10483,0.13776
2013,Urban regions,East,No,0.87870,1337,1511,0.86224,0.89517
2013,Rural regions,West,Yes,0.11071,406,3851,0.10080,0.12062
2013,Rural regions,West,No,0.88929,3445,3851,0.87938,0.89920
2013,Rural regions,East,Yes,0.11656,327,2941,0.10496,0.12816
2013,Rural regions,East,No,0.88344,2614,2941,0.87184,0.89504
2015,Urban regions,West,Yes,0.09890,1122,14361,0.09402,0.10378
2015,Urban regions,West,No,0.90110,13239,14361,0.89622,0.90598
2015,Urban regions,East,Yes,0.11336,190,1839,0.09886,0.12785
2015,Urban regions,East,No,0.88664,1649,1839,0.87215,0.90114
2015,Rural regions,West,Yes,0.09589,412,5426,0.08806,0.10373
2015,Rural regions,West,No,0.90411,5014,5426,0.89627,0.91194
2015,Rural regions,East,Yes,0.12031,361,3414,0.10940,0.13122
2015,Rural regions,East,No,0.87969,3053,3414,0.86878,0.89060
2017,Urban regions,West,Yes,0.09323,1129,15231,0.08861,0.09785
2017,Urban regions,West,No,0.90677,14102,15231,0.90215,0.91139
2017,Urban regions,East,Yes,0.09465,183,1949,0.08165,0.10765
2017,Urban regions,East,No,0.90535,1766,1949,0.89235,0.91835
2017,Rural regions,West,Yes,0.09582,438,5728,0.08819,0.10344
2017,Rural regions,West,No,0.90418,5290,5728,0.89656,0.91181
2017,Rural regions,East,Yes,0.12466,397,3641,0.11392,0.13539
2017,Rural regions,East,No,0.87534,3244,3641,0.86461,0.88608
2019,No answer / don't know,Does not apply,No,0.85208,66,66,0.76577,0.93839
2019,No answer / don't know,West,Yes,0.09908,41,404,0.06991,0.12825
2019,No answer / don't know,West,No,0.90092,363,404,0.87175,0.93009
2019,No answer / don't know,East,No,0.78249,62,62,0.67895,0.88602
2019,Urban regions,West,Yes,0.09555,1216,14493,0.09076,0.10034
2019,Urban regions,West,No,0.90445,13277,14493,0.89966,0.90924
2019,Urban regions,East,Yes,0.10914,184,1898,0.09511,0.12317
2019,Urban regions,East,No,0.89086,1714,1898,0.87683,0.90489
2019,Rural regions,West,Yes,0.10550,447,5207,0.09716,0.11385
2019,Rural regions,West,No,0.89450,4760,5207,0.88615,0.90284
2019,Rural regions,East,Yes,0.13091,394,3574,0.11985,0.14197
2019,Rural regions,East,No,0.86909,3180,3574,0.85803,0.88015
2021,Urban regions,West,Yes,0.10627,955,11514,0.10064,0.11190
2021,Urban regions,West,No,0.89373,10559,11514,0.88810,0.89936
2021,Urban regions,East,Yes,0.09716,130,1498,0.08216,0.11216
2021,Urban regions,East,No,0.90284,1368,1498,0.88784,0.91784
2021,Rural regions,West,Yes,0.11714,351,3803,0.10692,0.12736
2021,Rural regions,West,No,0.88286,3452,3803,0.87264,0.89308
2021,Rural regions,East,Yes,0.11893,265,2351,0.10584,0.13202
2021,Rural regions,East,No,0.88107,2086,2351,0.86798,0.89416
