year,bula_h,regtyp,ple0015,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,Urban regions,No,1.0,184,17775,1.0,1.0
2009,Schleswig-Holstein,Rural regions,No,1.0,305,17775,1.0,1.0
2009,Hamburg,Urban regions,No,1.0,252,17775,1.0,1.0
2009,Lower Saxony,Urban regions,Yes,0.05144314544260165,39,17775,0.05119448215105771,0.0516918087341456
2009,Lower Saxony,Urban regions,No,0.9485568545573984,731,17775,0.9483081912658544,0.9488055178489423
2009,Lower Saxony,Rural regions,Yes,0.032882399303208194,31,17775,0.032693118532986655,0.033071680073429734
2009,Lower Saxony,Rural regions,No,0.9671176006967918,832,17775,0.9669283199265702,0.9673068814670133
2009,Bremen,Urban regions,No,1.0,114,17775,1.0,1.0
2009,North Rhine-Westphalia,Urban regions,Yes,0.039045446675789415,128,17775,0.03894525843533135,0.03914563491624748
2009,North Rhine-Westphalia,Urban regions,No,0.9609545533242105,3394,17775,0.9608543650837524,0.9610547415646686
2009,North Rhine-Westphalia,Rural regions,No,1.0,103,17775,1.0,1.0
2009,Hesse,Urban regions,Yes,0.0280858341240773,34,17775,0.027926749298122895,0.028244918950031707
2009,Hesse,Urban regions,No,0.9719141658759227,963,17775,0.9717550810499683,0.9720732507018771
2009,Hesse,Rural regions,No,1.0,212,17775,1.0,1.0
2009,"Rhineland-Palatinate, Saarland",Urban regions,No,1.0,748,17775,1.0,1.0
2009,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,240,17775,1.0,1.0
2009,Baden-Wuerttemberg,Urban regions,Yes,0.037049466988700534,71,17775,0.036916915896164595,0.03718201808123647
2009,Baden-Wuerttemberg,Urban regions,No,0.9629505330112996,1846,17775,0.9628179819187637,0.9630830841038356
2009,Baden-Wuerttemberg,Rural regions,No,1.0,186,17775,1.0,1.0
2009,Bavaria,Urban regions,Yes,0.04485691619902448,56,17775,0.044675842451649364,0.0450379899463996
2009,Bavaria,Urban regions,No,0.9551430838009755,1170,17775,0.9549620100536004,0.9553241575483505
2009,Bavaria,Rural regions,Yes,0.029495293460854284,41,17775,0.02935292990972747,0.029637657011981098
2009,Bavaria,Rural regions,No,0.9705047065391458,1342,17775,0.9703623429880189,0.9706470700902726
2009,Berlin,Urban regions,Yes,0.04895144572752655,35,17775,0.048703722959954204,0.049199168495098894
2009,Berlin,Urban regions,No,0.9510485542724734,648,17775,0.950800831504901,0.9512962770400457
2009,Brandenburg,Urban regions,No,1.0,61,17775,1.0,1.0
2009,Brandenburg,Rural regions,No,1.0,704,17775,1.0,1.0
2009,Mecklenburg-Western Pomerania,Urban regions,No,1.0,56,17775,1.0,1.0
2009,Mecklenburg-Western Pomerania,Rural regions,No,1.0,395,17775,1.0,1.0
2009,Saxony,Urban regions,No,1.0,669,17775,1.0,1.0
2009,Saxony,Rural regions,No,1.0,651,17775,1.0,1.0
2009,Saxony-Anhalt,Urban regions,No,1.0,143,17775,1.0,1.0
2009,Saxony-Anhalt,Rural regions,No,1.0,597,17775,1.0,1.0
2009,Thuringa,Urban regions,No,1.0,235,17775,1.0,1.0
2009,Thuringa,Rural regions,No,1.0,559,17775,1.0,1.0
2011,Schleswig-Holstein,Urban regions,No,1.0,197,20531,1.0,1.0
2011,Schleswig-Holstein,Rural regions,No,1.0,420,20531,1.0,1.0
2011,Hamburg,Urban regions,No,1.0,288,20531,1.0,1.0
2011,Lower Saxony,Urban regions,Yes,0.053623675113858876,45,20531,0.053353492164580775,0.05389385806313698
2011,Lower Saxony,Urban regions,No,0.9463763248861411,816,20531,0.946106141936863,0.9466465078354191
2011,Lower Saxony,Rural regions,Yes,0.04355691214561404,48,20531,0.04333407261375343,0.043779751677474645
2011,Lower Saxony,Rural regions,No,0.9564430878543859,999,20531,0.9562202483225253,0.9566659273862466
2011,Bremen,Urban regions,No,1.0,121,20531,1.0,1.0
2011,North Rhine-Westphalia,Urban regions,Yes,0.049502707401664445,187,20531,0.049385001372617726,0.04962041343071116
2011,North Rhine-Westphalia,Urban regions,No,0.9504972925983355,3809,20531,0.9503795865692888,0.9506149986273822
2011,North Rhine-Westphalia,Rural regions,No,1.0,130,20531,1.0,1.0
2011,Hesse,Urban regions,Yes,0.0372074675080767,46,20531,0.03701219305342989,0.03740274196272351
2011,Hesse,Urban regions,No,0.9627925324919234,1111,20531,0.9625972580372766,0.9629878069465703
2011,Hesse,Rural regions,No,1.0,240,20531,1.0,1.0
2011,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.041457974454046365,39,20531,0.04121221523967851,0.04170373366841422
2011,"Rhineland-Palatinate, Saarland",Urban regions,No,0.9585420255459536,839,20531,0.9582962663315857,0.9587877847603214
2011,"Rhineland-Palatinate, Saarland",Rural regions,No,1.0,316,20531,1.0,1.0
2011,Baden-Wuerttemberg,Urban regions,Yes,0.04418028622174352,101,20531,0.04402692098375276,0.04433365145973428
2011,Baden-Wuerttemberg,Urban regions,No,0.9558197137782564,2139,20531,0.9556663485402656,0.9559730790162472
2011,Baden-Wuerttemberg,Rural regions,No,1.0,239,20531,1.0,1.0
2011,Bavaria,Urban regions,Yes,0.0502590647382656,75,20531,0.050057119766511914,0.05046100971001929
2011,Bavaria,Urban regions,No,0.9497409352617344,1421,20531,0.9495389902899807,0.9499428802334882
2011,Bavaria,Rural regions,Yes,0.03389118294159665,67,20531,0.033727641295178155,0.03405472458801514
2011,Bavaria,Rural regions,No,0.9661088170584035,1621,20531,0.9659452754119849,0.966272358704822
2011,Berlin,Urban regions,Yes,0.06161716231817859,45,20531,0.06132220043275385,0.061912124203603335
2011,Berlin,Urban regions,No,0.9383828376818213,736,20531,0.9380878757963965,0.9386777995672461
2011,Brandenburg,Urban regions,No,1.0,64,20531,1.0,1.0
2011,Brandenburg,Rural regions,Yes,0.0459035196215705,37,20531,0.04559003856667802,0.04621700067646298
2011,Brandenburg,Rural regions,No,0.9540964803784294,776,20531,0.9537829993235369,0.9544099614333219
2011,Mecklenburg-Western Pomerania,Urban regions,No,1.0,44,20531,1.0,1.0
2011,Mecklenburg-Western Pomerania,Rural regions,No,1.0,446,20531,1.0,1.0
2011,Saxony,Urban regions,No,1.0,699,20531,1.0,1.0
2011,Saxony,Rural regions,No,1.0,656,20531,1.0,1.0
2011,Saxony-Anhalt,Urban regions,No,1.0,193,20531,1.0,1.0
2011,Saxony-Anhalt,Rural regions,Yes,0.06814948015061666,37,20531,0.0677375428521715,0.06856141744906182
2011,Saxony-Anhalt,Rural regions,No,0.9318505198493833,625,20531,0.9314385825509381,0.9322624571478284
2011,Thuringa,Urban regions,No,1.0,256,20531,1.0,1.0
2011,Thuringa,Rural regions,No,1.0,603,20531,1.0,1.0
2013,Schleswig-Holstein,Urban regions,No,1.0,154,18681,1.0,1.0
2013,Schleswig-Holstein,Rural regions,No,1.0,403,18681,1.0,1.0
2013,Hamburg,Urban regions,No,1.0,286,18681,1.0,1.0
2013,Lower Saxony,Urban regions,Yes,0.06981143469682007,39,18681,0.06948464559217019,0.07013822380146995
2013,Lower Saxony,Urban regions,No,0.9301885653031798,701,18681,0.9298617761985299,0.9305153544078297
2013,Lower Saxony,Rural regions,Yes,0.06591101425486133,63,18681,0.06564416205425463,0.06617786645546803
2013,Lower Saxony,Rural regions,No,0.9340889857451387,972,18681,0.9338221335445319,0.9343558379457454
2013,Bremen,Urban regions,No,1.0,112,18681,1.0,1.0
2013,North Rhine-Westphalia,Urban regions,Yes,0.05893132251952933,195,18681,0.05879752889052907,0.05906511614852959
2013,North Rhine-Westphalia,Urban regions,No,0.9410686774804708,3421,18681,0.9409348838514706,0.9412024711094711
