"ple0016","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","(noch) kein Abschluss","kein Migrationshintergrund","1","","",""
"Ja","2009","(noch) kein Abschluss","direkter Migrationshintergrund","4","0.0514915405984849","0.010562871101084","0.0924202100958858"
"Ja","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Ja","2009","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","Hauptschule","kein Migrationshintergrund","160","","",""
"Ja","2009","Hauptschule","direkter Migrationshintergrund","10","","",""
"Ja","2009","Hauptschule","indirekter Migrationshintergrund","1","","",""
"Ja","2009","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","Realschule","kein Migrationshintergrund","51","0.0136444989383419","0.0102549854570405","0.0170340124196432"
"Ja","2009","Realschule","direkter Migrationshintergrund","1","","",""
"Ja","2009","Realschule","indirekter Migrationshintergrund","","","",""
"Ja","2009","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","(Fach-)Abitur","kein Migrationshintergrund","10","","",""
"Ja","2009","(Fach-)Abitur","direkter Migrationshintergrund","4","0.0208221968257854","0.00452806833467936","0.0371163253168914"
"Ja","2009","(Fach-)Abitur","indirekter Migrationshintergrund","2","","",""
"Ja","2009","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2009","AkademikerIn","kein Migrationshintergrund","39","0.0135707653070197","0.00982034333036702","0.0173211872836723"
"Ja","2009","AkademikerIn","direkter Migrationshintergrund","2","","",""
"Ja","2009","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Ja","2009","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2009","(noch) kein Abschluss","kein Migrationshintergrund","315","0.990729291314345","0.980162612213301","1.00129597041539"
"Nein","2009","(noch) kein Abschluss","direkter Migrationshintergrund","108","","",""
"Nein","2009","(noch) kein Abschluss","indirekter Migrationshintergrund","56","1","1","1"
