year,ple0017,pgisced97,sex,proportion,n,lower_confidence,upper_confidence
2009,Yes,middle vocational,female,0.38079470198675497,21983,0.37437558379936686,0.3872138201741431
2009,Yes,higher education,female,0.18211920529801323,21983,0.17701726385394223,0.18722114674208423
2009,Yes,general elementary,female,0.10264900662251655,21983,0.09863691224210594,0.10666110100292717
2009,Yes,middle vocational,male,0.10154525386313466,21983,0.09755233477468508,0.10553817295158424
2009,Yes,higher vocational,female,0.06512141280353201,21983,0.06185965203609687,0.06838317357096715
2009,Yes,vocational + Abi,female,0.05739514348785872,21983,0.05432035673808523,0.06046993023763221
2009,Yes,higher education,male,0.052980132450331126,21983,0.05001906257263073,0.05594120232803152
2009,Yes,vocational + Abi,male,0.01434878587196468,21983,0.012776679965644296,0.015920891778285064
2009,Yes,higher vocational,male,0.013245033112582781,21983,0.011733757145253041,0.014756309079912521
2009,Yes,general elementary,male,0.009933774834437087,21983,0.008622777314954937,0.011244772353919236
2009,Yes,inadequately,female,0.008830022075055188,21983,0.007593312977576205,0.01006673117253417
2009,Yes,in school,female,0.004415011037527594,21983,0.003538580183450789,0.005291441891604399
2009,Yes,inadequately,male,0.0033112582781456954,21983,0.0025518262723847264,0.004070690283906665
2009,Yes,in school,male,0.0033112582781456954,21983,0.0025518262723847264,0.004070690283906665
2009,No,middle vocational,female,0.2645972354623451,21983,0.2587659020730491,0.27042856885164107
2009,No,middle vocational,male,0.24916587225929457,21983,0.24344807341640512,0.254883671102184
2009,No,higher education,male,0.12738322211630124,21983,0.12297584222467449,0.131790602007928
2009,No,higher education,female,0.10033365109628217,21983,0.09636194925904686,0.10430535293351749
2009,No,general elementary,female,0.06786224976167779,21983,0.06453744026516853,0.07118705925818705
2009,No,higher vocational,male,0.045936606291706386,21983,0.04316915069519392,0.04870406188821885
2009,No,vocational + Abi,female,0.03312678741658723,21983,0.03076093845214141,0.035492636381033046
2009,No,general elementary,male,0.03259056244041945,21983,0.0302432890305765,0.034937835850262396
2009,No,higher vocational,female,0.029194470924690182,21983,0.02696896365859378,0.03141997819078659
2009,No,vocational + Abi,male,0.022402287893231648,21983,0.02044597252468516,0.024358603261778137
2009,No,in school,male,0.009890371782650143,21983,0.008582212757247134,0.011198530808053152
2009,No,in school,female,0.008341277407054338,21983,0.007138985311230173,0.009543569502878501
2009,No,inadequately,female,0.005362249761677788,21983,0.004396824674916698,0.006327674848438878
2009,No,inadequately,male,0.0038131553860819827,21983,0.0029984037446262567,0.004627907027537709
2011,Yes,middle vocational,female,0.39039301310043667,41903,0.38572201706047154,0.3950640091404018
2011,Yes,higher education,female,0.1720524017467249,41903,0.1684385918078907,0.1756662116855591
2011,Yes,general elementary,female,0.10305676855895196,41903,0.10014568781404647,0.10596784930385746
2011,Yes,middle vocational,male,0.10131004366812227,41903,0.098420929472287,0.10419915786395753
2011,Yes,vocational + Abi,female,0.06375545851528384,41903,0.061416153515932485,0.06609476351463521
2011,Yes,higher vocational,female,0.06026200873362445,41903,0.057983457977243996,0.06254055949000491
2011,Yes,higher education,male,0.043668122270742356,41903,0.04171144100003359,0.04562480354145112
2011,Yes,general elementary,male,0.01572052401746725,41903,0.01452948432001965,0.016911563714914847
2011,Yes,vocational + Abi,male,0.013973799126637555,41903,0.012849880190232397,0.015097718063042713
2011,Yes,higher vocational,male,0.013973799126637555,41903,0.012849880190232397,0.015097718063042713
2011,Yes,inadequately,female,0.010480349344978166,41903,0.009505284263084666,0.011455414426871665
2011,Yes,in school,male,0.00611353711790393,41903,0.005367177425132614,0.006859896810675246
2011,Yes,in school,female,0.0034934497816593887,41903,0.0029285117088381947,0.004058387854480583
2011,Yes,inadequately,male,0.0017467248908296944,41903,0.0013469033953514052,0.0021465463863079835
2011,No,middle vocational,female,0.26664592408214066,41903,0.2624118559447401,0.27087999221954123
2011,No,middle vocational,male,0.24808131093134206,41903,0.24394592565938644,0.2522166962032977
2011,No,higher education,male,0.1253889234598631,41903,0.12221811077924857,0.12855973614047764
2011,No,higher education,female,0.09971997510889857,41903,0.09685108838505634,0.10258886183274081
2011,No,general elementary,female,0.0715619166148102,41903,0.06909388358334326,0.07402994964627715
2011,No,higher vocational,male,0.045737398879900436,41903,0.043737061752255044,0.04773773600754583
2011,No,vocational + Abi,female,0.035210537232939224,41903,0.033445775351933264,0.03697529911394518
2011,No,general elementary,male,0.03349927400954159,41903,0.03177640482675987,0.035222143192323314
2011,No,higher vocational,female,0.024891101431238332,41903,0.023399399231951744,0.02638280363052492
2011,No,vocational + Abi,male,0.02245384774942958,41903,0.02103528831988499,0.02387240717897417
2011,No,in school,male,0.008037751503837377,41903,0.007182786431939489,0.008892716575735265
2011,No,in school,female,0.007622899813316739,41903,0.006790116554903055,0.008455683071730424
2011,No,inadequately,female,0.006741339970960381,41903,0.005957842123265269,0.007524837818655494
2011,No,inadequately,male,0.004407799211781788,41903,0.0037735131657504624,0.005042085257813113
2013,Yes,middle vocational,female,0.39065108514190316,44486,0.3861171852037441,0.3951849850800622
2013,Yes,higher education,female,0.17195325542570952,44486,0.168446729769836,0.17545978108158305
2013,Yes,middle vocational,male,0.10601001669449082,44486,0.10314923860799631,0.10887079478098534
2013,Yes,general elementary,female,0.09098497495826377,44486,0.08831249311448208,0.09365745680204546
2013,Yes,higher vocational,female,0.0667779632721202,44486,0.06445814764422182,0.06909777890001857
2013,Yes,vocational + Abi,female,0.06176961602671119,44486,0.059532509885448254,0.06400672216797412
2013,Yes,higher education,male,0.04340567612687813,44486,0.041512105295094595,0.045299246958661665
2013,Yes,higher vocational,male,0.014190317195325543,44486,0.013091217761772519,0.015289416628878567
2013,Yes,vocational + Abi,male,0.012520868113522538,44486,0.011487570143030803,0.013554166084014272
2013,Yes,inadequately,female,0.011686143572621035,44486,0.010687461063844491,0.01268482608139758
2013,Yes,general elementary,male,0.010851419031719533,44486,0.009888658172420914,0.011814179891018151
2013,Yes,in school,female,0.007512520868113523,44486,0.006710104541562576,0.00831493719466447
2013,Yes,inadequately,male,0.00667779632721202,44486,0.005920952891147886,0.007434639763276155
2013,Yes,in school,male,0.005008347245409015,44486,0.004352351039664615,0.005664343451153415
2013,No,middle vocational,female,0.26562050928320974,44486,0.2615162436135094,0.2697247749529101
2013,No,middle vocational,male,0.24084612289475196,44486,0.23687256880191607,0.24481967698758786
2013,No,higher education,male,0.13226418347991034,44486,0.1291160054626864,0.1354123614971343
2013,No,higher education,female,0.10961660056331551,44486,0.10671343980760173,0.1125197613190293
2013,No,general elementary,female,0.06656320055181927,44486,0.0642468517896669,0.06887954931397165
2013,No,higher vocational,male,0.04621486463183307,44486,0.04426385007341075,0.048165879190255396
2013,No,vocational + Abi,female,0.03494855434845088,44486,0.03324194455577431,0.03665516414112745
2013,No,general elementary,male,0.032706788526757485,44486,0.03105390438096705,0.03435967267254792
2013,No,higher vocational,female,0.024372018164051275,44486,0.022939064118085547,0.025804972210017003
2013,No,vocational + Abi,male,0.02299246996608611,44486,0.02159967829187978,0.024385261640292435
2013,No,in school,female,0.007415071564062769,44486,0.006617837394632833,0.008212305733492705
2013,No,in school,male,0.006667816290164971,44486,0.005911534821614684,0.007424097758715258
2013,No,inadequately,female,0.0054607116169454505,44486,0.004775886018610006,0.006145537215280895
2013,No,inadequately,male,0.004311088118641145,44486,0.003702253024345117,0.004919923212937173
2015,Yes,middle vocational,female,0.38291517323775387,38036,0.37802997295172136,0.3878003735237864
2015,Yes,higher education,female,0.1768219832735962,38036,0.1729877929867992,0.18065617356039318
2015,Yes,middle vocational,male,0.08781362007168458,38036,0.08496928088767154,0.09065795925569763
2015,Yes,vocational + Abi,female,0.08721624850657109,38036,0.08438067243166325,0.09005182458147892
2015,Yes,general elementary,female,0.08542413381123058,38036,0.08261508806156782,0.08823317956089334
2015,Yes,higher education,male,0.04958183990442055,38036,0.04740022880580027,0.051763451003040827
2015,Yes,higher vocational,female,0.04659498207885305,38036,0.04447678217890047,0.04871318197880563
2015,Yes,inadequately,female,0.022700119474313024,38036,0.02120324064429467,0.024196998304331377
2015,Yes,general elementary,male,0.01971326164874552,38036,0.01831620357725361,0.021110319720237428
2015,Yes,vocational + Abi,male,0.013739545997610514,38036,0.012569667784807835,0.014909424210413193
2015,Yes,higher vocational,male,0.011350059737156512,38036,0.010285478033664405,0.012414641440648619
2015,Yes,in school,female,0.008960573476702509,38036,0.008013525412119197,0.00990762154128582
2015,Yes,inadequately,male,0.004181600955794504,38036,0.003533085966857538,0.00483011594473147
2015,Yes,in school,male,0.002986857825567503,38036,0.0024384339306077595,0.0035352817205272467
2015,No,middle vocational,female,0.2548019867258582,38036,0.2504227754214308,0.25918119803028555
