"ple0018","year","migback","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2009","kein Migrationshintergrund","Westdeutschland","2602","","",""
"Ja","2009","kein Migrationshintergrund","Ostdeutschland","1234","","",""
"Ja","2009","direkter Migrationshintergrund","Westdeutschland","328","0.215161942979786","0.194925076881557","0.235398809078015"
"Ja","2009","direkter Migrationshintergrund","Ostdeutschland","24","","",""
"Ja","2009","indirekter Migrationshintergrund","Westdeutschland","31","0.0484861181686306","0.0322099823858174","0.0647622539514438"
"Ja","2009","indirekter Migrationshintergrund","Ostdeutschland","2","","",""
"Ja","2009","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2009","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2009","kein Migrationshintergrund","Westdeutschland","8622","0.75940513476778","0.751497361587849","0.767312907947712"
"Nein","2009","kein Migrationshintergrund","Ostdeutschland","3192","0.724189153127304","0.711022540302808","0.737355765951801"
"Nein","2009","direkter Migrationshintergrund","Westdeutschland","1256","","",""
"Nein","2009","direkter Migrationshintergrund","Ostdeutschland","51","0.710554596512848","0.607918644619722","0.813190548405975"
"Nein","2009","indirekter Migrationshintergrund","Westdeutschland","638","0.951513881831369","0.935237746048556","0.967790017614182"
"Nein","2009","indirekter Migrationshintergrund","Ostdeutschland","38","0.972842425694099","0.922470931403565","1.02321391998463"
"Nein","2009","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2009","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2010","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","2010","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2010","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2010","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2010","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2010","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2010","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2010","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2010","kein Migrationshintergrund","Westdeutschland","","","",""
"Nein","2010","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2010","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2010","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2010","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2010","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2010","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2010","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2011","kein Migrationshintergrund","Westdeutschland","3224","0.258501095663102","0.251024133773008","0.265978057553195"
"Ja","2011","kein Migrationshintergrund","Ostdeutschland","1438","","",""
"Ja","2011","direkter Migrationshintergrund","Westdeutschland","428","0.234689966478301","0.215733235726721","0.25364669722988"
"Ja","2011","direkter Migrationshintergrund","Ostdeutschland","33","0.361902157139916","0.265269146029495","0.458535168250337"
"Ja","2011","indirekter Migrationshintergrund","Westdeutschland","45","0.0552978831042786","0.0389293832268383","0.0716663829817189"
"Ja","2011","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2011","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2011","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2011","kein Migrationshintergrund","Westdeutschland","9947","0.741498904336898","0.734021942446805","0.748975866226992"
"Nein","2011","kein Migrationshintergrund","Ostdeutschland","3329","0.692965642073244","0.679871566152348","0.706059717994141"
"Nein","2011","direkter Migrationshintergrund","Westdeutschland","1492","","",""
"Nein","2011","direkter Migrationshintergrund","Ostdeutschland","62","0.638097842860084","0.541464831749664","0.734730853970505"
"Nein","2011","indirekter Migrationshintergrund","Westdeutschland","704","0.944702116895721","0.928333617018281","0.961070616773162"
"Nein","2011","indirekter Migrationshintergrund","Ostdeutschland","43","1","1","1"
"Nein","2011","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2011","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2012","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","2012","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2012","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2012","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2012","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2012","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2012","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2012","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2012","kein Migrationshintergrund","Westdeutschland","","","",""
"Nein","2012","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2012","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2012","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2012","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2012","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2012","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2012","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2013","kein Migrationshintergrund","Westdeutschland","3408","0.295732171378026","0.287611681988061","0.303852660767991"
"Ja","2013","kein Migrationshintergrund","Ostdeutschland","1538","","",""
"Ja","2013","direkter Migrationshintergrund","Westdeutschland","376","0.244523831362697","0.223542330420658","0.265505332304736"
"Ja","2013","direkter Migrationshintergrund","Ostdeutschland","34","0.464223768908854","0.355615975647688","0.572831562170021"
"Ja","2013","indirekter Migrationshintergrund","Westdeutschland","59","0.105743966962202","0.0824419362170042","0.129045997707399"
"Ja","2013","indirekter Migrationshintergrund","Ostdeutschland","3","","",""
"Ja","2013","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2013","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2013","kein Migrationshintergrund","Westdeutschland","8725","0.704267828621974","0.696147339232009","0.712388318011939"
"Nein","2013","kein Migrationshintergrund","Ostdeutschland","2790","","",""
"Nein","2013","direkter Migrationshintergrund","Westdeutschland","1236","","",""
"Nein","2013","direkter Migrationshintergrund","Ostdeutschland","47","0.535776231091146","0.427168437829979","0.644384024352312"
"Nein","2013","indirekter Migrationshintergrund","Westdeutschland","610","0.894256033037798","0.870954002292601","0.917558063782996"
"Nein","2013","indirekter Migrationshintergrund","Ostdeutschland","40","0.757995859720332","0.629981503058227","0.886010216382437"
"Nein","2013","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2013","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2014","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","2014","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2014","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2014","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2014","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2014","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2014","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2014","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2014","kein Migrationshintergrund","Westdeutschland","","","",""
"Nein","2014","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2014","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2014","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2014","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2014","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2014","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2014","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2015","kein Migrationshintergrund","Westdeutschland","3532","0.285151444368909","0.277738850076881","0.292564038660936"
"Ja","2015","kein Migrationshintergrund","Ostdeutschland","1588","","",""
"Ja","2015","direkter Migrationshintergrund","Westdeutschland","648","0.201926059165935","0.18950423496193","0.214347883369941"
"Ja","2015","direkter Migrationshintergrund","Ostdeutschland","59","0.232821166933405","0.184593459263084","0.281048874603727"
"Ja","2015","indirekter Migrationshintergrund","Westdeutschland","104","","",""
"Ja","2015","indirekter Migrationshintergrund","Ostdeutschland","12","","",""
"Ja","2015","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2015","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2015","kein Migrationshintergrund","Westdeutschland","10719","","",""
"Nein","2015","kein Migrationshintergrund","Ostdeutschland","3270","0.648584232646759","0.635159267995247","0.662009197298272"
"Nein","2015","direkter Migrationshintergrund","Westdeutschland","3364","0.798073940834065","0.785652116630059","0.81049576503807"
"Nein","2015","direkter Migrationshintergrund","Ostdeutschland","236","","",""
"Nein","2015","indirekter Migrationshintergrund","Westdeutschland","1420","","",""
"Nein","2015","indirekter Migrationshintergrund","Ostdeutschland","88","0.874706953710044","0.809822169471721","0.939591737948367"
"Nein","2015","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2015","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2016","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","2016","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2016","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2016","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2016","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2016","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2016","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2016","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2016","kein Migrationshintergrund","Westdeutschland","","","",""
"Nein","2016","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2016","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2016","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2016","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2016","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2016","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2016","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2017","kein Migrationshintergrund","Westdeutschland","3842","0.287707772164628","0.280484447204503","0.294931097124754"
"Ja","2017","kein Migrationshintergrund","Ostdeutschland","1662","","",""
"Ja","2017","direkter Migrationshintergrund","Westdeutschland","710","0.214854008056487","0.202539173448516","0.227168842664458"
"Ja","2017","direkter Migrationshintergrund","Ostdeutschland","61","0.116151704282105","0.0830539522184902","0.149249456345719"
"Ja","2017","indirekter Migrationshintergrund","Westdeutschland","125","","",""
"Ja","2017","indirekter Migrationshintergrund","Ostdeutschland","12","","",""
"Ja","2017","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2017","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2017","kein Migrationshintergrund","Westdeutschland","11246","","",""
"Nein","2017","kein Migrationshintergrund","Ostdeutschland","3463","0.658264315645072","0.645279180385382","0.671249450904762"
"Nein","2017","direkter Migrationshintergrund","Westdeutschland","3563","0.785145991943513","0.772831157335542","0.797460826551484"
"Nein","2017","direkter Migrationshintergrund","Ostdeutschland","299","","",""
"Nein","2017","indirekter Migrationshintergrund","Westdeutschland","1473","","",""
"Nein","2017","indirekter Migrationshintergrund","Ostdeutschland","93","0.874761323213757","0.811452030285506","0.938070616142009"
"Nein","2017","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2017","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2018","kein Migrationshintergrund","Westdeutschland","","","",""
"Ja","2018","kein Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2018","direkter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2018","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2018","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Ja","2018","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Ja","2018","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2018","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2018","kein Migrationshintergrund","Westdeutschland","","","",""
"Nein","2018","kein Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2018","direkter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2018","direkter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2018","indirekter Migrationshintergrund","Westdeutschland","","","",""
"Nein","2018","indirekter Migrationshintergrund","Ostdeutschland","","","",""
"Nein","2018","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2018","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Ja","2019","kein Migrationshintergrund","Westdeutschland","4011","0.290864737122224","0.283586337086888","0.298143137157559"
"Ja","2019","kein Migrationshintergrund","Ostdeutschland","1685","","",""
"Ja","2019","direkter Migrationshintergrund","Westdeutschland","686","0.22563427061648","0.211905308769397","0.239363232463562"
"Ja","2019","direkter Migrationshintergrund","Ostdeutschland","48","0.149202590942834","0.108196312737038","0.190208869148629"
"Ja","2019","indirekter Migrationshintergrund","Westdeutschland","193","","",""
"Ja","2019","indirekter Migrationshintergrund","Ostdeutschland","29","","",""
"Ja","2019","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Ja","2019","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
"Nein","2019","kein Migrationshintergrund","Westdeutschland","10946","","",""
"Nein","2019","kein Migrationshintergrund","Ostdeutschland","3437","0.651319821785176","0.638268963276312","0.66437068029404"
"Nein","2019","direkter Migrationshintergrund","Westdeutschland","2875","","",""
"Nein","2019","direkter Migrationshintergrund","Ostdeutschland","242","","",""
"Nein","2019","indirekter Migrationshintergrund","Westdeutschland","1471","","",""
"Nein","2019","indirekter Migrationshintergrund","Ostdeutschland","129","","",""
"Nein","2019","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","",""
"Nein","2019","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","",""
