year,migback,regtyp,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,Urban regions,Yes,0.11078,692,5951,0.10280,0.11875
1985,No migration background,Urban regions,No,0.74261,5259,5951,0.73150,0.75372
1985,No migration background,Rural regions,Yes,0.09011,192,1960,0.07743,0.10279
1985,No migration background,Rural regions,No,0.73795,1768,1960,0.71848,0.75742
1985,Direct migration background,Urban regions,Yes,0.07573,124,2540,0.06544,0.08602
1985,Direct migration background,Urban regions,No,0.83256,2416,2540,0.81804,0.84708
1985,Direct migration background,Rural regions,No,0.81470,331,331,0.77278,0.85662
1985,Indirect migration background,Urban regions,No,0.12971,116,116,0.06830,0.19112
1987,No migration background,Urban regions,Yes,0.10844,628,5625,0.10032,0.11657
1987,No migration background,Urban regions,No,0.74863,4997,5625,0.73729,0.75997
1987,No migration background,Rural regions,Yes,0.08966,176,1806,0.07648,0.10284
1987,No migration background,Rural regions,No,0.73012,1630,1806,0.70965,0.75060
1987,Direct migration background,Urban regions,Yes,0.09281,148,2417,0.08124,0.10438
1987,Direct migration background,Urban regions,No,0.83458,2269,2417,0.81976,0.84939
1987,Direct migration background,Rural regions,No,0.83999,349,349,0.80147,0.87851
1987,Indirect migration background,Urban regions,No,0.12663,140,140,0.07135,0.18192
1988,No migration background,Urban regions,Yes,0.12126,657,5362,0.11252,0.13000
1988,No migration background,Urban regions,No,0.73426,4705,5362,0.72244,0.74609
1988,No migration background,Rural regions,Yes,0.09308,172,1685,0.07920,0.10696
1988,No migration background,Rural regions,No,0.72536,1513,1685,0.70405,0.74668
1988,Direct migration background,Urban regions,Yes,0.10445,176,2318,0.09199,0.11690
1988,Direct migration background,Urban regions,No,0.82980,2142,2318,0.81449,0.84510
1988,Direct migration background,Rural regions,No,0.80158,315,315,0.75747,0.84570
1988,Indirect migration background,Urban regions,No,0.14815,177,177,0.09566,0.20063
1988,Indirect migration background,Rural regions,No,0.18430,31,31,0.04555,0.32304
1989,No migration background,Urban regions,Yes,0.12175,637,5180,0.11284,0.13065
1989,No migration background,Urban regions,No,0.73471,4543,5180,0.72268,0.74673
1989,No migration background,Rural regions,Yes,0.11148,187,1599,0.09605,0.12691
1989,No migration background,Rural regions,No,0.70936,1412,1599,0.68709,0.73162
1989,Direct migration background,Urban regions,Yes,0.09984,165,2260,0.08748,0.11220
1989,Direct migration background,Urban regions,No,0.84507,2095,2260,0.83015,0.85999
1989,Direct migration background,Rural regions,No,0.82817,297,297,0.78520,0.87115
1989,Indirect migration background,Urban regions,No,0.17063,214,214,0.12011,0.22114
1989,Indirect migration background,Rural regions,No,0.20151,34,34,0.06465,0.33837
1991,No migration background,Urban regions,Yes,0.10926,628,4931,0.10055,0.11797
