,Unnamed: 0,year,regtyp,sex,ple0040,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Urban regions,male,Yes,0.14918,488,10937,0.14477,0.15447
1,1,1985,Urban regions,male,No,0.85082,3747,10937,0.83412,0.86507
2,2,1985,Urban regions,female,Yes,0.1021,328,10937,0.09803,0.10644
3,3,1985,Urban regions,female,No,0.8979,4022,10937,0.88176,0.91277
4,4,1985,Rural regions,male,Yes,0.14169,136,10937,0.13294,0.14896
5,5,1985,Rural regions,male,No,0.85831,1017,10937,0.83328,0.87605
6,6,1985,Rural regions,female,Yes,0.07683,77,10937,0.07248,0.08177
7,7,1985,Rural regions,female,No,0.92317,1122,10937,0.89815,0.94658
8,8,1987,Urban regions,male,Yes,0.14207,459,10386,0.13538,0.14909
9,9,1987,Urban regions,male,No,0.85793,3606,10386,0.84168,0.87931
10,10,1987,Urban regions,female,Yes,0.10572,321,10386,0.09985,0.11141
11,11,1987,Urban regions,female,No,0.89428,3787,10386,0.87475,0.91366
12,12,1987,Rural regions,male,Yes,0.14618,125,10386,0.13569,0.15515
13,13,1987,Rural regions,male,No,0.85382,952,10386,0.82411,0.87644
14,14,1987,Rural regions,female,Yes,0.07534,74,10386,0.06887,0.08188
15,15,1987,Rural regions,female,No,0.92466,1062,10386,0.89451,0.95372
16,16,1988,Urban regions,male,Yes,0.15566,492,9921,0.15009,0.16373
17,17,1988,Urban regions,male,No,0.84434,3410,9921,0.82806,0.86159
18,18,1988,Urban regions,female,Yes,0.12129,348,9921,0.11471,0.12814
19,19,1988,Urban regions,female,No,0.87871,3601,9921,0.85729,0.90157
20,20,1988,Rural regions,male,Yes,0.15624,128,9921,0.14692,0.16668
21,21,1988,Rural regions,male,No,0.84376,886,9921,0.81752,0.87461
22,22,1988,Rural regions,female,Yes,0.07745,70,9921,0.06919,0.08586
23,23,1988,Rural regions,female,No,0.92255,986,9921,0.89485,0.95251
24,24,1989,Urban regions,male,Yes,0.15673,467,9614,0.14967,0.16359
25,25,1989,Urban regions,male,No,0.84327,3304,9614,0.82475,0.85977
26,26,1989,Urban regions,female,Yes,0.119,340,9614,0.11303,0.1268
27,27,1989,Urban regions,female,No,0.881,3537,9614,0.86243,0.89815
28,28,1989,Rural regions,male,Yes,0.17125,133,9614,0.16181,0.18223
29,29,1989,Rural regions,male,No,0.82875,844,9614,0.79691,0.85571
30,30,1989,Rural regions,female,Yes,0.09941,79,9614,0.08955,0.10901
31,31,1989,Rural regions,female,No,0.90059,910,9614,0.86683,0.93224
32,32,1991,Urban regions,male,Yes,0.16163,478,9354,0.15446,0.16911
33,33,1991,Urban regions,male,No,0.83837,3147,9354,0.81891,0.85815
34,34,1991,Urban regions,female,Yes,0.12424,343,9354,0.11622,0.13101
35,35,1991,Urban regions,female,No,0.87576,3396,9354,0.85685,0.89317
36,36,1991,Rural regions,male,Yes,0.18647,144,9354,0.17436,0.20101
37,37,1991,Rural regions,male,No,0.81353,839,9354,0.78792,0.84153
