year,ple0053,age_gr,pgisced97,proportion,n,lower_confidence,upper_confidence
1984,Yes,30-45 y.,middle vocational,0.15458579881656806,16099,0.14900140306770232,0.1601701945654338
1984,Yes,46-65 y.,middle vocational,0.1309171597633136,16099,0.12570658662756476,0.13612773289906246
1984,Yes,18-29 y.,middle vocational,0.11908284023668639,16099,0.11407963004791463,0.12408605042545814
1984,Yes,46-65 y.,general elementary,0.09023668639053255,16099,0.08581067629073642,0.09466269649032867
1984,Yes,18-29 y.,general elementary,0.07766272189349112,16099,0.07352836650444683,0.08179707728253541
1984,Yes,66 and older,general elementary,0.0650887573964497,16099,0.06127814476604965,0.06889937002684976
1984,Yes,30-45 y.,general elementary,0.0628698224852071,16099,0.05912028499884256,0.06661935997157165
1984,Yes,66 and older,middle vocational,0.060650887573964495,16099,0.05696375531482106,0.06433801983310793
1984,Yes,46-65 y.,inadequately,0.042899408284023666,16099,0.03976928772896308,0.046029528839084254
1984,Yes,30-45 y.,inadequately,0.03772189349112426,16099,0.034778802658831764,0.04066498432341675
1984,Yes,46-65 y.,higher vocational,0.02514792899408284,16099,0.022729256346783595,0.027566601641382086
1984,Yes,30-45 y.,higher education,0.021449704142011833,16099,0.019211710488609424,0.023687697795414242
1984,Yes,18-29 y.,inadequately,0.01849112426035503,16099,0.016410060457604212,0.02057218806310585
1984,Yes,30-45 y.,higher vocational,0.01849112426035503,16099,0.016410060457604212,0.02057218806310585
1984,Yes,46-65 y.,higher education,0.013313609467455622,16099,0.011543116944940226,0.015084101989971017
1984,Yes,18-29 y.,higher vocational,0.011094674556213017,16099,0.009476627071315793,0.012712722041110241
1984,Yes,30-45 y.,vocational + Abi,0.011094674556213017,16099,0.009476627071315793,0.012712722041110241
1984,Yes,66 and older,higher vocational,0.010355029585798817,16099,0.008791262729494341,0.011918796442103294
1984,Yes,18-29 y.,vocational + Abi,0.006656804733727811,16099,0.005400661421121687,0.007912948046333934
1984,Yes,46-65 y.,vocational + Abi,0.006656804733727811,16099,0.005400661421121687,0.007912948046333934
1984,Yes,18-29 y.,higher education,0.005917159763313609,16099,0.004732415655633639,0.00710190387099358
1984,Yes,66 and older,higher education,0.004437869822485207,16099,0.0034110882054270127,0.005464651439543402
