"ple0053","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Ja","1984","(noch) kein Abschluss","maennlich","59","0.0758827287131024","0.0541814617314774","0.0975839956947275"
"Ja","1984","(noch) kein Abschluss","weiblich","92","0.0970036448369445","0.0752030427902976","0.118804246883591"
"Ja","1984","Hauptschule","maennlich","380","0.118427172016809","0.107716489253114","0.129137854780503"
"Ja","1984","Hauptschule","weiblich","485","0.128681475424645","0.11795431768001","0.13940863316928"
"Ja","1984","Realschule","maennlich","55","0.0710516727892863","0.0530567435990881","0.0890466019794845"
"Ja","1984","Realschule","weiblich","139","0.126020620419576","0.10637280752516","0.145668433313992"
"Ja","1984","(Fach-)Abitur","maennlich","51","0.0785212317217969","0.0553120697955396","0.101730393648054"
"Ja","1984","(Fach-)Abitur","weiblich","34","0.0800200448225976","0.0515542080219063","0.108485881623289"
"Ja","1984","AkademikerIn","maennlich","34","0.0684362547438891","0.0469806044932512","0.0898919049945271"
"Ja","1984","AkademikerIn","weiblich","27","","",""
"Nein","1984","(noch) kein Abschluss","maennlich","513","0.924117271286898","0.902416004305273","0.945818538268523"
"Nein","1984","(noch) kein Abschluss","weiblich","616","0.902996355163056","0.881195753116409","0.924796957209702"
"Nein","1984","Hauptschule","maennlich","3116","0.881572827983191","0.870862145219497","0.892283510746885"
"Nein","1984","Hauptschule","weiblich","3258","0.871318524575355","0.86059136683072","0.88204568231999"
"Nein","1984","Realschule","maennlich","728","0.928948327210714","0.910953398020515","0.946943256400912"
"Nein","1984","Realschule","weiblich","957","0.873979379580424","0.854331566686008","0.89362719247484"
"Nein","1984","(Fach-)Abitur","maennlich","465","0.921478768278203","0.898269606351946","0.94468793020446"
"Nein","1984","(Fach-)Abitur","weiblich","315","0.919979955177402","0.891514118376711","0.948445791978094"
"Nein","1984","AkademikerIn","maennlich","498","0.931563745256111","0.910108095005473","0.953019395506749"
"Nein","1984","AkademikerIn","weiblich","228","0.886307878866516","0.847346394863017","0.925269362870014"
"Ja","1985","(noch) kein Abschluss","maennlich","53","0.0758768007800426","0.0526431605372268","0.0991104410228584"
"Ja","1985","(noch) kein Abschluss","weiblich","80","0.152827712960486","0.123719471578128","0.181935954342843"
"Ja","1985","Hauptschule","maennlich","309","0.10171066023249","0.0911061023650249","0.112315218099954"
"Ja","1985","Hauptschule","weiblich","446","0.131884102395231","0.120344817846065","0.143423386944397"
"Ja","1985","Realschule","maennlich","59","0.0806584097913749","0.0612215680010398","0.10009525158171"
"Ja","1985","Realschule","weiblich","138","0.130790473976496","0.110492838263302","0.15108810968969"
"Ja","1985","(Fach-)Abitur","maennlich","40","0.0862038635992352","0.0606388740349664","0.111768853163504"
"Ja","1985","(Fach-)Abitur","weiblich","44","0.109133365880224","0.0751292136679607","0.143137518092488"
"Ja","1985","AkademikerIn","maennlich","31","0.0688045035734181","0.0467932335664988","0.0908157735803373"
"Ja","1985","AkademikerIn","weiblich","41","0.159225837100895","0.113503651052339","0.204948023149452"
"Nein","1985","(noch) kein Abschluss","maennlich","446","0.924123199219957","0.900889558977142","0.947356839462773"
"Nein","1985","(noch) kein Abschluss","weiblich","507","0.847172287039514","0.818064045657157","0.876280528421871"
"Nein","1985","Hauptschule","maennlich","2812","0.89828933976751","0.887684781900046","0.908893897634975"
"Nein","1985","Hauptschule","weiblich","2857","0.868115897604769","0.856576613055603","0.879655182153934"
"Nein","1985","Realschule","maennlich","695","0.919341590208625","0.89990474841829","0.93877843199896"
"Nein","1985","Realschule","weiblich","922","0.869209526023504","0.84891189031031","0.889507161736698"
"Nein","1985","(Fach-)Abitur","maennlich","423","0.913796136400765","0.888231146836496","0.939361125965034"
"Nein","1985","(Fach-)Abitur","weiblich","279","0.890866634119776","0.856862481907513","0.924870786332039"
"Nein","1985","AkademikerIn","maennlich","477","0.931195496426582","0.909184226419663","0.953206766433501"
"Nein","1985","AkademikerIn","weiblich","205","0.840774162899105","0.795051976850548","0.886496348947661"
"Ja","1986","(noch) kein Abschluss","maennlich","67","0.129541835225523","0.099438603820269","0.159645066630776"
"Ja","1986","(noch) kein Abschluss","weiblich","71","0.115393452132084","0.0886434716413865","0.142143432622781"
"Ja","1986","Hauptschule","maennlich","331","0.116557683132488","0.105022879950393","0.128092486314583"
"Ja","1986","Hauptschule","weiblich","432","0.135298600788309","0.123256090211791","0.147341111364827"
"Ja","1986","Realschule","maennlich","71","0.104212686905694","0.0821690798663089","0.126256293945078"
"Ja","1986","Realschule","weiblich","142","0.147828332038998","0.126142165550852","0.169514498527143"
"Ja","1986","(Fach-)Abitur","maennlich","52","0.101157912809238","0.073867927654926","0.12844789796355"
"Ja","1986","(Fach-)Abitur","weiblich","36","0.0777478267282537","0.049158619457348","0.106337033999159"
"Ja","1986","AkademikerIn","maennlich","40","0.0872912375209093","0.0626487662990341","0.111933708742784"
"Ja","1986","AkademikerIn","weiblich","34","0.148703611212092","0.104060512563743","0.19334670986044"
"Nein","1986","(noch) kein Abschluss","maennlich","411","0.870458164774477","0.840354933369224","0.900561396179731"
"Nein","1986","(noch) kein Abschluss","weiblich","477","0.884606547867916","0.857856567377219","0.911356528358613"
"Nein","1986","Hauptschule","maennlich","2642","0.883442316867512","0.871907513685417","0.894977120049607"
"Nein","1986","Hauptschule","weiblich","2667","0.864701399211691","0.852658888635173","0.876743909788208"
"Nein","1986","Realschule","maennlich","667","0.895787313094306","0.873743706054922","0.917830920133691"
"Nein","1986","Realschule","weiblich","887","0.852171667961003","0.830485501472857","0.873857834449148"
"Nein","1986","(Fach-)Abitur","maennlich","417","0.898842087190762","0.87155210203645","0.926132072345074"
"Nein","1986","(Fach-)Abitur","weiblich","301","0.922252173271746","0.893662966000841","0.950841380542652"
"Nein","1986","AkademikerIn","maennlich","464","0.912708762479091","0.888066291257216","0.937351233700966"
"Nein","1986","AkademikerIn","weiblich","210","0.851296388787908","0.80665329013956","0.895939487436257"
"Ja","1987","(noch) kein Abschluss","maennlich","41","0.062555267275186","0.0402798964192692","0.0848306381311029"
"Ja","1987","(noch) kein Abschluss","weiblich","72","0.146525080912753","0.116917073673844","0.176133088151662"
"Ja","1987","Hauptschule","maennlich","294","0.109541759367515","0.0982561921581145","0.120827326576916"
"Ja","1987","Hauptschule","weiblich","462","0.155855665894696","0.142991452753681","0.168719879035711"
"Ja","1987","Realschule","maennlich","58","0.0794908100970591","0.0600274120656172","0.098954208128501"
"Ja","1987","Realschule","weiblich","134","0.132607545805063","0.111681149461935","0.153533942148191"
"Ja","1987","(Fach-)Abitur","maennlich","34","0.0717232707040392","0.0479882869254106","0.0954582544826679"
"Ja","1987","(Fach-)Abitur","weiblich","41","0.118552232756942","0.0834075546135726","0.153696910900311"
"Ja","1987","AkademikerIn","maennlich","45","0.106028564339701","0.0788517909522984","0.133205337727104"
"Ja","1987","AkademikerIn","weiblich","34","0.148108914018169","0.103900504935324","0.192317323101014"
"Nein","1987","(noch) kein Abschluss","maennlich","413","0.937444732724814","0.915169361868897","0.959720103580731"
"Nein","1987","(noch) kein Abschluss","weiblich","476","0.853474919087247","0.823866911848337","0.883082926326156"
"Nein","1987","Hauptschule","maennlich","2648","0.890458240632485","0.879172673423084","0.901743807841886"
"Nein","1987","Hauptschule","weiblich","2592","0.844144334105304","0.831280120964289","0.857008547246319"
"Nein","1987","Realschule","maennlich","684","0.920509189902941","0.901045791871499","0.939972587934383"
"Nein","1987","Realschule","weiblich","875","0.867392454194937","0.846466057851809","0.888318850538065"
"Nein","1987","(Fach-)Abitur","maennlich","420","0.928276729295961","0.904541745517332","0.952011713074589"
"Nein","1987","(Fach-)Abitur","weiblich","284","0.881447767243058","0.846303089099689","0.916592445386427"
"Nein","1987","AkademikerIn","maennlich","448","0.893971435660299","0.866794662272896","0.921148209047702"
"Nein","1987","AkademikerIn","weiblich","214","0.851891085981831","0.807682676898987","0.896099495064676"
"Ja","1988","(noch) kein Abschluss","maennlich","44","0.08838242409996","0.0604607060716863","0.116304142128234"
"Ja","1988","(noch) kein Abschluss","weiblich","69","0.156061078770104","0.124440075644585","0.187682081895623"
"Ja","1988","Hauptschule","maennlich","306","0.12614190975459","0.113911857492135","0.138371962017046"
"Ja","1988","Hauptschule","weiblich","432","0.151982588314451","0.13889382927481","0.165071347354091"
"Ja","1988","Realschule","maennlich","69","0.0954093363144638","0.0735837982501202","0.117234874378807"
"Ja","1988","Realschule","weiblich","121","0.114693334479359","0.0949730315890287","0.13441363736969"
"Ja","1988","(Fach-)Abitur","maennlich","35","0.0689812525261043","0.045166382612346","0.0927961224398625"
"Ja","1988","(Fach-)Abitur","weiblich","39","0.107650380715058","0.0726365079211968","0.142664253508919"
"Ja","1988","AkademikerIn","maennlich","37","0.0869660496386782","0.0615448859806796","0.112387213296677"
"Ja","1988","AkademikerIn","weiblich","30","0.139975928903367","0.0950380745453762","0.184913783261357"
"Nein","1988","(noch) kein Abschluss","maennlich","353","0.91161757590004","0.883695857871766","0.939539293928314"
"Nein","1988","(noch) kein Abschluss","weiblich","437","0.843938921229896","0.812317918104377","0.875559924355415"
"Nein","1988","Hauptschule","maennlich","2525","0.87385809024541","0.861628037982955","0.886088142507865"
"Nein","1988","Hauptschule","weiblich","2458","0.848017411685549","0.834928652645909","0.86110617072519"
"Nein","1988","Realschule","maennlich","627","0.904590663685536","0.882765125621193","0.92641620174988"
"Nein","1988","Realschule","weiblich","882","0.885306665520641","0.86558636263031","0.905026968410971"
"Nein","1988","(Fach-)Abitur","maennlich","400","0.931018747473896","0.907203877560138","0.954833617387654"
"Nein","1988","(Fach-)Abitur","weiblich","262","0.892349619284942","0.857335746491081","0.927363492078803"
"Nein","1988","AkademikerIn","maennlich","435","0.913033950361322","0.887612786703323","0.93845511401932"
"Nein","1988","AkademikerIn","weiblich","199","0.860024071096633","0.815086216738643","0.904961925454624"
"Ja","1989","(noch) kein Abschluss","maennlich","37","0.0662386794341806","0.0412663315706608","0.0912110272977004"
"Ja","1989","(noch) kein Abschluss","weiblich","71","0.122058440070872","0.0933651862214732","0.15075169392027"
"Ja","1989","Hauptschule","maennlich","289","0.11905854135877","0.106831468233048","0.131285614484492"
"Ja","1989","Hauptschule","weiblich","402","0.146293797002858","0.133156897802735","0.159430696202981"
"Ja","1989","Realschule","maennlich","55","0.0859516980496384","0.0647910021334141","0.107112393965863"
"Ja","1989","Realschule","weiblich","144","0.144801472498671","0.122724315629762","0.166878629367581"
"Ja","1989","(Fach-)Abitur","maennlich","33","0.077347698808068","0.0524712169083108","0.102224180707825"
"Ja","1989","(Fach-)Abitur","weiblich","39","0.122003227113549","0.0854517567771302","0.158554697449968"
"Ja","1989","AkademikerIn","maennlich","29","","",""
"Ja","1989","AkademikerIn","weiblich","22","","",""
"Nein","1989","(noch) kein Abschluss","maennlich","344","0.933761320565819","0.9087889727023","0.958733668429339"
