"ple0081_h","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2002","(noch) kein Abschluss","maennlich","126","0.31115005752165","0.267186730872085","0.355113384171216"
"Ja","2002","(noch) kein Abschluss","weiblich","116","0.244057926961005","0.205752064647102","0.282363789274908"
"Ja","2002","Hauptschule","maennlich","1678","0.38156281239641","0.367036787856065","0.396088836936755"
"Ja","2002","Hauptschule","weiblich","1165","0.240659903644261","0.228331860498243","0.252987946790279"
"Ja","2002","Realschule","maennlich","1049","0.411246492372372","0.392181755955391","0.430311228789352"
"Ja","2002","Realschule","weiblich","1074","0.299826813463377","0.284491158787756","0.315162468138998"
"Ja","2002","(Fach-)Abitur","maennlich","417","0.36050501741734","0.332669506107017","0.388340528727662"
"Ja","2002","(Fach-)Abitur","weiblich","337","0.249043639742818","0.225651992531394","0.272435286954242"
"Ja","2002","AkademikerIn","maennlich","608","0.250112501299472","0.233462636633719","0.266762365965226"
"Ja","2002","AkademikerIn","weiblich","369","0.19338034302616","0.175882148428785","0.210878537623535"
"Nein","2002","(noch) kein Abschluss","maennlich","300","0.68884994247835","0.644886615828784","0.732813269127915"
"Nein","2002","(noch) kein Abschluss","weiblich","367","0.755942073038995","0.717636210725092","0.794247935352898"
"Nein","2002","Hauptschule","maennlich","2618","0.61843718760359","0.603911163063245","0.632963212143935"
"Nein","2002","Hauptschule","weiblich","3454","0.759340096355739","0.747012053209721","0.771668139501757"
"Nein","2002","Realschule","maennlich","1510","0.588753507627628","0.569688771210648","0.607818244044609"
"Nein","2002","Realschule","weiblich","2355","0.700173186536623","0.684837531861002","0.715508841212244"
"Nein","2002","(Fach-)Abitur","maennlich","726","0.63949498258266","0.611659471272338","0.667330493892983"
"Nein","2002","(Fach-)Abitur","weiblich","976","0.750956360257182","0.727564713045758","0.774348007468606"
"Nein","2002","AkademikerIn","maennlich","1991","0.749887498700528","0.733237634034774","0.766537363366281"
"Nein","2002","AkademikerIn","weiblich","1588","0.80661965697384","0.789121462376465","0.824117851571215"
"Ja","2003","(noch) kein Abschluss","maennlich","","","",""
"Ja","2003","(noch) kein Abschluss","weiblich","","","",""
"Ja","2003","Hauptschule","maennlich","","","",""
"Ja","2003","Hauptschule","weiblich","","","",""
"Ja","2003","Realschule","maennlich","","","",""
"Ja","2003","Realschule","weiblich","","","",""
"Ja","2003","(Fach-)Abitur","maennlich","","","",""
"Ja","2003","(Fach-)Abitur","weiblich","","","",""
"Ja","2003","AkademikerIn","maennlich","","","",""
"Ja","2003","AkademikerIn","weiblich","","","",""
"Nein","2003","(noch) kein Abschluss","maennlich","","","",""
"Nein","2003","(noch) kein Abschluss","weiblich","","","",""
"Nein","2003","Hauptschule","maennlich","","","",""
"Nein","2003","Hauptschule","weiblich","","","",""
"Nein","2003","Realschule","maennlich","","","",""
"Nein","2003","Realschule","weiblich","","","",""
"Nein","2003","(Fach-)Abitur","maennlich","","","",""
"Nein","2003","(Fach-)Abitur","weiblich","","","",""
"Nein","2003","AkademikerIn","maennlich","","","",""
"Nein","2003","AkademikerIn","weiblich","","","",""
"Ja","2004","(noch) kein Abschluss","maennlich","129","0.337831107462879","0.292758559136621","0.382903655789136"
"Ja","2004","(noch) kein Abschluss","weiblich","125","0.25204561150777","0.213364180028578","0.290727042986963"
"Ja","2004","Hauptschule","maennlich","1450","0.365253270274863","0.350116329446158","0.380390211103569"
"Ja","2004","Hauptschule","weiblich","1015","0.235072609912861","0.222196058124783","0.24794916170094"
"Ja","2004","Realschule","maennlich","949","0.402644943417415","0.382966521484203","0.422323365350627"
"Ja","2004","Realschule","weiblich","985","0.302977735822456","0.287114957411228","0.318840514233684"
"Ja","2004","(Fach-)Abitur","maennlich","373","0.354047587370333","0.325618402939439","0.382476771801226"
"Ja","2004","(Fach-)Abitur","weiblich","346","0.261361894324378","0.237532473247091","0.285191315401664"
"Ja","2004","AkademikerIn","maennlich","527","0.240120022846376","0.223080157966579","0.257159887726174"
"Ja","2004","AkademikerIn","weiblich","350","0.205638739444748","0.187330075070254","0.223947403819242"
"Nein","2004","(noch) kein Abschluss","maennlich","294","0.662168892537121","0.617096344210864","0.707241440863379"
"Nein","2004","(noch) kein Abschluss","weiblich","359","0.74795438849223","0.709272957013037","0.786635819971422"
"Nein","2004","Hauptschule","maennlich","2437","0.634746729725137","0.619609788896431","0.649883670553842"
"Nein","2004","Hauptschule","weiblich","3151","0.764927390087139","0.75205083829906","0.777803941875217"
"Nein","2004","Realschule","maennlich","1437","0.597355056582585","0.577676634649373","0.617033478515797"
"Nein","2004","Realschule","weiblich","2239","0.697022264177544","0.681159485766316","0.712885042588772"
"Nein","2004","(Fach-)Abitur","maennlich","714","0.645952412629667","0.617523228198774","0.674381597060561"
"Nein","2004","(Fach-)Abitur","weiblich","960","0.738638105675622","0.714808684598336","0.762467526752909"
"Nein","2004","AkademikerIn","maennlich","1887","0.759879977153623","0.742840112273826","0.776919842033421"
"Nein","2004","AkademikerIn","weiblich","1522","0.794361260555252","0.776052596180758","0.812669924929746"
"Ja","2005","(noch) kein Abschluss","maennlich","","","",""
"Ja","2005","(noch) kein Abschluss","weiblich","","","",""
"Ja","2005","Hauptschule","maennlich","","","",""
"Ja","2005","Hauptschule","weiblich","","","",""
"Ja","2005","Realschule","maennlich","","","",""
"Ja","2005","Realschule","weiblich","","","",""
"Ja","2005","(Fach-)Abitur","maennlich","","","",""
"Ja","2005","(Fach-)Abitur","weiblich","","","",""
"Ja","2005","AkademikerIn","maennlich","","","",""
"Ja","2005","AkademikerIn","weiblich","","","",""
"Nein","2005","(noch) kein Abschluss","maennlich","","","",""
"Nein","2005","(noch) kein Abschluss","weiblich","","","",""
"Nein","2005","Hauptschule","maennlich","","","",""
"Nein","2005","Hauptschule","weiblich","","","",""
"Nein","2005","Realschule","maennlich","","","",""
"Nein","2005","Realschule","weiblich","","","",""
"Nein","2005","(Fach-)Abitur","maennlich","","","",""
"Nein","2005","(Fach-)Abitur","weiblich","","","",""
"Nein","2005","AkademikerIn","maennlich","","","",""
"Nein","2005","AkademikerIn","weiblich","","","",""
"Ja","2006","(noch) kein Abschluss","maennlich","102","0.386481124811222","0.33183287220205","0.441129377420393"
"Ja","2006","(noch) kein Abschluss","weiblich","76","0.260698708206542","0.214373357524587","0.307024058888498"
"Ja","2006","Hauptschule","maennlich","1395","0.365461588780305","0.350361614318223","0.380561563242386"
"Ja","2006","Hauptschule","weiblich","1031","0.249365464540869","0.236266960914678","0.262463968167059"
"Ja","2006","Realschule","maennlich","905","0.38730583607951","0.367881395573087","0.406730276585933"
"Ja","2006","Realschule","weiblich","1011","0.316936074068312","0.301130593492517","0.332741554644107"
"Ja","2006","(Fach-)Abitur","maennlich","350","0.340274064201665","0.311778186664921","0.368769941738408"
"Ja","2006","(Fach-)Abitur","weiblich","347","0.251314646432992","0.228503057519687","0.274126235346296"
"Ja","2006","AkademikerIn","maennlich","521","0.224575453219522","0.208375487776344","0.2407754186627"
"Ja","2006","AkademikerIn","weiblich","362","0.200473903048563","0.18303653950325","0.217911266593876"
"Nein","2006","(noch) kein Abschluss","maennlich","203","0.613518875188778","0.558870622579607","0.66816712779795"
"Nein","2006","(noch) kein Abschluss","weiblich","269","0.739301291793458","0.692975941111502","0.785626642475413"
"Nein","2006","Hauptschule","maennlich","2512","0.634538411219695","0.619438436757614","0.649638385681776"
"Nein","2006","Hauptschule","weiblich","3160","0.750634535459131","0.737536031832941","0.763733039085322"
"Nein","2006","Realschule","maennlich","1511","0.61269416392049","0.593269723414067","0.632118604426913"
