year,bula_h,sex,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Schleswig-Holstein,male,No,0.61738,111,111,0.52655,0.70820
1999,Schleswig-Holstein,female,No,0.67300,146,146,0.59664,0.74935
1999,Hamburg,male,No,0.68596,55,55,0.56217,0.80976
1999,Hamburg,female,No,0.76547,63,63,0.66001,0.87094
1999,Lower Saxony,male,Yes,0.07249,38,495,0.04962,0.09536
1999,Lower Saxony,male,No,0.60489,457,495,0.56178,0.64800
1999,Lower Saxony,female,Yes,0.08087,55,532,0.05768,0.10406
1999,Lower Saxony,female,No,0.67003,477,532,0.63004,0.71002
1999,Bremen,male,No,0.79589,34,34,0.65837,0.93340
1999,Bremen,female,No,0.83757,44,44,0.72733,0.94782
1999,North Rhine-Westphalia,male,Yes,0.08427,111,1105,0.06788,0.10065
1999,North Rhine-Westphalia,male,No,0.60732,994,1105,0.57851,0.63613
1999,North Rhine-Westphalia,female,Yes,0.10513,145,1255,0.08816,0.12211
1999,North Rhine-Westphalia,female,No,0.63343,1110,1255,0.60676,0.66010
1999,Hesse,male,No,0.58110,345,345,0.52897,0.63324
1999,Hesse,female,No,0.70926,386,386,0.66390,0.75462
1999,"Rhineland-Palatinate, Saarland",male,No,0.65595,298,298,0.60192,0.70997
1999,"Rhineland-Palatinate, Saarland",female,No,0.69161,346,346,0.64287,0.74034
1999,Baden-Wuerttemberg,male,Yes,0.06152,51,736,0.04415,0.07889
1999,Baden-Wuerttemberg,male,No,0.61575,685,736,0.58059,0.65092
1999,Baden-Wuerttemberg,female,Yes,0.07396,65,816,0.05599,0.09193
1999,Baden-Wuerttemberg,female,No,0.68153,751,816,0.64954,0.71352
1999,Bavaria,male,Yes,0.06760,76,722,0.04928,0.08593
1999,Bavaria,male,No,0.59215,646,722,0.55628,0.62802
1999,Bavaria,female,Yes,0.11662,111,841,0.09491,0.13833
1999,Bavaria,female,No,0.61884,730,841,0.58599,0.65168
1999,Berlin,male,No,0.62801,192,192,0.55946,0.69656
1999,Berlin,female,No,0.73868,233,233,0.68215,0.79522
1999,Brandenburg,male,No,0.72262,250,250,0.66701,0.77823
1999,Brandenburg,female,No,0.79713,295,295,0.75116,0.84310
1999,Mecklenburg-Western Pomerania,male,No,0.76830,171,171,0.70487,0.83172
1999,Mecklenburg-Western Pomerania,female,No,0.72346,183,183,0.65847,0.78844
1999,Saxony,male,Yes,0.05274,37,518,0.03347,0.07201
1999,Saxony,male,No,0.73663,481,518,0.69867,0.77460
1999,Saxony,female,No,0.79169,557,557,0.75794,0.82545
1999,Saxony-Anhalt,male,No,0.79526,300,300,0.74953,0.84100
1999,Saxony-Anhalt,female,No,0.81661,334,334,0.77504,0.85817
1999,Thuringa,male,No,0.74787,319,319,0.70014,0.79560
1999,Thuringa,female,No,0.78942,350,350,0.74665,0.83220
2000,Schleswig-Holstein,male,No,0.60977,240,240,0.54793,0.67162
2000,Schleswig-Holstein,female,No,0.67055,297,297,0.61700,0.72409
2000,Hamburg,male,No,0.64528,102,102,0.55198,0.73859
2000,Hamburg,female,No,0.74471,135,135,0.67088,0.81854
2000,Lower Saxony,male,Yes,0.06388,73,846,0.04739,0.08036
2000,Lower Saxony,male,No,0.61882,773,846,0.58607,0.65157
2000,Lower Saxony,female,Yes,0.07665,92,948,0.05970,0.09359
2000,Lower Saxony,female,No,0.67815,856,948,0.64839,0.70791
2000,Bremen,male,No,0.73377,74,74,0.63238,0.83516
2000,Bremen,female,No,0.76370,91,91,0.67594,0.85147
2000,North Rhine-Westphalia,male,Yes,0.09191,263,2090,0.07952,0.10429
2000,North Rhine-Westphalia,male,No,0.60457,1827,2090,0.58360,0.62554
2000,North Rhine-Westphalia,female,Yes,0.10623,322,2382,0.09385,0.11860
2000,North Rhine-Westphalia,female,No,0.64422,2060,2382,0.62499,0.66345
