,Unnamed: 0,year,pgisced97,quintil_oecd,ple0162,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2012,Primary Level,1st Quintile,Yes,1.0,89,7769,0.76505,1.22253
1,1,2012,Lower Secondary Level,1st Quintile,Yes,0.95048,420,7769,0.85932,1.05017
2,2,2012,Lower Secondary Level,1st Quintile,No,0.04952,34,7769,0.03212,0.07032
3,3,2012,Lower Secondary Level,2nd Quintile,Yes,1.0,237,7769,0.89141,1.11164
4,4,2012,Lower Secondary Level,3rd Quintile,Yes,1.0,169,7769,0.88317,1.12479
5,5,2012,Lower Secondary Level,4th Quintile,Yes,1.0,103,7769,0.84254,1.13142
6,6,2012,Lower Secondary Level,5th Quintile,Yes,1.0,43,7769,0.72525,1.26902
7,7,2012,Upper Secondary Level,1st Quintile,Yes,0.95213,1053,7769,0.89572,1.01163
8,8,2012,Upper Secondary Level,1st Quintile,No,0.04787,69,7769,0.03773,0.06073
9,9,2012,Upper Secondary Level,2nd Quintile,Yes,0.96355,985,7769,0.90299,1.02479
10,10,2012,Upper Secondary Level,2nd Quintile,No,0.03645,49,7769,0.02622,0.04902
11,11,2012,Upper Secondary Level,3rd Quintile,Yes,0.93984,823,7769,0.87594,1.00111
12,12,2012,Upper Secondary Level,3rd Quintile,No,0.06016,56,7769,0.04699,0.07328
13,13,2012,Upper Secondary Level,4th Quintile,Yes,0.91898,661,7769,0.85891,0.98423
14,14,2012,Upper Secondary Level,4th Quintile,No,0.08102,57,7769,0.05964,0.10595
15,15,2012,Upper Secondary Level,5th Quintile,Yes,0.91659,470,7769,0.82517,1.00449
16,16,2012,Upper Secondary Level,5th Quintile,No,0.08341,45,7769,0.06121,0.11246
17,17,2012,Post-secondary Non-tertiary Level,1st Quintile,Yes,1.0,85,7769,0.76591,1.28051
18,18,2012,Post-secondary Non-tertiary Level,2nd Quintile,Yes,1.0,90,7769,0.7437,1.24509
19,19,2012,Post-secondary Non-tertiary Level,3rd Quintile,Yes,1.0,78,7769,0.68311,1.33788
20,20,2012,Post-secondary Non-tertiary Level,4th Quintile,Yes,1.0,77,7769,0.7597,1.24631
21,21,2012,Post-secondary Non-tertiary Level,5th Quintile,Yes,1.0,80,7769,0.80092,1.22573
22,22,2012,First Stage of Tertiary Education,1st Quintile,Yes,1.0,73,7769,0.78642,1.20799
23,23,2012,First Stage of Tertiary Education,2nd Quintile,Yes,1.0,121,7769,0.82653,1.17735
24,24,2012,First Stage of Tertiary Education,3rd Quintile,Yes,1.0,120,7769,0.83146,1.16717
