year,age_gr,bula_h,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,Schleswig-Holstein,Vocational training,0.31774,34,34,0.15888,0.47660
2014,17-29 y.,Lower Saxony,General education,0.19873,62,219,0.14576,0.25170
2014,17-29 y.,Lower Saxony,University/ Technical university,0.35142,68,219,0.28805,0.41480
2014,17-29 y.,Lower Saxony,Vocational training,0.42387,89,219,0.35827,0.48947
2014,17-29 y.,North Rhine-Westphalia,General education,0.21464,131,493,0.17836,0.25091
2014,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.48479,189,493,0.44063,0.52895
2014,17-29 y.,North Rhine-Westphalia,Vocational training,0.26811,173,493,0.22897,0.30725
2014,17-29 y.,Hesse,General education,0.20332,45,164,0.14153,0.26510
2014,17-29 y.,Hesse,University/ Technical university,0.50308,73,164,0.42633,0.57984
2014,17-29 y.,Hesse,Vocational training,0.25397,46,164,0.18715,0.32079
2014,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.39127,35,94,0.29208,0.49046
2014,17-29 y.,"Rhineland-Palatinate, Saarland",Vocational training,0.39852,59,94,0.29902,0.49803
2014,17-29 y.,Baden-Wuerttemberg,General education,0.16350,69,255,0.11802,0.20898
2014,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.38229,82,255,0.32252,0.44205
2014,17-29 y.,Baden-Wuerttemberg,Vocational training,0.42028,104,255,0.35957,0.48098
2014,17-29 y.,Bavaria,General education,0.14782,91,366,0.11141,0.18423
2014,17-29 y.,Bavaria,University/ Technical university,0.47978,134,366,0.42853,0.53103
2014,17-29 y.,Bavaria,Vocational training,0.29796,141,366,0.25104,0.34488
2014,17-29 y.,Berlin,University/ Technical university,0.61320,46,46,0.47091,0.75550
2014,17-29 y.,Brandenburg,Vocational training,0.61876,36,36,0.45785,0.77967
2014,17-29 y.,Saxony,University/ Technical university,0.26958,31,77,0.16981,0.36934
2014,17-29 y.,Saxony,Vocational training,0.56303,46,77,0.45151,0.67454
2014,17-29 y.,Saxony-Anhalt,University/ Technical university,0.61616,31,31,0.44213,0.79019
2014,30-45 y.,North Rhine-Westphalia,University/ Technical university,0.43760,35,75,0.32457,0.55063
2014,30-45 y.,North Rhine-Westphalia,Further training/ Retraining,0.41685,40,75,0.30452,0.52919
2015,17-29 y.,Lower Saxony,General education,0.19214,49,211,0.13885,0.24543
2015,17-29 y.,Lower Saxony,University/ Technical university,0.35264,67,211,0.28801,0.41726
2015,17-29 y.,Lower Saxony,Vocational training,0.43461,95,211,0.36756,0.50165
2015,17-29 y.,North Rhine-Westphalia,General education,0.15674,107,468,0.12377,0.18972
2015,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.41737,195,468,0.37265,0.46210
2015,17-29 y.,North Rhine-Westphalia,Vocational training,0.34800,166,468,0.30480,0.39121
2015,17-29 y.,Hesse,General education,0.13786,35,149,0.08231,0.19340
2015,17-29 y.,Hesse,University/ Technical university,0.55137,67,149,0.47124,0.63149
2015,17-29 y.,Hesse,Vocational training,0.30303,47,149,0.22899,0.37707
2015,17-29 y.,"Rhineland-Palatinate, Saarland",General education,0.19165,32,121,0.12122,0.26207
2015,17-29 y.,"Rhineland-Palatinate, Saarland",University/ Technical university,0.33522,37,121,0.25076,0.41969
2015,17-29 y.,"Rhineland-Palatinate, Saarland",Vocational training,0.38534,52,121,0.29827,0.47242
2015,17-29 y.,Baden-Wuerttemberg,General education,0.24675,68,248,0.19298,0.30051
2015,17-29 y.,Baden-Wuerttemberg,University/ Technical university,0.40959,97,248,0.34826,0.47092
2015,17-29 y.,Baden-Wuerttemberg,Vocational training,0.32094,83,248,0.26272,0.37916
2015,17-29 y.,Bavaria,General education,0.11319,59,325,0.07869,0.14769
2015,17-29 y.,Bavaria,University/ Technical university,0.48781,134,325,0.43338,0.54224
2015,17-29 y.,Bavaria,Vocational training,0.33206,132,325,0.28078,0.38334
2015,17-29 y.,Berlin,University/ Technical university,0.43880,35,35,0.27199,0.60560
2015,17-29 y.,Brandenburg,Vocational training,0.62801,32,32,0.45787,0.79816
2015,17-29 y.,Saxony,University/ Technical university,0.34657,31,69,0.23346,0.45968
2015,17-29 y.,Saxony,Vocational training,0.52311,38,69,0.40440,0.64183
2015,30-45 y.,North Rhine-Westphalia,Further training/ Retraining,0.55512,37,37,0.39278,0.71746
2016,17-29 y.,Schleswig-Holstein,Vocational training,0.31095,34,34,0.15301,0.46888
2016,17-29 y.,Lower Saxony,General education,0.14139,41,236,0.09684,0.18593
2016,17-29 y.,Lower Saxony,University/ Technical university,0.40771,79,236,0.34488,0.47054
2016,17-29 y.,Lower Saxony,Vocational training,0.40823,116,236,0.34539,0.47107
2016,17-29 y.,North Rhine-Westphalia,General education,0.17631,126,476,0.14204,0.21058
2016,17-29 y.,North Rhine-Westphalia,University/ Technical university,0.41972,174,476,0.37534,0.46410
