,Unnamed: 0,year,age_gr,plh0033,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,17-29 y.,Very concerned,0.21236,798,12006,0.20109,0.22162
1,1,1984,17-29 y.,Somewhat concerned,0.49052,1632,12006,0.47683,0.5019
2,2,1984,17-29 y.,Not concerned at all,0.29713,959,12006,0.28647,0.30644
3,3,1984,30-45 y.,Very concerned,0.19677,840,12006,0.18884,0.20465
4,4,1984,30-45 y.,Somewhat concerned,0.44976,1723,12006,0.43946,0.46098
5,5,1984,30-45 y.,Not concerned at all,0.35347,1300,12006,0.34215,0.36191
6,6,1984,46-65 y.,Very concerned,0.196,742,12006,0.18841,0.20442
7,7,1984,46-65 y.,Somewhat concerned,0.41378,1471,12006,0.403,0.42395
8,8,1984,46-65 y.,Not concerned at all,0.39022,1296,12006,0.38158,0.39925
9,9,1984,66 and older,Very concerned,0.10512,132,12006,0.10003,0.10971
10,10,1984,66 and older,Somewhat concerned,0.30022,376,12006,0.29342,0.3071
11,11,1984,66 and older,Not concerned at all,0.59467,737,12006,0.58419,0.60671
12,12,1985,17-29 y.,Very concerned,0.2053,699,10857,0.19536,0.21456
13,13,1985,17-29 y.,Somewhat concerned,0.49969,1532,10857,0.48701,0.51293
14,14,1985,17-29 y.,Not concerned at all,0.29501,875,10857,0.28655,0.30585
15,15,1985,30-45 y.,Very concerned,0.18521,701,10857,0.17773,0.19372
16,16,1985,30-45 y.,Somewhat concerned,0.47409,1636,10857,0.45937,0.4836
17,17,1985,30-45 y.,Not concerned at all,0.3407,1102,10857,0.32852,0.3534
18,18,1985,46-65 y.,Very concerned,0.20232,688,10857,0.19428,0.21067
19,19,1985,46-65 y.,Somewhat concerned,0.41817,1370,10857,0.40628,0.42828
20,20,1985,46-65 y.,Not concerned at all,0.37951,1177,10857,0.36959,0.38838
21,21,1985,66 and older,Very concerned,0.13504,143,10857,0.13016,0.14117
22,22,1985,66 and older,Somewhat concerned,0.31386,329,10857,0.30555,0.32289
23,23,1985,66 and older,Not concerned at all,0.5511,605,10857,0.53677,0.56403
24,24,1986,17-29 y.,Very concerned,0.18946,626,10411,0.1808,0.20012
25,25,1986,17-29 y.,Somewhat concerned,0.47723,1411,10411,0.46434,0.49344
26,26,1986,17-29 y.,Not concerned at all,0.33331,977,10411,0.31995,0.34555
27,27,1986,30-45 y.,Very concerned,0.16568,577,10411,0.15687,0.17385
28,28,1986,30-45 y.,Somewhat concerned,0.43741,1446,10411,0.42382,0.45097
29,29,1986,30-45 y.,Not concerned at all,0.3969,1206,10411,0.38542,0.40672
30,30,1986,46-65 y.,Very concerned,0.15867,579,10411,0.1499,0.16728
31,31,1986,46-65 y.,Somewhat concerned,0.40096,1273,10411,0.38956,0.41317
32,32,1986,46-65 y.,Not concerned at all,0.44037,1316,10411,0.4287,0.44996
33,33,1986,66 and older,Very concerned,0.0871,87,10411,0.08062,0.09272
34,34,1986,66 and older,Somewhat concerned,0.25142,260,10411,0.24111,0.26262
35,35,1986,66 and older,Not concerned at all,0.66148,653,10411,0.64406,0.67867
36,36,1987,17-29 y.,Very concerned,0.18896,601,10285,0.17993,0.19972
37,37,1987,17-29 y.,Somewhat concerned,0.51776,1520,10285,0.49683,0.53611
38,38,1987,17-29 y.,Not concerned at all,0.29327,849,10285,0.28032,0.30642
39,39,1987,30-45 y.,Very concerned,0.15608,524,10285,0.1483,0.16524
40,40,1987,30-45 y.,Somewhat concerned,0.48496,1514,10285,0.47069,0.49949
41,41,1987,30-45 y.,Not concerned at all,0.35896,1092,10285,0.34652,0.37325
42,42,1987,46-65 y.,Very concerned,0.16532,575,10285,0.15584,0.17362
43,43,1987,46-65 y.,Somewhat concerned,0.44642,1413,10285,0.43442,0.45838
44,44,1987,46-65 y.,Not concerned at all,0.38826,1160,10285,0.37799,0.3997
45,45,1987,66 and older,Very concerned,0.07482,82,10285,0.06818,0.08146
46,46,1987,66 and older,Somewhat concerned,0.27465,290,10285,0.26149,0.2859
47,47,1987,66 and older,Not concerned at all,0.65053,665,10285,0.63453,0.66688
48,48,1988,17-29 y.,Very concerned,0.16871,564,9836,0.15861,0.18132
49,49,1988,17-29 y.,Somewhat concerned,0.52643,1459,9836,0.51159,0.54803
50,50,1988,17-29 y.,Not concerned at all,0.30486,819,9836,0.29012,0.31869
51,51,1988,30-45 y.,Very concerned,0.15887,502,9836,0.14925,0.16871
