"plh0033","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Einige Sorgen","1985","(Fach-)Abitur","Laendlicher Raum","49","0.425484755904373","0.333507725767241","0.517461786041505"
"Einige Sorgen","1985","(Fach-)Abitur","Staedtischer Raum","288","0.429291571527472","0.39192343277171","0.466659710283234"
"Einige Sorgen","1985","(noch) kein Abschluss","Laendlicher Raum","52","0.378841846419802","0.298198088295088","0.459485604544516"
"Einige Sorgen","1985","(noch) kein Abschluss","Staedtischer Raum","416","0.440303005001226","0.408225063601731","0.47238094640072"
"Einige Sorgen","1985","AkademikerIn","Laendlicher Raum","39","0.304479500218094","0.222143177928457","0.386815822507731"
"Einige Sorgen","1985","AkademikerIn","Staedtischer Raum","222","0.321198925518946","0.284650167543908","0.357747683493984"
"Einige Sorgen","1985","Hauptschule","Laendlicher Raum","748","0.463634539647547","0.438728422673356","0.488540656621738"
"Einige Sorgen","1985","Hauptschule","Staedtischer Raum","2139","0.431599349661854","0.417586050618463","0.445612648705245"
"Einige Sorgen","1985","Realschule","Laendlicher Raum","188","0.455829044617497","0.407263743640316","0.504394345594679"
"Einige Sorgen","1985","Realschule","Staedtischer Raum","664","0.473712978964049","0.447445261896282","0.499980696031816"
"Grosse Sorgen","1985","(Fach-)Abitur","Laendlicher Raum","27","","",""
"Grosse Sorgen","1985","(Fach-)Abitur","Staedtischer Raum","160","0.201867909320679","0.171564661897099","0.23217115674426"
"Grosse Sorgen","1985","(noch) kein Abschluss","Laendlicher Raum","41","0.310571841161422","0.2336470655544","0.387496616768445"
"Grosse Sorgen","1985","(noch) kein Abschluss","Staedtischer Raum","235","0.228453515703601","0.201324493025346","0.255582538381856"
"Grosse Sorgen","1985","AkademikerIn","Laendlicher Raum","11","","",""
"Grosse Sorgen","1985","AkademikerIn","Staedtischer Raum","70","0.110665770447944","0.0861100047616862","0.135221536134202"
"Grosse Sorgen","1985","Hauptschule","Laendlicher Raum","348","0.217760899155631","0.197147603066201","0.238374195245061"
"Grosse Sorgen","1985","Hauptschule","Staedtischer Raum","1045","0.200068287318194","0.188749802296876","0.211386772339512"
"Grosse Sorgen","1985","Realschule","Laendlicher Raum","58","0.139313872824423","0.105548076796814","0.173079668852032"
"Grosse Sorgen","1985","Realschule","Staedtischer Raum","207","0.143214984759197","0.124786759185693","0.161643210332702"
"Keine Sorgen","1985","(Fach-)Abitur","Laendlicher Raum","35","0.353885790088639","0.264930289071013","0.442841291106264"
"Keine Sorgen","1985","(Fach-)Abitur","Staedtischer Raum","226","0.368840519151849","0.332414894322422","0.405266143981276"
"Keine Sorgen","1985","(noch) kein Abschluss","Laendlicher Raum","46","0.310586312418775","0.233660552015064","0.387512072822486"
"Keine Sorgen","1985","(noch) kein Abschluss","Staedtischer Raum","269","0.331243479295173","0.300830297285315","0.361656661305032"
"Keine Sorgen","1985","AkademikerIn","Laendlicher Raum","70","0.612107931744972","0.524925912997921","0.699289950492023"
"Keine Sorgen","1985","AkademikerIn","Staedtischer Raum","335","0.56813530403311","0.529363673938158","0.606906934128063"
"Keine Sorgen","1985","Hauptschule","Laendlicher Raum","444","0.318604561196822","0.295333652826114","0.34187546956753"
"Keine Sorgen","1985","Hauptschule","Staedtischer Raum","1615","0.368332363019952","0.354685370012561","0.381979356027343"
"Keine Sorgen","1985","Realschule","Laendlicher Raum","158","0.40485708255808","0.356991988808151","0.452722176308008"
"Keine Sorgen","1985","Realschule","Staedtischer Raum","517","0.383072036276753","0.357497320780178","0.408646751773328"
"Einige Sorgen","1986","(Fach-)Abitur","Laendlicher Raum","57","0.431146903060506","0.342539467646789","0.519754338474222"
"Einige Sorgen","1986","(Fach-)Abitur","Staedtischer Raum","293","0.424265795692204","0.387200474732205","0.461331116652203"
"Einige Sorgen","1986","(noch) kein Abschluss","Laendlicher Raum","53","0.428695952429481","0.341590449932483","0.515801454926479"
"Einige Sorgen","1986","(noch) kein Abschluss","Staedtischer Raum","389","0.396662863292744","0.364504938830511","0.428820787754976"
"Einige Sorgen","1986","AkademikerIn","Laendlicher Raum","40","0.279334822170485","0.200364018708561","0.358305625632409"
"Einige Sorgen","1986","AkademikerIn","Staedtischer Raum","215","0.330892580049853","0.293825002588278","0.367960157511428"
"Einige Sorgen","1986","Hauptschule","Laendlicher Raum","650","0.445429854232852","0.419705681367124","0.47115402709858"
"Einige Sorgen","1986","Hauptschule","Staedtischer Raum","1884","0.392275000753883","0.378072362308051","0.406477639199714"
"Einige Sorgen","1986","Realschule","Laendlicher Raum","167","0.434420087013325","0.384712996090086","0.484127177936564"
"Einige Sorgen","1986","Realschule","Staedtischer Raum","582","0.408136045867223","0.382024508028487","0.434247583705959"
"Grosse Sorgen","1986","(Fach-)Abitur","Laendlicher Raum","19","","",""
"Grosse Sorgen","1986","(Fach-)Abitur","Staedtischer Raum","135","0.156143921198629","0.128921015952401","0.183366826444857"
"Grosse Sorgen","1986","(noch) kein Abschluss","Laendlicher Raum","27","","",""
"Grosse Sorgen","1986","(noch) kein Abschluss","Staedtischer Raum","215","0.206183867796848","0.179589815898525","0.232777919695172"
"Grosse Sorgen","1986","AkademikerIn","Laendlicher Raum","7","","",""
"Grosse Sorgen","1986","AkademikerIn","Staedtischer Raum","64","0.0950849225280133","0.0719769146361335","0.118192930419893"
"Grosse Sorgen","1986","Hauptschule","Laendlicher Raum","295","0.194991569701066","0.174485536920823","0.21549760248131"
"Grosse Sorgen","1986","Hauptschule","Staedtischer Raum","859","0.165483577707384","0.154673842414082","0.176293313000687"
"Grosse Sorgen","1986","Realschule","Laendlicher Raum","61","0.151790233237276","0.115807847236033","0.187772619238519"
"Grosse Sorgen","1986","Realschule","Staedtischer Raum","154","0.106958212457054","0.0905386346121413","0.123377790301966"
"Keine Sorgen","1986","(Fach-)Abitur","Laendlicher Raum","44","0.403906248878379","0.3161142295072","0.491698268249559"
"Keine Sorgen","1986","(Fach-)Abitur","Staedtischer Raum","255","0.419590283109167","0.382580393683043","0.456600172535291"
"Keine Sorgen","1986","(noch) kein Abschluss","Laendlicher Raum","44","0.36718614531176","0.282342683406164","0.452029607217357"
"Keine Sorgen","1986","(noch) kein Abschluss","Staedtischer Raum","285","0.397153268910408","0.364988551775801","0.429317986045015"
"Keine Sorgen","1986","AkademikerIn","Laendlicher Raum","77","0.664070381469534","0.58093833875756","0.747202424181508"
"Keine Sorgen","1986","AkademikerIn","Staedtischer Raum","340","0.574022497422133","0.535067735453614","0.612977259390653"
"Keine Sorgen","1986","Hauptschule","Laendlicher Raum","489","0.359578576066082","0.334741335405338","0.384415816726825"
"Keine Sorgen","1986","Hauptschule","Staedtischer Raum","1797","0.442241421538733","0.42779457689545","0.456688266182016"
"Keine Sorgen","1986","Realschule","Laendlicher Raum","154","0.413789679749399","0.364400368827969","0.463178990670828"
"Keine Sorgen","1986","Realschule","Staedtischer Raum","625","0.484905741675723","0.458354120318228","0.511457363033219"
"Einige Sorgen","1987","(Fach-)Abitur","Laendlicher Raum","53","0.470282928075775","0.376150815628653","0.564415040522896"
"Einige Sorgen","1987","(Fach-)Abitur","Staedtischer Raum","310","0.467963831036948","0.430039843864058","0.505887818209837"
"Einige Sorgen","1987","(noch) kein Abschluss","Laendlicher Raum","49","0.340445717323713","0.255307643519359","0.425583791128067"
"Einige Sorgen","1987","(noch) kein Abschluss","Staedtischer Raum","404","0.430548193070018","0.397550816697026","0.46354556944301"
"Einige Sorgen","1987","AkademikerIn","Laendlicher Raum","40","0.296214958615792","0.214860957901736","0.377568959329848"
"Einige Sorgen","1987","AkademikerIn","Staedtischer Raum","214","0.329795250337559","0.29260836073734","0.366982139937778"
"Einige Sorgen","1987","Hauptschule","Laendlicher Raum","696","0.476301166365497","0.450296888874937","0.502305443856057"
"Einige Sorgen","1987","Hauptschule","Staedtischer Raum","2089","0.448275589986463","0.433733945373763","0.462817234599163"
"Einige Sorgen","1987","Realschule","Laendlicher Raum","188","0.452769716110489","0.403743966226401","0.501795465994578"
"Einige Sorgen","1987","Realschule","Staedtischer Raum","632","0.450898642282314","0.424247027643648","0.477550256920979"
"Grosse Sorgen","1987","(Fach-)Abitur","Laendlicher Raum","17","","",""
"Grosse Sorgen","1987","(Fach-)Abitur","Staedtischer Raum","124","0.147765375837417","0.120793994026926","0.174736757647908"
"Grosse Sorgen","1987","(noch) kein Abschluss","Laendlicher Raum","20","","",""
"Grosse Sorgen","1987","(noch) kein Abschluss","Staedtischer Raum","225","0.248587020649409","0.219785288436493","0.277388752862325"
"Grosse Sorgen","1987","AkademikerIn","Laendlicher Raum","8","","",""
"Grosse Sorgen","1987","AkademikerIn","Staedtischer Raum","63","0.100204417846364","0.0764535617489199","0.123955273943809"
"Grosse Sorgen","1987","Hauptschule","Laendlicher Raum","244","0.165295017940293","0.145954880738662","0.184635155141925"
"Grosse Sorgen","1987","Hauptschule","Staedtischer Raum","834","0.165516383041036","0.154649392656732","0.17638337342534"
"Grosse Sorgen","1987","Realschule","Laendlicher Raum","56","0.136131312250147","0.102355688363137","0.169906936137158"
"Grosse Sorgen","1987","Realschule","Staedtischer Raum","156","0.113016966877653","0.0960584728604697","0.129975460894836"
"Keine Sorgen","1987","(Fach-)Abitur","Laendlicher Raum","38","0.392962314101019","0.300849618573654","0.485075009628384"
"Keine Sorgen","1987","(Fach-)Abitur","Staedtischer Raum","231","0.384270793125635","0.347300675352603","0.421240910898667"
