year,pgisced97,sampreg,plh0033,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,West,Very concerned,0.17766,33,183,0.12213,0.23319
1984,Pre-primary Level,West,Somewhat concerned,0.50275,93,183,0.43011,0.57539
1984,Pre-primary Level,West,Not concerned at all,0.31959,57,183,0.25184,0.38734
1984,Primary Level,West,Very concerned,0.30340,309,984,0.27466,0.33214
1984,Primary Level,West,Somewhat concerned,0.39406,382,984,0.36351,0.42460
1984,Primary Level,West,Not concerned at all,0.30254,293,984,0.27382,0.33126
1984,Lower Secondary Level,West,Very concerned,0.20785,795,3413,0.19424,0.22147
1984,Lower Secondary Level,West,Somewhat concerned,0.42136,1497,3413,0.40479,0.43793
1984,Lower Secondary Level,West,Not concerned at all,0.37079,1121,3413,0.35458,0.38700
1984,Upper Secondary Level,West,Very concerned,0.17938,1086,5631,0.16936,0.18940
1984,Upper Secondary Level,West,Somewhat concerned,0.43837,2545,5631,0.42541,0.45133
1984,Upper Secondary Level,West,Not concerned at all,0.38225,2000,5631,0.36956,0.39495
1984,Post-secondary Non-tertiary Level,West,Very concerned,0.13878,60,306,0.09998,0.17758
1984,Post-secondary Non-tertiary Level,West,Somewhat concerned,0.45715,138,306,0.40124,0.51306
1984,Post-secondary Non-tertiary Level,West,Not concerned at all,0.40407,108,306,0.34899,0.45914
1984,First Stage of Tertiary Education,West,Very concerned,0.18157,114,647,0.15185,0.21130
1984,First Stage of Tertiary Education,West,Somewhat concerned,0.40648,274,647,0.36860,0.44436
1984,First Stage of Tertiary Education,West,Not concerned at all,0.41195,259,647,0.37399,0.44990
1984,Second Stage of Tertiary Education,West,Very concerned,0.10161,86,779,0.08038,0.12284
1984,Second Stage of Tertiary Education,West,Somewhat concerned,0.31462,252,779,0.28199,0.34725
1984,Second Stage of Tertiary Education,West,Not concerned at all,0.58377,441,779,0.54913,0.61841
1985,No answer / don't know,West,Somewhat concerned,0.46064,48,86,0.35467,0.56660
1985,No answer / don't know,West,Not concerned at all,0.34644,38,86,0.24528,0.44760
1985,Pre-primary Level,West,Somewhat concerned,0.43797,85,155,0.35961,0.51633
1985,Pre-primary Level,West,Not concerned at all,0.39866,70,155,0.32133,0.47599
1985,Primary Level,West,Very concerned,0.31284,231,810,0.28089,0.34479
1985,Primary Level,West,Somewhat concerned,0.42371,352,810,0.38966,0.45776
1985,Primary Level,West,Not concerned at all,0.26345,227,810,0.23310,0.29381
1985,Lower Secondary Level,West,Very concerned,0.21062,688,3005,0.19604,0.22520
1985,Lower Secondary Level,West,Somewhat concerned,0.43531,1377,3005,0.41758,0.45304
1985,Lower Secondary Level,West,Not concerned at all,0.35407,940,3005,0.33697,0.37117
1985,Upper Secondary Level,West,Very concerned,0.18926,1034,5114,0.17852,0.20000
1985,Upper Secondary Level,West,Somewhat concerned,0.45362,2365,5114,0.43997,0.46726
1985,Upper Secondary Level,West,Not concerned at all,0.35712,1715,5114,0.34399,0.37026
1985,Post-secondary Non-tertiary Level,West,Very concerned,0.17348,63,274,0.12856,0.21840
1985,Post-secondary Non-tertiary Level,West,Somewhat concerned,0.42866,111,274,0.36996,0.48737
1985,Post-secondary Non-tertiary Level,West,Not concerned at all,0.39785,100,274,0.33979,0.45591
1985,First Stage of Tertiary Education,West,Very concerned,0.13049,82,614,0.10382,0.15715
1985,First Stage of Tertiary Education,West,Somewhat concerned,0.43380,268,614,0.39457,0.47304
1985,First Stage of Tertiary Education,West,Not concerned at all,0.43571,264,614,0.39646,0.47496
1985,Second Stage of Tertiary Education,West,Very concerned,0.10570,81,747,0.08364,0.12777
1985,Second Stage of Tertiary Education,West,Somewhat concerned,0.31826,261,747,0.28484,0.35169
1985,Second Stage of Tertiary Education,West,Not concerned at all,0.57603,405,747,0.54057,0.61150
1986,No answer / don't know,West,Somewhat concerned,0.58008,51,85,0.47454,0.68563
1986,No answer / don't know,West,Not concerned at all,0.24519,34,85,0.15319,0.33719
1986,Pre-primary Level,West,Somewhat concerned,0.36857,72,159,0.29335,0.44379
1986,Pre-primary Level,West,Not concerned at all,0.48407,87,159,0.40615,0.56200
1986,Primary Level,West,Very concerned,0.24773,202,768,0.21718,0.27828
1986,Primary Level,West,Somewhat concerned,0.45183,350,768,0.41661,0.48705
1986,Primary Level,West,Not concerned at all,0.30044,216,768,0.26800,0.33289
1986,Lower Secondary Level,West,Very concerned,0.17370,573,2848,0.15979,0.18762
1986,Lower Secondary Level,West,Somewhat concerned,0.41536,1236,2848,0.39726,0.43346
1986,Lower Secondary Level,West,Not concerned at all,0.41094,1039,2848,0.39286,0.42901
1986,Upper Secondary Level,West,Very concerned,0.15892,854,4915,0.14869,0.16914
1986,Upper Secondary Level,West,Somewhat concerned,0.40693,2083,4915,0.39319,0.42066
1986,Upper Secondary Level,West,Not concerned at all,0.43416,1978,4915,0.42030,0.44801
1986,Post-secondary Non-tertiary Level,West,Very concerned,0.09400,45,273,0.05932,0.12868
1986,Post-secondary Non-tertiary Level,West,Somewhat concerned,0.44505,122,273,0.38599,0.50411
1986,Post-secondary Non-tertiary Level,West,Not concerned at all,0.46095,106,273,0.40171,0.52019
