"plh0035","year","bula_h","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Grosse Sorgen","1999","Schleswig-Holstein","Westdeutschland","40","0.14589735295615","0.107280727941497","0.184513977970804"
"Grosse Sorgen","1999","Schleswig-Holstein","Ostdeutschland","","","",""
"Grosse Sorgen","1999","Hamburg","Westdeutschland","22","","",""
"Grosse Sorgen","1999","Hamburg","Ostdeutschland","","","",""
"Grosse Sorgen","1999","Niedersachsen","Westdeutschland","193","","",""
"Grosse Sorgen","1999","Niedersachsen","Ostdeutschland","","","",""
"Grosse Sorgen","1999","Bremen","Westdeutschland","33","0.465312872534268","0.360500907668899","0.570124837399637"
"Grosse Sorgen","1999","Bremen","Ostdeutschland","","","",""
"Grosse Sorgen","1999","Nordrhein-Westfalen","Westdeutschland","529","0.19903652239923","0.183925583534229","0.21414746126423"
"Grosse Sorgen","1999","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Grosse Sorgen","1999","Hessen","Westdeutschland","176","","",""
"Grosse Sorgen","1999","Hessen","Ostdeutschland","","","",""
"Grosse Sorgen","1999","Rheinland-Pfalz,Saarland","Westdeutschland","133","","",""
"Grosse Sorgen","1999","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Grosse Sorgen","1999","Baden-Wuerttemberg","Westdeutschland","358","0.208903287863293","0.189713645199442","0.228092930527145"
"Grosse Sorgen","1999","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Grosse Sorgen","1999","Bayern","Westdeutschland","321","0.202717304564348","0.184082883083274","0.221351726045421"
"Grosse Sorgen","1999","Bayern","Ostdeutschland","","","",""
"Grosse Sorgen","1999","Saarland","Westdeutschland","","","",""
"Grosse Sorgen","1999","Saarland","Ostdeutschland","","","",""
"Grosse Sorgen","1999","Berlin","Westdeutschland","59","0.224763436644243","0.176637507712654","0.272889365575831"
"Grosse Sorgen","1999","Berlin","Ostdeutschland","27","","",""
"Grosse Sorgen","1999","Brandenburg","Westdeutschland","","","",""
"Grosse Sorgen","1999","Brandenburg","Ostdeutschland","138","","",""
"Grosse Sorgen","1999","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Grosse Sorgen","1999","Mecklenburg-Vorpommern","Ostdeutschland","74","0.210389731882307","0.170447092526694","0.25033237123792"
"Grosse Sorgen","1999","Sachsen","Westdeutschland","","","",""
"Grosse Sorgen","1999","Sachsen","Ostdeutschland","229","","",""
"Grosse Sorgen","1999","Sachsen-Anhalt","Westdeutschland","","","",""
"Grosse Sorgen","1999","Sachsen-Anhalt","Ostdeutschland","160","","",""
"Grosse Sorgen","1999","Thueringen","Westdeutschland","","","",""
"Grosse Sorgen","1999","Thueringen","Ostdeutschland","166","","",""
"Einige Sorgen","1999","Schleswig-Holstein","Westdeutschland","141","","",""
"Einige Sorgen","1999","Schleswig-Holstein","Ostdeutschland","","","",""
"Einige Sorgen","1999","Hamburg","Westdeutschland","65","0.460304964191254","0.37744633732644","0.543163591056067"
"Einige Sorgen","1999","Hamburg","Ostdeutschland","","","",""
"Einige Sorgen","1999","Niedersachsen","Westdeutschland","570","0.487256371918012","0.458554248474512","0.515958495361512"
"Einige Sorgen","1999","Niedersachsen","Ostdeutschland","","","",""
"Einige Sorgen","1999","Bremen","Westdeutschland","27","","",""
"Einige Sorgen","1999","Bremen","Ostdeutschland","","","",""
"Einige Sorgen","1999","Nordrhein-Westfalen","Westdeutschland","1243","","",""
"Einige Sorgen","1999","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Einige Sorgen","1999","Hessen","Westdeutschland","408","0.467597592073357","0.434872679112931","0.500322505033782"
"Einige Sorgen","1999","Hessen","Ostdeutschland","","","",""
"Einige Sorgen","1999","Rheinland-Pfalz,Saarland","Westdeutschland","377","0.509100116090176","0.473766915101086","0.544433317079266"
"Einige Sorgen","1999","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Einige Sorgen","1999","Baden-Wuerttemberg","Westdeutschland","778","0.476757113219208","0.453180592359353","0.500333634079063"
"Einige Sorgen","1999","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Einige Sorgen","1999","Bayern","Westdeutschland","861","0.489246567801086","0.466076149489872","0.512416986112299"
"Einige Sorgen","1999","Bayern","Ostdeutschland","","","",""
"Einige Sorgen","1999","Saarland","Westdeutschland","","","",""
"Einige Sorgen","1999","Saarland","Ostdeutschland","","","",""
"Einige Sorgen","1999","Berlin","Westdeutschland","126","","",""
"Einige Sorgen","1999","Berlin","Ostdeutschland","133","","",""
"Einige Sorgen","1999","Brandenburg","Westdeutschland","","","",""
"Einige Sorgen","1999","Brandenburg","Ostdeutschland","332","0.561374473848383","0.521536408217036","0.60121253947973"
"Einige Sorgen","1999","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Einige Sorgen","1999","Mecklenburg-Vorpommern","Ostdeutschland","219","","",""
"Einige Sorgen","1999","Sachsen","Westdeutschland","","","",""
"Einige Sorgen","1999","Sachsen","Ostdeutschland","616","0.53272083169361","0.503897214632958","0.561544448754262"
"Einige Sorgen","1999","Sachsen-Anhalt","Westdeutschland","","","",""
"Einige Sorgen","1999","Sachsen-Anhalt","Ostdeutschland","359","0.515696975147426","0.478408087483501","0.552985862811351"
"Einige Sorgen","1999","Thueringen","Westdeutschland","","","",""
"Einige Sorgen","1999","Thueringen","Ostdeutschland","389","0.530698984583149","0.494195380606698","0.5672025885596"
"Keine Sorgen","1999","Schleswig-Holstein","Westdeutschland","140","","",""
"Keine Sorgen","1999","Schleswig-Holstein","Ostdeutschland","","","",""
"Keine Sorgen","1999","Hamburg","Westdeutschland","52","0.333369289909056","0.254999958041917","0.411738621776194"
"Keine Sorgen","1999","Hamburg","Ostdeutschland","","","",""
"Keine Sorgen","1999","Niedersachsen","Westdeutschland","402","0.338154994866195","0.310989277401301","0.36532071233109"
"Keine Sorgen","1999","Niedersachsen","Ostdeutschland","","","",""
