year,plh0036,regtyp,sex,proportion,n,lower_confidence,upper_confidence
1985,Very concerned,Urban regions,female,0.4057668198913498,14443,0.3977584508095005,0.41377518897319904
1985,Very concerned,Urban regions,male,0.38842457166736316,14443,0.3804756955688806,0.3963734477658457
1985,Very concerned,Rural regions,female,0.10321771834517342,14443,0.09825581840088349,0.10817961828946335
1985,Very concerned,Rural regions,male,0.10259089009611366,14443,0.09764235104755646,0.10753942914467086
1985,Somewhat concerned,Urban regions,female,0.39187774754029725,14443,0.3839161885920865,0.399839306488508
1985,Somewhat concerned,Urban regions,male,0.3837136277998744,14443,0.37578273171094095,0.3916445238888078
1985,Somewhat concerned,Rural regions,female,0.11722838601632823,14443,0.11198190702114176,0.12247486501151471
1985,Somewhat concerned,Rural regions,male,0.10718023864350011,14443,0.10213517530836887,0.11222530197863136
1985,Not concerned at all,Urban regions,female,0.4107485604606526,14443,0.4027250260993958,0.4187720948219094
1985,Not concerned at all,Urban regions,male,0.3886756238003839,14443,0.3807258115053494,0.3966254360954184
1985,Not concerned at all,Rural regions,female,0.10844529750479846,14443,0.10337414436685177,0.11351645064274515
1985,Not concerned at all,Rural regions,male,0.09213051823416507,14443,0.087413790244776,0.09684724622355415
1986,Very concerned,Urban regions,female,0.4067956583294007,13742,0.39858228782415717,0.4150090288346442
1986,Very concerned,Urban regions,male,0.38933459178857954,13742,0.38118202707233323,0.39748715650482586
1986,Very concerned,Rural regions,female,0.10594620103822558,13742,0.10080036884077746,0.1110920332356737
1986,Very concerned,Rural regions,male,0.09792354884379424,13742,0.09295423593628983,0.10289286175129865
1986,Somewhat concerned,Urban regions,male,0.39153108051731333,13742,0.38337026762915033,0.39969189340547634
1986,Somewhat concerned,Urban regions,female,0.3900709219858156,13742,0.3819155728732242,0.398226271098407
1986,Somewhat concerned,Rural regions,female,0.1113892365456821,13742,0.10612896095761114,0.11664951213375306
1986,Somewhat concerned,Rural regions,male,0.10700876095118898,13742,0.10184026279083261,0.11217725911154536
1986,Not concerned at all,Urban regions,female,0.3856152512998267,13742,0.3774770502714042,0.3937534523282492
1986,Not concerned at all,Urban regions,male,0.378682842287695,13742,0.3705727539118842,0.3867929306635058
1986,Not concerned at all,Rural regions,female,0.12045060658578856,13742,0.11500851668699778,0.12589269648457935
1986,Not concerned at all,Rural regions,male,0.11525129982668977,13742,0.10991224990127424,0.12059034975210531
1987,Very concerned,Urban regions,female,0.4024851431658563,13496,0.39421138509631437,0.41075890123539827
1987,Very concerned,Urban regions,male,0.38825859895551956,13496,0.38003621004170035,0.3964809878693388
1987,Very concerned,Rural regions,female,0.11003061408247794,13496,0.10475105275827064,0.11531017540668524
1987,Very concerned,Rural regions,male,0.09922564379614622,13496,0.09418166205003334,0.1042696255422591
1987,Somewhat concerned,Urban regions,male,0.40005232862375717,13496,0.3917868382597211,0.40831781898779324
1987,Somewhat concerned,Urban regions,female,0.38644688644688646,13496,0.37823156568161104,0.3946622072121619
1987,Somewhat concerned,Rural regions,male,0.10989010989010989,13496,0.1046135040514335,0.11516671572878627
