year,migback,sex,plh0037,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,male,Very concerned,0.2620786123716372,1922,17929,0.26191445732679974,0.2622427674164747
2009,No migration background,male,Somewhat concerned,0.5373254351753908,4061,17929,0.5371393165197496,0.537511553831032
2009,No migration background,male,Not concerned at all,0.20059595245297204,1491,17929,0.2004464743253881,0.200745430580556
2009,No migration background,female,Very concerned,0.3058194215140846,2417,17929,0.3056507506379775,0.3059880923901917
2009,No migration background,female,Somewhat concerned,0.5618278432194044,4632,17929,0.5616462099677854,0.5620094764710234
2009,No migration background,female,Not concerned at all,0.13235273526651106,1058,17929,0.1322286816580385,0.13247678887498363
2009,Direct migration background,male,Very concerned,0.29579793226390627,224,17929,0.2953425491584991,0.29625331536931343
2009,Direct migration background,male,Somewhat concerned,0.5248766319392374,389,17929,0.5243783644930126,0.5253748993854622
2009,Direct migration background,male,Not concerned at all,0.1793254357968564,140,17929,0.1789426664654433,0.1797082051282695
2009,Direct migration background,female,Very concerned,0.2889846093232418,252,17929,0.28856110231071413,0.2894081163357695
2009,Direct migration background,female,Somewhat concerned,0.5668095321666283,501,17929,0.5663465739817659,0.5672724903514907
2009,Direct migration background,female,Not concerned at all,0.1442058585101299,140,17929,0.14387764242961532,0.1445340745906445
2009,Indirect migration background,male,Very concerned,0.22088935177957875,89,17929,0.22026150033969752,0.22151720321945997
2009,Indirect migration background,male,Somewhat concerned,0.5913998928015695,180,17929,0.5906559153158739,0.592143870287265
2009,Indirect migration background,male,Not concerned at all,0.1877107554188518,69,17929,0.18711977939137808,0.1883017314463255
2009,Indirect migration background,female,Very concerned,0.29323883893654185,112,17929,0.2925516141095473,0.2939260637635364
2009,Indirect migration background,female,Somewhat concerned,0.568397912170423,204,17929,0.5676502252857464,0.5691455990550996
2009,Indirect migration background,female,Not concerned at all,0.1383632488930351,48,17929,0.13784202509078677,0.13888447269528345
2010,No migration background,male,Very concerned,0.26708052494141044,2322,23860,0.2669150903230304,0.26724595955979047
2010,No migration background,male,Somewhat concerned,0.5168523863840716,4778,23860,0.5166655332723218,0.5170392394958214
2010,No migration background,male,Not concerned at all,0.21606708867451802,1966,23860,0.21591319849321347,0.21622097885582256
2010,No migration background,female,Very concerned,0.31297283251544294,3302,23860,0.31280257040971227,0.3131430946211736
2010,No migration background,female,Somewhat concerned,0.536964802790049,5894,23860,0.5367817157360497,0.5371478898440483
2010,No migration background,female,Not concerned at all,0.15006236469450798,1575,23860,0.1499312331587183,0.15019349623029765
2010,Direct migration background,male,Very concerned,0.2984506743695848,354,23860,0.2980170259833038,0.29888432275586574
2010,Direct migration background,male,Somewhat concerned,0.49447754587233117,653,23860,0.49400372317630825,0.4949513685683541
2010,Direct migration background,male,Not concerned at all,0.20707177975808408,301,23860,0.20668776338457004,0.20745579613159812
2010,Direct migration background,female,Very concerned,0.3190577096239036,488,23860,0.3186457018012311,0.31946971744657615
2010,Direct migration background,female,Somewhat concerned,0.5378148062400971,850,23860,0.5373741092562379,0.5382555032239564
2010,Direct migration background,female,Not concerned at all,0.14312748413599932,276,23860,0.14281793092595846,0.14343703734604019
2010,Indirect migration background,male,Very concerned,0.2890613972255451,150,23860,0.288326344447623,0.28979645000346715
2010,Indirect migration background,male,Somewhat concerned,0.4978276037251184,244,23860,0.4970168791618779,0.4986383282883589
2010,Indirect migration background,male,Not concerned at all,0.21311099904933642,103,23860,0.21244700055253202,0.21377499754614082
2010,Indirect migration background,female,Very concerned,0.3550163105039998,219,23860,0.3542135757701307,0.3558190452378689
2010,Indirect migration background,female,Somewhat concerned,0.514476640901313,304,23860,0.5136382212849382,0.5153150605176877
2010,Indirect migration background,female,Not concerned at all,0.13050704859468734,81,23860,0.12994195087764673,0.13107214631172795
2011,No migration background,male,Very concerned,0.26535537613001337,2276,20474,0.2651815013384245,0.26552925092160223
2011,No migration background,male,Somewhat concerned,0.5338661105523493,4452,20474,0.533669658965835,0.5340625621388637
2011,No migration background,male,Not concerned at all,0.20077851331763735,1696,20474,0.2006207608297138,0.2009362658055609
2011,No migration background,female,Very concerned,0.3295890186285325,3012,20474,0.3294067911381713,0.32977124611889375
2011,No migration background,female,Somewhat concerned,0.5410042655270412,5087,20474,0.5408110857603678,0.5411974452937145
2011,No migration background,female,Not concerned at all,0.12940671584442634,1197,20474,0.1292765961508567,0.12953683553799597
2011,Direct migration background,male,Very concerned,0.23447378851123038,233,20474,0.2340215475051995,0.23492602951726127
2011,Direct migration background,male,Somewhat concerned,0.5794662674679163,476,20474,0.5789393322155643,0.5799932027202683
2011,Direct migration background,male,Not concerned at all,0.18605994402085332,170,20474,0.18564454505658431,0.18647534298512233
2011,Direct migration background,female,Very concerned,0.29140119296755906,330,20474,0.2909512841313179,0.29185110180380025
2011,Direct migration background,female,Somewhat concerned,0.5535838927051353,591,20474,0.5530916941863693,0.5540760912239013
2011,Direct migration background,female,Not concerned at all,0.15501491432730558,172,20474,0.15465657876105493,0.15537324989355622
2011,Indirect migration background,male,Very concerned,0.2501526898172767,100,20474,0.24938550677022753,0.2509198728643258
2011,Indirect migration background,male,Somewhat concerned,0.5579653313253051,190,20474,0.5570856167983296,0.5588450458522807
2011,Indirect migration background,male,Not concerned at all,0.1918819788574182,81,20474,0.19118444630501727,0.19257951140981913
2011,Indirect migration background,female,Very concerned,0.3568462848802243,138,20474,0.3559479560791041,0.35774461368134447
2011,Indirect migration background,female,Somewhat concerned,0.54971768180483,230,20474,0.5487847505511662,0.5506506130584939
2011,Indirect migration background,female,Not concerned at all,0.09343603331494561,43,20474,0.09289028328836288,0.09398178334152835
2012,No migration background,male,Very concerned,0.250789639738899,2053,20374,0.25061921920490937,0.25096006027288864
2012,No migration background,male,Somewhat concerned,0.5214878453848233,4468,20374,0.5212914488499812,0.5216842419196653
2012,No migration background,male,Not concerned at all,0.22772251487627762,1851,20374,0.22755763983725313,0.2278873899153021
2012,No migration background,female,Very concerned,0.3059949764007748,2808,20374,0.3058165980550613,0.30617335474648827
2012,No migration background,female,Somewhat concerned,0.5527673490127538,5140,20374,0.552574888508709,0.5529598095167987
2012,No migration background,female,Not concerned at all,0.14123767458647138,1315,20374,0.14110286665417165,0.1413724825187711
2012,Direct migration background,male,Very concerned,0.2679743841710238,222,20374,0.2675253629090834,0.2684234054329642
2012,Direct migration background,male,Somewhat concerned,0.5078346514271613,443,20374,0.507327808012351,0.5083414948419717
2012,Direct migration background,male,Not concerned at all,0.22419096440181485,208,20374,0.22376815601313604,0.22461377279049366
2012,Direct migration background,female,Very concerned,0.2912647805263226,314,20374,0.29082797796030146,0.29170158309234373
2012,Direct migration background,female,Somewhat concerned,0.545845061868543,595,20374,0.5453663922095487,0.5463237315275372
2012,Direct migration background,female,Not concerned at all,0.1628901576051344,185,20374,0.16253514985617004,0.16324516535409875
2012,Indirect migration background,male,Very concerned,0.19603654967676057,78,20374,0.19534541967875652,0.19672767967476462
2012,Indirect migration background,male,Somewhat concerned,0.5525775710178384,194,20374,0.5517119484550178,0.5534431935806591
2012,Indirect migration background,male,Not concerned at all,0.25138587930540107,95,20374,0.25063066099184744,0.2521410976189547
2012,Indirect migration background,female,Very concerned,0.3163680259558541,124,20374,0.3155104114530091,0.3172256404586991
2012,Indirect migration background,female,Somewhat concerned,0.49832368914303937,214,20374,0.49740164395762776,0.499245734328451
2012,Indirect migration background,female,Not concerned at all,0.18530828490110648,67,20374,0.18459176425465398,0.18602480554755899
2013,No migration background,male,Very concerned,0.23187669491466104,1778,18762,0.23170926338140638,0.2320441264479157
2013,No migration background,male,Somewhat concerned,0.5199844065342748,4101,18762,0.5197862008681523,0.5201826122003973
2013,No migration background,male,Not concerned at all,0.24813889855106408,1844,18762,0.24796753854613887,0.2483102585559893
2013,No migration background,female,Very concerned,0.28169236488320715,2426,18762,0.2815175079456144,0.2818672218207999
2013,No migration background,female,Somewhat concerned,0.5555359489149485,4805,18762,0.5553427901176348,0.5557291077122622
2013,No migration background,female,Not concerned at all,0.1627716862018444,1406,18762,0.16262818634312104,0.16291518606056776
2013,Direct migration background,male,Very concerned,0.24496222217135424,165,18762,0.24440477769846541,0.24551966664424307
2013,Direct migration background,male,Somewhat concerned,0.5176437212704823,385,18762,0.5169960313184946,0.51829141122247
2013,Direct migration background,male,Not concerned at all,0.23739405655816356,185,18762,0.2368425473982184,0.23794556571810874
2013,Direct migration background,female,Very concerned,0.2629437844596912,255,18762,0.26240889686962054,0.26347867204976183
2013,Direct migration background,female,Somewhat concerned,0.5504981649390469,525,18762,0.5498937649703582,0.5511025649077356
2013,Direct migration background,female,Not concerned at all,0.18655805060126188,192,18762,0.1860847347588718,0.18703136644365195
2013,Indirect migration background,male,Very concerned,0.24748429295120453,85,18762,0.24654341621098882,0.24842516969142023
2013,Indirect migration background,male,Somewhat concerned,0.4386108285603961,149,18762,0.4375289641913322,0.43969269292946006
2013,Indirect migration background,male,Not concerned at all,0.31390487848839943,100,18762,0.31289308396228577,0.3149166730145131
2013,Indirect migration background,female,Very concerned,0.31057905277178255,114,18762,0.3095286083925876,0.3116294971509775
2013,Indirect migration background,female,Somewhat concerned,0.5361591968203133,193,18762,0.5350271194775134,0.5372912741631133
2013,Indirect migration background,female,Not concerned at all,0.1532617504079041,54,18762,0.15244397090028236,0.15407952991552584
2014,No migration background,male,Very concerned,0.24341665278789115,2299,26928,0.24325281976038224,0.24358048581540007
2014,No migration background,male,Somewhat concerned,0.522527461119981,4810,26928,0.5223367716622107,0.5227181505777514
2014,No migration background,male,Not concerned at all,0.23405588609212782,2124,26928,0.23389424333488368,0.23421752884937197
2014,No migration background,female,Very concerned,0.3036486214574554,3317,26928,0.30347787136634435,0.3038193715485665
2014,No migration background,female,Somewhat concerned,0.5497398881708765,5907,26928,0.5495551437084292,0.5499246326333238
2014,No migration background,female,Not concerned at all,0.14661149037166815,1598,26928,0.14648014388299294,0.14674283686034337
2014,Direct migration background,male,Very concerned,0.24514862411708815,555,26928,0.24475663062889602,0.2455406176052803
2014,Direct migration background,male,Somewhat concerned,0.5064309974017919,1168,26928,0.5059754144380673,0.5068865803655165
2014,Direct migration background,male,Not concerned at all,0.24842037848111992,613,26928,0.24802663397734234,0.2488141229848975
2014,Direct migration background,female,Very concerned,0.28999494657467867,754,26928,0.28959143311159546,0.2903984600377619
2014,Direct migration background,female,Somewhat concerned,0.5201924657419902,1554,26928,0.5197481950595085,0.5206367364244718
2014,Direct migration background,female,Not concerned at all,0.18981258768333129,521,26928,0.1894638592609242,0.19016131610573836
2014,Indirect migration background,male,Very concerned,0.24584833786502197,218,26928,0.24521200876298344,0.2464846669670605
2014,Indirect migration background,male,Somewhat concerned,0.49481096240004835,373,26928,0.4940720968519984,0.4955498279480983
2014,Indirect migration background,male,Not concerned at all,0.2593406997349297,211,26928,0.25869301541861983,0.25998838405123953
2014,Indirect migration background,female,Very concerned,0.30637556437162844,292,26928,0.3056437168268524,0.3071074119164045
2014,Indirect migration background,female,Somewhat concerned,0.5313332045160543,466,26928,0.5305409824459633,0.5321254265861453
2014,Indirect migration background,female,Not concerned at all,0.16229123111231736,148,26928,0.16170586790183558,0.16287659432279913
2015,No migration background,male,Very concerned,0.23833561591077884,2088,24855,0.2381728165006098,0.23849841532094787
2015,No migration background,male,Somewhat concerned,0.5400939679031117,4708,24855,0.5399035333521938,0.5402844024540296
2015,No migration background,male,Not concerned at all,0.2215704161861094,1901,24855,0.2214117289182594,0.2217291034539594
2015,No migration background,female,Very concerned,0.29441991642328624,3017,24855,0.294250078976876,0.2945897538696965
2015,No migration background,female,Somewhat concerned,0.5624753301682175,5737,24855,0.5622904758012911,0.5626601845351439
2015,No migration background,female,Not concerned at all,0.14310475340849615,1475,24855,0.1429742663026412,0.1432352405143511
2015,Direct migration background,male,Very concerned,0.219672420926217,413,24855,0.2192759761230345,0.2200688657293995
2015,Direct migration background,male,Somewhat concerned,0.5191816712149804,1004,24855,0.5187032541457578,0.519660088284203
2015,Direct migration background,male,Not concerned at all,0.26114590785880254,550,24855,0.26072529994781124,0.26156651576979384
2015,Direct migration background,female,Very concerned,0.2784360439867989,595,24855,0.2780226792643925,0.27884940870920527
2015,Direct migration background,female,Somewhat concerned,0.5277400604918353,1315,24855,0.5272796620426258,0.5282004589410448
2015,Direct migration background,female,Not concerned at all,0.19382389552136578,499,24855,0.1934593498994611,0.19418844114327047
2015,Indirect migration background,male,Very concerned,0.21413406864403461,172,24855,0.21352063832545304,0.2147474989626162
2015,Indirect migration background,male,Somewhat concerned,0.5081260613390464,351,24855,0.5073784760219618,0.5088736466561309
2015,Indirect migration background,male,Not concerned at all,0.277739870016919,196,24855,0.27707011795929876,0.2784096220745393
2015,Indirect migration background,female,Very concerned,0.2958754215193124,270,24855,0.2951551291139803,0.2965957139246445
2015,Indirect migration background,female,Somewhat concerned,0.5280125865037222,421,24855,0.5272247846742751,0.5288003883331692
2015,Indirect migration background,female,Not concerned at all,0.1761119919769654,143,24855,0.1755108761065674,0.17671310784736338
2016,No migration background,male,Very concerned,0.2852017055660294,2317,24034,0.285029360132701,0.2853740509993578
2016,No migration background,male,Somewhat concerned,0.5138340817291864,4267,24034,0.5136433004853707,0.5140248629730022
2016,No migration background,male,Not concerned at all,0.20096421270478418,1567,24034,0.20081125391251523,0.20111717149705313
2016,No migration background,female,Very concerned,0.34325279238653117,3249,24034,0.3430757032015651,0.34342988157149723
2016,No migration background,female,Somewhat concerned,0.5298044790494235,5148,24034,0.5296183205202813,0.5299906375785657
2016,No migration background,female,Not concerned at all,0.1269427285640453,1179,24034,0.12681856014155296,0.12706689698653761
2016,Direct migration background,male,Very concerned,0.2615179605720682,531,24034,0.26112548863459417,0.26191043250954227
2016,Direct migration background,male,Somewhat concerned,0.48795319187396624,1099,24034,0.48750678405430387,0.4883995996936286
2016,Direct migration background,male,Not concerned at all,0.2505288475539656,543,24034,0.2501418624830382,0.250915832624893
2016,Direct migration background,female,Very concerned,0.28820639713846624,754,24034,0.28781445770455516,0.2885983365723773
2016,Direct migration background,female,Somewhat concerned,0.5314491255156577,1405,24034,0.5310173089119007,0.5318809421194147
2016,Direct migration background,female,Not concerned at all,0.18034447734587605,510,24034,0.18001177395968415,0.18067718073206795
2016,Indirect migration background,male,Very concerned,0.2532023361274177,169,24034,0.2525796988491395,0.25382497340569593
2016,Indirect migration background,male,Somewhat concerned,0.49764059204443256,332,24034,0.49692467128044987,0.49835651280841525
2016,Indirect migration background,male,Not concerned at all,0.24915707182814972,177,24034,0.24853775775918163,0.24977638589711781
2016,Indirect migration background,female,Very concerned,0.2798019913571283,260,24034,0.27912815975987654,0.28047582295438006
2016,Indirect migration background,female,Somewhat concerned,0.5472570298525264,409,24034,0.5465098562056606,0.5480042034993923
2016,Indirect migration background,female,Not concerned at all,0.17294097879034517,118,24034,0.17237328097721208,0.17350867660347827
2017,No migration background,male,Very concerned,0.3268810926126834,3087,26371,0.3267025160166556,0.32705966920871116
2017,No migration background,male,Somewhat concerned,0.506765427466714,4757,26371,0.5065750945120505,0.5069557604213776
2017,No migration background,male,Not concerned at all,0.16635347992060262,1495,26371,0.16621170785699454,0.1664952519842107
2017,No migration background,female,Very concerned,0.39826845266067135,4246,26371,0.398084946640209,0.3984519586811337
2017,No migration background,female,Somewhat concerned,0.49760154186887284,5394,26371,0.4974141175329046,0.4977889662048411
2017,No migration background,female,Not concerned at all,0.10413000547045585,1069,26371,0.10401551445314966,0.10424449648776205
2017,Direct migration background,male,Very concerned,0.29211296245761686,593,26371,0.2917024191472623,0.2925235057679714
2017,Direct migration background,male,Somewhat concerned,0.492194838068325,1007,26371,0.49174348264168116,0.4926461934949688
2017,Direct migration background,male,Not concerned at all,0.21569219947405807,483,26371,0.21532086773447892,0.21606353121363722
2017,Direct migration background,female,Very concerned,0.3345826168520063,841,26371,0.33418327015774063,0.33498196354627197
2017,Direct migration background,female,Somewhat concerned,0.49471119043813044,1326,26371,0.49428803780938085,0.49513434306688003
2017,Direct migration background,female,Not concerned at all,0.17070619270986326,446,26371,0.1703877508254307,0.17102463459429582
2017,Indirect migration background,male,Very concerned,0.29100398447162534,231,26371,0.2903698664121882,0.2916381025310625
2017,Indirect migration background,male,Somewhat concerned,0.49774435144238033,347,26371,0.4970463371071729,0.49844236577758777
2017,Indirect migration background,male,Not concerned at all,0.21125166408599425,180,26371,0.21068180424278468,0.2118215239292038
2017,Indirect migration background,female,Very concerned,0.34759128496851394,330,26371,0.3468930746979961,0.3482894952390318
2017,Indirect migration background,female,Somewhat concerned,0.5042077084212803,416,26371,0.5034746365726555,0.5049407802699051
