"plh0040","year","alter_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Große Sorgen","1994","16-34 J.","Schleswig-Holstein","47","0.442952578674471","0.347484952779384","0.538420204569558"
"Große Sorgen","1994","16-34 J.","Hamburg","","","",""
"Große Sorgen","1994","16-34 J.","Niedersachsen","169","0.407130571253364","0.357602823779911","0.456658318726817"
"Große Sorgen","1994","16-34 J.","Bremen","","","",""
"Große Sorgen","1994","16-34 J.","Nordrhein-Westfalen","424","0.423276141911087","0.391245116124709","0.455307167697464"
"Große Sorgen","1994","16-34 J.","Hessen","151","0.420719059779813","0.368089413133367","0.473348706426259"
"Große Sorgen","1994","16-34 J.","Rheinland-Pfalz,Saarland","122","0.493091110636056","0.429970947889835","0.556211273382278"
"Große Sorgen","1994","16-34 J.","Baden-Württemberg","320","0.42381266370286","0.38811185918485","0.459513468220871"
"Große Sorgen","1994","16-34 J.","Bayern","241","0.378962639433233","0.340929240014286","0.41699603885218"
"Große Sorgen","1994","16-34 J.","Saarland","","","",""
"Große Sorgen","1994","16-34 J.","Berlin","120","0.599419312718246","0.530287203740825","0.668551421695668"
"Große Sorgen","1994","16-34 J.","Brandenburg","116","0.623002997035512","0.554273142587934","0.691732851483089"
"Große Sorgen","1994","16-34 J.","Mecklenburg-Vorpommern","81","0.590798528491119","0.509059591253092","0.672537465729146"
"Große Sorgen","1994","16-34 J.","Sachsen","234","0.622083368542923","0.573139339915786","0.671027397170061"
"Große Sorgen","1994","16-34 J.","Sachsen-Anhalt","146","0.611873602264902","0.549030220085905","0.674716984443899"
"Große Sorgen","1994","16-34 J.","Thüringen","145","0.587068850911489","0.524647597951299","0.649490103871679"
"Große Sorgen","1994","35-65 J.","Schleswig-Holstein","73","0.560515770827616","0.480008106169597","0.641023435485636"
"Große Sorgen","1994","35-65 J.","Hamburg","32","0.516677583340606","0.397020346814459","0.636334819866753"
"Große Sorgen","1994","35-65 J.","Niedersachsen","274","0.591589328444431","0.546912707241606","0.636265949647255"
"Große Sorgen","1994","35-65 J.","Bremen","","","",""
"Große Sorgen","1994","35-65 J.","Nordrhein-Westfalen","712","0.578725514129681","0.55141862892167","0.606032399337693"
"Große Sorgen","1994","35-65 J.","Hessen","268","0.58266850020698","0.537800113538466","0.627536886875495"
"Große Sorgen","1994","35-65 J.","Rheinland-Pfalz,Saarland","178","0.606717942030326","0.550881220348174","0.662554663712479"
"Große Sorgen","1994","35-65 J.","Baden-Württemberg","398","0.502574938690153","0.468205925444492","0.536943951935813"
"Große Sorgen","1994","35-65 J.","Bayern","323","0.454798257553336","0.419326054246428","0.490270460860244"
"Große Sorgen","1994","35-65 J.","Saarland","","","",""
"Große Sorgen","1994","35-65 J.","Berlin","206","0.664351681590813","0.611269036389827","0.717434326791798"
"Große Sorgen","1994","35-65 J.","Brandenburg","277","0.820916785723517","0.780398983698003","0.861434587749031"
"Große Sorgen","1994","35-65 J.","Mecklenburg-Vorpommern","190","0.809694338456971","0.760541177200683","0.858847499713259"
"Große Sorgen","1994","35-65 J.","Sachsen","486","0.809072753367965","0.77808560609191","0.840059900644021"
"Große Sorgen","1994","35-65 J.","Sachsen-Anhalt","312","0.824842233413664","0.787499448844874","0.862185017982454"
"Große Sorgen","1994","35-65 J.","Thüringen","259","0.774964498591508","0.73115161878551","0.818777378397506"
"Große Sorgen","1994","66 und älter","Schleswig-Holstein","","","",""
"Große Sorgen","1994","66 und älter","Hamburg","","","",""
"Große Sorgen","1994","66 und älter","Niedersachsen","80","0.693810950394777","0.610294781762169","0.777327119027386"
"Große Sorgen","1994","66 und älter","Bremen","","","",""
"Große Sorgen","1994","66 und älter","Nordrhein-Westfalen","187","0.710125538474594","0.655907413503757","0.764343663445431"
"Große Sorgen","1994","66 und älter","Hessen","73","0.69282046047285","0.605410143094777","0.780230777850924"
"Große Sorgen","1994","66 und älter","Rheinland-Pfalz,Saarland","64","0.644214164436473","0.548445829586114","0.739982499286832"
"Große Sorgen","1994","66 und älter","Baden-Württemberg","116","0.681955562633161","0.613151561032526","0.750759564233796"
"Große Sorgen","1994","66 und älter","Bayern","106","0.554910849933341","0.484614530202292","0.62520716966439"
"Große Sorgen","1994","66 und älter","Saarland","","","",""
"Große Sorgen","1994","66 und älter","Berlin","39","0.756709177528967","0.638951192207736","0.874467162850197"
"Große Sorgen","1994","66 und älter","Brandenburg","62","0.885834234309794","0.810798571587791","0.960869897031796"
"Große Sorgen","1994","66 und älter","Mecklenburg-Vorpommern","","","",""
"Große Sorgen","1994","66 und älter","Sachsen","113","0.86767033147737","0.809644893210587","0.925695769744153"
"Große Sorgen","1994","66 und älter","Sachsen-Anhalt","59","0.797308786373909","0.704452228773508","0.89016534397431"
"Große Sorgen","1994","66 und älter","Thüringen","60","0.778940864305508","0.684395833203404","0.873485895407612"
"Einige Sorgen","1994","16-34 J.","Schleswig-Holstein","49","0.46828222291719","0.372380624168607","0.564183821665772"
"Einige Sorgen","1994","16-34 J.","Hamburg","","","",""
"Einige Sorgen","1994","16-34 J.","Niedersachsen","183","0.525696325872241","0.475358099855301","0.576034551889182"
"Einige Sorgen","1994","16-34 J.","Bremen","","","",""
"Einige Sorgen","1994","16-34 J.","Nordrhein-Westfalen","436","0.515873648826827","0.48347506505982","0.548272232593834"
"Einige Sorgen","1994","16-34 J.","Hessen","166","0.487651281838268","0.434363547815246","0.54093901586129"
"Einige Sorgen","1994","16-34 J.","Rheinland-Pfalz,Saarland","109","0.450396294568458","0.387581520764124","0.513211068372792"
"Einige Sorgen","1994","16-34 J.","Baden-Württemberg","363","0.51865580509271","0.482558342528281","0.554753267657139"
"Einige Sorgen","1994","16-34 J.","Bayern","313","0.509507617827542","0.47031542559931","0.548699810055774"
"Einige Sorgen","1994","16-34 J.","Saarland","","","",""
"Einige Sorgen","1994","16-34 J.","Berlin","66","0.367956875326473","0.299920486675824","0.435993263977122"
"Einige Sorgen","1994","16-34 J.","Brandenburg","68","0.332137079633762","0.265343648283984","0.39893051098354"
"Einige Sorgen","1994","16-34 J.","Mecklenburg-Vorpommern","56","0.395450749030046","0.314167185368382","0.47673431269171"
"Einige Sorgen","1994","16-34 J.","Sachsen","135","0.34964375694979","0.301508204366293","0.397779309533287"
"Einige Sorgen","1994","16-34 J.","Sachsen-Anhalt","79","0.362531429181343","0.300538191092661","0.424524667270026"
"Einige Sorgen","1994","16-34 J.","Thüringen","88","0.394593237010281","0.332628074446739","0.456558399573824"
"Einige Sorgen","1994","35-65 J.","Schleswig-Holstein","67","0.407054970278085","0.327364679661352","0.486745260894818"
"Einige Sorgen","1994","35-65 J.","Hamburg","32","0.468137121111072","0.348656610566479","0.587617631655664"
"Einige Sorgen","1994","35-65 J.","Niedersachsen","180","0.383606787954983","0.339409697516409","0.427803878393558"
"Einige Sorgen","1994","35-65 J.","Bremen","","","",""
"Einige Sorgen","1994","35-65 J.","Nordrhein-Westfalen","493","0.389128924142284","0.362165514543998","0.416092333740569"
"Einige Sorgen","1994","35-65 J.","Hessen","179","0.396137603626617","0.351635439732256","0.440639767520978"
"Einige Sorgen","1994","35-65 J.","Rheinland-Pfalz,Saarland","111","0.378781851017971","0.323333188567197","0.434230513468745"
"Einige Sorgen","1994","35-65 J.","Baden-Württemberg","377","0.458718163565867","0.424466039088226","0.492970288043508"
"Einige Sorgen","1994","35-65 J.","Bayern","367","0.466771219591501","0.431231910762813","0.50231052842019"
"Einige Sorgen","1994","35-65 J.","Saarland","","","",""
"Einige Sorgen","1994","35-65 J.","Berlin","87","0.30698008283091","0.255131217480263","0.358828948181557"
"Einige Sorgen","1994","35-65 J.","Brandenburg","65","0.173559203238137","0.133537223526908","0.213581182949367"
"Einige Sorgen","1994","35-65 J.","Mecklenburg-Vorpommern","54","0.187433536737981","0.138566259058227","0.236300814417736"
"Einige Sorgen","1994","35-65 J.","Sachsen","127","0.185183465825387","0.154557846921975","0.215809084728798"
"Einige Sorgen","1994","35-65 J.","Sachsen-Anhalt","82","0.166335614195343","0.129751309750547","0.202919918640139"
"Einige Sorgen","1994","35-65 J.","Thüringen","88","0.222532041077143","0.178893230677706","0.26617085147658"
"Einige Sorgen","1994","66 und älter","Schleswig-Holstein","","","",""
"Einige Sorgen","1994","66 und älter","Hamburg","","","",""
"Einige Sorgen","1994","66 und älter","Niedersachsen","35","0.287349841075466","0.205352676687227","0.369347005463706"
"Einige Sorgen","1994","66 und älter","Bremen","","","",""
"Einige Sorgen","1994","66 und älter","Nordrhein-Westfalen","78","0.276928170139018","0.223453730765739","0.330402609512296"
"Einige Sorgen","1994","66 und älter","Hessen","31","0.291044174671265","0.204975474252712","0.377112875089819"
"Einige Sorgen","1994","66 und älter","Rheinland-Pfalz,Saarland","","","",""
