"plh0040","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","1994","Ostdeutschland","952","0.233204996247724","0.219697521531106","0.246712470964342"
"Einige Sorgen","1994","Westdeutschland","3887","0.418451464946955","0.408280187305847","0.428622742588063"
"Grosse Sorgen","1994","Ostdeutschland","2766","","",""
"Grosse Sorgen","1994","Westdeutschland","4644","0.533720605864793","0.523434758466119","0.544006453263467"
"Keine Sorgen","1994","Ostdeutschland","47","0.0120929305665334","0.00860161240951534","0.0155842487235515"
"Keine Sorgen","1994","Westdeutschland","505","0.0478279291882522","0.043427870309572","0.0522279880669324"
"Einige Sorgen","1995","Ostdeutschland","1045","","",""
"Einige Sorgen","1995","Westdeutschland","4158","0.42196593511612","0.412035258386489","0.43189661184575"
"Grosse Sorgen","1995","Ostdeutschland","2565","","",""
"Grosse Sorgen","1995","Westdeutschland","4720","0.51911758572737","0.509071063479198","0.529164107975542"
"Keine Sorgen","1995","Ostdeutschland","51","0.0143956250513834","0.0105371579547779","0.0182540921479888"
"Keine Sorgen","1995","Westdeutschland","623","0.0589164791565105","0.0541817416248459","0.063651216688175"
"Einige Sorgen","1996","Ostdeutschland","970","0.240642386216021","0.22677257985192","0.254512192580122"
"Einige Sorgen","1996","Westdeutschland","3941","0.400538196122524","0.390551383364853","0.410525008880194"
"Grosse Sorgen","1996","Ostdeutschland","2631","","",""
"Grosse Sorgen","1996","Westdeutschland","4850","0.553967505016155","0.543836568929807","0.564098441102503"
"Keine Sorgen","1996","Ostdeutschland","48","0.0129329806084751","0.00926705377248564","0.0165989074444646"
"Keine Sorgen","1996","Westdeutschland","457","0.0454942988613208","0.0412472042869839","0.0497413934356578"
"Einige Sorgen","1997","Ostdeutschland","927","0.234368965724353","0.220560235139223","0.248177696309483"
"Einige Sorgen","1997","Westdeutschland","3652","0.373210759715131","0.363281711975338","0.383139807454924"
"Grosse Sorgen","1997","Ostdeutschland","2635","","",""
"Grosse Sorgen","1997","Westdeutschland","5064","0.58778054459952","0.577675421682091","0.597885667516949"
"Keine Sorgen","1997","Ostdeutschland","53","0.0120284767527023","0.00847485278585708","0.0155821007195474"
