year,age_gr,regtyp,plh0042,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No answer / don't know,Very concerned,0.18684,410,1973,0.16963,0.20404
1984,17-29 y.,No answer / don't know,Somewhat concerned,0.32463,658,1973,0.30396,0.34529
1984,17-29 y.,No answer / don't know,Not concerned at all,0.48854,905,1973,0.46648,0.51060
1984,30-45 y.,No answer / don't know,Very concerned,0.16554,556,2768,0.15169,0.17938
1984,30-45 y.,No answer / don't know,Somewhat concerned,0.32121,901,2768,0.30381,0.33861
1984,30-45 y.,No answer / don't know,Not concerned at all,0.51326,1311,2768,0.49463,0.53188
1984,46-65 y.,No answer / don't know,Very concerned,0.16195,377,1975,0.14570,0.17821
1984,46-65 y.,No answer / don't know,Somewhat concerned,0.28301,571,1975,0.26314,0.30289
1984,46-65 y.,No answer / don't know,Not concerned at all,0.55503,1027,1975,0.53311,0.57695
1985,17-29 y.,Urban regions,Very concerned,0.12812,220,1419,0.11073,0.14552
1985,17-29 y.,Urban regions,Somewhat concerned,0.30185,450,1419,0.27796,0.32575
1985,17-29 y.,Urban regions,Not concerned at all,0.57002,749,1419,0.54426,0.59579
1985,17-29 y.,Rural regions,Very concerned,0.15209,64,376,0.11575,0.18844
1985,17-29 y.,Rural regions,Somewhat concerned,0.39041,148,376,0.34104,0.43979
1985,17-29 y.,Rural regions,Not concerned at all,0.45749,164,376,0.40707,0.50792
1985,30-45 y.,Urban regions,Very concerned,0.11715,285,1959,0.10290,0.13139
1985,30-45 y.,Urban regions,Somewhat concerned,0.30101,634,1959,0.28069,0.32132
1985,30-45 y.,Urban regions,Not concerned at all,0.58184,1040,1959,0.56000,0.60369
1985,30-45 y.,Rural regions,Very concerned,0.10023,69,493,0.07370,0.12677
1985,30-45 y.,Rural regions,Somewhat concerned,0.29860,150,493,0.25816,0.33904
1985,30-45 y.,Rural regions,Not concerned at all,0.60117,274,493,0.55790,0.64443
1985,46-65 y.,Urban regions,Very concerned,0.11320,186,1456,0.09692,0.12948
1985,46-65 y.,Urban regions,Somewhat concerned,0.25065,386,1456,0.22838,0.27292
1985,46-65 y.,Urban regions,Not concerned at all,0.63615,884,1456,0.61143,0.66087
1985,46-65 y.,Rural regions,Very concerned,0.12767,51,358,0.09305,0.16228
1985,46-65 y.,Rural regions,Somewhat concerned,0.27859,103,358,0.23209,0.32510
1985,46-65 y.,Rural regions,Not concerned at all,0.59374,204,358,0.54279,0.64469
1986,17-29 y.,Urban regions,Very concerned,0.13556,218,1382,0.11750,0.15361
1986,17-29 y.,Urban regions,Somewhat concerned,0.30223,444,1382,0.27801,0.32645
1986,17-29 y.,Urban regions,Not concerned at all,0.56221,720,1382,0.53604,0.58838
1986,17-29 y.,Rural regions,Very concerned,0.16705,71,393,0.13012,0.20397
1986,17-29 y.,Rural regions,Somewhat concerned,0.33587,128,393,0.28911,0.38262
1986,17-29 y.,Rural regions,Not concerned at all,0.49709,194,393,0.44759,0.54659
1986,30-45 y.,Urban regions,Very concerned,0.10064,230,1812,0.08678,0.11450
1986,30-45 y.,Urban regions,Somewhat concerned,0.29137,559,1812,0.27044,0.31229
1986,30-45 y.,Urban regions,Not concerned at all,0.60799,1023,1812,0.58551,0.63048
1986,30-45 y.,Rural regions,Very concerned,0.10256,53,453,0.07459,0.13053
1986,30-45 y.,Rural regions,Somewhat concerned,0.35283,162,453,0.30878,0.39688
1986,30-45 y.,Rural regions,Not concerned at all,0.54461,238,453,0.49870,0.59052
1986,46-65 y.,Urban regions,Very concerned,0.12692,228,1446,0.10976,0.14409
1986,46-65 y.,Urban regions,Somewhat concerned,0.24901,383,1446,0.22671,0.27131
1986,46-65 y.,Urban regions,Not concerned at all,0.62407,835,1446,0.59909,0.64904
1986,46-65 y.,Rural regions,Very concerned,0.13231,49,332,0.09581,0.16881
1986,46-65 y.,Rural regions,Somewhat concerned,0.24883,89,332,0.20226,0.29541
1986,46-65 y.,Rural regions,Not concerned at all,0.61886,194,332,0.56654,0.67118
1987,17-29 y.,Urban regions,Very concerned,0.09879,190,1406,0.08319,0.11440
1987,17-29 y.,Urban regions,Somewhat concerned,0.33377,481,1406,0.30911,0.35843
1987,17-29 y.,Urban regions,Not concerned at all,0.56743,735,1406,0.54153,0.59334
1987,17-29 y.,Rural regions,Very concerned,0.10390,49,420,0.07468,0.13311
1987,17-29 y.,Rural regions,Somewhat concerned,0.41526,178,420,0.36808,0.46244
1987,17-29 y.,Rural regions,Not concerned at all,0.48084,193,420,0.43300,0.52868
1987,30-45 y.,Urban regions,Very concerned,0.10317,223,1804,0.08913,0.11721
1987,30-45 y.,Urban regions,Somewhat concerned,0.32340,606,1804,0.30181,0.34500
1987,30-45 y.,Urban regions,Not concerned at all,0.57343,975,1804,0.55060,0.59626
1987,30-45 y.,Rural regions,Very concerned,0.06904,37,463,0.04592,0.09216
1987,30-45 y.,Rural regions,Somewhat concerned,0.34341,159,463,0.30011,0.38671
1987,30-45 y.,Rural regions,Not concerned at all,0.58756,267,463,0.54267,0.63245
1987,46-65 y.,Urban regions,Very concerned,0.11021,177,1451,0.09409,0.12633
1987,46-65 y.,Urban regions,Somewhat concerned,0.27080,440,1451,0.24792,0.29367
1987,46-65 y.,Urban regions,Not concerned at all,0.61899,834,1451,0.59399,0.64399
1987,46-65 y.,Rural regions,Very concerned,0.10170,37,353,0.07012,0.13327
1987,46-65 y.,Rural regions,Somewhat concerned,0.30755,107,353,0.25934,0.35576
1987,46-65 y.,Rural regions,Not concerned at all,0.59076,209,353,0.53939,0.64212
1988,17-29 y.,Urban regions,Very concerned,0.13570,231,1374,0.11758,0.15381
1988,17-29 y.,Urban regions,Somewhat concerned,0.32457,475,1374,0.29981,0.34934
1988,17-29 y.,Urban regions,Not concerned at all,0.53973,668,1374,0.51337,0.56610
1988,17-29 y.,Rural regions,Very concerned,0.10447,50,361,0.07287,0.13607
1988,17-29 y.,Rural regions,Somewhat concerned,0.41908,144,361,0.36811,0.47005
1988,17-29 y.,Rural regions,Not concerned at all,0.47645,167,361,0.42486,0.52804
1988,30-45 y.,Urban regions,Very concerned,0.10539,219,1676,0.09068,0.12009
1988,30-45 y.,Urban regions,Somewhat concerned,0.34389,585,1676,0.32114,0.36664
1988,30-45 y.,Urban regions,Not concerned at all,0.55072,872,1676,0.52690,0.57454
1988,30-45 y.,Rural regions,Very concerned,0.10834,56,433,0.07903,0.13765
1988,30-45 y.,Rural regions,Somewhat concerned,0.35873,149,433,0.31351,0.40396
1988,30-45 y.,Rural regions,Not concerned at all,0.53293,228,433,0.48588,0.57998
1988,46-65 y.,Urban regions,Very concerned,0.13711,214,1417,0.11920,0.15503
1988,46-65 y.,Urban regions,Somewhat concerned,0.29198,446,1417,0.26829,0.31566
1988,46-65 y.,Urban regions,Not concerned at all,0.57091,757,1417,0.54513,0.59669
1988,46-65 y.,Rural regions,Very concerned,0.10114,45,333,0.06870,0.13357
1988,46-65 y.,Rural regions,Somewhat concerned,0.38615,123,333,0.33378,0.43852
1988,46-65 y.,Rural regions,Not concerned at all,0.51271,165,333,0.45895,0.56648
1989,17-29 y.,Urban regions,Very concerned,0.07645,149,1379,0.06242,0.09048
1989,17-29 y.,Urban regions,Somewhat concerned,0.30252,450,1379,0.27826,0.32677
1989,17-29 y.,Urban regions,Not concerned at all,0.62103,780,1379,0.59541,0.64664
1989,17-29 y.,Rural regions,Somewhat concerned,0.31540,114,330,0.26519,0.36561
1989,17-29 y.,Rural regions,Not concerned at all,0.62544,216,330,0.57313,0.67774
1989,30-45 y.,Urban regions,Very concerned,0.05793,133,1677,0.04674,0.06911
1989,30-45 y.,Urban regions,Somewhat concerned,0.28821,505,1677,0.26652,0.30989
1989,30-45 y.,Urban regions,Not concerned at all,0.65387,1039,1677,0.63109,0.67664
1989,30-45 y.,Rural regions,Very concerned,0.08459,38,415,0.05779,0.11140
1989,30-45 y.,Rural regions,Somewhat concerned,0.27631,124,415,0.23324,0.31939
1989,30-45 y.,Rural regions,Not concerned at all,0.63910,253,415,0.59283,0.68536
1989,46-65 y.,Urban regions,Very concerned,0.09758,135,1374,0.08188,0.11328
1989,46-65 y.,Urban regions,Somewhat concerned,0.24192,375,1374,0.21927,0.26457
1989,46-65 y.,Urban regions,Not concerned at all,0.66050,864,1374,0.63545,0.68555
1989,46-65 y.,Rural regions,Somewhat concerned,0.31521,103,291,0.26174,0.36869
1989,46-65 y.,Rural regions,Not concerned at all,0.62555,188,291,0.56984,0.68125
1990,17-29 y.,Urban regions,Very concerned,0.11494,245,1587,0.09925,0.13064
1990,17-29 y.,Urban regions,Somewhat concerned,0.29036,517,1587,0.26802,0.31270
1990,17-29 y.,Urban regions,Not concerned at all,0.59469,825,1587,0.57053,0.61886
1990,17-29 y.,Rural regions,Very concerned,0.23165,263,935,0.20459,0.25870
1990,17-29 y.,Rural regions,Somewhat concerned,0.35081,359,935,0.32020,0.38141
1990,17-29 y.,Rural regions,Not concerned at all,0.41755,313,935,0.38592,0.44918
1990,30-45 y.,Urban regions,Very concerned,0.09980,302,2141,0.08710,0.11250
1990,30-45 y.,Urban regions,Somewhat concerned,0.30670,738,2141,0.28716,0.32624
1990,30-45 y.,Urban regions,Not concerned at all,0.59350,1101,2141,0.57269,0.61431
1990,30-45 y.,Rural regions,Very concerned,0.23188,408,1340,0.20928,0.25449
1990,30-45 y.,Rural regions,Somewhat concerned,0.35657,521,1340,0.33091,0.38222
1990,30-45 y.,Rural regions,Not concerned at all,0.41155,411,1340,0.38519,0.43791
1990,46-65 y.,Urban regions,Very concerned,0.12915,282,1682,0.11312,0.14518
1990,46-65 y.,Urban regions,Somewhat concerned,0.30689,561,1682,0.28484,0.32894
1990,46-65 y.,Urban regions,Not concerned at all,0.56396,839,1682,0.54025,0.58767
1990,46-65 y.,Rural regions,Very concerned,0.25281,310,986,0.22566,0.27995
1990,46-65 y.,Rural regions,Somewhat concerned,0.35081,376,986,0.32100,0.38061
1990,46-65 y.,Rural regions,Not concerned at all,0.39639,300,986,0.36584,0.42693
1991,17-29 y.,Urban regions,Very concerned,0.08549,160,1567,0.07164,0.09933
1991,17-29 y.,Urban regions,Somewhat concerned,0.23728,437,1567,0.21621,0.25835
1991,17-29 y.,Urban regions,Not concerned at all,0.67724,970,1567,0.65408,0.70039
1991,17-29 y.,Rural regions,Very concerned,0.24953,244,834,0.22014,0.27892
1991,17-29 y.,Rural regions,Somewhat concerned,0.29302,262,834,0.26211,0.32393
1991,17-29 y.,Rural regions,Not concerned at all,0.45745,328,834,0.42362,0.49128
1991,30-45 y.,Urban regions,Very concerned,0.09861,297,2151,0.08601,0.11122
1991,30-45 y.,Urban regions,Somewhat concerned,0.25251,601,2151,0.23414,0.27087
1991,30-45 y.,Urban regions,Not concerned at all,0.64888,1253,2151,0.62870,0.66906
1991,30-45 y.,Rural regions,Very concerned,0.22265,378,1257,0.19965,0.24566
1991,30-45 y.,Rural regions,Somewhat concerned,0.31325,420,1257,0.28760,0.33890
1991,30-45 y.,Rural regions,Not concerned at all,0.46410,459,1257,0.43652,0.49168
1991,46-65 y.,Urban regions,Very concerned,0.11548,244,1612,0.09988,0.13109
1991,46-65 y.,Urban regions,Somewhat concerned,0.25084,450,1612,0.22967,0.27201
1991,46-65 y.,Urban regions,Not concerned at all,0.63367,918,1612,0.61015,0.65720
1991,46-65 y.,Rural regions,Very concerned,0.27893,296,839,0.24856,0.30929
1991,46-65 y.,Rural regions,Somewhat concerned,0.29568,262,839,0.26479,0.32658
1991,46-65 y.,Rural regions,Not concerned at all,0.42539,281,839,0.39192,0.45886
1992,17-29 y.,Urban regions,Very concerned,0.10806,189,1483,0.09225,0.12386
1992,17-29 y.,Urban regions,Somewhat concerned,0.28091,470,1483,0.25803,0.30379
1992,17-29 y.,Urban regions,Not concerned at all,0.61104,824,1483,0.58621,0.63586
