,Unnamed: 0,year,bula_h,regtyp,plh0106,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Schleswig-Holstein,Urban regions,Important,0.66409,57,6623,0.58748,0.74999
1,1,1990,Schleswig-Holstein,Urban regions,Less important,0.33591,33,6623,0.27962,0.39741
2,2,1990,Schleswig-Holstein,Rural regions,Important,0.62914,72,6623,0.57525,0.68967
3,3,1990,Schleswig-Holstein,Rural regions,Less important,0.37086,31,6623,0.33021,0.399
4,4,1990,Hamburg,Urban regions,Important,1.0,73,6623,0.92163,1.08241
5,5,1990,Lower Saxony,Urban regions,Very important,0.13137,55,6623,0.11662,0.14494
6,6,1990,Lower Saxony,Urban regions,Important,0.60917,225,6623,0.57642,0.64527
7,7,1990,Lower Saxony,Urban regions,Less important,0.25946,97,6623,0.24159,0.2761
8,8,1990,Lower Saxony,Rural regions,Very important,0.16806,82,6623,0.15113,0.18909
9,9,1990,Lower Saxony,Rural regions,Important,0.57925,250,6623,0.54753,0.61568
10,10,1990,Lower Saxony,Rural regions,Less important,0.25269,99,6623,0.22773,0.2745
11,11,1990,Bremen,Urban regions,Important,1.0,38,6623,0.86512,1.17147
12,12,1990,North Rhine-Westphalia,Urban regions,Very important,0.18882,357,6623,0.1799,0.20127
13,13,1990,North Rhine-Westphalia,Urban regions,Important,0.52891,977,6623,0.51492,0.5437
14,14,1990,North Rhine-Westphalia,Urban regions,Less important,0.24729,447,6623,0.24029,0.25843
15,15,1990,North Rhine-Westphalia,Urban regions,Unimportant,0.03498,62,6623,0.03162,0.03857
16,16,1990,North Rhine-Westphalia,Rural regions,Important,1.0,43,6623,0.87467,1.12957
17,17,1990,Hesse,Urban regions,Very important,0.18376,94,6623,0.17009,0.19959
18,18,1990,Hesse,Urban regions,Important,0.54899,291,6623,0.51848,0.57883
19,19,1990,Hesse,Urban regions,Less important,0.26725,134,6623,0.24836,0.28652
20,20,1990,Hesse,Rural regions,Important,1.0,57,6623,0.91151,1.11688
21,21,1990,"Rhineland-Palatinate, Saarland",Urban regions,Very important,0.21623,92,6623,0.20016,0.233
22,22,1990,"Rhineland-Palatinate, Saarland",Urban regions,Important,0.54051,227,6623,0.51552,0.56721
23,23,1990,"Rhineland-Palatinate, Saarland",Urban regions,Less important,0.24326,99,6623,0.22736,0.26009
