"plh0106","year","quintil_oecd","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr wichtig","1995","1 Einkommensschwächstes Quintil","männlich","355","0.190696590883269","0.172269655164998","0.209123526601539"
"Sehr wichtig","1995","1 Einkommensschwächstes Quintil","weiblich","426","0.167939177086545","0.152134579927061","0.183743774246029"
"Sehr wichtig","1995","2","männlich","313","0.189747853640559","0.170113471494769","0.20938223578635"
"Sehr wichtig","1995","2","weiblich","320","0.184820650838063","0.166380258987921","0.203261042688204"
"Sehr wichtig","1995","3","männlich","206","0.199307928028558","0.174142433815815","0.224473422241301"
"Sehr wichtig","1995","3","weiblich","217","0.19179391565243","0.167367412931524","0.216220418373337"
"Sehr wichtig","1995","4","männlich","153","0.195102881135001","0.165534634407267","0.224671127862735"
"Sehr wichtig","1995","4","weiblich","146","0.215291616811431","0.18366931725565","0.246913916367213"
"Sehr wichtig","1995","5 Einkommensstärkstes Quintil","männlich","92","0.228940612127067","0.185296222272222","0.272585001981911"
"Sehr wichtig","1995","5 Einkommensstärkstes Quintil","weiblich","52","0.142123748170717","0.104676448455987","0.179571047885447"
"Wichtig","1995","1 Einkommensschwächstes Quintil","männlich","996","0.552553350852471","0.529230388575452","0.575876313129491"
"Wichtig","1995","1 Einkommensschwächstes Quintil","weiblich","1142","0.510784348095132","0.489649513888584","0.531919182301681"
"Wichtig","1995","2","männlich","854","0.521030288438343","0.496015074640195","0.546045502236492"
"Wichtig","1995","2","weiblich","897","0.486119967162504","0.462375036010328","0.509864898314681"
"Wichtig","1995","3","männlich","526","0.513828593852636","0.48234282862195","0.545314359083323"
"Wichtig","1995","3","weiblich","531","0.527025704290489","0.496050263972483","0.558001144608496"
"Wichtig","1995","4","männlich","382","0.564073467184834","0.52707378162407","0.601073152745598"
"Wichtig","1995","4","weiblich","329","0.5000631254919","0.461595467736743","0.538530783247057"
"Wichtig","1995","5 Einkommensstärkstes Quintil","männlich","171","0.449280833250926","0.397609801487336","0.500951865014517"
"Wichtig","1995","5 Einkommensstärkstes Quintil","weiblich","197","0.536659614125586","0.483181708234924","0.590137520016249"
"Weniger wichtig","1995","1 Einkommensschwächstes Quintil","männlich","332","0.211920692509764","0.192751773794489","0.231089611225039"
"Weniger wichtig","1995","1 Einkommensschwächstes Quintil","weiblich","477","0.246772426140429","0.22854433028316","0.265000521997699"
"Weniger wichtig","1995","2","männlich","309","0.236374062482658","0.215099582481033","0.257648542484284"
"Weniger wichtig","1995","2","weiblich","404","0.268266537594845","0.247217704563047","0.289315370626642"
"Weniger wichtig","1995","3","männlich","205","0.238630394377387","0.211778739313143","0.265482049441631"
"Weniger wichtig","1995","3","weiblich","204","0.217687155809271","0.192084238517286","0.243290073101256"
"Weniger wichtig","1995","4","männlich","139","0.206695119223231","0.176481084806651","0.236909153639812"
"Weniger wichtig","1995","4","weiblich","150","0.242676807746609","0.209694540390904","0.275659075102314"
"Weniger wichtig","1995","5 Einkommensstärkstes Quintil","männlich","75","0.247014603698656","0.202214637774869","0.291814569622443"
"Weniger wichtig","1995","5 Einkommensstärkstes Quintil","weiblich","73","0.271348625627112","0.223661783392194","0.319035467862029"
"Ganz unwichtig","1995","1 Einkommensschwächstes Quintil","männlich","63","0.0448293657544964","0.0351231989714162","0.0545355325375766"
"Ganz unwichtig","1995","1 Einkommensschwächstes Quintil","weiblich","104","0.0745040486778932","0.063401898908141","0.0856061984476455"
"Ganz unwichtig","1995","2","männlich","56","0.0528477954384389","0.0416445968788671","0.0640509939980108"
