year,regtyp,sex,plh0107,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,male,Very important,0.28793718808776675,747,6810,0.2877214632212654,0.2881529129542681
1990,Urban regions,male,Important,0.5167082486522641,1313,6810,0.5164701704877925,0.5169463268167356
1990,Urban regions,male,Less important,0.11216626311350245,276,6810,0.11201591806676542,0.11231660816023947
1990,Urban regions,male,Unimportant,0.08318830014646685,181,6810,0.08305672817707113,0.08331987211586256
1990,Urban regions,female,Very important,0.14280708701934175,410,6810,0.14264737061415997,0.14296680342452353
1990,Urban regions,female,Important,0.4578167737650658,1281,6810,0.45758934036203885,0.45804420716809274
1990,Urban regions,female,Less important,0.19799278109101184,547,6810,0.19781087418913126,0.19817468799289242
1990,Urban regions,female,Unimportant,0.20138335812458064,441,6810,0.20120028848443172,0.20156642776472955
1990,Rural regions,male,Very important,0.2740132244951091,236,6810,0.27363633024027034,0.2743901187499479
1990,Rural regions,male,Important,0.500286202913929,402,6810,0.4998636906357707,0.5007087151920873
1990,Rural regions,male,Less important,0.12300246169376584,90,6810,0.12272492175406277,0.12328000163346892
1990,Rural regions,male,Unimportant,0.10269811089719592,67,6810,0.10244159167208286,0.10295463012230899
1990,Rural regions,female,Very important,0.15534896770956078,138,6810,0.15504889833027236,0.1556490370888492
1990,Rural regions,female,Important,0.4295393011680552,376,6810,0.4291292451846228,0.42994935715148763
1990,Rural regions,female,Less important,0.21241248295676857,173,6810,0.2120736635596812,0.21275130235385592
1990,Rural regions,female,Unimportant,0.20269924816561546,132,6810,0.20236623148224744,0.20303226484898348
1992,Urban regions,male,Very important,0.2947425678815198,958,10502,0.2945363419643069,0.29494879379873273
1992,Urban regions,male,Important,0.49047777792597663,1515,10502,0.4902516578048762,0.4907038980470771
1992,Urban regions,male,Less important,0.11237764544446338,318,10502,0.11223478826985321,0.11252050261907355
1992,Urban regions,male,Unimportant,0.10240200874804006,258,10502,0.10226487537744931,0.10253914211863081
1992,Urban regions,female,Very important,0.16506523503895307,650,10502,0.16490551151476798,0.16522495856313815
1992,Urban regions,female,Important,0.44014218634434765,1562,10502,0.43992861146261225,0.44035576122608305
1992,Urban regions,female,Less important,0.18593566855035218,617,10502,0.18576828008701912,0.18610305701368524
1992,Urban regions,female,Unimportant,0.20885691006634713,547,10502,0.20868201935334868,0.20903180077934558
1992,Rural regions,male,Very important,0.3291368015311475,747,10502,0.3288350642134715,0.3294385388488235
1992,Rural regions,male,Important,0.47124461575332266,912,10502,0.47092408151889786,0.47156514998774746
1992,Rural regions,male,Less important,0.07799158555412129,132,10502,0.07781939269550915,0.07816377841273343
1992,Rural regions,male,Unimportant,0.12162699716140864,189,10502,0.1214171136600206,0.12183688066279667
1992,Rural regions,female,Very important,0.20525000720927167,544,10502,0.20499536644651709,0.20550464797202625
1992,Rural regions,female,Important,0.4067340475632672,908,10502,0.4064243405454516,0.4070437545810828
1992,Rural regions,female,Less important,0.1584870325786368,295,10502,0.15825678326566434,0.15871728189160927
1992,Rural regions,female,Unimportant,0.22952891264882438,350,10502,0.22926377711135795,0.22979404818629082
1995,Urban regions,male,Very important,0.2879683124477678,962,10744,0.28776479607144984,0.2881718288240858
1995,Urban regions,male,Important,0.5016522152907964,1616,10744,0.5014274936055513,0.5018769369760415
1995,Urban regions,male,Less important,0.11882784394588447,339,10744,0.11868240964712544,0.1189732782446435
1995,Urban regions,male,Unimportant,0.09155162831555136,223,10744,0.09142201174941109,0.09168124488169163
1995,Urban regions,female,Very important,0.18264285597641935,709,10744,0.1824758057085047,0.18280990624433402
1995,Urban regions,female,Important,0.464294175338909,1699,10744,0.4640785500460966,0.46450980063172137
1995,Urban regions,female,Less important,0.18868633982001473,632,10744,0.1885171771526794,0.18885550248735006
1995,Urban regions,female,Unimportant,0.16437662886465684,444,10744,0.16421639097228208,0.1645368667570316
1995,Rural regions,male,Very important,0.30981845176052913,672,10744,0.3095247776108444,0.31011212591021386
1995,Rural regions,male,Important,0.49486617136094163,1041,10744,0.4945486466579138,0.49518369606396945
1995,Rural regions,male,Less important,0.09447783830883852,152,10744,0.09429208142204401,0.09466359519563303
1995,Rural regions,male,Unimportant,0.1008375385696906,143,10744,0.10064630655086672,0.10102877058851449
1995,Rural regions,female,Very important,0.19387602818078678,531,10744,0.19362897597009326,0.1941230803914803
1995,Rural regions,female,Important,0.4434077498002361,977,10744,0.44309729671037,0.4437182028901022
1995,Rural regions,female,Less important,0.1464223052715824,290,10744,0.14620137719154483,0.14664323335161997
1995,Rural regions,female,Unimportant,0.21629391674739465,314,10744,0.21603662578532862,0.21655120770946068
2004,Urban regions,male,Very important,0.2509688540827771,1769,20454,0.2507855943534836,0.2511521138120706
2004,Urban regions,male,Important,0.5402208362691707,3548,20454,0.540010183342679,0.5404314891956624
2004,Urban regions,male,Less important,0.12470992885805511,759,20454,0.124570281184422,0.12484957653168823
2004,Urban regions,male,Unimportant,0.08410038078999701,486,20454,0.08398307212057578,0.08421768945941825
2004,Urban regions,female,Very important,0.1687290925919976,1257,20454,0.16857267530708817,0.168885509876907
2004,Urban regions,female,Important,0.4687508176702837,3455,20454,0.4685423980389243,0.46895923730164313
2004,Urban regions,female,Less important,0.2155260595685527,1481,20454,0.21535432504007745,0.21569779409702794
2004,Urban regions,female,Unimportant,0.14699403016916598,823,20454,0.1468461382819661,0.14714192205636586
2004,Rural regions,male,Very important,0.2577746250990307,892,20454,0.25750410635288506,0.25804514384517635
2004,Rural regions,male,Important,0.5325678241722293,1829,20454,0.5322592524324752,0.5328763959119833
2004,Rural regions,male,Less important,0.11444074504441505,365,20454,0.11424386190022882,0.11463762818860128
2004,Rural regions,male,Unimportant,0.09521680568432503,277,20454,0.0950352798458329,0.09539833152281715
2004,Rural regions,female,Very important,0.17115383820496516,665,20454,0.17092244277814986,0.17138523363178046
2004,Rural regions,female,Important,0.48665000907352585,1801,20454,0.48634293748759133,0.48695708065946036
2004,Rural regions,female,Less important,0.18821302856475963,637,20454,0.18797288532534814,0.18845317180417112
2004,Rural regions,female,Unimportant,0.15398312415674945,410,20454,0.1537613808287798,0.1542048674847191
2008,Urban regions,male,Very important,0.2311094111922352,1328,18270,0.23093125625222605,0.23128756613224433
2008,Urban regions,male,Important,0.5243250996663169,3029,18270,0.5241140366097954,0.5245361627228384
2008,Urban regions,male,Less important,0.14187563230636618,800,18270,0.1417281683765181,0.14202309623621426
2008,Urban regions,male,Unimportant,0.10268985683508174,583,18270,0.10256156711904287,0.1028181465511206
2008,Urban regions,female,Very important,0.15180458206660227,1010,18270,0.15165547855068345,0.1519536855825211
2008,Urban regions,female,Important,0.4926872530322497,3129,18270,0.49247951259871164,0.49289499346578775
2008,Urban regions,female,Less important,0.19018412294421158,1220,18270,0.1900210515607031,0.19034719432772007
2008,Urban regions,female,Unimportant,0.16532404195693653,932,18270,0.16516968562748222,0.16547839828639085
2008,Rural regions,male,Very important,0.22576478186964605,667,18270,0.22550599266607496,0.22602357107321713
2008,Rural regions,male,Important,0.5426772228480106,1664,18270,0.5423688587502888,0.5429855869457323
2008,Rural regions,male,Less important,0.12886300478196328,387,18270,0.12865561423788352,0.12907039532604303
2008,Rural regions,male,Unimportant,0.10269499050038008,305,18270,0.10250709072067983,0.10288289028008034
2008,Rural regions,female,Very important,0.17983599511012655,594,18270,0.17960207487296673,0.18006991534728636
2008,Rural regions,female,Important,0.4944954776023324,1645,18270,0.4941909526972552,0.49480000250740963
2008,Rural regions,female,Less important,0.17611122691513675,555,18270,0.17587921678611962,0.1763432370441539
2008,Rural regions,female,Unimportant,0.14955730037240442,422,18270,0.14934007754156453,0.1497745232032443
2012,Urban regions,male,Very important,0.22726097121716624,1797,25893,0.22707905144402102,0.22744289099031145
