"plh0108","year","n","percent","lower_confidence_percent","upper_confidence_percent"
"1 Sehr wichtig","1990","1560","","",""
"2 Wichtig","1990","2294","","",""
"3 Weniger wichtig","1990","2196","","",""
"4 Ganz unwichtig","1990","1037","","",""
"1 Sehr wichtig","1991","","","",""
"2 Wichtig","1991","","","",""
"3 Weniger wichtig","1991","","","",""
"4 Ganz unwichtig","1991","","","",""
"1 Sehr wichtig","1992","2490","","",""
"2 Wichtig","1992","3227","0.29726246139123","0.288678637017214","0.305846285765247"
"3 Weniger wichtig","1992","3416","0.300793254238795","0.292180321355908","0.309406187121682"
"4 Ganz unwichtig","1992","1758","","",""
"1 Sehr wichtig","1993","","","",""
"2 Wichtig","1993","","","",""
"3 Weniger wichtig","1993","","","",""
"4 Ganz unwichtig","1993","","","",""
"1 Sehr wichtig","1994","","","",""
"2 Wichtig","1994","","","",""
"3 Weniger wichtig","1994","","","",""
"4 Ganz unwichtig","1994","","","",""
"1 Sehr wichtig","1995","2667","","",""
"2 Wichtig","1995","3626","0.316256453545925","0.307617386843124","0.324895520248726"
"3 Weniger wichtig","1995","3426","0.300627748001055","0.292109128123561","0.309146367878549"
"4 Ganz unwichtig","1995","1411","","",""
"1 Sehr wichtig","1996","","","",""
"2 Wichtig","1996","","","",""
"3 Weniger wichtig","1996","","","",""
"4 Ganz unwichtig","1996","","","",""
"1 Sehr wichtig","1997","","","",""
"2 Wichtig","1997","","","",""
"3 Weniger wichtig","1997","","","",""
"4 Ganz unwichtig","1997","","","",""
"1 Sehr wichtig","1998","","","",""
"2 Wichtig","1998","","","",""
"3 Weniger wichtig","1998","","","",""
"4 Ganz unwichtig","1998","","","",""
"1 Sehr wichtig","1999","","","",""
"2 Wichtig","1999","","","",""
"3 Weniger wichtig","1999","","","",""
"4 Ganz unwichtig","1999","","","",""
"1 Sehr wichtig","2000","","","",""
"2 Wichtig","2000","","","",""
"3 Weniger wichtig","2000","","","",""
"4 Ganz unwichtig","2000","","","",""
"1 Sehr wichtig","2001","","","",""
"2 Wichtig","2001","","","",""
"3 Weniger wichtig","2001","","","",""
"4 Ganz unwichtig","2001","","","",""
"1 Sehr wichtig","2002","","","",""
"2 Wichtig","2002","","","",""
"3 Weniger wichtig","2002","","","",""
"4 Ganz unwichtig","2002","","","",""
"1 Sehr wichtig","2003","","","",""
"2 Wichtig","2003","","","",""
"3 Weniger wichtig","2003","","","",""
"4 Ganz unwichtig","2003","","","",""
"1 Sehr wichtig","2004","5164","0.227454768564828","0.22183977531428","0.233069761815375"
"2 Wichtig","2004","7231","0.313842157521897","0.307626208938049","0.320058106105744"
"3 Weniger wichtig","2004","6158","0.294827202751491","0.28871959259444","0.300934812908542"
"4 Ganz unwichtig","2004","2857","","",""
"1 Sehr wichtig","2005","","","",""
"2 Wichtig","2005","","","",""
"3 Weniger wichtig","2005","","","",""
"4 Ganz unwichtig","2005","","","",""
"1 Sehr wichtig","2006","","","",""
"2 Wichtig","2006","","","",""
"3 Weniger wichtig","2006","","","",""
"4 Ganz unwichtig","2006","","","",""
"1 Sehr wichtig","2007","","","",""
"2 Wichtig","2007","","","",""
"3 Weniger wichtig","2007","","","",""
"4 Ganz unwichtig","2007","","","",""
"1 Sehr wichtig","2008","3921","0.184858818341632","0.179363887750325","0.19035374893294"
"2 Wichtig","2008","6576","0.320866846110946","0.314258913636324","0.327474778585567"
"3 Weniger wichtig","2008","5745","0.313746159827955","0.307177794337079","0.32031452531883"
"4 Ganz unwichtig","2008","2929","","",""
"1 Sehr wichtig","2009","","","",""
"2 Wichtig","2009","","","",""
"3 Weniger wichtig","2009","","","",""
"4 Ganz unwichtig","2009","","","",""
"1 Sehr wichtig","2010","1652","","",""
"2 Wichtig","2010","2661","","",""
"3 Weniger wichtig","2010","2275","","",""
"4 Ganz unwichtig","2010","721","0.101523682962883","0.0945996981089077","0.108447667816858"
"1 Sehr wichtig","2011","","","",""
"2 Wichtig","2011","","","",""
"3 Weniger wichtig","2011","","","",""
"4 Ganz unwichtig","2011","","","",""
"1 Sehr wichtig","2012","5554","0.187206194236503","0.182592339249898","0.191820049223107"
"2 Wichtig","2012","9561","0.333971898623334","0.328393431470543","0.339550365776125"
"3 Weniger wichtig","2012","8101","0.295898879256131","0.290500009897301","0.301297748614961"
"4 Ganz unwichtig","2012","4242","0.182923027884032","0.178350258316016","0.187495797452048"
"1 Sehr wichtig","2013","","","",""
"2 Wichtig","2013","","","",""
"3 Weniger wichtig","2013","","","",""
"4 Ganz unwichtig","2013","","","",""
"1 Sehr wichtig","2014","","","",""
"2 Wichtig","2014","","","",""
"3 Weniger wichtig","2014","","","",""
"4 Ganz unwichtig","2014","","","",""
"1 Sehr wichtig","2015","","","",""
"2 Wichtig","2015","","","",""
"3 Weniger wichtig","2015","","","",""
"4 Ganz unwichtig","2015","","","",""
"1 Sehr wichtig","2016","5094","0.195531111419376","0.190527356871482","0.20053486596727"
"2 Wichtig","2016","8523","0.33943208866924","0.33345804185437","0.345406135484111"
"3 Weniger wichtig","2016","6817","0.290640982159903","0.284912429494559","0.296369534825247"
"4 Ganz unwichtig","2016","3700","0.174395817751481","0.169608553377198","0.179183082125764"
