"plh0182","year","sex","n","percent","lower_confidence","upper_confidence"
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","maennlich","76","0.0125940427548328","0.00976791595770842","0.0154201695519572"
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","weiblich","70","0.0114511833698564","0.00880517282100619","0.0140971939187067"
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","maennlich","36","0.00530009192335411","0.00345996012718656","0.00714022371952167"
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","weiblich","33","0.00586243216250368","0.0039638496145709","0.00776101471043647"
"10 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","maennlich","1140","0.184140610732359","0.174317622191776","0.193963599272942"
"10 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","weiblich","1269","0.206055448299798","0.195996456273732","0.216114440325865"
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","maennlich","79","0.0140642659019417","0.0110799552582975","0.0170485765455858"
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","weiblich","75","0.0125203314578116","0.0097550501317055","0.0152856127839176"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","maennlich","123","0.0214288402360581","0.0177589191194398","0.0250987613526765"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","weiblich","126","0.0192133856375307","0.0157994404718434","0.022627330803218"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","maennlich","157","0.0235218455948869","0.0196809884625007","0.0273627027272731"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","weiblich","176","0.0269297465271214","0.0229039153625308","0.030955577691712"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","maennlich","650","0.106177461213442","0.0983701227179824","0.113984799708901"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","weiblich","794","0.129170370380179","0.120829423075311","0.137511317685046"
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","maennlich","487","0.08280429162983","0.0758200602293079","0.0897885230303521"
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","weiblich","505","0.0820972741377852","0.0752702722183254","0.088924276057245"
"7 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","maennlich","961","0.167164079015394","0.157707971662671","0.176620186368117"
"7 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","weiblich","907","0.146435754388862","0.137643322791656","0.155228185986067"
"8 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","maennlich","1540","0.259235320605852","0.248129557387966","0.270341083823737"
"8 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","weiblich","1471","0.238816838185143","0.228213456743178","0.249420219627108"
"9 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","maennlich","732","0.12356915039205","0.115228977606557","0.131909323177543"
"9 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1984","weiblich","785","0.12144723545341","0.113323700230612","0.129570770676207"
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","maennlich","56","0.0101543097832117","0.00749114533082022","0.0128174742356031"
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","weiblich","54","0.009740551775409","0.00716963616504672","0.0123114673857713"
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","maennlich","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","weiblich","33","0.00591252667726781","0.00390565131385825","0.00791940204067738"
"10 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","maennlich","719","0.129260955078208","0.120349128583677","0.138172781572739"
"10 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","weiblich","816","0.148426923243078","0.139120370392171","0.157733476093985"
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","maennlich","57","0.0113192001284873","0.00850907957042283","0.0141293206865519"
"2 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","weiblich","82","0.0145440068091111","0.0114101280095274","0.0176778856086948"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","maennlich","142","0.0250528652638306","0.0209013344305454","0.0292043960971158"
"3 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","weiblich","134","0.0253008408066215","0.0211900600291466","0.0294116215840965"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","maennlich","162","0.0285242832862354","0.0241023480470572","0.0329462185254135"
"4 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","weiblich","188","0.031887009780468","0.0272877126693134","0.0364863068916226"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","maennlich","625","0.119124718221205","0.110519791274424","0.127729645167986"
"5 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","weiblich","718","0.129231207136557","0.120449950437461","0.138012463835652"
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","maennlich","506","0.093435704786928","0.0857045428354581","0.101166866738398"
"6 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","weiblich","497","0.0885974407215718","0.0811589083972945","0.0960359730458491"
"7 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","maennlich","992","0.183641655251769","0.173356400565539","0.193926909937998"
"7 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","weiblich","940","0.163210771892184","0.153536818422792","0.172884725361577"
"8 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","maennlich","1487","0.276123311391404","0.264247238218832","0.287999384563976"
"8 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","weiblich","1443","0.259545707330223","0.248070049322526","0.271021365337921"
"9 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","maennlich","672","0.119524036822873","0.110906653512953","0.128141420132793"
"9 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1985","weiblich","701","0.123603013827509","0.114987394295067","0.13221863335995"
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1986","maennlich","","","",""
"0 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1986","weiblich","38","0.00641561051926043","0.00427880219088355","0.00855241884763732"
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1986","maennlich","","","",""
"1 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1986","weiblich","","","",""
"10 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1986","maennlich","604","0.111141463111317","0.102637809590974","0.119645116631661"
"10 Zufrieden: Skala 0-Niedrig bis 10-Hoch","1986","weiblich","678","0.130957492411925","0.121928695639905","0.139986289183946"
