,Unnamed: 0,year,age_gr,sampreg,plh0184,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2007,17-29 y.,West,Very seldom,0.06286,173,20454,0.055,0.0727
1,1,2007,17-29 y.,West,Seldom,0.20587,543,20454,0.19247,0.22081
2,2,2007,17-29 y.,West,Sometimes,0.42315,1015,20454,0.40062,0.44394
3,3,2007,17-29 y.,West,Often,0.23743,589,20454,0.2202,0.25537
4,4,2007,17-29 y.,West,Very often,0.07069,174,20454,0.06214,0.0803
5,5,2007,17-29 y.,East,Very seldom,0.06148,50,20454,0.04758,0.07648
6,6,2007,17-29 y.,East,Seldom,0.17844,177,20454,0.15453,0.20267
7,7,2007,17-29 y.,East,Sometimes,0.44352,397,20454,0.4,0.48599
8,8,2007,17-29 y.,East,Often,0.24298,225,20454,0.21816,0.27886
9,9,2007,17-29 y.,East,Very often,0.07357,50,20454,0.05612,0.09055
10,10,2007,30-45 y.,West,Very seldom,0.06616,304,20454,0.05959,0.07358
11,11,2007,30-45 y.,West,Seldom,0.17003,771,20454,0.16099,0.17981
12,12,2007,30-45 y.,West,Sometimes,0.41751,1873,20454,0.39962,0.43505
13,13,2007,30-45 y.,West,Often,0.26579,1190,20454,0.25142,0.27823
14,14,2007,30-45 y.,West,Very often,0.08051,344,20454,0.07366,0.08793
15,15,2007,30-45 y.,East,Very seldom,0.05507,69,20454,0.04236,0.07231
16,16,2007,30-45 y.,East,Seldom,0.14133,164,20454,0.12479,0.16604
17,17,2007,30-45 y.,East,Sometimes,0.44624,580,20454,0.41512,0.48339
18,18,2007,30-45 y.,East,Often,0.26217,308,20454,0.2334,0.29123
19,19,2007,30-45 y.,East,Very often,0.09519,95,20454,0.07698,0.1133
20,20,2007,46-65 y.,West,Very seldom,0.09545,520,20454,0.08959,0.10208
21,21,2007,46-65 y.,West,Seldom,0.21792,1190,20454,0.20911,0.22828
22,22,2007,46-65 y.,West,Sometimes,0.42672,2283,20454,0.41168,0.44144
23,23,2007,46-65 y.,West,Often,0.20572,999,20454,0.19435,0.21737
24,24,2007,46-65 y.,West,Very often,0.05419,285,20454,0.04851,0.05973
25,25,2007,46-65 y.,East,Very seldom,0.06474,120,20454,0.0577,0.07219
26,26,2007,46-65 y.,East,Seldom,0.2143,385,20454,0.19213,0.23559
27,27,2007,46-65 y.,East,Sometimes,0.42729,763,20454,0.3992,0.45606
28,28,2007,46-65 y.,East,Often,0.22922,386,20454,0.20775,0.24816
29,29,2007,46-65 y.,East,Very often,0.06446,110,20454,0.05126,0.07842
30,30,2007,66 and older,West,Very seldom,0.21255,663,20454,0.20354,0.2222
31,31,2007,66 and older,West,Seldom,0.29095,963,20454,0.27917,0.30431
32,32,2007,66 and older,West,Sometimes,0.37593,1171,20454,0.36163,0.38876
33,33,2007,66 and older,West,Often,0.09899,330,20454,0.09308,0.10627
34,34,2007,66 and older,West,Very often,0.02158,76,20454,0.01885,0.02488
35,35,2007,66 and older,East,Very seldom,0.16463,176,20454,0.15126,0.17692
36,36,2007,66 and older,East,Seldom,0.27265,308,20454,0.25517,0.29072
37,37,2007,66 and older,East,Sometimes,0.3762,430,20454,0.35246,0.39912
38,38,2007,66 and older,East,Often,0.16007,174,20454,0.14626,0.17386
39,39,2007,66 and older,East,Very often,0.02645,31,20454,0.02017,0.03418
40,40,2008,17-29 y.,West,Very seldom,0.07238,190,19238,0.06219,0.08401
41,41,2008,17-29 y.,West,Seldom,0.23374,562,19238,0.21862,0.25232
42,42,2008,17-29 y.,West,Sometimes,0.4292,970,19238,0.40255,0.45628
43,43,2008,17-29 y.,West,Often,0.20723,476,19238,0.18833,0.22668
44,44,2008,17-29 y.,West,Very often,0.05745,130,19238,0.04998,0.06776
45,45,2008,17-29 y.,East,Very seldom,0.07174,60,19238,0.05775,0.08526
46,46,2008,17-29 y.,East,Seldom,0.18581,165,19238,0.15974,0.21239
47,47,2008,17-29 y.,East,Sometimes,0.47591,391,19238,0.43716,0.5285
48,48,2008,17-29 y.,East,Often,0.20939,166,19238,0.17911,0.2444
49,49,2008,17-29 y.,East,Very often,0.05715,41,19238,0.0445,0.07188
50,50,2008,30-45 y.,West,Very seldom,0.06329,255,19238,0.05623,0.06999
51,51,2008,30-45 y.,West,Seldom,0.20096,819,19238,0.18895,0.21299
52,52,2008,30-45 y.,West,Sometimes,0.42878,1750,19238,0.41059,0.44508
53,53,2008,30-45 y.,West,Often,0.24988,961,19238,0.23508,0.26475
54,54,2008,30-45 y.,West,Very often,0.05709,231,19238,0.05171,0.06345
55,55,2008,30-45 y.,East,Very seldom,0.07231,69,19238,0.05725,0.08895
56,56,2008,30-45 y.,East,Seldom,0.16671,199,19238,0.14556,0.19251
57,57,2008,30-45 y.,East,Sometimes,0.47937,559,19238,0.43848,0.51887
58,58,2008,30-45 y.,East,Often,0.22254,251,19238,0.19531,0.25409
59,59,2008,30-45 y.,East,Very often,0.05906,68,19238,0.04728,0.07035
60,60,2008,46-65 y.,West,Very seldom,0.09882,487,19238,0.09219,0.10577
61,61,2008,46-65 y.,West,Seldom,0.23524,1230,19238,0.22519,0.24644
62,62,2008,46-65 y.,West,Sometimes,0.43596,2185,19238,0.42033,0.4525
63,63,2008,46-65 y.,West,Often,0.18502,883,19238,0.17346,0.1947
64,64,2008,46-65 y.,West,Very often,0.04496,213,19238,0.04021,0.05024
65,65,2008,46-65 y.,East,Very seldom,0.06982,125,19238,0.06159,0.07838
66,66,2008,46-65 y.,East,Seldom,0.22336,384,19238,0.20458,0.24591
67,67,2008,46-65 y.,East,Sometimes,0.45444,745,19238,0.42564,0.48093
68,68,2008,46-65 y.,East,Often,0.21279,351,19238,0.19346,0.2371
69,69,2008,46-65 y.,East,Very often,0.03959,73,19238,0.0328,0.04763
70,70,2008,66 and older,West,Very seldom,0.18931,594,19238,0.18031,0.2001
71,71,2008,66 and older,West,Seldom,0.31844,1030,19238,0.30414,0.32849
72,72,2008,66 and older,West,Sometimes,0.375,1166,19238,0.36025,0.38916
73,73,2008,66 and older,West,Often,0.09749,305,19238,0.09007,0.10597
74,74,2008,66 and older,West,Very often,0.01976,66,19238,0.01698,0.02226
75,75,2008,66 and older,East,Very seldom,0.14081,161,19238,0.12684,0.15451
76,76,2008,66 and older,East,Seldom,0.30032,330,19238,0.28043,0.31907
77,77,2008,66 and older,East,Sometimes,0.42433,457,19238,0.39973,0.4531
78,78,2008,66 and older,East,Often,0.13454,140,19238,0.11979,0.1485
79,79,2009,17-29 y.,West,Very seldom,0.06019,148,17910,0.05183,0.06981
80,80,2009,17-29 y.,West,Seldom,0.22611,501,17910,0.20724,0.24572
81,81,2009,17-29 y.,West,Sometimes,0.44492,905,17910,0.41457,0.47939
82,82,2009,17-29 y.,West,Often,0.2253,471,17910,0.20565,0.24611
83,83,2009,17-29 y.,West,Very often,0.04348,100,17910,0.03602,0.05238
84,84,2009,17-29 y.,East,Very seldom,0.06139,48,17910,0.04564,0.07606
85,85,2009,17-29 y.,East,Seldom,0.25281,159,17910,0.21269,0.3002
86,86,2009,17-29 y.,East,Sometimes,0.41803,307,17910,0.36571,0.47017
87,87,2009,17-29 y.,East,Often,0.26778,186,17910,0.22693,0.32228
88,88,2009,30-45 y.,West,Very seldom,0.0593,215,17910,0.05176,0.06784
89,89,2009,30-45 y.,West,Seldom,0.19136,726,17910,0.17832,0.20348
90,90,2009,30-45 y.,West,Sometimes,0.44078,1579,17910,0.42134,0.46089
91,91,2009,30-45 y.,West,Often,0.24589,864,17910,0.22929,0.25916
92,92,2009,30-45 y.,West,Very often,0.06267,220,17910,0.05474,0.07075
93,93,2009,30-45 y.,East,Very seldom,0.05787,58,17910,0.04395,0.07317
94,94,2009,30-45 y.,East,Seldom,0.22998,222,17910,0.19237,0.26269
95,95,2009,30-45 y.,East,Sometimes,0.44734,495,17910,0.40655,0.48945
96,96,2009,30-45 y.,East,Often,0.22232,236,17910,0.19676,0.25307
97,97,2009,30-45 y.,East,Very often,0.04248,52,17910,0.03153,0.05618
98,98,2009,46-65 y.,West,Very seldom,0.08772,428,17910,0.08019,0.09408
99,99,2009,46-65 y.,West,Seldom,0.25418,1210,17910,0.24131,0.26719
100,100,2009,46-65 y.,West,Sometimes,0.41944,1970,17910,0.40361,0.43712
101,101,2009,46-65 y.,West,Often,0.19204,856,17910,0.18099,0.2031
102,102,2009,46-65 y.,West,Very often,0.04662,212,17910,0.04141,0.05176
103,103,2009,46-65 y.,East,Very seldom,0.08825,155,17910,0.08041,0.09971
104,104,2009,46-65 y.,East,Seldom,0.23852,399,17910,0.21369,0.26471
105,105,2009,46-65 y.,East,Sometimes,0.45416,716,17910,0.41936,0.48981
106,106,2009,46-65 y.,East,Often,0.18833,305,17910,0.16799,0.20649
107,107,2009,46-65 y.,East,Very often,0.03074,57,17910,0.02155,0.04299
108,108,2009,66 and older,West,Very seldom,0.22651,643,17910,0.21387,0.238
109,109,2009,66 and older,West,Seldom,0.3265,1031,17910,0.31318,0.34294
110,110,2009,66 and older,West,Sometimes,0.34576,1028,17910,0.33001,0.36039
111,111,2009,66 and older,West,Often,0.08512,267,17910,0.07861,0.09205
112,112,2009,66 and older,West,Very often,0.01611,51,17910,0.01168,0.01994
113,113,2009,66 and older,East,Very seldom,0.17909,194,17910,0.1611,0.19477
114,114,2009,66 and older,East,Seldom,0.29178,336,17910,0.27106,0.31388
115,115,2009,66 and older,East,Sometimes,0.39542,422,17910,0.36148,0.42576
116,116,2009,66 and older,East,Often,0.1337,138,17910,0.1167,0.14939
117,117,2010,17-29 y.,West,Very seldom,0.05911,142,16549,0.04951,0.0689
118,118,2010,17-29 y.,West,Seldom,0.24864,448,16549,0.22208,0.27727
119,119,2010,17-29 y.,West,Sometimes,0.41814,782,16549,0.38878,0.44904
120,120,2010,17-29 y.,West,Often,0.23788,447,16549,0.216,0.26356
121,121,2010,17-29 y.,West,Very often,0.03623,76,16549,0.02607,0.04513
122,122,2010,17-29 y.,East,Very seldom,0.08869,47,16549,0.06191,0.12213
123,123,2010,17-29 y.,East,Seldom,0.24485,147,16549,0.20528,0.29193
124,124,2010,17-29 y.,East,Sometimes,0.45784,277,16549,0.38968,0.52963
125,125,2010,17-29 y.,East,Often,0.20862,118,16549,0.16445,0.25482
126,126,2010,30-45 y.,West,Very seldom,0.06473,200,16549,0.05264,0.07676
127,127,2010,30-45 y.,West,Seldom,0.2142,667,16549,0.19127,0.23137
128,128,2010,30-45 y.,West,Sometimes,0.44088,1401,16549,0.416,0.46567
129,129,2010,30-45 y.,West,Often,0.23939,754,16549,0.21961,0.25908
130,130,2010,30-45 y.,West,Very often,0.04079,142,16549,0.03247,0.05031
131,131,2010,30-45 y.,East,Very seldom,0.08605,55,16549,0.05855,0.11578
132,132,2010,30-45 y.,East,Seldom,0.22435,202,16549,0.19017,0.26559
133,133,2010,30-45 y.,East,Sometimes,0.41708,452,16549,0.37166,0.46351
134,134,2010,30-45 y.,East,Often,0.21088,191,16549,0.17219,0.24848
135,135,2010,30-45 y.,East,Very often,0.06163,37,16549,0.03883,0.08998
136,136,2010,46-65 y.,West,Very seldom,0.09907,455,16549,0.09113,0.10635
137,137,2010,46-65 y.,West,Seldom,0.24266,1124,16549,0.22682,0.25479
138,138,2010,46-65 y.,West,Sometimes,0.46658,2077,16549,0.44828,0.48799
139,139,2010,46-65 y.,West,Often,0.16324,705,16549,0.15229,0.1764
140,140,2010,46-65 y.,West,Very often,0.02844,128,16549,0.02424,0.03486
141,141,2010,46-65 y.,East,Very seldom,0.08226,132,16549,0.07224,0.09743
142,142,2010,46-65 y.,East,Seldom,0.26608,402,16549,0.23745,0.28919
143,143,2010,46-65 y.,East,Sometimes,0.45344,698,16549,0.42179,0.48873
144,144,2010,46-65 y.,East,Often,0.17243,252,16549,0.15157,0.19647
145,145,2010,46-65 y.,East,Very often,0.02579,32,16549,0.01814,0.0358
146,146,2010,66 and older,West,Very seldom,0.19537,576,16549,0.18277,0.20658
147,147,2010,66 and older,West,Seldom,0.34271,1054,16549,0.32696,0.35941
148,148,2010,66 and older,West,Sometimes,0.37207,1042,16549,0.35332,0.39008
149,149,2010,66 and older,West,Often,0.07659,223,16549,0.06874,0.08384
150,150,2010,66 and older,West,Very often,0.01327,40,16549,0.01088,0.01638
151,151,2010,66 and older,East,Very seldom,0.17911,186,16549,0.1626,0.19577
152,152,2010,66 and older,East,Seldom,0.29181,304,16549,0.27562,0.31521
153,153,2010,66 and older,East,Sometimes,0.43613,442,16549,0.40535,0.47242
154,154,2010,66 and older,East,Often,0.09295,92,16549,0.07705,0.11217
155,155,2011,17-29 y.,West,Very seldom,0.06869,169,20631,0.05896,0.07993
156,156,2011,17-29 y.,West,Seldom,0.22795,519,20631,0.20681,0.25232
157,157,2011,17-29 y.,West,Sometimes,0.40913,951,20631,0.38514,0.43343
158,158,2011,17-29 y.,West,Often,0.24096,540,20631,0.22185,0.26224
159,159,2011,17-29 y.,West,Very often,0.05327,137,20631,0.04366,0.0624
160,160,2011,17-29 y.,East,Very seldom,0.07909,53,20631,0.05538,0.11431
161,161,2011,17-29 y.,East,Seldom,0.21196,139,20631,0.1794,0.24699
162,162,2011,17-29 y.,East,Sometimes,0.40393,278,20631,0.36249,0.44573
163,163,2011,17-29 y.,East,Often,0.23894,156,20631,0.20137,0.29298
164,164,2011,17-29 y.,East,Very often,0.06608,41,20631,0.04068,0.0878
165,165,2011,30-45 y.,West,Very seldom,0.07055,248,20631,0.06339,0.08038
166,166,2011,30-45 y.,West,Seldom,0.22073,810,20631,0.20628,0.23483
167,167,2011,30-45 y.,West,Sometimes,0.45306,1646,20631,0.4262,0.48017
168,168,2011,30-45 y.,West,Often,0.20311,835,20631,0.18806,0.22053
169,169,2011,30-45 y.,West,Very often,0.05256,220,20631,0.04532,0.05984
170,170,2011,30-45 y.,East,Very seldom,0.07968,67,20631,0.05978,0.10444
171,171,2011,30-45 y.,East,Seldom,0.22443,216,20631,0.18673,0.25929
172,172,2011,30-45 y.,East,Sometimes,0.4146,488,20631,0.37311,0.45309
173,173,2011,30-45 y.,East,Often,0.23282,255,20631,0.20113,0.27303
174,174,2011,30-45 y.,East,Very often,0.04848,54,20631,0.0359,0.06487
175,175,2011,46-65 y.,West,Very seldom,0.11319,648,20631,0.1063,0.11973
176,176,2011,46-65 y.,West,Seldom,0.23425,1488,20631,0.22423,0.2454
177,177,2011,46-65 y.,West,Sometimes,0.4359,2502,20631,0.42011,0.45328
178,178,2011,46-65 y.,West,Often,0.17376,993,20631,0.16349,0.18303
179,179,2011,46-65 y.,West,Very often,0.04291,238,20631,0.03788,0.04814
180,180,2011,46-65 y.,East,Very seldom,0.1088,216,20631,0.09729,0.12532
181,181,2011,46-65 y.,East,Seldom,0.23926,492,20631,0.22187,0.25588
182,182,2011,46-65 y.,East,Sometimes,0.42672,773,20631,0.39526,0.45918
183,183,2011,46-65 y.,East,Often,0.18035,318,20631,0.16093,0.19906
184,184,2011,46-65 y.,East,Very often,0.04487,78,20631,0.03744,0.05211
185,185,2011,66 and older,West,Very seldom,0.22182,839,20631,0.21024,0.23099
186,186,2011,66 and older,West,Seldom,0.31548,1234,20631,0.30394,0.3293
187,187,2011,66 and older,West,Sometimes,0.35349,1349,20631,0.33805,0.36803
188,188,2011,66 and older,West,Often,0.0933,340,20631,0.08521,0.10245
189,189,2011,66 and older,West,Very often,0.0159,59,20631,0.01362,0.01852
190,190,2011,66 and older,East,Very seldom,0.20393,272,20631,0.18859,0.21727
191,191,2011,66 and older,East,Seldom,0.32689,411,20631,0.30827,0.34537
192,192,2011,66 and older,East,Sometimes,0.38802,460,20631,0.36042,0.41833
193,193,2011,66 and older,East,Often,0.08116,99,20631,0.06974,0.09008
194,194,2012,17-29 y.,West,Very seldom,0.06345,172,20392,0.05399,0.07454
195,195,2012,17-29 y.,West,Seldom,0.26656,584,20392,0.24692,0.286
196,196,2012,17-29 y.,West,Sometimes,0.41952,947,20392,0.3951,0.44908
197,197,2012,17-29 y.,West,Often,0.21158,475,20392,0.19221,0.22904
198,198,2012,17-29 y.,West,Very often,0.03888,87,20392,0.03251,0.04713
199,199,2012,17-29 y.,East,Very seldom,0.11267,64,20392,0.08746,0.14211
200,200,2012,17-29 y.,East,Seldom,0.24152,131,20392,0.20513,0.28882
201,201,2012,17-29 y.,East,Sometimes,0.42598,276,20392,0.38355,0.47153
202,202,2012,17-29 y.,East,Often,0.21983,115,20392,0.17835,0.26363
203,203,2012,30-45 y.,West,Very seldom,0.08122,285,20392,0.07326,0.0915
204,204,2012,30-45 y.,West,Seldom,0.24671,790,20392,0.23065,0.26507
205,205,2012,30-45 y.,West,Sometimes,0.42293,1545,20392,0.40202,0.45061
206,206,2012,30-45 y.,West,Often,0.19584,758,20392,0.1812,0.21288
207,207,2012,30-45 y.,West,Very often,0.0533,194,20392,0.04506,0.06138
208,208,2012,30-45 y.,East,Very seldom,0.07101,72,20392,0.05308,0.08857
209,209,2012,30-45 y.,East,Seldom,0.21256,222,20392,0.18142,0.2506
210,210,2012,30-45 y.,East,Sometimes,0.41462,435,20392,0.37264,0.46868
211,211,2012,30-45 y.,East,Often,0.26509,241,20392,0.23373,0.30039
212,212,2012,30-45 y.,East,Very often,0.03671,41,20392,0.02601,0.04964
213,213,2012,46-65 y.,West,Very seldom,0.09281,592,20392,0.08609,0.09978
214,214,2012,46-65 y.,West,Seldom,0.26688,1583,20392,0.25735,0.27814
215,215,2012,46-65 y.,West,Sometimes,0.43197,2497,20392,0.41728,0.44864
216,216,2012,46-65 y.,West,Often,0.1669,981,20392,0.15558,0.17798
217,217,2012,46-65 y.,West,Very often,0.04144,228,20392,0.03644,0.04677
218,218,2012,46-65 y.,East,Very seldom,0.09036,179,20392,0.07796,0.10206
219,219,2012,46-65 y.,East,Seldom,0.26206,540,20392,0.24678,0.28092
