year,plh0184,migback,pgisced97,proportion,n,lower_confidence,upper_confidence
2007,Very seldom,No migration background,middle vocational,0.46952705997074595,25385,0.4633876106554859,0.475666509286006
2007,Very seldom,No migration background,higher education,0.17113603120429058,25385,0.16650284402368642,0.17576921838489473
2007,Very seldom,No migration background,general elementary,0.098488542174549,25385,0.0948229346155663,0.1021541497335317
2007,Very seldom,No migration background,higher vocational,0.062408581179912236,25385,0.05943283109912127,0.0653843312607032
2007,Very seldom,Direct migration background,middle vocational,0.0424183325207216,25385,0.03993901473917808,0.04489765030226512
2007,Very seldom,No migration background,vocational + Abi,0.03754266211604096,25385,0.03520425155446961,0.03988107267761231
2007,Very seldom,Direct migration background,general elementary,0.028278888347147733,25385,0.026239643032028654,0.03031813366226681
2007,Very seldom,Direct migration background,higher education,0.01657727937591419,25385,0.015006575791761541,0.018147982960066835
2007,Very seldom,Indirect migration background,middle vocational,0.013164310092637738,25385,0.011762177891748282,0.014566442293527194
2007,Very seldom,No migration background,in school,0.01121404193076548,25385,0.009918654375594242,0.012509429485936717
2007,Very seldom,Direct migration background,vocational + Abi,0.010726474890297415,25385,0.009459248551302766,0.011993701229292065
2007,Very seldom,Direct migration background,inadequately,0.009751340809361287,25385,0.008542492557874353,0.010960189060848221
2007,Very seldom,Direct migration background,higher vocational,0.008776206728425159,25385,0.007628828066380881,0.009923585390469437
2007,Very seldom,Indirect migration background,general elementary,0.006825938566552901,25385,0.005813050721612349,0.007838826411493454
2007,Very seldom,No migration background,inadequately,0.005363237445148708,25385,0.0044647474336832966,0.006261727456614119
2007,Very seldom,Indirect migration background,higher education,0.0029254022428083864,25385,0.0022610106802647993,0.0035897938053519735
2007,Very seldom,Indirect migration background,in school,0.0029254022428083864,25385,0.0022610106802647993,0.0035897938053519735
2007,Very seldom,Indirect migration background,vocational + Abi,0.0014627011214041932,25385,0.0009925608749718068,0.0019328413678365796
2007,Very seldom,Direct migration background,in school,0.00048756704046806434,25385,0.00021599893806229864,0.00075913514287383
2007,Seldom,No migration background,middle vocational,0.4579185520361991,25385,0.451789491948538,0.46404761212386014
2007,Seldom,No migration background,higher education,0.19909502262443438,25385,0.19418268525955187,0.20400735998931688
2007,Seldom,No migration background,general elementary,0.08574660633484163,25385,0.08230224069358445,0.0891909719760988
2007,Seldom,No migration background,higher vocational,0.05972850678733032,25385,0.05681319538648559,0.06264381818817505
2007,Seldom,Direct migration background,middle vocational,0.046153846153846156,25385,0.04357271184864074,0.04873498045905157
2007,Seldom,No migration background,vocational + Abi,0.03461538461538462,25385,0.032366577250232995,0.03686419198053624
2007,Seldom,Direct migration background,general elementary,0.02918552036199095,25385,0.027114810124891107,0.031256230599090794
2007,Seldom,Direct migration background,higher education,0.017194570135746608,25385,0.015595391708476356,0.018793748563016858
2007,Seldom,No migration background,in school,0.015384615384615385,25385,0.013870551787251308,0.016898678981979463
2007,Seldom,Indirect migration background,middle vocational,0.014705882352941176,25385,0.01322508381778329,0.01618668088809906
2007,Seldom,Direct migration background,vocational + Abi,0.008144796380090498,25385,0.007039110556800902,0.009250482203380095
2007,Seldom,Direct migration background,higher vocational,0.006787330316742082,25385,0.00577729140425317,0.007797369229230993
2007,Seldom,Indirect migration background,general elementary,0.006334841628959276,25385,0.0053588290846303815,0.007310854173288171
2007,Seldom,Direct migration background,inadequately,0.005203619909502262,25385,0.0043185300420475045,0.00608870977695702
2007,Seldom,Indirect migration background,higher education,0.0036199095022624436,25385,0.0028811061376411524,0.004358712866883735
2007,Seldom,No migration background,inadequately,0.0027149321266968325,25385,0.0020748191462291185,0.0033550451071645464
2007,Seldom,Indirect migration background,in school,0.0022624434389140274,25385,0.0016779703590492176,0.0028469165187788373
2007,Seldom,Indirect migration background,vocational + Abi,0.0020361990950226246,25385,0.0014816563833621398,0.0025907418066831093
2007,Seldom,Indirect migration background,higher vocational,0.0013574660633484162,25385,0.0009045298888241007,0.0018104022378727317
2007,Seldom,Direct migration background,in school,0.0013574660633484162,25385,0.0009045298888241007,0.0018104022378727317
2007,Seldom,Indirect migration background,inadequately,0.00045248868778280545,25385,0.00019086740441474773,0.0007141099711508632
2007,Sometimes,No migration background,middle vocational,0.45458885308509367,25385,0.44846339061376184,0.4607143155564255
2007,Sometimes,No migration background,higher education,0.2058718224131758,25385,0.20089775983209643,0.2108458849942552
2007,Sometimes,No migration background,general elementary,0.07184628237259816,25385,0.06866955758216987,0.07502300716302644
2007,Sometimes,No migration background,higher vocational,0.07136889843656762,25385,0.068201931008527,0.07453586586460823
2007,Sometimes,No migration background,vocational + Abi,0.047261009667024706,25385,0.04465061631551267,0.04987140301853674
