year,pgisced97,quintil_oecd,plh0184,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2007,Pre-primary Level,3rd Quintile,Sometimes,0.0017066421071767251,36,19167,0.0016964744498633797,0.0017168097644900706
2007,Pre-primary Level,5th Quintile,Sometimes,0.0008289753778138203,36,19167,0.0008218859479111858,0.0008360648077164548
2007,Primary Level,1st Quintile,Sometimes,0.002355601768695244,36,19167,0.002343660254438403,0.0023675432829520847
2007,Lower Secondary Level,1st Quintile,Very seldom,0.005938237632477658,88,19167,0.0059193117537828036,0.005957163511172512
2007,Lower Secondary Level,1st Quintile,Seldom,0.010465318664780522,159,19167,0.01044025108995684,0.010490386239604204
2007,Lower Secondary Level,1st Quintile,Sometimes,0.018316702908440678,242,19167,0.018283671283933548,0.018349734532947807
2007,Lower Secondary Level,1st Quintile,Often,0.008837753249660194,130,19167,0.00881469831513899,0.008860808184181397
2007,Lower Secondary Level,1st Quintile,Very often,0.003183308464679067,46,19167,0.003169432359142643,0.003197184570215491
2007,Lower Secondary Level,2nd Quintile,Very seldom,0.004754223571570791,63,19167,0.004737279196602639,0.0047711679465389425
2007,Lower Secondary Level,2nd Quintile,Seldom,0.008843984195978635,137,19167,0.00882092120808736,0.00886704718386991
2007,Lower Secondary Level,2nd Quintile,Sometimes,0.014785648311889825,226,19167,0.01475591754359871,0.01481537908018094
2007,Lower Secondary Level,2nd Quintile,Often,0.005437642508078604,99,19167,0.00541952735883487,0.0054557576573223375
2007,Lower Secondary Level,2nd Quintile,Very often,0.0022456039581475523,36,19167,0.0022339439463734435,0.002257263969921661
2007,Lower Secondary Level,3rd Quintile,Very seldom,0.004231847303044585,65,19167,0.004215856705538071,0.004247837900551098
2007,Lower Secondary Level,3rd Quintile,Seldom,0.00637522633820099,107,19167,0.006355620762884663,0.0063948319135173175
2007,Lower Secondary Level,3rd Quintile,Sometimes,0.009398303225684934,172,19167,0.009374535105125746,0.009422071346244123
2007,Lower Secondary Level,3rd Quintile,Often,0.00514769753301776,78,19167,0.005130069396849384,0.0051653256691861354
2007,Lower Secondary Level,4th Quintile,Very seldom,0.002394550395648206,42,19167,0.0023825107978548087,0.0024065899934416035
2007,Lower Secondary Level,4th Quintile,Seldom,0.004467901100131605,77,19167,0.004451472521498868,0.004484329678764342
2007,Lower Secondary Level,4th Quintile,Sometimes,0.007313216582460401,138,19167,0.007292228105787296,0.007334205059133506
2007,Lower Secondary Level,4th Quintile,Often,0.004232178373402612,71,19167,0.004216187153070016,0.004248169593735209
2007,Lower Secondary Level,5th Quintile,Seldom,0.002925632898460719,56,19167,0.0029123285297355988,0.0029389372671858394
2007,Lower Secondary Level,5th Quintile,Sometimes,0.003095874773337126,74,19167,0.003082189957077786,0.003109559589596466
2007,Lower Secondary Level,5th Quintile,Often,0.0015024713648788936,33,19167,0.001492930292719947,0.0015120124370378402
2007,Upper Secondary Level,1st Quintile,Very seldom,0.011685689337098735,181,19167,0.011659216816699673,0.011712161857497797
2007,Upper Secondary Level,1st Quintile,Seldom,0.023804064886847186,389,19167,0.02376651448044983,0.02384161529324454
2007,Upper Secondary Level,1st Quintile,Sometimes,0.041923036497816396,658,19167,0.04187366831450836,0.04197240468112443
2007,Upper Secondary Level,1st Quintile,Often,0.02502736606887555,403,19167,0.024988887016567807,0.025065845121183292
2007,Upper Secondary Level,1st Quintile,Very often,0.006648934334004316,115,19167,0.00662891507564755,0.006668953592361082
2007,Upper Secondary Level,2nd Quintile,Very seldom,0.013181814923526417,225,19167,0.013153720070898586,0.013209909776154247
2007,Upper Secondary Level,2nd Quintile,Seldom,0.025789999590771134,445,19167,0.025750953951223964,0.025829045230318304
2007,Upper Secondary Level,2nd Quintile,Sometimes,0.04620576249130222,851,19167,0.04615404993589044,0.046257475046714
2007,Upper Secondary Level,2nd Quintile,Often,0.023893725563388472,430,19167,0.02385610623228346,0.023931344894493486
2007,Upper Secondary Level,2nd Quintile,Very often,0.006786819767706512,105,19167,0.006766595398890245,0.006807044136522778
