"plh0184","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Manchmal","2007","Laendlicher Raum","3030","0.423426771477526","0.411916686549973","0.43493685640508"
"Manchmal","2007","Staedtischer Raum","5482","0.408947309779578","0.400615334501849","0.417279285057307"
"Oft","2007","Laendlicher Raum","1452","","",""
"Oft","2007","Staedtischer Raum","2749","","",""
"Sehr oft","2007","Laendlicher Raum","396","0.0563645068978804","0.0509921219371635","0.0617368918585972"
"Sehr oft","2007","Staedtischer Raum","769","0.0593800598222852","0.0553748192980597","0.0633853003465107"
"Sehr selten","2007","Laendlicher Raum","648","0.0977934611791954","0.0908740358235177","0.104712886534873"
"Sehr selten","2007","Staedtischer Raum","1427","","",""
"Selten","2007","Laendlicher Raum","1553","","",""
"Selten","2007","Staedtischer Raum","2948","","",""
"Manchmal","2008","Laendlicher Raum","2932","","",""
"Manchmal","2008","Staedtischer Raum","5291","0.417810442631632","0.409200192965085","0.426420692298178"
"Oft","2008","Laendlicher Raum","1205","","",""
"Oft","2008","Staedtischer Raum","2328","","",""
"Sehr oft","2008","Laendlicher Raum","310","0.043862645093863","0.0389450436383938","0.0487802465493321"
"Sehr oft","2008","Staedtischer Raum","540","0.0445824135674049","0.0409793469039212","0.0481854802308886"
"Sehr selten","2008","Laendlicher Raum","624","0.0948278426768553","0.0877925963921461","0.101863088961564"
"Sehr selten","2008","Staedtischer Raum","1317","","",""
"Selten","2008","Laendlicher Raum","1591","","",""
"Selten","2008","Staedtischer Raum","3128","0.242293991151196","0.234813750304716","0.249774231997675"
"Manchmal","2009","Laendlicher Raum","2739","","",""
"Manchmal","2009","Staedtischer Raum","4683","0.404089339473889","0.395164018331391","0.413014660616387"
"Oft","2009","Laendlicher Raum","1147","","",""
"Oft","2009","Staedtischer Raum","2176","","",""
"Sehr oft","2009","Laendlicher Raum","239","","",""
"Sehr oft","2009","Staedtischer Raum","494","0.0427591475723166","0.0390793857504365","0.0464389093941968"
"Sehr selten","2009","Laendlicher Raum","612","0.0978237331725589","0.0905105655068277","0.10513690083829"
"Sehr selten","2009","Staedtischer Raum","1277","","",""
"Selten","2009","Laendlicher Raum","1602","","",""
"Selten","2009","Staedtischer Raum","2982","","",""
"Manchmal","2010","Laendlicher Raum","2502","","",""
"Manchmal","2010","Staedtischer Raum","4669","0.427637409235998","0.41832059941303","0.436954219058965"
"Oft","2010","Laendlicher Raum","941","0.165405040017972","0.155808282778937","0.175001797257008"
"Oft","2010","Staedtischer Raum","1841","","",""
"Sehr oft","2010","Laendlicher Raum","162","","",""
"Sehr oft","2010","Staedtischer Raum","334","0.0297681179221391","0.0265676960864325","0.0329685397578457"
"Sehr selten","2010","Laendlicher Raum","600","0.101005821984103","0.0932225195871897","0.108789124381016"
"Sehr selten","2010","Staedtischer Raum","1193","","",""
"Selten","2010","Laendlicher Raum","1553","","",""
"Selten","2010","Staedtischer Raum","2795","","",""
"Manchmal","2011","Laendlicher Raum","2931","","",""
"Manchmal","2011","Staedtischer Raum","5516","0.417574165546745","0.409183435364976","0.425964895728513"
"Oft","2011","Laendlicher Raum","1255","","",""
"Oft","2011","Staedtischer Raum","2281","","",""
"Sehr oft","2011","Laendlicher Raum","296","","",""
"Sehr oft","2011","Staedtischer Raum","550","0.0405222814611853","0.0371674012273507","0.0438771616950198"
"Sehr selten","2011","Laendlicher Raum","898","0.12374217503126","0.116229497681155","0.131254852381364"
"Sehr selten","2011","Staedtischer Raum","1614","","",""
"Selten","2011","Laendlicher Raum","2000","","",""
"Selten","2011","Staedtischer Raum","3309","0.245904691481227","0.238577978878102","0.253231404084352"
"Manchmal","2012","Laendlicher Raum","3035","0.404905727829152","0.393752456076899","0.416058999581405"
"Manchmal","2012","Staedtischer Raum","5321","0.411890340428467","0.403428531791951","0.420352149064982"
"Oft","2012","Laendlicher Raum","1198","","",""
"Oft","2012","Staedtischer Raum","2117","","",""
"Sehr oft","2012","Laendlicher Raum","271","","",""
"Sehr oft","2012","Staedtischer Raum","470","0.0369149324216222","0.033673204190283","0.0401566606529614"
"Sehr selten","2012","Laendlicher Raum","907","0.1112645905143","0.104119673850439","0.118409507178161"
"Sehr selten","2012","Staedtischer Raum","1519","","",""
"Selten","2012","Laendlicher Raum","2030","","",""
"Selten","2012","Staedtischer Raum","3569","0.278107031842914","0.270403575416147","0.285810488269681"
"Manchmal","2013","Laendlicher Raum","3838","0.410013619480853","0.400064567837188","0.419962671124518"
"Manchmal","2013","Staedtischer Raum","6575","0.404647582707351","0.397094548904958","0.412200616509744"
"Oft","2013","Laendlicher Raum","1645","","",""
"Oft","2013","Staedtischer Raum","3054","0.172548502887018","0.166733863801283","0.178363141972754"
"Sehr oft","2013","Laendlicher Raum","403","0.0379376217265121","0.0340730780731785","0.0418021653798457"
"Sehr oft","2013","Staedtischer Raum","781","0.0389270633248052","0.0359506044440101","0.0419035222056002"
"Sehr selten","2013","Laendlicher Raum","980","0.10625582928086","0.100022148709535","0.112489509852185"
"Sehr selten","2013","Staedtischer Raum","1580","","",""
"Selten","2013","Laendlicher Raum","2522","","",""
"Selten","2013","Staedtischer Raum","4232","0.275831168325611","0.268953559415696","0.282708777235527"
"Manchmal","2014","Laendlicher Raum","3780","0.394265473928752","0.38441509670291","0.404115851154594"
"Manchmal","2014","Staedtischer Raum","6950","0.392919579075463","0.385696683682371","0.400142474468556"
"Oft","2014","Laendlicher Raum","1706","","",""
"Oft","2014","Staedtischer Raum","3331","0.180246716736071","0.174561963199775","0.185931470272366"
"Sehr oft","2014","Laendlicher Raum","417","0.0388327936413523","0.0349386128131059","0.0427269744695987"
"Sehr oft","2014","Staedtischer Raum","903","0.0438286438024242","0.0408011500349653","0.0468561375698832"
"Sehr selten","2014","Laendlicher Raum","1133","","",""
"Sehr selten","2014","Staedtischer Raum","1891","","",""
"Selten","2014","Laendlicher Raum","2419","","",""
"Selten","2014","Staedtischer Raum","4489","0.270203624134744","0.263636385269363","0.276770863000126"
"Manchmal","2015","Laendlicher Raum","3573","0.402942041218246","0.392737500870871","0.413146581565622"
"Manchmal","2015","Staedtischer Raum","6423","0.393592770368341","0.386048928371843","0.40113661236484"
"Oft","2015","Laendlicher Raum","1589","","",""
"Oft","2015","Staedtischer Raum","2897","","",""
"Sehr oft","2015","Laendlicher Raum","385","0.0435143017593205","0.0392698738649789","0.047758729653662"
"Sehr oft","2015","Staedtischer Raum","725","0.0402335084515983","0.0371991730315932","0.0432678438716035"
"Sehr selten","2015","Laendlicher Raum","874","0.100523734029795","0.0942677868889994","0.106779681170591"
"Sehr selten","2015","Staedtischer Raum","1791","","",""
"Selten","2015","Laendlicher Raum","2454","","",""
"Selten","2015","Staedtischer Raum","4275","0.273366013472109","0.266483977228653","0.280248049715564"
"Manchmal","2016","Laendlicher Raum","3508","0.417252443827197","0.406774549229105","0.427730338425288"
