year,regtyp,sampreg,plh0186,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2007,Urban regions,West,Very seldom,0.03369,320,20440,0.03363,0.03374
2007,Urban regions,West,Seldom,0.10669,1074,20440,0.10660,0.10679
2007,Urban regions,West,Sometimes,0.35077,4059,20440,0.35063,0.35092
2007,Urban regions,West,Often,0.42210,5262,20440,0.42195,0.42225
2007,Urban regions,West,Very often,0.08675,1012,20440,0.08666,0.08683
2007,Urban regions,East,Very seldom,0.03538,46,20440,0.03521,0.03555
2007,Urban regions,East,Seldom,0.11783,156,20440,0.11753,0.11813
2007,Urban regions,East,Sometimes,0.33326,545,20440,0.33282,0.33370
2007,Urban regions,East,Often,0.44930,808,20440,0.44883,0.44977
2007,Urban regions,East,Very often,0.06423,116,20440,0.06400,0.06446
2007,Rural regions,West,Very seldom,0.02127,76,20440,0.02119,0.02135
2007,Rural regions,West,Seldom,0.09393,329,20440,0.09378,0.09409
2007,Rural regions,West,Sometimes,0.35971,1246,20440,0.35945,0.35997
2007,Rural regions,West,Often,0.44144,1758,20440,0.44118,0.44171
2007,Rural regions,West,Very often,0.08364,304,20440,0.08349,0.08379
2007,Rural regions,East,Very seldom,0.02705,77,20440,0.02695,0.02716
2007,Rural regions,East,Seldom,0.12053,353,20440,0.12032,0.12075
2007,Rural regions,East,Sometimes,0.37874,1230,20440,0.37841,0.37906
2007,Rural regions,East,Often,0.40466,1424,20440,0.40433,0.40499
2007,Rural regions,East,Very often,0.06901,245,20440,0.06884,0.06918
2008,Urban regions,West,Very seldom,0.03266,292,19240,0.03261,0.03272
2008,Urban regions,West,Seldom,0.10556,991,19240,0.10546,0.10565
2008,Urban regions,West,Sometimes,0.35544,3785,19240,0.35529,0.35558
2008,Urban regions,West,Often,0.42733,5020,19240,0.42718,0.42748
2008,Urban regions,West,Very often,0.07902,914,19240,0.07894,0.07910
2008,Urban regions,East,Very seldom,0.03390,36,19240,0.03373,0.03407
2008,Urban regions,East,Seldom,0.09987,137,19240,0.09959,0.10015
2008,Urban regions,East,Sometimes,0.35881,558,19240,0.35836,0.35926
2008,Urban regions,East,Often,0.44035,758,19240,0.43989,0.44082
2008,Urban regions,East,Very often,0.06707,125,19240,0.06684,0.06731
2008,Rural regions,West,Very seldom,0.02634,78,19240,0.02626,0.02643
2008,Rural regions,West,Seldom,0.09414,301,19240,0.09399,0.09430
2008,Rural regions,West,Sometimes,0.35642,1197,19240,0.35617,0.35668
2008,Rural regions,West,Often,0.43849,1604,19240,0.43822,0.43875
2008,Rural regions,West,Very often,0.08461,299,19240,0.08446,0.08476
2008,Rural regions,East,Very seldom,0.03059,79,19240,0.03047,0.03070
2008,Rural regions,East,Seldom,0.11288,326,19240,0.11266,0.11309
2008,Rural regions,East,Sometimes,0.36980,1146,19240,0.36947,0.37013
2008,Rural regions,East,Often,0.42735,1389,19240,0.42702,0.42769
2008,Rural regions,East,Very often,0.05938,205,19240,0.05922,0.05954
2009,Urban regions,West,Very seldom,0.03561,306,17923,0.03556,0.03567
2009,Urban regions,West,Seldom,0.11635,1052,17923,0.11625,0.11644
2009,Urban regions,West,Sometimes,0.34923,3458,17923,0.34908,0.34937
2009,Urban regions,West,Often,0.42239,4484,17923,0.42224,0.42254
2009,Urban regions,West,Very often,0.07642,795,17923,0.07634,0.07650
2009,Urban regions,East,Very seldom,0.03892,40,17923,0.03874,0.03910
2009,Urban regions,East,Seldom,0.10481,132,17923,0.10452,0.10509
2009,Urban regions,East,Sometimes,0.33469,544,17923,0.33425,0.33513
2009,Urban regions,East,Often,0.44749,706,17923,0.44703,0.44795
2009,Urban regions,East,Very often,0.07409,104,17923,0.07385,0.07433
2009,Rural regions,West,Very seldom,0.02653,76,17923,0.02644,0.02661
2009,Rural regions,West,Seldom,0.10019,313,17923,0.10003,0.10035
2009,Rural regions,West,Sometimes,0.35818,1129,17923,0.35793,0.35844
2009,Rural regions,West,Often,0.44169,1519,17923,0.44142,0.44195
2009,Rural regions,West,Very often,0.07342,271,17923,0.07328,0.07355
2009,Rural regions,East,Very seldom,0.02691,72,17923,0.02680,0.02702
2009,Rural regions,East,Seldom,0.12365,315,17923,0.12342,0.12387
2009,Rural regions,East,Sometimes,0.36511,1102,17923,0.36479,0.36544
2009,Rural regions,East,Often,0.42464,1322,17923,0.42430,0.42498
2009,Rural regions,East,Very often,0.05969,183,17923,0.05953,0.05985
2010,Urban regions,West,Very seldom,0.03131,252,16586,0.03126,0.03137
2010,Urban regions,West,Seldom,0.11227,904,16586,0.11217,0.11237
2010,Urban regions,West,Sometimes,0.35799,3249,16586,0.35784,0.35814
2010,Urban regions,West,Often,0.41848,4305,16586,0.41832,0.41864
2010,Urban regions,West,Very often,0.07995,744,16586,0.07986,0.08004
2010,Urban regions,East,Very seldom,0.02207,31,16586,0.02193,0.02221
2010,Urban regions,East,Seldom,0.11596,131,16586,0.11565,0.11627
2010,Urban regions,East,Sometimes,0.33460,448,16586,0.33414,0.33506
2010,Urban regions,East,Often,0.45682,685,16586,0.45634,0.45731
2010,Urban regions,East,Very often,0.07054,102,16586,0.07029,0.07079
2010,Rural regions,West,Very seldom,0.02487,70,16586,0.02478,0.02496
2010,Rural regions,West,Seldom,0.08222,248,16586,0.08206,0.08237
2010,Rural regions,West,Sometimes,0.37002,1034,16586,0.36975,0.37029
2010,Rural regions,West,Often,0.44330,1396,16586,0.44302,0.44357
2010,Rural regions,West,Very often,0.07960,273,16586,0.07945,0.07975
