year,migback,sampreg,plh0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,No migration background,West,Very seldom,0.22263,2994,12693,0.21540,0.22987
2007,No migration background,West,Seldom,0.31942,4220,12693,0.31130,0.32753
2007,No migration background,West,Sometimes,0.31874,3851,12693,0.31063,0.32685
2007,No migration background,West,Often,0.10409,1233,12693,0.09878,0.10941
2007,No migration background,West,Very often,0.03512,395,12693,0.03191,0.03832
2007,No migration background,East,Very seldom,0.18986,930,4864,0.17884,0.20089
2007,No migration background,East,Seldom,0.33362,1710,4864,0.32037,0.34687
2007,No migration background,East,Sometimes,0.32629,1575,4864,0.31311,0.33946
2007,No migration background,East,Often,0.11162,492,4864,0.10277,0.12047
2007,No migration background,East,Very often,0.03861,157,4864,0.03319,0.04402
2007,Direct migration background,West,Very seldom,0.19139,419,2020,0.17423,0.20855
2007,Direct migration background,West,Seldom,0.29153,615,2020,0.27171,0.31136
2007,Direct migration background,West,Sometimes,0.33217,646,2020,0.31162,0.35271
2007,Direct migration background,West,Often,0.14045,252,2020,0.12530,0.15561
2007,Direct migration background,West,Very often,0.04445,88,2020,0.03546,0.05344
2007,Indirect migration background,West,Very seldom,0.18137,163,736,0.15351,0.20922
2007,Indirect migration background,West,Seldom,0.28587,220,736,0.25321,0.31854
2007,Indirect migration background,West,Sometimes,0.32879,219,736,0.29483,0.36276
2007,Indirect migration background,West,Often,0.15710,99,736,0.13079,0.18341
2007,Indirect migration background,West,Very often,0.04687,35,736,0.03159,0.06215
2008,No migration background,West,Very seldom,0.22043,2796,11954,0.21300,0.22786
2008,No migration background,West,Seldom,0.33484,4117,11954,0.32638,0.34330
2008,No migration background,West,Sometimes,0.30337,3518,11954,0.29513,0.31161
2008,No migration background,West,Often,0.11014,1188,11954,0.10452,0.11575
2008,No migration background,West,Very often,0.03122,335,11954,0.02811,0.03434
2008,No migration background,East,Very seldom,0.19043,886,4640,0.17913,0.20173
2008,No migration background,East,Seldom,0.35391,1707,4640,0.34015,0.36767
2008,No migration background,East,Sometimes,0.31365,1476,4640,0.30030,0.32700
2008,No migration background,East,Often,0.11164,436,4640,0.10258,0.12070
2008,No migration background,East,Very often,0.03037,135,4640,0.02543,0.03530
2008,Direct migration background,West,Very seldom,0.18198,345,1818,0.16424,0.19972
2008,Direct migration background,West,Seldom,0.30727,597,1818,0.28605,0.32848
2008,Direct migration background,West,Sometimes,0.33588,567,1818,0.31416,0.35759
2008,Direct migration background,West,Often,0.12786,232,1818,0.11250,0.14321
2008,Direct migration background,West,Very often,0.04702,77,1818,0.03729,0.05676
2008,Direct migration background,East,Sometimes,0.44080,31,31,0.26313,0.61846
2008,Indirect migration background,West,Very seldom,0.23357,168,723,0.20271,0.26444
2008,Indirect migration background,West,Seldom,0.26697,216,723,0.23470,0.29923
2008,Indirect migration background,West,Sometimes,0.31334,225,723,0.27950,0.34717
2008,Indirect migration background,West,Often,0.13990,83,723,0.11460,0.16521
2008,Indirect migration background,West,Very often,0.04622,31,723,0.03091,0.06154
2009,No migration background,West,Very seldom,0.21101,2487,11156,0.20344,0.21858
2009,No migration background,West,Seldom,0.34356,3928,11156,0.33475,0.35237
2009,No migration background,West,Sometimes,0.30837,3313,11156,0.29980,0.31694
