"plh0187","year","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Manchmal","2007","maennlich","2562","","",""
"Manchmal","2007","weiblich","3775","0.366648354681842","0.357519372433316","0.375777336930369"
"Oft","2007","maennlich","691","0.0859112762173776","0.080345699556672","0.0914768528780832"
"Oft","2007","weiblich","1402","","",""
"Sehr oft","2007","maennlich","206","","",""
"Sehr oft","2007","weiblich","473","0.0495122611595279","0.0454026126367558","0.0536219096823"
"Sehr selten","2007","maennlich","2709","","",""
"Sehr selten","2007","weiblich","1819","","",""
"Selten","2007","maennlich","3571","0.352973362224534","0.34348212224511","0.362464602203958"
"Selten","2007","weiblich","3235","0.283307878874414","0.274771558971162","0.291844198777666"
"Manchmal","2008","maennlich","2348","","",""
"Manchmal","2008","weiblich","3490","0.355396519076204","0.34605370615763","0.364739331994779"
"Oft","2008","maennlich","687","0.0883518220467801","0.0825436769491645","0.0941599671443957"
"Oft","2008","weiblich","1263","","",""
"Sehr oft","2008","maennlich","150","","",""
"Sehr oft","2008","weiblich","435","0.047040856722865","0.0429080081178969","0.051173705327833"
"Sehr selten","2008","maennlich","2509","","",""
"Sehr selten","2008","weiblich","1704","","",""
"Selten","2008","maennlich","3478","0.36692118929915","0.357057682389235","0.376784696209064"
"Selten","2008","weiblich","3190","0.29772099750662","0.28879546123995","0.30664653377329"
"Manchmal","2009","maennlich","2240","","",""
"Manchmal","2009","weiblich","3259","0.352296644452977","0.342622999186395","0.361970289719559"
"Oft","2009","maennlich","592","0.0789332646054811","0.0732189461912287","0.0846475830197334"
"Oft","2009","weiblich","1201","","",""
"Sehr oft","2009","maennlich","143","","",""
"Sehr oft","2009","weiblich","420","0.0531666762393254","0.0486230316424363","0.0577103208362144"
"Sehr selten","2009","maennlich","2298","","",""
"Sehr selten","2009","weiblich","1504","","",""
"Selten","2009","maennlich","3280","0.371380886808649","0.361141064502918","0.38162070911438"
"Selten","2009","weiblich","2983","","",""
"Manchmal","2010","maennlich","2072","","",""
"Manchmal","2010","weiblich","2977","","",""
"Oft","2010","maennlich","576","0.0868797389654608","0.0806676128298101","0.0930918651011116"
"Oft","2010","weiblich","1132","","",""
"Sehr oft","2010","maennlich","118","","",""
"Sehr oft","2010","weiblich","348","0.0483781667111408","0.0438661564104685","0.0528901770118131"
"Sehr selten","2010","maennlich","2134","","",""
"Sehr selten","2010","weiblich","1417","","",""
"Selten","2010","maennlich","2997","","",""
"Selten","2010","weiblich","2813","","",""
"Manchmal","2011","maennlich","2686","","",""
"Manchmal","2011","weiblich","3971","0.36617376521412","0.357131361602412","0.375216168825827"
"Oft","2011","maennlich","684","0.0789749503739651","0.0736185712346224","0.0843313295133078"
"Oft","2011","weiblich","1450","","",""
"Sehr oft","2011","maennlich","155","","",""
"Sehr oft","2011","weiblich","434","0.0433602604125257","0.0395375154961237","0.0471830053289277"
"Sehr selten","2011","maennlich","2585","","",""
"Sehr selten","2011","weiblich","1732","","",""
"Selten","2011","maennlich","3629","0.362155470969792","0.352610033199575","0.371700908740008"
"Selten","2011","weiblich","3317","0.293919479455178","0.285368881833839","0.302470077076517"
"Manchmal","2012","maennlich","2386","","",""
"Manchmal","2012","weiblich","3659","0.342155582312114","0.333208747552113","0.351102417072114"
"Oft","2012","maennlich","623","0.0733863604481495","0.0681778382811881","0.0785948826151109"
"Oft","2012","weiblich","1272","","",""
"Sehr oft","2012","maennlich","131","","",""
"Sehr oft","2012","weiblich","374","0.037298955705193","0.033725486348205","0.0408724250621809"
"Sehr selten","2012","maennlich","2753","","",""
"Sehr selten","2012","weiblich","1922","","",""
"Selten","2012","maennlich","3736","0.381876878325601","0.372172746799677","0.391581009851526"
"Selten","2012","weiblich","3575","0.317584507265699","0.308805405211892","0.326363609319506"
"Manchmal","2013","maennlich","2814","","",""
"Manchmal","2013","weiblich","4707","0.348392185658435","0.340508747818097","0.356275623498772"
"Oft","2013","maennlich","732","0.0726224000255812","0.0678955027585464","0.077349297292616"
"Oft","2013","weiblich","1719","","",""
"Sehr oft","2013","maennlich","148","","",""
"Sehr oft","2013","weiblich","552","0.0387421106533958","0.0355491034359321","0.0419351178708595"
"Sehr selten","2013","maennlich","3326","0.281065931796487","0.272878245402247","0.289253618190727"
"Sehr selten","2013","weiblich","2296","","",""
"Selten","2013","maennlich","4559","0.376920963968333","0.368094042143572","0.385747885793094"
"Selten","2013","weiblich","4758","0.322418636568798","0.314685083006629","0.330152190130968"
"Manchmal","2014","maennlich","2982","","",""
"Manchmal","2014","weiblich","4859","0.334622469456874","0.32697091872878","0.342274020184969"
"Oft","2014","maennlich","780","0.0650337028595898","0.0606925051586312","0.0693749005605484"
"Oft","2014","weiblich","1774","","",""
"Sehr oft","2014","maennlich","178","","",""
"Sehr oft","2014","weiblich","619","0.0427341488982901","0.0394543919625524","0.0460139058340279"
"Sehr selten","2014","maennlich","3743","0.295123361751586","0.287093636264931","0.303153087238241"
"Sehr selten","2014","weiblich","2492","","",""
"Selten","2014","maennlich","4711","0.375076377279493","0.366552922285426","0.383599832273559"
"Selten","2014","weiblich","4865","0.323905741613822","0.316317331510317","0.331494151717327"
"Manchmal","2015","maennlich","2713","","",""
"Manchmal","2015","weiblich","4529","0.343342273888028","0.335344448326733","0.351340099449322"
"Oft","2015","maennlich","701","0.0721550858472614","0.0674112009304762","0.0768989707640465"
"Oft","2015","weiblich","1610","","",""
"Sehr oft","2015","maennlich","171","","",""
"Sehr oft","2015","weiblich","520","0.0419412959944364","0.0385648816060983","0.0453177103827746"
"Sehr selten","2015","maennlich","3320","0.276409901431485","0.268210425773025","0.284609377089945"
"Sehr selten","2015","weiblich","2374","","",""
"Selten","2015","maennlich","4523","0.386712093128636","0.377783376243422","0.39564081001385"
"Selten","2015","weiblich","4507","0.325172411143938","0.317282138337267","0.33306268395061"
"Manchmal","2016","maennlich","2673","","",""
"Manchmal","2016","weiblich","4399","0.342384483974431","0.334251118166173","0.350517849782689"
"Oft","2016","maennlich","673","0.0686640902427937","0.0639439260463788","0.0733842544392086"
"Oft","2016","weiblich","1455","","",""
"Sehr oft","2016","maennlich","149","","",""
"Sehr oft","2016","weiblich","504","0.0394177094735173","0.036082368626494","0.0427530503205406"
"Sehr selten","2016","maennlich","3290","0.288373485416775","0.27991791674906","0.29682905408449"
"Sehr selten","2016","weiblich","2311","","",""
"Selten","2016","maennlich","4241","0.38117785604962","0.372112479429728","0.390243232669512"
"Selten","2016","weiblich","4406","0.322105554103138","0.314096017566402","0.330115090639874"
"Manchmal","2017","maennlich","2844","","",""
"Manchmal","2017","weiblich","4672","0.327978155831791","0.32025473240011","0.335701579263472"
"Oft","2017","maennlich","684","0.0623588409414418","0.0580650754861361","0.0666526063967475"
"Oft","2017","weiblich","1640","","",""
"Sehr oft","2017","maennlich","182","","",""
"Sehr oft","2017","weiblich","511","0.03763096136231","0.034500277832339","0.040761644892281"
"Sehr selten","2017","maennlich","3638","0.281743006791025","0.273755017516993","0.289730996065057"
"Sehr selten","2017","weiblich","2513","","",""
"Selten","2017","maennlich","4835","0.402435141753576","0.393727281667224","0.411143001839928"
"Selten","2017","weiblich","4858","0.337396318427288","0.3296178734753","0.345174763379276"
"Manchmal","2018","maennlich","2708","","",""
"Manchmal","2018","weiblich","4398","0.329198803543634","0.321354489136095","0.337043117951173"
"Oft","2018","maennlich","700","0.0644109863110205","0.0599719504499282","0.0688500221721129"
"Oft","2018","weiblich","1573","","",""
"Sehr oft","2018","maennlich","164","","",""
"Sehr oft","2018","weiblich","496","0.0420112717053871","0.0386624496784855","0.0453600937322886"
"Sehr selten","2018","maennlich","3608","0.286228759574959","0.278055368505983","0.294402150643936"
"Sehr selten","2018","weiblich","2510","","",""
"Selten","2018","maennlich","4568","0.396264712832213","0.387420033287818","0.405109392376607"
"Selten","2018","weiblich","4809","0.336941314411211","0.329051222342354","0.344831406480068"
"Manchmal","2019","maennlich","2897","","",""
"Manchmal","2019","weiblich","4321","0.334926858922741","0.326957458858164","0.342896258987318"
"Oft","2019","maennlich","686","0.0632970560169405","0.0589956368819522","0.0675984751519287"
"Oft","2019","weiblich","1537","","",""
"Sehr oft","2019","maennlich","152","","",""
"Sehr oft","2019","weiblich","432","0.0349408748406967","0.0318401745913407","0.0380415750900528"
