"plh0191","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Stimmt ganz u.gar","1990","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar","1990","Hauptschule","202","0.137582136116735","0.120996706228942","0.154167566004529"
"Stimmt ganz u.gar","1990","Realschule","89","0.0595284532020732","0.0477945444769404","0.071262361927206"
"Stimmt ganz u.gar","1990","(Fach-)Abitur","","","",""
"Stimmt ganz u.gar","1990","AkademikerIn","50","0.0498705540252323","0.0363110445449999","0.0634300635054648"
"Stimmt eher","1990","(noch) kein Abschluss","","","",""
"Stimmt eher","1990","Hauptschule","374","0.221551493639907","0.201555678052737","0.241547309227076"
"Stimmt eher","1990","Realschule","307","0.195270691089782","0.175612162095402","0.214929220084162"
"Stimmt eher","1990","(Fach-)Abitur","","","",""
"Stimmt eher","1990","AkademikerIn","178","0.183812448840345","0.159684914777096","0.207939982903595"
"Stimmt eher nicht","1990","(noch) kein Abschluss","","","",""
"Stimmt eher nicht","1990","Hauptschule","546","0.3272580442935","0.304665962128323","0.349850126458677"
"Stimmt eher nicht","1990","Realschule","571","0.365572006164164","0.341689207847761","0.389454804480567"
"Stimmt eher nicht","1990","(Fach-)Abitur","53","0.394423376430182","0.31008618965145","0.478760563208914"
"Stimmt eher nicht","1990","AkademikerIn","393","0.39448260214532","0.364038180102623","0.424927024188018"
"Stimmt ganz u.gar nicht","1990","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar nicht","1990","Hauptschule","535","0.313608325949858","0.291269176563814","0.335947475335901"
"Stimmt ganz u.gar nicht","1990","Realschule","595","0.379628849543981","0.355562347213377","0.403695351874585"
"Stimmt ganz u.gar nicht","1990","(Fach-)Abitur","47","0.370950365852897","0.287591154959866","0.454309576745928"
"Stimmt ganz u.gar nicht","1990","AkademikerIn","369","0.371834394989102","0.341729137213019","0.401939652765185"
"Stimmt ganz u.gar","1991","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar","1991","Hauptschule","218","0.155274186758479","0.136866461605477","0.173681911911481"
"Stimmt ganz u.gar","1991","Realschule","74","0.0477136227153617","0.0369264546932093","0.0585007907375141"
"Stimmt ganz u.gar","1991","(Fach-)Abitur","","","",""
"Stimmt ganz u.gar","1991","AkademikerIn","43","0.0453106335639874","0.0320919275895227","0.0585293395384522"
"Stimmt eher","1991","(noch) kein Abschluss","","","",""
"Stimmt eher","1991","Hauptschule","407","0.271580061130926","0.248973606349697","0.294186515912154"
"Stimmt eher","1991","Realschule","325","0.227576925700478","0.206359426520892","0.248794424880063"
"Stimmt eher","1991","(Fach-)Abitur","","","",""
"Stimmt eher","1991","AkademikerIn","178","0.203779667588161","0.178178787873436","0.229380547302887"
"Stimmt eher nicht","1991","(noch) kein Abschluss","","","",""
"Stimmt eher nicht","1991","Hauptschule","544","0.361756856161419","0.337334133864861","0.386179578457977"
"Stimmt eher nicht","1991","Realschule","616","0.396565750839106","0.371810060514167","0.421321441164045"
"Stimmt eher nicht","1991","(Fach-)Abitur","54","0.415482888011711","0.328036200811035","0.502929575212387"
"Stimmt eher nicht","1991","AkademikerIn","409","0.422054599591228","0.390665015800109","0.453444183382347"
"Stimmt ganz u.gar nicht","1991","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar nicht","1991","Hauptschule","318","0.211388895949176","0.19063664856387","0.232141143334483"
"Stimmt ganz u.gar nicht","1991","Realschule","485","0.328143700745055","0.304382264156239","0.351905137333871"
"Stimmt ganz u.gar nicht","1991","(Fach-)Abitur","44","0.390118685152395","0.303564272121767","0.476673098183022"
"Stimmt ganz u.gar nicht","1991","AkademikerIn","321","0.328855099256623","0.298996579738702","0.358713618774545"
"Stimmt ganz u.gar","1992","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar","1992","Hauptschule","384","0.0720696707966516","0.0650923531017202","0.079046988491583"
"Stimmt ganz u.gar","1992","Realschule","109","0.0361894047535493","0.0294726972782978","0.0429061122288008"
"Stimmt ganz u.gar","1992","(Fach-)Abitur","","","",""
"Stimmt ganz u.gar","1992","AkademikerIn","40","0.0239869602899363","0.0165083571613467","0.031465563418526"
"Stimmt eher","1992","(noch) kein Abschluss","","","",""
"Stimmt eher","1992","Hauptschule","960","0.177215236669194","0.166912604520556","0.187517868817833"
"Stimmt eher","1992","Realschule","380","0.106463673133597","0.0953712431517028","0.117556103115491"
"Stimmt eher","1992","(Fach-)Abitur","45","0.0648723478771171","0.0465872638741471","0.0831574318800872"
"Stimmt eher","1992","AkademikerIn","176","0.0950551899161074","0.0807199808014957","0.109390399030719"
"Stimmt eher nicht","1992","(noch) kein Abschluss","79","0.301069385839043","0.242544251445211","0.359594520232875"
"Stimmt eher nicht","1992","Hauptschule","1644","0.304296259960811","0.291882166226459","0.316710353695164"
"Stimmt eher nicht","1992","Realschule","987","0.318367036985741","0.301613395940119","0.335120678031363"
"Stimmt eher nicht","1992","(Fach-)Abitur","208","0.300069848986726","0.266047034833047","0.334092663140404"
"Stimmt eher nicht","1992","AkademikerIn","550","0.291714826804881","0.269497674319344","0.313931979290417"
"Stimmt ganz u.gar nicht","1992","(noch) kein Abschluss","118","0.545464831455664","0.481937704784053","0.608991958127275"
"Stimmt ganz u.gar nicht","1992","Hauptschule","2289","0.446418832573343","0.433006125150456","0.459831539996229"
"Stimmt ganz u.gar nicht","1992","Realschule","1494","0.538979885127113","0.521052535745755","0.55690723450847"
"Stimmt ganz u.gar nicht","1992","(Fach-)Abitur","424","0.596323337267056","0.559899187222585","0.632747487311527"
"Stimmt ganz u.gar nicht","1992","AkademikerIn","842","0.589243022989076","0.565196916406305","0.613289129571847"
"Stimmt ganz u.gar","1993","(noch) kein Abschluss","76","0.0809894093143081","0.0624067743174712","0.0995720443111451"
"Stimmt ganz u.gar","1993","Hauptschule","519","0.0845987100889463","0.0777198893572411","0.0914775308206515"
"Stimmt ganz u.gar","1993","Realschule","171","0.065735074750691","0.0569845147960884","0.0744856347052937"
"Stimmt ganz u.gar","1993","(Fach-)Abitur","52","0.0597110524900184","0.0442648435730506","0.0751572614069861"
"Stimmt ganz u.gar","1993","AkademikerIn","96","0.0673394636233301","0.0551696430367138","0.0795092842099464"
"Stimmt eher","1993","(noch) kein Abschluss","191","0.202005674611307","0.174658364911046","0.229352984311568"
"Stimmt eher","1993","Hauptschule","1241","0.199919519507772","0.190033515138902","0.209805523876643"
"Stimmt eher","1993","Realschule","424","0.125884121496664","0.114171011458332","0.137597231534996"
"Stimmt eher","1993","(Fach-)Abitur","74","0.0764935065153833","0.0591675931934373","0.0938194198373292"
"Stimmt eher","1993","AkademikerIn","186","0.105754702687536","0.0908210610397696","0.120688344335302"
"Stimmt eher nicht","1993","(noch) kein Abschluss","270","0.317725119645495","0.28601204209547","0.349438197195519"
"Stimmt eher nicht","1993","Hauptschule","2144","0.344377364897014","0.332631888685","0.356122841109028"
"Stimmt eher nicht","1993","Realschule","1121","0.342231583977167","0.325478344610805","0.358984823343529"
"Stimmt eher nicht","1993","(Fach-)Abitur","301","0.318435219187353","0.288066393862778","0.348804044511928"
"Stimmt eher nicht","1993","AkademikerIn","605","0.333314857190956","0.310423303316935","0.356206411064977"
"Stimmt ganz u.gar nicht","1993","(noch) kein Abschluss","291","0.39927979642889","0.36592120458653","0.43263838827125"
"Stimmt ganz u.gar nicht","1993","Hauptschule","2383","0.371104405506268","0.359162773272718","0.383046037739818"
"Stimmt ganz u.gar nicht","1993","Realschule","1365","0.466149219775478","0.448534543601362","0.483763895949594"
"Stimmt ganz u.gar nicht","1993","(Fach-)Abitur","477","0.545360221807246","0.512900909075572","0.577819534538919"
"Stimmt ganz u.gar nicht","1993","AkademikerIn","742","0.493590976498178","0.469312475308402","0.517869477687954"
"Stimmt ganz u.gar","1994","(noch) kein Abschluss","","","",""
