year,pgisced97,quintil_oecd,plh0193,proportion,n,lower_confidence,upper_confidence
2003,higher education,5. Quintil,Lehne eher ab,0.0644950532014187,27727,0.06160376837529952,0.06738633802753788
2003,middle vocational,3. Quintil,Lehne eher ab,0.061274967332462196,27727,0.05845193810873608,0.06409799655618831
2003,middle vocational,4. Quintil,Lehne eher ab,0.058708232219525855,27727,0.05594118696435991,0.0614752774746918
2003,middle vocational,5. Quintil,Lehne eher ab,0.051101362703005415,27727,0.048509387858306746,0.053693337547704084
2003,middle vocational,3. Quintil,Stimme eher zu,0.04816128430091469,27727,0.045641082353958834,0.05068148624787054
2003,middle vocational,2. Quintil,Lehne eher ab,0.04456785514280381,27727,0.042138922779719055,0.04699678750588856
2003,middle vocational,4. Quintil,Stimme eher zu,0.043634496919917866,27727,0.04122995934571985,0.04603903449411588
2003,middle vocational,2. Quintil,Stimme eher zu,0.041021093895837225,27727,0.03868649231073388,0.04335569548094057
2003,middle vocational,5. Quintil,Stimme eher zu,0.029774127310061602,27727,0.02777352587280088,0.031774728747322324
2003,higher education,4. Quintil,Lehne eher ab,0.025947358596229233,27727,0.024076062889141707,0.02781865430331676
2003,middle vocational,1. Quintil,Lehne eher ab,0.024313981706178833,27727,0.022501023828854657,0.026126939583503008
2003,middle vocational,1. Quintil,Stimme eher zu,0.023473959305581483,27727,0.021691827921781207,0.02525609068938176
2003,higher education,5. Quintil,Stimme eher zu,0.023053948105282808,27727,0.021287452436966184,0.024820443773599432
2003,higher education,5. Quintil,Lehne voll ab,0.01722045921224566,27727,0.015689177669419747,0.01875174075507157
2003,general elemantary,2. Quintil,Lehne eher ab,0.014653724099309314,27727,0.01323932140457376,0.016068126794044867
2003,higher education,3. Quintil,Lehne eher ab,0.014607056188165018,27727,0.01319487408240631,0.016019238293923727
2003,higher education,4. Quintil,Stimme eher zu,0.013813701698711966,27727,0.012439852233614506,0.015187551163809427
2003,middle vocational,3. Quintil,Stimme voll zu,0.013160350942691804,27727,0.011818940569180418,0.01450176131620319
2003,general elemantary,2. Quintil,Stimme eher zu,0.012740339742393131,27727,0.01142022758454606,0.014060451900240202
2003,higher vocational,4. Quintil,Lehne eher ab,0.012040321075228672,27727,0.010756533185879822,0.013324108964577521
2003,middle vocational,2. Quintil,Stimme voll zu,0.011993653164084376,27727,0.010712325389512481,0.013274980938656271
2003,general elemantary,1. Quintil,Lehne eher ab,0.011246966585775621,27727,0.010005696620400094,0.012488236551151149
