year,regtyp,plh0193,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Urban regions,Strongly agree,0.07395,1206,14667,0.06972,0.07819
2003,Urban regions,Agree,0.27275,4636,14667,0.26554,0.27995
2003,Urban regions,Disagree,0.39226,7216,14667,0.38436,0.40016
2003,Urban regions,Strongly disagree,0.08616,1609,14667,0.08162,0.09071
2003,Rural regions,Strongly agree,0.07535,616,7354,0.06931,0.08138
2003,Rural regions,Agree,0.30151,2697,7354,0.29102,0.31200
2003,Rural regions,Disagree,0.38661,3523,7354,0.37547,0.39774
2003,Rural regions,Strongly disagree,0.06440,518,7354,0.05879,0.07001
2008,Urban regions,Strongly agree,0.06627,898,12647,0.06193,0.07060
2008,Urban regions,Agree,0.27784,3972,12647,0.27003,0.28564
2008,Urban regions,Disagree,0.39665,6241,12647,0.38813,0.40518
2008,Urban regions,Strongly disagree,0.09116,1536,12647,0.08614,0.09618
2008,Rural regions,Strongly agree,0.07091,491,6585,0.06471,0.07711
2008,Rural regions,Agree,0.31131,2360,6585,0.30013,0.32250
2008,Rural regions,Disagree,0.39503,3225,6585,0.38322,0.40683
2008,Rural regions,Strongly disagree,0.06362,509,6585,0.05772,0.06952
2013,Urban regions,Strongly agree,0.04857,987,16147,0.04525,0.05189
2013,Urban regions,Agree,0.22526,4591,16147,0.21882,0.23171
2013,Urban regions,Disagree,0.38357,8551,16147,0.37607,0.39107
2013,Urban regions,Strongly disagree,0.08561,2018,16147,0.08129,0.08993
2013,Rural regions,Strongly agree,0.05916,694,9247,0.05435,0.06397
2013,Rural regions,Agree,0.27456,3028,9247,0.26546,0.28365
2013,Rural regions,Disagree,0.39770,4701,9247,0.38773,0.40768
2013,Rural regions,Strongly disagree,0.06493,824,9247,0.05991,0.06995
2018,Urban regions,Strongly agree,0.05309,1552,18866,0.04989,0.05629
2018,Urban regions,Agree,0.23854,5417,18866,0.23246,0.24462
2018,Urban regions,Disagree,0.43136,9179,18866,0.42429,0.43842
2018,Urban regions,Strongly disagree,0.11281,2718,18866,0.10830,0.11733
2018,Rural regions,Strongly agree,0.05518,760,9747,0.05064,0.05971
2018,Rural regions,Agree,0.26475,3040,9747,0.25600,0.27351
2018,Rural regions,Disagree,0.43700,4941,9747,0.42715,0.44684
2018,Rural regions,Strongly disagree,0.08269,1006,9747,0.07722,0.08816
