year,age_gr,bula_h,pli0079,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Schleswig-Holstein,At least once per month,1.00000,32,8312,1.00000,1.00000
1990,17-29 y.,Lower Saxony,At least once per week,0.35964,82,8312,0.35879,0.36049
1990,17-29 y.,Lower Saxony,At least once per month,0.34474,90,8312,0.34390,0.34558
1990,17-29 y.,Lower Saxony,Seldom,0.29562,82,8312,0.29481,0.29643
1990,17-29 y.,North Rhine-Westphalia,At least once per week,0.42418,271,8312,0.42365,0.42471
1990,17-29 y.,North Rhine-Westphalia,At least once per month,0.31834,220,8312,0.31784,0.31884
1990,17-29 y.,North Rhine-Westphalia,Seldom,0.21984,170,8312,0.21939,0.22028
1990,17-29 y.,North Rhine-Westphalia,Never,0.03765,52,8312,0.03744,0.03785
1990,17-29 y.,Hesse,At least once per week,0.45241,100,8312,0.45139,0.45342
1990,17-29 y.,Hesse,At least once per month,0.31358,74,8312,0.31264,0.31453
1990,17-29 y.,Hesse,Seldom,0.23401,57,8312,0.23314,0.23487
1990,17-29 y.,"Rhineland-Palatinate, Saarland",At least once per week,0.45849,74,8312,0.45746,0.45952
1990,17-29 y.,"Rhineland-Palatinate, Saarland",At least once per month,0.28481,58,8312,0.28388,0.28575
1990,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.25669,42,8312,0.25579,0.25759
1990,17-29 y.,Baden-Wuerttemberg,At least once per week,0.45010,217,8312,0.44941,0.45080
1990,17-29 y.,Baden-Wuerttemberg,At least once per month,0.26425,131,8312,0.26363,0.26486
1990,17-29 y.,Baden-Wuerttemberg,Seldom,0.25832,139,8312,0.25771,0.25893
1990,17-29 y.,Baden-Wuerttemberg,Never,0.02733,32,8312,0.02710,0.02756
1990,17-29 y.,Bavaria,At least once per week,0.56905,239,8312,0.56838,0.56972
1990,17-29 y.,Bavaria,At least once per month,0.25558,121,8312,0.25499,0.25617
1990,17-29 y.,Bavaria,Seldom,0.17537,86,8312,0.17486,0.17589
1990,30-45 y.,Schleswig-Holstein,Seldom,1.00000,37,8312,1.00000,1.00000
1990,30-45 y.,Lower Saxony,At least once per week,0.22919,51,8312,0.22846,0.22991
1990,30-45 y.,Lower Saxony,At least once per month,0.39236,79,8312,0.39152,0.39320
1990,30-45 y.,Lower Saxony,Seldom,0.37845,94,8312,0.37761,0.37929
1990,30-45 y.,North Rhine-Westphalia,At least once per week,0.24401,183,8312,0.24361,0.24442
1990,30-45 y.,North Rhine-Westphalia,At least once per month,0.35760,285,8312,0.35715,0.35805
1990,30-45 y.,North Rhine-Westphalia,Seldom,0.36406,300,8312,0.36360,0.36451
1990,30-45 y.,North Rhine-Westphalia,Never,0.03433,44,8312,0.03416,0.03450
1990,30-45 y.,Hesse,At least once per week,0.29030,69,8312,0.28948,0.29111
1990,30-45 y.,Hesse,At least once per month,0.31518,82,8312,0.31434,0.31602
1990,30-45 y.,Hesse,Seldom,0.33450,103,8312,0.33365,0.33535
1990,30-45 y.,Hesse,Never,0.06002,35,8312,0.05959,0.06045
1990,30-45 y.,"Rhineland-Palatinate, Saarland",At least once per week,0.23060,35,8312,0.22968,0.23151
1990,30-45 y.,"Rhineland-Palatinate, Saarland",At least once per month,0.32074,46,8312,0.31972,0.32175
1990,30-45 y.,"Rhineland-Palatinate, Saarland",Seldom,0.44867,70,8312,0.44759,0.44975
1990,30-45 y.,Baden-Wuerttemberg,At least once per week,0.23337,108,8312,0.23281,0.23392
1990,30-45 y.,Baden-Wuerttemberg,At least once per month,0.31450,162,8312,0.31389,0.31511
1990,30-45 y.,Baden-Wuerttemberg,Seldom,0.39122,203,8312,0.39058,0.39186
1990,30-45 y.,Baden-Wuerttemberg,Never,0.06092,63,8312,0.06060,0.06123
1990,30-45 y.,Bavaria,At least once per week,0.29360,105,8312,0.29300,0.29420
1990,30-45 y.,Bavaria,At least once per month,0.37158,161,8312,0.37095,0.37222
1990,30-45 y.,Bavaria,Seldom,0.33482,156,8312,0.33420,0.33544
1990,30-45 y.,Berlin,At least once per week,0.61788,33,8312,0.61625,0.61952
1990,30-45 y.,Berlin,At least once per month,0.38212,34,8312,0.38048,0.38375
1990,46-65 y.,Schleswig-Holstein,Seldom,1.00000,63,8312,1.00000,1.00000
1990,46-65 y.,Lower Saxony,At least once per week,0.12643,43,8312,0.12597,0.12688
1990,46-65 y.,Lower Saxony,At least once per month,0.26840,89,8312,0.26779,0.26900
1990,46-65 y.,Lower Saxony,Seldom,0.51835,165,8312,0.51766,0.51903
1990,46-65 y.,Lower Saxony,Never,0.08683,32,8312,0.08644,0.08721
1990,46-65 y.,North Rhine-Westphalia,At least once per week,0.18016,126,8312,0.17980,0.18052
1990,46-65 y.,North Rhine-Westphalia,At least once per month,0.27744,186,8312,0.27701,0.27786
1990,46-65 y.,North Rhine-Westphalia,Seldom,0.42220,296,8312,0.42174,0.42267
1990,46-65 y.,North Rhine-Westphalia,Never,0.12020,136,8312,0.11989,0.12051
1990,46-65 y.,Hesse,At least once per week,0.18006,37,8312,0.17946,0.18065
1990,46-65 y.,Hesse,At least once per month,0.22913,60,8312,0.22848,0.22978
1990,46-65 y.,Hesse,Seldom,0.44997,133,8312,0.44920,0.45075
1990,46-65 y.,Hesse,Never,0.14084,78,8312,0.14030,0.14138
1990,46-65 y.,"Rhineland-Palatinate, Saarland",At least once per week,0.19572,37,8312,0.19503,0.19641
1990,46-65 y.,"Rhineland-Palatinate, Saarland",At least once per month,0.35233,67,8312,0.35150,0.35316
