year,age_gr,quintil_oecd,pli0079,proportion,n,lower_confidence,upper_confidence
1990,30-45 J.,1. Quintil,Seltener,0.052012517535340454,18165,0.04878332745831,0.055241707612370905
1990,46-65 J.,2. Quintil,Seltener,0.0425164562425812,18165,0.03958230457534237,0.04545060790982003
1990,46-65 J.,1. Quintil,Seltener,0.039602891982302796,18165,0.03676675474060948,0.04243902922399611
1990,18-29 J.,2. Quintil,Min 1x pro Woche,0.034854861335923165,18165,0.032187595122915934,0.0375221275489304
1990,30-45 J.,2. Quintil,Seltener,0.03474695154850545,18165,0.03208366855717278,0.03741023453983811
1990,18-29 J.,1. Quintil,Seltener,0.03323621452465739,18165,0.03062943480386705,0.03584299424544772
1990,18-29 J.,1. Quintil,Min 1x pro Woche,0.0316175677133916,18165,0.029072929469394104,0.0341622059573891
1990,30-45 J.,1. Quintil,Min 1x pro Monat,0.02924355239020179,18165,0.026793312668678772,0.03169379211172481
1990,46-65 J.,1. Quintil,Nie,0.029135642602784072,18165,0.026689791867206734,0.03158149333836141
1990,30-45 J.,2. Quintil,Min 1x pro Monat,0.028919823027948634,18165,0.02648277700857194,0.03135686904732533
1990,46-65 J.,3. Quintil,Seltener,0.028164454516024603,18165,0.02575851097251351,0.030570398059535698
1990,18-29 J.,3. Quintil,Min 1x pro Woche,0.02773281536635373,18165,0.025344849226691214,0.030120781506016246
1990,18-29 J.,1. Quintil,Min 1x pro Monat,0.02665371749217654,18165,0.024311372003013785,0.028996062981339294
1990,18-29 J.,2. Quintil,Min 1x pro Monat,0.025574619617999353,18165,0.023278908405350962,0.027870330830647744
1990,30-45 J.,3. Quintil,Min 1x pro Monat,0.02212150642063235,18165,0.01998261781601163,0.02426039502525307
1990,66 und älter,1. Quintil,Nie,0.021689867270961477,18165,0.019571481291906445,0.02380825325001651
1990,46-65 J.,2. Quintil,Min 1x pro Monat,0.0212582281212906,18165,0.019160563933315354,0.023355892309265845
1990,66 und älter,1. Quintil,Seltener,0.020826588971619726,18165,0.018749872300827322,0.02290330564241213
1990,46-65 J.,3. Quintil,Min 1x pro Monat,0.020610769396784287,18165,0.01854461327445112,0.022676925519117454
1990,18-29 J.,3. Quintil,Min 1x pro Monat,0.01974749109744254,18165,0.017724176965572103,0.021770805229312976
1990,46-65 J.,1. Quintil,Min 1x pro Monat,0.019100032372936226,18165,0.0171095067058213,0.021090558040051152
1990,30-45 J.,2. Quintil,Min 1x pro Woche,0.01769720513650588,18165,0.015779802136128777,0.019614608136882983
1990,18-29 J.,2. Quintil,Seltener,0.01672601704974641,18165,0.014861046784626292,0.01859098731486653
1990,46-65 J.,4. Quintil,Seltener,0.015754828962986942,18165,0.013943918979487085,0.0175657389464868
1990,30-45 J.,1. Quintil,Nie,0.014567821301392036,18165,0.012825416565267589,0.016310226037516484
1990,30-45 J.,1. Quintil,Min 1x pro Woche,0.014459911513974317,18165,0.012723877079389939,0.016195945948558697
1990,46-65 J.,2. Quintil,Min 1x pro Woche,0.01413618215172116,18165,0.01241940904867719,0.01585295525476513
1990,30-45 J.,3. Quintil,Min 1x pro Woche,0.013920362576885724,18165,0.012216558554335151,0.015624166599436296
1990,46-65 J.,2. Quintil,Nie,0.013704543002050287,18165,0.012013813364829162,0.015395272639271412
1990,30-45 J.,4. Quintil,Min 1x pro Woche,0.013272903852379411,18165,0.01160864884758091,0.014937158857177913
1990,30-45 J.,3. Quintil,Seltener,0.013057084277543974,18165,0.011406234745667288,0.01470793380942066
