year,regtyp,pli0079,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,Daily,0.016593675255382766,153,9436,0.016554038121450818,0.016633312389314713
1990,Urban regions,At least once per week,0.25256604716145326,1806,9436,0.25243123212079205,0.25270086220211446
1990,Urban regions,At least once per month,0.2816523409510182,2065,9436,0.2815127721089682,0.28179190979306823
1990,Urban regions,Seldom,0.34473352617051206,2520,9436,0.34458605226312017,0.34488100007790395
1990,Urban regions,Never,0.10445441046163356,925,9436,0.1043595092640075,0.10454931165925962
1990,Rural regions,Daily,0.021283888530823226,48,9436,0.02120219059124417,0.021365586470402282
1990,Rural regions,At least once per week,0.2299767675970062,454,9436,0.22973856244845167,0.23021497274556071
1990,Rural regions,At least once per month,0.2568423423970791,535,9436,0.25659503845642373,0.25708964633773446
1990,Rural regions,Seldom,0.37848789948633227,716,9436,0.37821335796178335,0.3787624410108812
1990,Rural regions,Never,0.11340910198875924,214,9436,0.11322961092267847,0.11358859305484001
1995,Urban regions,Daily,0.020794451561172635,176,13234,0.02075283678630466,0.02083606633604061
1995,Urban regions,At least once per week,0.2375537246692503,1955,13234,0.2374296101964018,0.23767783914209878
1995,Urban regions,At least once per month,0.2798715580066749,2436,13234,0.2797406334095787,0.2800024826037711
1995,Urban regions,Seldom,0.3377024268635122,2989,13234,0.3375645058137654,0.337840347913259
1995,Urban regions,Never,0.12407783889938996,1131,13234,0.12398169610321808,0.12417398169556185
1995,Rural regions,Daily,0.020790568465612128,86,13234,0.02072937440481121,0.020851762526413044
1995,Rural regions,At least once per week,0.1747891129796049,748,13234,0.1746262291538371,0.17495199680537268
1995,Rural regions,At least once per month,0.26319130788251566,1199,13234,0.2630024429016168,0.26338017286341453
1995,Rural regions,Seldom,0.37977672101821286,1840,13234,0.37956857097794466,0.37998487105848106
1995,Rural regions,Never,0.1614522896540544,674,13234,0.16129448337102656,0.16161009593708223
1998,Urban regions,Daily,0.018323896654292154,172,14198,0.018285045090316938,0.01836274821826737
1998,Urban regions,At least once per week,0.24260506456198522,2166,14198,0.24248089172333748,0.24272923740063296
1998,Urban regions,At least once per month,0.3027841793486571,2778,14198,0.3026510831395726,0.30291727555774156
1998,Urban regions,Seldom,0.331240681231974,3170,14198,0.33110434156227286,0.3313770209016751
1998,Urban regions,Never,0.10504617820309159,954,14198,0.10495735919447308,0.1051349972117101
1998,Rural regions,Daily,0.012574376882534499,63,14198,0.01252664971083524,0.012622104054233757
1998,Rural regions,At least once per week,0.16962192925679642,822,14198,0.1694611799158377,0.16978267859775514
1998,Rural regions,At least once per month,0.2604093275071017,1301,14198,0.2602213550377227,0.26059729997648073
1998,Rural regions,Seldom,0.4248757357756566,2189,14198,0.424664005932279,0.42508746561903427
1998,Rural regions,Never,0.13251863057791072,583,14198,0.1323734064377043,0.13266385471811715
2003,Urban regions,Daily,0.016363169367376303,251,22129,0.01632664168545461,0.016399697049297998
2003,Urban regions,At least once per week,0.23601595388701072,3677,22129,0.23589369404398192,0.23613821373003951
2003,Urban regions,At least once per month,0.300986568453218,4656,22129,0.30085450357753324,0.3011186333289027
2003,Urban regions,Seldom,0.3431679518331249,4850,22129,0.3430312571768128,0.3433046464894369
2003,Urban regions,Never,0.10346635645927012,1275,22129,0.10337866568950513,0.1035540472290351
2003,Rural regions,Daily,0.013177055420741192,95,22129,0.013128963359893232,0.013225147481589152
2003,Rural regions,At least once per week,0.15717306290081376,1253,22129,0.15701956485731852,0.157326560944309
2003,Rural regions,At least once per month,0.2576484857999103,1999,22129,0.2574640423746142,0.2578329292252064
2003,Rural regions,Seldom,0.4402753855680255,3227,22129,0.4400660254336989,0.4404847457023521
2003,Rural regions,Never,0.13172601031050926,846,22129,0.13158338101171835,0.13186863960930018
2008,Urban regions,Daily,0.016119218151185343,173,19276,0.01608293041381472,0.016155505888555965
2008,Urban regions,At least once per week,0.23099642953428434,3004,19276,0.2308749834613246,0.2311178756072441
2008,Urban regions,At least once per month,0.3005210389945139,3971,19276,0.30038892724815575,0.300653150740872
2008,Urban regions,Seldom,0.3576985042817745,4477,19276,0.3575603880588254,0.35783662050472365
2008,Urban regions,Never,0.09466480903824194,1010,19276,0.09458045310255019,0.0947491649739337
2008,Rural regions,Daily,0.01491632441313353,89,19276,0.014865565056770828,0.014967083769496233
2008,Rural regions,At least once per week,0.15222353789964355,998,19276,0.15207310936731508,0.152373966431972
2008,Rural regions,At least once per month,0.27013827813211944,1802,19276,0.269952342770533,0.2703242134937059
2008,Rural regions,Seldom,0.4351961701600053,3006,19276,0.43498856412016235,0.4354037761998482
2008,Rural regions,Never,0.12752568939509834,746,19276,0.12738601274860187,0.1276653660415948
2013,Urban regions,Daily,0.018793466000237992,259,25463,0.018751392377226193,0.01883553962324979
2013,Urban regions,At least once per week,0.2541148018235354,3814,25463,0.25397991260768626,0.25424969103938455
2013,Urban regions,At least once per month,0.33561581659581735,5524,25463,0.3354695122904626,0.3357621209011721
2013,Urban regions,Seldom,0.31578314242427596,5406,25463,0.3156391241474561,0.31592716070109583
2013,Urban regions,Never,0.07569277315613322,1154,25463,0.07561082076361432,0.07577472554865212
2013,Rural regions,Daily,0.011933277417636572,107,25463,0.011886525901320114,0.01198002893395303
2013,Rural regions,At least once per week,0.18104835100590114,1497,25463,0.18088256452465193,0.18121413748715035
2013,Rural regions,At least once per month,0.3031664088256412,2898,25463,0.30296851703655986,0.3033643006147226
2013,Rural regions,Seldom,0.3933554412923324,3839,25463,0.39314512039277477,0.39356576219189005
2013,Rural regions,Never,0.11049652145848855,965,25463,0.1103615410230655,0.1106315018939116
2017,Urban regions,Daily,0.03207204021271403,91,3941,0.031459713467924706,0.032684366957503354
2017,Urban regions,At least once per week,0.24003587573316085,558,3941,0.23855153693013578,0.2415202145361859
2017,Urban regions,At least once per month,0.25581864538327403,660,3941,0.2543022798411339,0.25733501092541416
2017,Urban regions,Seldom,0.18238726864839838,575,3941,0.18104521616607983,0.18372932113071694
2017,Urban regions,Never,0.28968617002245267,870,3941,0.2881096937685608,0.2912626462763445
2017,Rural regions,At least once per week,0.1902908597939819,200,3941,0.18820869858964345,0.19237302099832032
2017,Rural regions,At least once per month,0.20001892614212197,239,3941,0.19789706838337678,0.20214078390086715
2017,Rural regions,Seldom,0.21497995359725972,261,3941,0.21280083824115123,0.2171590689533682
2017,Rural regions,Never,0.3947102604666363,487,3941,0.3921175039812731,0.39730301695199954
2018,Urban regions,Daily,0.02282747033113077,46,3154,0.022317218693725497,0.023337721968536045
2018,Urban regions,At least once per week,0.30001797749613673,587,3154,0.2984523552940869,0.30158359969818654
2018,Urban regions,At least once per month,0.3101306153052509,768,3154,0.30855036586485696,0.3117108647456448
2018,Urban regions,Seldom,0.20050529008408163,488,3154,0.1991374333787516,0.20187314678941168
2018,Urban regions,Never,0.16651864678339998,426,3154,0.16524587872012117,0.16779141484667878
2018,Rural regions,At least once per week,0.3108888744082779,198,3154,0.3083013364193099,0.3134764123972459
2018,Rural regions,At least once per month,0.2543298043758942,232,3154,0.251895294534264,0.2567643142175244
2018,Rural regions,Seldom,0.18788283623755,173,3154,0.18569913906401694,0.19006653341108307
2018,Rural regions,Never,0.24689848497827785,236,3154,0.2444878831216282,0.2493090868349275
2019,Urban regions,Daily,0.01739074126240986,386,28236,0.017353057698192793,0.017428424826626925
2019,Urban regions,At least once per week,0.286954735120927,5444,28236,0.28682433807648583,0.2870851321653682
2019,Urban regions,At least once per month,0.3756474087846038,6746,28236,0.37550780163569064,0.37578701593351693
2019,Urban regions,Seldom,0.2589378379647844,4742,28236,0.2588115599986868,0.259064115930882
2019,Urban regions,Never,0.06106927686727488,1292,28236,0.061000248013224394,0.06113830572132537
2019,Rural regions,Daily,0.010714207010460938,108,28236,0.01067025760520232,0.010758156415719556
2019,Rural regions,At least once per week,0.20527206781069715,1907,28236,0.20509964835610778,0.20544448726528652
2019,Rural regions,At least once per month,0.3546097608536075,3583,28236,0.354405540680994,0.354813981026221
2019,Rural regions,Seldom,0.348895548738986,3171,28236,0.34869208587837486,0.3490990115995971
2019,Rural regions,Never,0.08050841558624838,857,28236,0.08039226895472791,0.08062456221776886
