year,pgisced97,sampreg,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,West,Daily,0.19149,39,121,0.12109,0.26189
1990,Pre-primary Level,West,At least once per week,0.54685,82,121,0.45779,0.63592
1990,Primary Level,West,Daily,0.11432,69,606,0.08896,0.13967
1990,Primary Level,West,At least once per week,0.47760,342,606,0.43780,0.51741
1990,Primary Level,West,At least once per month,0.21029,123,606,0.17782,0.24276
1990,Primary Level,West,Seldom,0.12301,72,606,0.09684,0.14919
1990,Lower Secondary Level,West,Daily,0.06937,225,2455,0.05932,0.07942
1990,Lower Secondary Level,West,At least once per week,0.37429,1059,2455,0.35515,0.39344
1990,Lower Secondary Level,West,At least once per month,0.27316,591,2455,0.25553,0.29079
1990,Lower Secondary Level,West,Seldom,0.23236,484,2455,0.21565,0.24907
1990,Lower Secondary Level,West,Never,0.04664,96,2455,0.03830,0.05498
1990,Upper Secondary Level,West,Daily,0.03744,217,4528,0.03191,0.04296
1990,Upper Secondary Level,West,At least once per week,0.39102,1880,4528,0.37680,0.40523
1990,Upper Secondary Level,West,At least once per month,0.31372,1395,4528,0.30020,0.32723
1990,Upper Secondary Level,West,Seldom,0.22911,936,4528,0.21687,0.24136
1990,Upper Secondary Level,West,Never,0.02682,100,4528,0.02211,0.03153
1990,Post-secondary Non-tertiary Level,West,At least once per week,0.47768,146,271,0.41809,0.53726
1990,Post-secondary Non-tertiary Level,West,At least once per month,0.30128,81,271,0.24655,0.35601
1990,Post-secondary Non-tertiary Level,West,Seldom,0.14385,44,271,0.10199,0.18571
1990,First Stage of Tertiary Education,West,At least once per week,0.36251,189,489,0.31985,0.40516
1990,First Stage of Tertiary Education,West,At least once per month,0.32817,176,489,0.28651,0.36983
1990,First Stage of Tertiary Education,West,Seldom,0.25564,124,489,0.21693,0.29434
1990,Second Stage of Tertiary Education,West,At least once per week,0.43869,304,666,0.40097,0.47640
1990,Second Stage of Tertiary Education,West,At least once per month,0.35046,242,666,0.31420,0.38673
1990,Second Stage of Tertiary Education,West,Seldom,0.16293,120,666,0.13487,0.19100
1995,Pre-primary Level,West,Daily,0.23937,50,155,0.17198,0.30676
1995,Pre-primary Level,West,At least once per week,0.55629,105,155,0.47782,0.63476
1995,Pre-primary Level,East,Daily,0.29894,31,71,0.19170,0.40619
1995,Pre-primary Level,East,At least once per week,0.43974,40,71,0.32346,0.55602
1995,Primary Level,West,Daily,0.11799,54,499,0.08966,0.14633
1995,Primary Level,West,At least once per week,0.47507,279,499,0.43121,0.51893
1995,Primary Level,West,At least once per month,0.22984,117,499,0.19289,0.26679
1995,Primary Level,West,Seldom,0.10538,49,499,0.07842,0.13235
1995,Lower Secondary Level,West,Daily,0.07630,194,2103,0.06495,0.08765
1995,Lower Secondary Level,West,At least once per week,0.41982,976,2103,0.39872,0.44092
1995,Lower Secondary Level,West,At least once per month,0.25624,517,2103,0.23758,0.27490
1995,Lower Secondary Level,West,Seldom,0.19097,337,2103,0.17416,0.20777
1995,Lower Secondary Level,West,Never,0.04953,79,2103,0.04026,0.05881
1995,Lower Secondary Level,East,Daily,0.13800,53,350,0.10181,0.17418
1995,Lower Secondary Level,East,At least once per week,0.33201,128,350,0.28260,0.38142
1995,Lower Secondary Level,East,At least once per month,0.21410,82,350,0.17106,0.25713
1995,Lower Secondary Level,East,Seldom,0.23535,87,350,0.19085,0.27986
1995,Upper Secondary Level,West,Daily,0.05170,271,4660,0.04534,0.05806
1995,Upper Secondary Level,West,At least once per week,0.39338,2034,4660,0.37935,0.40741
1995,Upper Secondary Level,West,At least once per month,0.31410,1397,4660,0.30078,0.32743
1995,Upper Secondary Level,West,Seldom,0.20918,857,4660,0.19750,0.22085
1995,Upper Secondary Level,West,Never,0.02730,101,4660,0.02262,0.03197
1995,Upper Secondary Level,East,Daily,0.05389,89,2038,0.04409,0.06370
1995,Upper Secondary Level,East,At least once per week,0.32039,627,2038,0.30012,0.34065
1995,Upper Secondary Level,East,At least once per month,0.29274,637,2038,0.27298,0.31250
1995,Upper Secondary Level,East,Seldom,0.26952,596,2038,0.25025,0.28879
1995,Upper Secondary Level,East,Never,0.05649,89,2038,0.04647,0.06652
1995,Post-secondary Non-tertiary Level,West,At least once per week,0.53636,214,371,0.48555,0.58717
1995,Post-secondary Non-tertiary Level,West,At least once per month,0.27330,116,371,0.22789,0.31871
1995,Post-secondary Non-tertiary Level,West,Seldom,0.10133,41,371,0.07058,0.13208
1995,First Stage of Tertiary Education,West,At least once per week,0.38878,209,501,0.34605,0.43151
1995,First Stage of Tertiary Education,West,At least once per month,0.36414,199,501,0.32196,0.40632
1995,First Stage of Tertiary Education,West,Seldom,0.19458,93,501,0.15988,0.22928
1995,First Stage of Tertiary Education,East,At least once per week,0.26131,63,224,0.20364,0.31897
1995,First Stage of Tertiary Education,East,At least once per month,0.30758,81,224,0.24701,0.36815
1995,First Stage of Tertiary Education,East,Seldom,0.38494,80,224,0.32107,0.44880
1995,Second Stage of Tertiary Education,West,At least once per week,0.44475,409,880,0.41189,0.47760
1995,Second Stage of Tertiary Education,West,At least once per month,0.34317,319,880,0.31178,0.37455
1995,Second Stage of Tertiary Education,West,Seldom,0.16709,152,880,0.14243,0.19176
1995,Second Stage of Tertiary Education,East,At least once per week,0.26984,212,797,0.23901,0.30068
1995,Second Stage of Tertiary Education,East,At least once per month,0.35825,311,797,0.32494,0.39156
1995,Second Stage of Tertiary Education,East,Seldom,0.31840,274,797,0.28604,0.35077
1998,Pre-primary Level,West,Daily,0.25841,60,191,0.19616,0.32066
1998,Pre-primary Level,West,At least once per week,0.57971,131,191,0.50953,0.64990
1998,Pre-primary Level,East,Daily,0.28788,34,88,0.19274,0.38303
1998,Pre-primary Level,East,At least once per week,0.51267,54,88,0.40763,0.61770
1998,Primary Level,West,Daily,0.13966,66,421,0.10651,0.17281
1998,Primary Level,West,At least once per week,0.45177,214,421,0.40418,0.49937
1998,Primary Level,West,At least once per month,0.21902,86,421,0.17946,0.25857
1998,Primary Level,West,Seldom,0.15985,55,421,0.12480,0.19489
1998,Lower Secondary Level,West,Daily,0.08640,228,2155,0.07453,0.09826
1998,Lower Secondary Level,West,At least once per week,0.43190,995,2155,0.41098,0.45281
1998,Lower Secondary Level,West,At least once per month,0.24536,515,2155,0.22718,0.26353
1998,Lower Secondary Level,West,Seldom,0.19817,359,2155,0.18134,0.21501
1998,Lower Secondary Level,West,Never,0.03333,58,2155,0.02575,0.04091
1998,Lower Secondary Level,East,Daily,0.11972,53,353,0.08581,0.15364
1998,Lower Secondary Level,East,At least once per week,0.37156,146,353,0.32108,0.42204
1998,Lower Secondary Level,East,At least once per month,0.23042,74,353,0.18643,0.27441
1998,Lower Secondary Level,East,Seldom,0.21700,80,353,0.17394,0.26007
1998,Upper Secondary Level,West,Daily,0.05222,282,4903,0.04600,0.05845
1998,Upper Secondary Level,West,At least once per week,0.42112,2200,4903,0.40730,0.43495
1998,Upper Secondary Level,West,At least once per month,0.28434,1429,4903,0.27171,0.29697
1998,Upper Secondary Level,West,Seldom,0.21246,908,4903,0.20100,0.22391
1998,Upper Secondary Level,West,Never,0.02195,84,4903,0.01785,0.02605
1998,Upper Secondary Level,East,Daily,0.04673,93,2086,0.03767,0.05579
1998,Upper Secondary Level,East,At least once per week,0.33525,654,2086,0.31498,0.35551
1998,Upper Secondary Level,East,At least once per month,0.32717,705,2086,0.30703,0.34731
1998,Upper Secondary Level,East,Seldom,0.25662,582,2086,0.23787,0.27537
1998,Upper Secondary Level,East,Never,0.02945,52,2086,0.02219,0.03671
1998,Post-secondary Non-tertiary Level,West,At least once per week,0.54872,226,411,0.50055,0.59689
1998,Post-secondary Non-tertiary Level,West,At least once per month,0.28406,132,411,0.24041,0.32771
1998,Post-secondary Non-tertiary Level,West,Seldom,0.12542,53,411,0.09336,0.15748
1998,First Stage of Tertiary Education,West,At least once per week,0.38973,240,556,0.34915,0.43030
1998,First Stage of Tertiary Education,West,At least once per month,0.32832,195,556,0.28925,0.36739
1998,First Stage of Tertiary Education,West,Seldom,0.23526,121,556,0.19997,0.27055
1998,First Stage of Tertiary Education,East,At least once per week,0.32165,76,229,0.26101,0.38228
1998,First Stage of Tertiary Education,East,At least once per month,0.32110,76,229,0.26049,0.38171
1998,First Stage of Tertiary Education,East,Seldom,0.30453,77,229,0.24480,0.36427
1998,Second Stage of Tertiary Education,West,At least once per week,0.44143,482,1053,0.41142,0.47143
1998,Second Stage of Tertiary Education,West,At least once per month,0.35197,398,1053,0.32311,0.38083
1998,Second Stage of Tertiary Education,West,Seldom,0.16087,173,1053,0.13867,0.18307
1998,Second Stage of Tertiary Education,East,At least once per week,0.27320,236,842,0.24308,0.30331
1998,Second Stage of Tertiary Education,East,At least once per month,0.38208,339,842,0.34924,0.41492
1998,Second Stage of Tertiary Education,East,Seldom,0.31230,267,842,0.28098,0.34362
2003,Pre-primary Level,West,Daily,0.25990,123,433,0.21854,0.30126
2003,Pre-primary Level,West,At least once per week,0.57785,269,433,0.53128,0.62443
2003,Pre-primary Level,West,At least once per month,0.09052,41,433,0.06346,0.11757
2003,Pre-primary Level,East,Daily,0.27166,47,131,0.19519,0.34812
2003,Pre-primary Level,East,At least once per week,0.56032,84,131,0.47499,0.64564
2003,Primary Level,West,At least once per week,0.37822,100,218,0.31369,0.44274
2003,Primary Level,West,At least once per month,0.26257,67,218,0.20403,0.32112
