year,quintil_oecd,sex,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,male,Daily,0.06725,90,822,0.05012,0.08438
1990,1st Quintile,male,At least once per week,0.27447,375,822,0.24395,0.30500
1990,1st Quintile,male,At least once per month,0.18670,197,822,0.16004,0.21335
1990,1st Quintile,male,Seldom,0.17059,160,822,0.14486,0.19632
1990,1st Quintile,female,Daily,0.06361,94,1048,0.04883,0.07840
1990,1st Quintile,female,At least once per week,0.31815,484,1048,0.28994,0.34636
1990,1st Quintile,female,At least once per month,0.20397,236,1048,0.17957,0.22838
1990,1st Quintile,female,Seldom,0.17246,188,1048,0.14958,0.19534
1990,1st Quintile,female,Never,0.05274,46,1048,0.03920,0.06628
1990,2nd Quintile,male,Daily,0.05144,77,864,0.03670,0.06617
1990,2nd Quintile,male,At least once per week,0.27539,369,864,0.24558,0.30519
1990,2nd Quintile,male,At least once per month,0.23239,250,864,0.20421,0.26056
1990,2nd Quintile,male,Seldom,0.17078,168,864,0.14567,0.19589
1990,2nd Quintile,female,Daily,0.03825,61,990,0.02629,0.05020
1990,2nd Quintile,female,At least once per week,0.32253,434,990,0.29339,0.35166
1990,2nd Quintile,female,At least once per month,0.24084,283,990,0.21419,0.26749
1990,2nd Quintile,female,Seldom,0.16891,181,990,0.14556,0.19226
1990,2nd Quintile,female,Never,0.02633,31,990,0.01635,0.03631
1990,3rd Quintile,male,Daily,0.04379,68,939,0.03070,0.05689
1990,3rd Quintile,male,At least once per week,0.29428,389,939,0.26511,0.32344
1990,3rd Quintile,male,At least once per month,0.26116,283,939,0.23305,0.28927
1990,3rd Quintile,male,Seldom,0.17497,166,939,0.15066,0.19929
1990,3rd Quintile,male,Never,0.03513,33,939,0.02335,0.04691
1990,3rd Quintile,female,Daily,0.03423,46,922,0.02249,0.04597
1990,3rd Quintile,female,At least once per week,0.34959,434,922,0.31880,0.38039
1990,3rd Quintile,female,At least once per month,0.24137,266,922,0.21373,0.26900
1990,3rd Quintile,female,Seldom,0.16530,176,922,0.14131,0.18929
1990,4th Quintile,male,Daily,0.03380,62,995,0.02256,0.04503
1990,4th Quintile,male,At least once per week,0.35584,423,995,0.32607,0.38560
1990,4th Quintile,male,At least once per month,0.25907,278,995,0.23183,0.28630
1990,4th Quintile,male,Seldom,0.23203,232,995,0.20579,0.25828
