year,pgisced97,sampreg,pli0081,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,West,At least once per week,0.22068513054637948,39,9149,0.21970743205956791,0.22166282903319104
1990,Pre-primary Level,West,At least once per month,0.43119228066310167,55,9149,0.43002471811640264,0.4323598432098007
1990,Pre-primary Level,West,Seldom,0.34812258879051877,43,9149,0.34699950801301943,0.3492456695680181
1990,Primary Level,West,Daily,0.11463484741973226,78,9149,0.11407038668035348,0.11519930815911104
1990,Primary Level,West,At least once per week,0.3820473190560214,265,9149,0.38118642365446753,0.3829082144575753
1990,Primary Level,West,At least once per month,0.19506559788056915,115,9149,0.19436352081621563,0.19576767494492267
1990,Primary Level,West,Seldom,0.20187761177503358,106,9149,0.20116640968317562,0.20258881386689154
1990,Primary Level,West,Never,0.10637462386864366,63,9149,0.10582834932281433,0.10692089841447298
1990,Lower Secondary Level,West,Daily,0.10179372510335151,247,9149,0.10162610944699019,0.10196134075971283
1990,Lower Secondary Level,West,At least once per week,0.36525004643270914,946,9149,0.3649831378650339,0.3655169550003844
1990,Lower Secondary Level,West,At least once per month,0.29679772005485716,645,9149,0.296544477637068,0.29705096247264634
1990,Lower Secondary Level,West,Seldom,0.2001909389563528,480,9149,0.19996912881214884,0.20041274910055673
1990,Lower Secondary Level,West,Never,0.03596756945272939,132,9149,0.035864348609307505,0.03607079029615127
1990,Upper Secondary Level,West,Daily,0.06128538706802785,306,9149,0.06119547293844093,0.06137530119761477
1990,Upper Secondary Level,West,At least once per week,0.36838269415560954,1720,9149,0.36820186880793637,0.3685635195032827
1990,Upper Secondary Level,West,At least once per month,0.31875866678328335,1378,9149,0.31858397833607255,0.31893335523049415
1990,Upper Secondary Level,West,Seldom,0.2287312434941545,992,9149,0.22857379144997847,0.22888869553833052
1990,Upper Secondary Level,West,Never,0.02284200849892477,129,9149,0.022786002799281516,0.022898014198568024
1990,Post-secondary Non-tertiary Level,West,At least once per week,0.37159422904743444,106,9149,0.37080992433289084,0.37237853376197805
1990,Post-secondary Non-tertiary Level,West,At least once per month,0.37615468807334973,90,9149,0.37536845382049094,0.3769409223262085
1990,Post-secondary Non-tertiary Level,West,Seldom,0.25225108287921594,73,9149,0.25154618747519925,0.25295597828323263
1990,First Stage of Tertiary Education,West,At least once per week,0.339749970121675,161,9149,0.33922513802596577,0.34027480221738426
1990,First Stage of Tertiary Education,West,At least once per month,0.3770535039531924,187,9149,0.37651645568315917,0.3775905522232257
1990,First Stage of Tertiary Education,West,Seldom,0.2831965259251325,129,9149,0.28269726167528625,0.28369579017497876
1990,Second Stage of Tertiary Education,West,At least once per week,0.3412450863811467,216,9149,0.34079452079298594,0.34169565196930746
1990,Second Stage of Tertiary Education,West,At least once per month,0.34316774956538615,227,9149,0.34271657630760227,0.34361892282317
1990,Second Stage of Tertiary Education,West,Seldom,0.3155871640534671,221,9149,0.3151455106101215,0.31602881749681266
1995,Pre-primary Level,West,At least once per week,0.32394193150761513,60,12685,0.322945838332472,0.3249380246827583
1995,Pre-primary Level,West,At least once per month,0.3511129251880388,53,12685,0.3500969517565659,0.35212889861951174
1995,Pre-primary Level,West,Seldom,0.3249451433043461,54,12685,0.32394824940357936,0.32594203720511283
1995,Pre-primary Level,East,At least once per month,1.0,46,12685,1.0,1.0
1995,Primary Level,West,Daily,0.14784647721153288,76,12685,0.14721062577286054,0.14848232865020522
1995,Primary Level,West,At least once per week,0.37069926238694684,238,12685,0.36983403306824836,0.3715644917056453
1995,Primary Level,West,At least once per month,0.22218096039517568,90,12685,0.22143625594232424,0.22292566484802712
1995,Primary Level,West,Seldom,0.15852141911373407,67,12685,0.15786714949419525,0.1591756887332729
1995,Primary Level,West,Never,0.1007518808926104,47,12685,0.10021267131672867,0.10129109046849213
1995,Lower Secondary Level,West,Daily,0.10205283994563773,218,12685,0.1018742875661962,0.10223139232507926
1995,Lower Secondary Level,West,At least once per week,0.4047030553149334,906,12685,0.40441354584618705,0.40499256478367973
1995,Lower Secondary Level,West,At least once per month,0.26512354532286436,525,12685,0.2648631944609278,0.2653838961848009
1995,Lower Secondary Level,West,Seldom,0.19070493307717806,359,12685,0.1904732138271008,0.19093665232725532
1995,Lower Secondary Level,West,Never,0.037415626339386554,93,12685,0.037303689351186047,0.03752756332758706
1995,Lower Secondary Level,East,Daily,0.10684742044884545,31,12685,0.10631871145445189,0.107376129443239
1995,Lower Secondary Level,East,At least once per week,0.39129024317147587,137,12685,0.39045497392734,0.3921255124156117
1995,Lower Secondary Level,East,At least once per month,0.2648880372095946,103,12685,0.26413280628090474,0.2656432681382844
1995,Lower Secondary Level,East,Seldom,0.2369742991700842,86,12685,0.2362465326771318,0.2377020656630366
1995,Upper Secondary Level,West,Daily,0.07828463180520417,398,12685,0.07818406895550557,0.07838519465490278
1995,Upper Secondary Level,West,At least once per week,0.3794082360150743,1878,12685,0.3792265768634941,0.3795898951666545
1995,Upper Secondary Level,West,At least once per month,0.2993566985414413,1314,12685,0.2991852460193415,0.29952815106354114
1995,Upper Secondary Level,West,Seldom,0.217796580780949,937,12685,0.21764206021704843,0.21795110134484955
1995,Upper Secondary Level,West,Never,0.025153852857331172,119,12685,0.025095229430910894,0.02521247628375145
1995,Upper Secondary Level,East,Daily,0.07872081286107564,156,12685,0.07852421658377247,0.07891740913837882
1995,Upper Secondary Level,East,At least once per week,0.4473105562818582,863,12685,0.4469475785074258,0.44767353405629057
1995,Upper Secondary Level,East,At least once per month,0.28644427596150884,626,12685,0.28611423420017074,0.28677431772284695
1995,Upper Secondary Level,East,Seldom,0.16848693475281984,359,12685,0.16821368956115662,0.16876017994448306
1995,Upper Secondary Level,East,Never,0.019037420142737484,36,12685,0.018937658143766665,0.019137182141708304
1995,Post-secondary Non-tertiary Level,West,At least once per week,0.38240601978443833,152,12685,0.38171484372973524,0.3830971958391414
1995,Post-secondary Non-tertiary Level,West,At least once per month,0.3565324875648598,121,12685,0.3558512671352891,0.3572137079944305
1995,Post-secondary Non-tertiary Level,West,Seldom,0.26106149265070183,85,12685,0.26043682307462795,0.2616861622267757
1995,Post-secondary Non-tertiary Level,East,At least once per week,1.0,34,12685,1.0,1.0
1995,First Stage of Tertiary Education,West,At least once per week,0.40576442714889494,211,12685,0.4052352339955652,0.40629362030222466
1995,First Stage of Tertiary Education,West,At least once per month,0.3298582300790489,169,12685,0.32935153706728254,0.3303649230908153
1995,First Stage of Tertiary Education,West,Seldom,0.26437734277205616,110,12685,0.26390207586709624,0.26485260967701607
1995,First Stage of Tertiary Education,East,At least once per week,0.4416905739448005,90,12685,0.44057109332972455,0.44281005455987643
1995,First Stage of Tertiary Education,East,At least once per month,0.35296508677064703,75,12685,0.35188775426294794,0.3540424192783461
1995,First Stage of Tertiary Education,East,Seldom,0.20534433928455248,49,12685,0.20443369054591967,0.2062549880231853
1995,Second Stage of Tertiary Education,West,Daily,0.030131148047472984,34,12685,0.02999277123484601,0.03026952486009996
1995,Second Stage of Tertiary Education,West,At least once per week,0.32316825919341735,290,12685,0.3227896826642251,0.3235468357226096
1995,Second Stage of Tertiary Education,West,At least once per month,0.3423743975950617,310,12685,0.3419903023117068,0.34275849287841664
1995,Second Stage of Tertiary Education,West,Seldom,0.304326195164048,256,12685,0.30395374216926224,0.3046986481588338
1995,Second Stage of Tertiary Education,East,Daily,0.05452864801518643,48,12685,0.05426044005358176,0.0547968559767911
1995,Second Stage of Tertiary Education,East,At least once per week,0.3967748870221836,316,12685,0.39619699472129377,0.39735277932307345
1995,Second Stage of Tertiary Education,East,At least once per month,0.37337758435072943,320,12685,0.37280622123975377,0.3739489474617051
1995,Second Stage of Tertiary Education,East,Seldom,0.1753188806119006,140,12685,0.17486972949509832,0.17576803172870287
1998,Pre-primary Level,West,At least once per week,0.335330606680593,78,13322,0.334371273219638,0.336289940141548
1998,Pre-primary Level,West,At least once per month,0.3605968009947787,68,13322,0.35962107361448925,0.36157252837506815
1998,Pre-primary Level,West,Seldom,0.3040725923246283,59,13322,0.3031378309393,0.3050073537099566
1998,Pre-primary Level,East,At least once per week,0.4175000218008363,35,13322,0.4152435034984218,0.41975654010325075
1998,Pre-primary Level,East,At least once per month,0.5824999781991637,45,13322,0.5802434598967492,0.5847564965015781
1998,Primary Level,West,Daily,0.1999827641613612,92,13322,0.19927228163362448,0.20069324668909794
1998,Primary Level,West,At least once per week,0.4310770876455782,198,13322,0.4301974341573386,0.4319567411338179
1998,Primary Level,West,At least once per month,0.21075572179579138,72,13322,0.2100312810734008,0.21148016251818197
1998,Primary Level,West,Seldom,0.15818442639726915,49,13322,0.1575362431728927,0.1588326096216456
1998,Lower Secondary Level,West,Daily,0.11840999786455234,276,13322,0.11821597043762384,0.11860402529148083
1998,Lower Secondary Level,West,At least once per week,0.4351383966672781,969,13322,0.43484066821459255,0.43543612511996366
1998,Lower Secondary Level,West,At least once per month,0.23998307799974905,477,13322,0.23972660742193935,0.24023954857755875
1998,Lower Secondary Level,West,Seldom,0.1822295287796631,374,13322,0.18199770355040037,0.18246135400892585
1998,Lower Secondary Level,West,Never,0.024238998688757424,52,13322,0.02414664278225562,0.024331354595259227
1998,Lower Secondary Level,East,Daily,0.10734113392768678,36,13322,0.10678745495819673,0.10789481289717683
1998,Lower Secondary Level,East,At least once per week,0.3847075600778459,144,13322,0.3838373215093827,0.3855777986463091
1998,Lower Secondary Level,East,At least once per month,0.31980422252601903,119,13322,0.31896998208373956,0.3206384629682985
1998,Lower Secondary Level,East,Seldom,0.1881470834684483,66,13322,0.1874480151829844,0.1888461517539122
1998,Upper Secondary Level,West,Daily,0.07979829577019211,437,13322,0.07969485039311909,0.07990174114726513
1998,Upper Secondary Level,West,At least once per week,0.4075972531196024,2108,13322,0.4074096686333067,0.40778483760589807
1998,Upper Secondary Level,West,At least once per month,0.2816196772913771,1329,13322,0.28144797287154444,0.28179138171120977
1998,Upper Secondary Level,West,Seldom,0.21081743338853626,926,13322,0.2106617240124524,0.21097314276462012
1998,Upper Secondary Level,West,Never,0.020167340430292197,84,13322,0.02011367766698037,0.020221003193604023
1998,Upper Secondary Level,East,Daily,0.08075057236980997,167,13322,0.08054897008564277,0.08095217465397717
1998,Upper Secondary Level,East,At least once per week,0.4314114414362542,856,13322,0.43104496095655753,0.4317779219159509
1998,Upper Secondary Level,East,At least once per month,0.33700469717964177,720,13322,0.33665492991351276,0.3373544644457708
1998,Upper Secondary Level,East,Seldom,0.15083328901429402,325,13322,0.1505684688561548,0.15109810917243324
1998,Post-secondary Non-tertiary Level,West,At least once per week,0.4391720437754634,186,13322,0.4385080368517154,0.43983605069921144
1998,Post-secondary Non-tertiary Level,West,At least once per month,0.3487072967856974,137,13322,0.34806968099880736,0.34934491257258743
1998,Post-secondary Non-tertiary Level,West,Seldom,0.2121206594388391,80,13322,0.21157369161623685,0.21266762726144134
1998,Post-secondary Non-tertiary Level,East,At least once per week,1.0,31,13322,1.0,1.0
1998,First Stage of Tertiary Education,West,Daily,0.05364231937787451,33,13322,0.05339347318908299,0.05389116556666603
1998,First Stage of Tertiary Education,West,At least once per week,0.3850615710173721,235,13322,0.38452413041841277,0.3855990116163314
1998,First Stage of Tertiary Education,West,At least once per month,0.33722030992858426,189,13322,0.33669816505107225,0.33774245480609627
1998,First Stage of Tertiary Education,West,Seldom,0.2240757996761692,114,13322,0.2236152709867767,0.2245363283655617
1998,First Stage of Tertiary Education,East,At least once per week,0.42319350852192156,88,13322,0.42206559494946266,0.42432142209438045
1998,First Stage of Tertiary Education,East,At least once per month,0.4090820001647797,89,13322,0.4079595681401674,0.410204432189392
1998,First Stage of Tertiary Education,East,Seldom,0.16772449131329878,44,13322,0.16687154233474427,0.1685774402918533
1998,Second Stage of Tertiary Education,West,Daily,0.03595472382680658,36,13322,0.03580649225991147,0.036102955393701695
1998,Second Stage of Tertiary Education,West,At least once per week,0.3156433273918296,360,13322,0.3152732832231534,0.3160133715605058
1998,Second Stage of Tertiary Education,West,At least once per month,0.35339585671507073,379,13322,0.35301526093066726,0.3537764524994742
1998,Second Stage of Tertiary Education,West,Seldom,0.2950060920662931,297,13322,0.294642995468468,0.29536918866411815
1998,Second Stage of Tertiary Education,East,Daily,0.061629777907607416,54,13322,0.06134606498084341,0.06191349083437142
1998,Second Stage of Tertiary Education,East,At least once per week,0.3443166271507557,301,13322,0.34375606625705246,0.344877188044459
1998,Second Stage of Tertiary Education,East,At least once per month,0.4151604905343368,364,13322,0.4145791600813021,0.4157418209873715
1998,Second Stage of Tertiary Education,East,Seldom,0.17889310440730005,144,13322,0.1784409431333606,0.1793452656812395
2003,Pre-primary Level,West,At least once per week,0.3428187675659452,141,21594,0.34184889437713545,0.34378864075475496
2003,Pre-primary Level,West,At least once per month,0.3212149964797601,131,21594,0.32026087404268366,0.3221691189168365
2003,Pre-primary Level,West,Seldom,0.33596623595429476,133,21594,0.33500111225305174,0.3369313596555378
2003,Pre-primary Level,East,At least once per week,0.26028906312553374,39,21594,0.2586427225226657,0.2619354037284018
