year,pgisced97,sex,pli0081,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Pre-primary Level,male,At least once per month,0.34976,32,32,0.18188,0.51764
1990,Primary Level,male,Daily,0.09825,32,230,0.05970,0.13680
1990,Primary Level,male,At least once per week,0.37394,107,230,0.31127,0.43661
1990,Primary Level,male,At least once per month,0.15976,45,230,0.11230,0.20721
1990,Primary Level,male,Seldom,0.21266,46,230,0.15966,0.26566
1990,Primary Level,female,Daily,0.11808,46,373,0.08529,0.15088
1990,Primary Level,female,At least once per week,0.35621,158,373,0.30755,0.40488
1990,Primary Level,female,At least once per month,0.20690,70,373,0.16574,0.24807
1990,Primary Level,female,Seldom,0.17540,60,373,0.13675,0.21404
1990,Primary Level,female,Never,0.09756,39,373,0.06741,0.12771
1990,Lower Secondary Level,male,Daily,0.06231,69,863,0.04618,0.07845
1990,Lower Secondary Level,male,At least once per week,0.30469,333,863,0.27397,0.33542
1990,Lower Secondary Level,male,At least once per month,0.26876,209,863,0.23916,0.29835
1990,Lower Secondary Level,male,Seldom,0.20933,182,863,0.18217,0.23649
1990,Lower Secondary Level,male,Never,0.04988,70,863,0.03534,0.06441
1990,Lower Secondary Level,female,Daily,0.09848,178,1587,0.08381,0.11314
1990,Lower Secondary Level,female,At least once per week,0.32415,613,1587,0.30111,0.34718
1990,Lower Secondary Level,female,At least once per month,0.25587,436,1587,0.23440,0.27735
1990,Lower Secondary Level,female,Seldom,0.16259,298,1587,0.14443,0.18076
1990,Lower Secondary Level,female,Never,0.02482,62,1587,0.01717,0.03248
1990,Upper Secondary Level,male,Daily,0.03910,131,2446,0.03141,0.04678
1990,Upper Secondary Level,male,At least once per week,0.28324,902,2446,0.26538,0.30110
1990,Upper Secondary Level,male,At least once per month,0.26012,754,2446,0.24273,0.27751
1990,Upper Secondary Level,male,Seldom,0.19996,578,2446,0.18411,0.21581
1990,Upper Secondary Level,male,Never,0.01925,81,2446,0.01380,0.02469
1990,Upper Secondary Level,female,Daily,0.05819,175,2080,0.04812,0.06825
