year,bula_h,pli0082,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,At least once per month,0.3705195439438065,85,9244,0.3698206429259994,0.37121844496161355
1990,Schleswig-Holstein,Seldom,0.6294804560561935,152,9244,0.6287815550383864,0.6301793570740006
1990,Hamburg,At least once per month,0.5285234129540265,70,9244,0.5275186063295311,0.5295282195785219
1990,Hamburg,Seldom,0.4714765870459735,60,9244,0.47047178042147814,0.4724813936704689
1990,Lower Saxony,At least once per week,0.06936795006849865,60,9244,0.06916060847081267,0.06957529166618463
1990,Lower Saxony,At least once per month,0.3513030554761309,332,9244,0.3509134905063717,0.35169262044589006
1990,Lower Saxony,Seldom,0.4777451288633968,475,9244,0.4773375070737779,0.4781527506530157
1990,Lower Saxony,Never,0.10158386559197356,103,9244,0.10133733594899917,0.10183039523494795
1990,Bremen,At least once per month,0.5490876879581863,38,9244,0.5476755230640533,0.5504998528523193
1990,Bremen,Seldom,0.45091231204181365,34,9244,0.4495001471476807,0.4523244769359466
1990,North Rhine-Westphalia,At least once per week,0.06722015938165612,159,9244,0.06708948351391392,0.06735083524939833
1990,North Rhine-Westphalia,At least once per month,0.2971760907026465,721,9244,0.29693759187734037,0.29741458952795263
1990,North Rhine-Westphalia,Seldom,0.5395841792736763,1355,9244,0.5393240670445331,0.5398442915028195
1990,North Rhine-Westphalia,Never,0.09601957064202107,302,9244,0.09586582052959518,0.09617332075444697
1990,Hesse,At least once per week,0.09002152914285277,83,9244,0.08976450654795695,0.0902785517377486
1990,Hesse,At least once per month,0.3383848795425785,292,9244,0.3379599756227114,0.3388097834624456
1990,Hesse,Seldom,0.45259701911248557,434,9244,0.4521500351142378,0.45304400311073334
1990,Hesse,Never,0.11899657220208312,166,9244,0.11870580957974411,0.11928733482442214
1990,"Rhineland-Palatinate, Saarland",At least once per week,0.09383931302303908,59,9244,0.09355231858672704,0.09412630745935112
1990,"Rhineland-Palatinate, Saarland",At least once per month,0.3194020641776617,203,9244,0.3189431910427147,0.31986093731260873
1990,"Rhineland-Palatinate, Saarland",Seldom,0.4444369227756564,315,9244,0.44394787621083354,0.44492596934047923
1990,"Rhineland-Palatinate, Saarland",Never,0.14232170002364283,91,9244,0.14197784432059288,0.1426655557266928
1990,Baden-Wuerttemberg,At least once per week,0.08269729136094206,127,9244,0.08250809712750151,0.08288648559438261
1990,Baden-Wuerttemberg,At least once per month,0.3326070037035099,545,9244,0.3322833635250048,0.33293064388201493
1990,Baden-Wuerttemberg,Seldom,0.48443498122284,881,9244,0.4840916878780611,0.4847782745676189
1990,Baden-Wuerttemberg,Never,0.10026072371270807,219,9244,0.10005440925066207,0.10046703817475407
1990,Bavaria,At least once per week,0.11014343456051559,156,9244,0.10993969266116908,0.1103471764598621
1990,Bavaria,At least once per month,0.3475622121531215,553,9244,0.3472523083769168,0.3478721159293262
1990,Bavaria,Seldom,0.4701623461595437,753,9244,0.4698375309399106,0.47048716137917684
1990,Bavaria,Never,0.07213200712681914,122,9244,0.07196364354986791,0.07230037070377036
1990,Berlin,At least once per month,0.39838597540355325,93,9244,0.39763078591616596,0.39914116489094054
1990,Berlin,Seldom,0.4500278957181299,134,9244,0.44926047240619676,0.45079531903006304
1990,Berlin,Never,0.15158612887831685,72,9244,0.15103293349056854,0.15213932426606516
1995,Schleswig-Holstein,At least once per month,0.2989679944493074,64,12938,0.29833946686531093,0.29959652203330384
1995,Schleswig-Holstein,Seldom,0.7010320055506927,165,12938,0.7004034779666962,0.7016605331346891
1995,Hamburg,At least once per month,0.37714075115638424,37,12938,0.37604212643744184,0.37823937587532663
1995,Hamburg,Seldom,0.6228592488436158,56,12938,0.6217606241246734,0.6239578735625582
1995,Lower Saxony,At least once per month,0.3126221320639199,291,12938,0.31224658115864634,0.3129976829691935
1995,Lower Saxony,Seldom,0.5708085369774082,608,12938,0.5704075484494692,0.5712095255053472
1995,Lower Saxony,Never,0.11656933095867196,111,12938,0.11630935118070371,0.11682931073664021
1995,Bremen,Seldom,1.0,38,12938,1.0,1.0
1995,North Rhine-Westphalia,At least once per week,0.04821288003326026,121,12938,0.04810077218929641,0.04832498787722411
1995,North Rhine-Westphalia,At least once per month,0.2680131038317388,603,12938,0.2677813034117621,0.26824490425171554
1995,North Rhine-Westphalia,Seldom,0.5565768029791058,1463,12938,0.5563168131812044,0.5568367927770073
1995,North Rhine-Westphalia,Never,0.12719721315589508,370,12938,0.12702283928386326,0.1273715870279269
1995,Hesse,At least once per week,0.07167044624082924,58,12938,0.07144281716052064,0.07189807532113784
1995,Hesse,At least once per month,0.2674143220609361,238,12938,0.2670237257431863,0.267804918378686
