year,bula_h,sampreg,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,West,At least once per month,0.30889,85,237,0.24994,0.36784
1990,Schleswig-Holstein,West,Seldom,0.52463,152,237,0.46091,0.58834
1990,Hamburg,West,At least once per month,0.42551,70,130,0.34019,0.51084
1990,Hamburg,West,Seldom,0.37961,60,130,0.29587,0.46336
1990,Lower Saxony,West,At least once per week,0.06926,60,970,0.05327,0.08524
1990,Lower Saxony,West,At least once per month,0.35117,332,970,0.32112,0.38123
1990,Lower Saxony,West,Seldom,0.47771,475,970,0.44625,0.50916
1990,Lower Saxony,West,Never,0.10115,103,970,0.08216,0.12013
1990,Bremen,West,At least once per month,0.39697,38,72,0.28316,0.51078
1990,Bremen,West,Seldom,0.32516,34,72,0.21619,0.43412
1990,North Rhine-Westphalia,West,At least once per week,0.06702,159,2537,0.05729,0.07675
1990,North Rhine-Westphalia,West,At least once per month,0.29617,721,2537,0.27840,0.31394
1990,North Rhine-Westphalia,West,Seldom,0.53757,1355,2537,0.51817,0.55698
1990,North Rhine-Westphalia,West,Never,0.09567,302,2537,0.08422,0.10711
1990,Hesse,West,At least once per week,0.08954,83,975,0.07161,0.10747
1990,Hesse,West,At least once per month,0.33646,292,975,0.30678,0.36613
1990,Hesse,West,Seldom,0.44985,434,975,0.41860,0.48109
1990,Hesse,West,Never,0.11826,166,975,0.09798,0.13854
1990,"Rhineland-Palatinate, Saarland",West,At least once per week,0.09337,59,668,0.07129,0.11545
1990,"Rhineland-Palatinate, Saarland",West,At least once per month,0.31770,203,668,0.28237,0.35303
1990,"Rhineland-Palatinate, Saarland",West,Seldom,0.44194,315,668,0.40425,0.47963
1990,"Rhineland-Palatinate, Saarland",West,Never,0.14191,91,668,0.11542,0.16839
1990,Baden-Wuerttemberg,West,At least once per week,0.08235,127,1772,0.06954,0.09515
1990,Baden-Wuerttemberg,West,At least once per month,0.33128,545,1772,0.30936,0.35320
1990,Baden-Wuerttemberg,West,Seldom,0.48261,881,1772,0.45934,0.50589
1990,Baden-Wuerttemberg,West,Never,0.09990,219,1772,0.08594,0.11387
1990,Bavaria,West,At least once per week,0.11015,156,1584,0.09472,0.12557
1990,Bavaria,West,At least once per month,0.34736,553,1584,0.32390,0.37081
1990,Bavaria,West,Seldom,0.46980,753,1584,0.44521,0.49438
1990,Bavaria,West,Never,0.07205,122,1584,0.05931,0.08479
1990,Berlin,West,At least once per month,0.36253,93,299,0.30795,0.41711
1990,Berlin,West,Seldom,0.40952,134,299,0.35369,0.46535
1990,Berlin,West,Never,0.13790,72,299,0.09875,0.17705
1995,Schleswig-Holstein,West,At least once per month,0.24565,64,229,0.18978,0.30153
1995,Schleswig-Holstein,West,Seldom,0.57600,165,229,0.51185,0.64014
1995,Hamburg,West,At least once per month,0.28404,37,93,0.19189,0.37619
1995,Hamburg,West,Seldom,0.46908,56,93,0.36711,0.57106
1995,Lower Saxony,West,At least once per month,0.30343,291,1010,0.27506,0.33179
1995,Lower Saxony,West,Seldom,0.55394,608,1010,0.52327,0.58461
1995,Lower Saxony,West,Never,0.11310,111,1010,0.09356,0.13264
1995,Bremen,West,Seldom,0.39497,38,38,0.23745,0.55249
1995,North Rhine-Westphalia,West,At least once per week,0.04819,121,2557,0.03988,0.05649
1995,North Rhine-Westphalia,West,At least once per month,0.26758,603,2557,0.25042,0.28474
1995,North Rhine-Westphalia,West,Seldom,0.55581,1463,2557,0.53655,0.57508
1995,North Rhine-Westphalia,West,Never,0.12704,370,2557,0.11413,0.13995
1995,Hesse,West,At least once per week,0.07164,58,936,0.05511,0.08817
1995,Hesse,West,At least once per month,0.26738,238,936,0.23901,0.29575
1995,Hesse,West,Seldom,0.51471,475,936,0.48267,0.54674
1995,Hesse,West,Never,0.14599,165,936,0.12335,0.16862
1995,"Rhineland-Palatinate, Saarland",West,At least once per week,0.04467,33,707,0.02943,0.05991
1995,"Rhineland-Palatinate, Saarland",West,At least once per month,0.27958,178,707,0.24648,0.31269
1995,"Rhineland-Palatinate, Saarland",West,Seldom,0.48959,370,707,0.45272,0.52647
1995,"Rhineland-Palatinate, Saarland",West,Never,0.18128,126,707,0.15286,0.20969
1995,Baden-Wuerttemberg,West,At least once per week,0.06738,88,1778,0.05573,0.07904
1995,Baden-Wuerttemberg,West,At least once per month,0.26422,451,1778,0.24372,0.28472
1995,Baden-Wuerttemberg,West,Seldom,0.55350,1003,1778,0.53038,0.57661
1995,Baden-Wuerttemberg,West,Never,0.11490,236,1778,0.10007,0.12973
1995,Bavaria,West,At least once per week,0.07354,109,1676,0.06104,0.08604
1995,Bavaria,West,At least once per month,0.31083,508,1676,0.28866,0.33299
1995,Bavaria,West,Seldom,0.50380,904,1676,0.47985,0.52774
1995,Bavaria,West,Never,0.11118,155,1676,0.09613,0.12624
1995,Berlin,West,At least once per month,0.29914,85,293,0.24662,0.35166
1995,Berlin,West,Seldom,0.53178,168,293,0.47454,0.58901
1995,Berlin,West,Never,0.08701,40,293,0.05468,0.11934
1995,Berlin,East,At least once per month,0.31719,82,203,0.25301,0.38137
1995,Berlin,East,Seldom,0.49724,121,203,0.42829,0.56619
1995,Brandenburg,East,At least once per month,0.25612,161,564,0.22006,0.29217
1995,Brandenburg,East,Seldom,0.56920,333,564,0.52830,0.61011
1995,Brandenburg,East,Never,0.13275,70,564,0.10473,0.16078
1995,Mecklenburg-Western Pomerania,East,At least once per month,0.31841,141,364,0.27049,0.36633
1995,Mecklenburg-Western Pomerania,East,Seldom,0.53536,223,364,0.48406,0.58667
1995,Saxony,East,At least once per week,0.04987,56,1089,0.03693,0.06280
1995,Saxony,East,At least once per month,0.31051,358,1089,0.28302,0.33801
1995,Saxony,East,Seldom,0.50318,568,1089,0.47347,0.53289
1995,Saxony,East,Never,0.12717,107,1089,0.10738,0.14697
1995,Saxony-Anhalt,East,At least once per week,0.04812,32,686,0.03209,0.06415
1995,Saxony-Anhalt,East,At least once per month,0.23992,184,686,0.20794,0.27190
1995,Saxony-Anhalt,East,Seldom,0.59020,401,686,0.55337,0.62703
1995,Saxony-Anhalt,East,Never,0.12176,69,686,0.09727,0.14625
1995,Thuringa,East,At least once per week,0.08803,52,650,0.06623,0.10983
1995,Thuringa,East,At least once per month,0.27750,191,650,0.24305,0.31195
1995,Thuringa,East,Seldom,0.50333,350,650,0.46486,0.54180
1995,Thuringa,East,Never,0.13114,57,650,0.10517,0.15711
1998,Schleswig-Holstein,West,At least once per month,0.27833,101,306,0.22803,0.32863
1998,Schleswig-Holstein,West,Seldom,0.60650,205,306,0.55168,0.66133
1998,Hamburg,West,At least once per month,0.25354,40,119,0.17505,0.33204
1998,Hamburg,West,Seldom,0.48496,79,119,0.39479,0.57514
1998,Lower Saxony,West,At least once per week,0.05619,62,1191,0.04310,0.06927
1998,Lower Saxony,West,At least once per month,0.25162,288,1191,0.22697,0.27628
1998,Lower Saxony,West,Seldom,0.60088,733,1191,0.57305,0.62870
1998,Lower Saxony,West,Never,0.09081,108,1191,0.07448,0.10713
1998,Bremen,West,Seldom,0.62599,66,66,0.50836,0.74362
1998,North Rhine-Westphalia,West,At least once per week,0.03957,103,2803,0.03235,0.04679
1998,North Rhine-Westphalia,West,At least once per month,0.23743,640,2803,0.22168,0.25319
1998,North Rhine-Westphalia,West,Seldom,0.60814,1741,2803,0.59006,0.62621
1998,North Rhine-Westphalia,West,Never,0.11333,319,2803,0.10160,0.12507
1998,Hesse,West,At least once per week,0.05818,52,935,0.04317,0.07319
1998,Hesse,West,At least once per month,0.26709,233,935,0.23871,0.29546
1998,Hesse,West,Seldom,0.56357,533,935,0.53176,0.59537
1998,Hesse,West,Never,0.11075,117,935,0.09062,0.13088
1998,"Rhineland-Palatinate, Saarland",West,At least once per week,0.05928,43,801,0.04292,0.07564
1998,"Rhineland-Palatinate, Saarland",West,At least once per month,0.22361,159,801,0.19474,0.25249
1998,"Rhineland-Palatinate, Saarland",West,Seldom,0.56943,476,801,0.53512,0.60374
1998,"Rhineland-Palatinate, Saarland",West,Never,0.14767,123,801,0.12309,0.17226
