year,quintil_oecd,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,At least once per week,0.06403,112,1883,0.05297,0.07509
1990,1st Quintile,At least once per month,0.21546,412,1883,0.19688,0.23403
1990,1st Quintile,Seldom,0.48584,918,1883,0.46326,0.50842
1990,1st Quintile,Never,0.22935,441,1883,0.21035,0.24834
1990,2nd Quintile,At least once per week,0.07700,126,1874,0.06493,0.08908
1990,2nd Quintile,At least once per month,0.29585,508,1874,0.27518,0.31652
1990,2nd Quintile,Seldom,0.51550,989,1874,0.49287,0.53814
1990,2nd Quintile,Never,0.10944,251,1874,0.09530,0.12357
1990,3rd Quintile,At least once per week,0.07760,135,1879,0.06550,0.08970
1990,3rd Quintile,At least once per month,0.31743,563,1879,0.29638,0.33848
1990,3rd Quintile,Seldom,0.51574,964,1879,0.49314,0.53834
1990,3rd Quintile,Never,0.08515,217,1879,0.07253,0.09778
1990,4th Quintile,At least once per week,0.09656,177,1922,0.08335,0.10977
1990,4th Quintile,At least once per month,0.37995,686,1922,0.35825,0.40166
1990,4th Quintile,Seldom,0.45600,899,1922,0.43373,0.47827
1990,4th Quintile,Never,0.06394,160,1922,0.05300,0.07489
1990,5th Quintile,At least once per week,0.09964,163,1817,0.08586,0.11342
1990,5th Quintile,At least once per month,0.41681,763,1817,0.39413,0.43948
1990,5th Quintile,Seldom,0.45250,822,1817,0.42960,0.47539
1990,5th Quintile,Never,0.02964,69,1817,0.02184,0.03744
1995,1st Quintile,At least once per week,0.05451,116,2509,0.04562,0.06339
1995,1st Quintile,At least once per month,0.19849,499,2509,0.18287,0.21410
1995,1st Quintile,Seldom,0.50690,1323,2509,0.48733,0.52646
1995,1st Quintile,Never,0.23670,571,2509,0.22006,0.25333
1995,2nd Quintile,At least once per week,0.04827,136,2863,0.04041,0.05612
1995,2nd Quintile,At least once per month,0.23666,677,2863,0.22109,0.25223
1995,2nd Quintile,Seldom,0.53571,1586,2863,0.51744,0.55398
1995,2nd Quintile,Never,0.17696,464,2863,0.16297,0.19094
1995,3rd Quintile,At least once per week,0.06324,167,2704,0.05407,0.07242
1995,3rd Quintile,At least once per month,0.26540,697,2704,0.24875,0.28205
1995,3rd Quintile,Seldom,0.56603,1550,2704,0.54734,0.58471
1995,3rd Quintile,Never,0.10358,290,2704,0.09209,0.11506
1995,4th Quintile,At least once per week,0.06525,145,2648,0.05584,0.07466
1995,4th Quintile,At least once per month,0.29904,808,2648,0.28160,0.31649
1995,4th Quintile,Seldom,0.56177,1511,2648,0.54287,0.58068
1995,4th Quintile,Never,0.07280,184,2648,0.06290,0.08270
1995,5th Quintile,At least once per week,0.06679,150,2453,0.05691,0.07667
1995,5th Quintile,At least once per month,0.38713,917,2453,0.36785,0.40641
1995,5th Quintile,Seldom,0.49695,1275,2453,0.47716,0.51674
1995,5th Quintile,Never,0.04832,111,2453,0.03984,0.05681
1998,1st Quintile,At least once per week,0.03946,89,2311,0.03152,0.04740
1998,1st Quintile,At least once per month,0.14615,351,2311,0.13174,0.16055
1998,1st Quintile,Seldom,0.58294,1374,2311,0.56283,0.60304
1998,1st Quintile,Never,0.23093,497,2311,0.21375,0.24812
1998,2nd Quintile,At least once per week,0.04382,108,2493,0.03578,0.05185
1998,2nd Quintile,At least once per month,0.21355,517,2493,0.19746,0.22964
1998,2nd Quintile,Seldom,0.59757,1522,2493,0.57832,0.61682
1998,2nd Quintile,Never,0.14506,346,2493,0.13124,0.15889
1998,3rd Quintile,At least once per week,0.03543,78,2555,0.02826,0.04260
1998,3rd Quintile,At least once per month,0.25275,635,2555,0.23589,0.26960
1998,3rd Quintile,Seldom,0.62918,1659,2555,0.61045,0.64792
1998,3rd Quintile,Never,0.08151,183,2555,0.07090,0.09212
1998,4th Quintile,At least once per week,0.04782,123,2588,0.03960,0.05605
1998,4th Quintile,At least once per month,0.27021,675,2588,0.25310,0.28732
1998,4th Quintile,Seldom,0.60450,1606,2588,0.58566,0.62334
1998,4th Quintile,Never,0.07669,184,2588,0.06644,0.08695
1998,5th Quintile,At least once per week,0.06308,139,2281,0.05310,0.07306
1998,5th Quintile,At least once per month,0.33093,706,2281,0.31162,0.35025
1998,5th Quintile,Seldom,0.57768,1358,2281,0.55740,0.59795
1998,5th Quintile,Never,0.02689,78,2281,0.02025,0.03353
2003,1st Quintile,At least once per week,0.02602,91,3383,0.02065,0.03139
2003,1st Quintile,At least once per month,0.14559,499,3383,0.13370,0.15747
2003,1st Quintile,Seldom,0.54088,1881,3383,0.52408,0.55767
2003,1st Quintile,Never,0.28624,912,3383,0.27101,0.30148
2003,2nd Quintile,At least once per week,0.04574,165,3842,0.03913,0.05234
2003,2nd Quintile,At least once per month,0.20457,741,3842,0.19181,0.21733
2003,2nd Quintile,Seldom,0.58203,2317,3842,0.56643,0.59763
2003,2nd Quintile,Never,0.16665,619,3842,0.15487,0.17844
2003,3rd Quintile,At least once per week,0.04407,169,4043,0.03774,0.05040
2003,3rd Quintile,At least once per month,0.22863,954,4043,0.21568,0.24158
2003,3rd Quintile,Seldom,0.61285,2482,4043,0.59783,0.62786
2003,3rd Quintile,Never,0.11375,438,4043,0.10397,0.12354
2003,4th Quintile,At least once per week,0.04993,213,4432,0.04352,0.05635
2003,4th Quintile,At least once per month,0.27159,1196,4432,0.25849,0.28469
2003,4th Quintile,Seldom,0.59188,2663,4432,0.57741,0.60635
2003,4th Quintile,Never,0.08605,360,4432,0.07779,0.09430
2003,5th Quintile,At least once per week,0.06146,434,6320,0.05554,0.06738
2003,5th Quintile,At least once per month,0.33871,2243,6320,0.32704,0.35037
2003,5th Quintile,Seldom,0.54124,3377,6320,0.52896,0.55353
2003,5th Quintile,Never,0.05672,266,6320,0.05101,0.06242
2008,1st Quintile,At least once per week,0.02063,58,2948,0.01550,0.02576
2008,1st Quintile,At least once per month,0.10616,333,2948,0.09504,0.11728
2008,1st Quintile,Seldom,0.50670,1516,2948,0.48864,0.52475
2008,1st Quintile,Never,0.36651,1041,2948,0.34912,0.38391
2008,2nd Quintile,At least once per week,0.03002,83,3364,0.02425,0.03579
2008,2nd Quintile,At least once per month,0.15194,531,3364,0.13981,0.16408
2008,2nd Quintile,Seldom,0.58654,2026,3364,0.56990,0.60319
2008,2nd Quintile,Never,0.23094,724,3364,0.21670,0.24518
2008,3rd Quintile,At least once per week,0.02457,102,3799,0.01964,0.02949
2008,3rd Quintile,At least once per month,0.19542,750,3799,0.18281,0.20803
2008,3rd Quintile,Seldom,0.62834,2421,3799,0.61297,0.64371
2008,3rd Quintile,Never,0.14989,526,3799,0.13853,0.16124
2008,4th Quintile,At least once per week,0.02400,97,3864,0.01917,0.02882
2008,4th Quintile,At least once per month,0.21164,854,3864,0.19876,0.22452
2008,4th Quintile,Seldom,0.65693,2509,3864,0.64196,0.67190
2008,4th Quintile,Never,0.10729,404,3864,0.09753,0.11704
2008,5th Quintile,At least once per week,0.03916,210,5243,0.03391,0.04441
2008,5th Quintile,At least once per month,0.32082,1712,5243,0.30819,0.33346
2008,5th Quintile,Seldom,0.58177,3065,5243,0.56841,0.59512
2008,5th Quintile,Never,0.05626,256,5243,0.05002,0.06250
2013,1st Quintile,At least once per week,0.02981,183,5079,0.02513,0.03449
2013,1st Quintile,At least once per month,0.15008,842,5079,0.14026,0.15990
2013,1st Quintile,Seldom,0.50416,2651,5079,0.49041,0.51791
2013,1st Quintile,Never,0.31186,1403,5079,0.29911,0.32460
2013,2nd Quintile,At least once per week,0.03225,210,5191,0.02745,0.03706
2013,2nd Quintile,At least once per month,0.20245,1189,5191,0.19152,0.21338
2013,2nd Quintile,Seldom,0.56223,2929,5191,0.54874,0.57573
2013,2nd Quintile,Never,0.20286,863,5191,0.19192,0.21380
2013,3rd Quintile,At least once per week,0.03544,209,4848,0.03024,0.04065
2013,3rd Quintile,At least once per month,0.24429,1333,4848,0.23220,0.25639
2013,3rd Quintile,Seldom,0.59321,2825,4848,0.57938,0.60704
2013,3rd Quintile,Never,0.12512,481,4848,0.11580,0.13443
2013,4th Quintile,At least once per week,0.04523,261,4818,0.03936,0.05110
2013,4th Quintile,At least once per month,0.30675,1548,4818,0.29373,0.31977
2013,4th Quintile,Seldom,0.56830,2680,4818,0.55431,0.58228
2013,4th Quintile,Never,0.07860,329,4818,0.07100,0.08620
2013,5th Quintile,At least once per week,0.04467,284,5461,0.03919,0.05015
2013,5th Quintile,At least once per month,0.38621,2218,5461,0.37330,0.39912
2013,5th Quintile,Seldom,0.52689,2758,5461,0.51365,0.54013
