year,regtyp,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,At least once per week,0.08599,571,7441,0.07962,0.09236
1990,Urban regions,At least once per month,0.33187,2327,7441,0.32117,0.34257
1990,Urban regions,Seldom,0.47664,3602,7441,0.46529,0.48799
1990,Urban regions,Never,0.10255,941,7441,0.09566,0.10945
1990,Rural regions,At least once per week,0.07635,142,1937,0.06452,0.08817
1990,Rural regions,At least once per month,0.32045,605,1937,0.29966,0.34124
1990,Rural regions,Seldom,0.50702,991,1937,0.48475,0.52929
1990,Rural regions,Never,0.09185,199,1937,0.07898,0.10471
1995,Urban regions,At least once per week,0.06248,495,8668,0.05739,0.06758
1995,Urban regions,At least once per month,0.28182,2304,8668,0.27235,0.29129
1995,Urban regions,Seldom,0.52712,4698,8668,0.51661,0.53763
1995,Urban regions,Never,0.12684,1171,8668,0.11983,0.13385
1995,Rural regions,At least once per week,0.05444,219,4513,0.04782,0.06106
1995,Rural regions,At least once per month,0.28056,1294,4513,0.26745,0.29367
1995,Rural regions,Seldom,0.54708,2548,4513,0.53256,0.56160
1995,Rural regions,Never,0.11585,452,4513,0.10651,0.12519
1998,Urban regions,At least once per week,0.05082,442,9201,0.04633,0.05530
1998,Urban regions,At least once per month,0.26192,2298,9201,0.25294,0.27091
1998,Urban regions,Seldom,0.57705,5466,9201,0.56696,0.58715
1998,Urban regions,Never,0.10930,995,9201,0.10292,0.11568
1998,Rural regions,At least once per week,0.05082,232,4921,0.04469,0.05696
1998,Rural regions,At least once per month,0.23977,1170,4921,0.22784,0.25170
1998,Rural regions,Seldom,0.60443,3037,4921,0.59076,0.61809
1998,Rural regions,Never,0.10449,482,4921,0.09594,0.11304
2003,Urban regions,At least once per week,0.04744,730,14655,0.04400,0.05088
2003,Urban regions,At least once per month,0.24588,3837,14655,0.23890,0.25285
2003,Urban regions,Seldom,0.56372,8324,14655,0.55569,0.57175
2003,Urban regions,Never,0.14164,1764,14655,0.13599,0.14728
2003,Rural regions,At least once per week,0.04281,342,7368,0.03819,0.04743
2003,Rural regions,At least once per month,0.23095,1797,7368,0.22133,0.24057
2003,Rural regions,Seldom,0.59490,4398,7368,0.58369,0.60611
2003,Rural regions,Never,0.13077,831,7368,0.12307,0.13846
2008,Urban regions,At least once per week,0.02824,361,12635,0.02535,0.03113
2008,Urban regions,At least once per month,0.20294,2821,12635,0.19592,0.20995
2008,Urban regions,Seldom,0.59580,7592,12635,0.58724,0.60436
2008,Urban regions,Never,0.17189,1861,12635,0.16531,0.17847
2008,Rural regions,At least once per week,0.02713,189,6585,0.02321,0.03106
2008,Rural regions,At least once per month,0.19469,1359,6585,0.18513,0.20425
2008,Rural regions,Seldom,0.58765,3947,6585,0.57576,0.59954
2008,Rural regions,Never,0.19006,1090,6585,0.18058,0.19954
2013,Urban regions,At least once per week,0.03664,743,16158,0.03375,0.03954
2013,Urban regions,At least once per month,0.27206,4695,16158,0.26520,0.27892
2013,Urban regions,Seldom,0.54981,8709,16158,0.54214,0.55748
2013,Urban regions,Never,0.13996,2011,16158,0.13461,0.14531
2013,Rural regions,At least once per week,0.04066,404,9244,0.03663,0.04469
2013,Rural regions,At least once per month,0.25127,2436,9244,0.24243,0.26011
2013,Rural regions,Seldom,0.55559,5137,9244,0.54546,0.56572
2013,Rural regions,Never,0.15101,1267,9244,0.14371,0.15831
2019,No answer / don't know,At least once per week,0.09196,46,553,0.06785,0.11607
2019,No answer / don't know,At least once per month,0.40491,245,553,0.36396,0.44586
2019,No answer / don't know,Seldom,0.42668,217,553,0.38542,0.46794
2019,No answer / don't know,Never,0.07584,45,553,0.05375,0.09792
2019,Urban regions,Daily,0.00159,103,18637,0.00102,0.00217
2019,Urban regions,At least once per week,0.04658,1228,18637,0.04355,0.04960
2019,Urban regions,At least once per month,0.32734,6483,18637,0.32060,0.33407
2019,Urban regions,Seldom,0.51017,8929,18637,0.50299,0.51734
2019,Urban regions,Never,0.11432,1894,18637,0.10976,0.11889
2019,Rural regions,Daily,0.00186,40,9595,0.00100,0.00272
2019,Rural regions,At least once per week,0.04868,568,9595,0.04437,0.05298
2019,Rural regions,At least once per month,0.29231,3150,9595,0.28321,0.30141
2019,Rural regions,Seldom,0.52955,4757,9595,0.51956,0.53954
2019,Rural regions,Never,0.12761,1080,9595,0.12093,0.13428
