year,age_gr,quintil_oecd,pli0083,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,1st Quintile,Daily,0.7252173913043478,18165,0.7187255619322497,0.731709220676446
1990,17-29 y.,1st Quintile,At least once per week,0.21913043478260869,18165,0.21311483453373664,0.22514603503148073
1990,17-29 y.,1st Quintile,Seldom,0.03304347826086956,18165,0.03044400878670607,0.035642947735033056
1990,17-29 y.,1st Quintile,At least once per month,0.01565217391304348,18165,0.013847079193030905,0.017457268633056054
1990,17-29 y.,1st Quintile,Never,0.006956521739130435,18165,0.0057478215909386845,0.008165221887322186
1990,17-29 y.,2nd Quintile,Daily,0.7606382978723404,18165,0.7544331119775256,0.7668434837671552
1990,17-29 y.,2nd Quintile,At least once per week,0.17375886524822695,18165,0.16824869189190683,0.17926903860454707
1990,17-29 y.,2nd Quintile,Seldom,0.03900709219858156,18165,0.03619149677942953,0.04182268761773359
1990,17-29 y.,2nd Quintile,At least once per month,0.01950354609929078,18165,0.01749251783495232,0.02151457436362924
1990,17-29 y.,2nd Quintile,Never,0.0070921985815602835,18165,0.0058718517569361015,0.008312545406184466
1990,17-29 y.,3rd Quintile,Daily,0.7513611615245009,18165,0.745075554499137,0.7576467685498649
1990,17-29 y.,3rd Quintile,At least once per week,0.19056261343012704,18165,0.18485113093218708,0.196274095928067
1990,17-29 y.,3rd Quintile,Seldom,0.038112522686025406,18165,0.035328105192792524,0.04089694017925829
1990,17-29 y.,3rd Quintile,At least once per month,0.018148820326678767,18165,0.016207552736576602,0.020090087916780932
1990,17-29 y.,3rd Quintile,Never,0.0018148820326678765,18165,0.0011959141479349184,0.0024338499174008346
1990,17-29 y.,4th Quintile,Daily,0.7086092715231788,18165,0.7020011252134782,0.7152174178328793
1990,17-29 y.,4th Quintile,At least once per week,0.24172185430463577,18165,0.2354958330561709,0.24794787555310066
1990,17-29 y.,4th Quintile,Seldom,0.028145695364238412,18165,0.025740529989919478,0.030550860738557346
1990,17-29 y.,4th Quintile,At least once per month,0.018211920529801324,18165,0.016267343636438246,0.020156497423164402
1990,17-29 y.,4th Quintile,Never,0.0033112582781456954,18165,0.002475819412916958,0.0041466971433744325
1990,17-29 y.,5th Quintile,Daily,0.684863523573201,18165,0.6781075222551557,0.6916195248912463
1990,17-29 y.,5th Quintile,At least once per week,0.228287841191067,18165,0.22218394087722718,0.2343917415049068
1990,17-29 y.,5th Quintile,Seldom,0.04962779156327544,18165,0.04646953280673239,0.052786050319818485
1990,17-29 y.,5th Quintile,At least once per month,0.02977667493796526,18165,0.027304880641233254,0.03224846923469726
1990,17-29 y.,5th Quintile,Never,0.007444168734491315,18165,0.006194128628192842,0.008694208840789789
1990,30-45 y.,1st Quintile,Daily,0.7827788649706457,18165,0.7767822114689925,0.788775518472299
1990,30-45 y.,1st Quintile,At least once per week,0.14677103718199608,18165,0.14162478165474615,0.151917292709246
1990,30-45 y.,1st Quintile,Seldom,0.043052837573385516,18165,0.04010106264190027,0.046004612504870764
1990,30-45 y.,1st Quintile,At least once per month,0.015655577299412915,18165,0.013850289462359507,0.017460865136466323
1990,30-45 y.,1st Quintile,Never,0.011741682974559686,18165,0.010175152729014432,0.01330821322010494
1990,30-45 y.,2nd Quintile,Daily,0.7977346278317152,18165,0.7918930742944924,0.803576181368938
1990,30-45 y.,2nd Quintile,At least once per week,0.1262135922330097,18165,0.12138418223992004,0.13104300222609938
1990,30-45 y.,2nd Quintile,Seldom,0.05663430420711974,18165,0.05327291969473844,0.05999568871950104
1990,30-45 y.,2nd Quintile,At least once per month,0.011326860841423949,18165,0.009787928522545647,0.012865793160302251
1990,30-45 y.,2nd Quintile,Never,0.008090614886731391,18165,0.006787852729649823,0.009393377043812958
1990,30-45 y.,3rd Quintile,Daily,0.7560553633217993,18165,0.749809955445133,0.7623007711984657
1990,30-45 y.,3rd Quintile,At least once per week,0.17474048442906576,18165,0.16921805203080492,0.1802629168273266
1990,30-45 y.,3rd Quintile,Seldom,0.0328719723183391,18165,0.030279027728008046,0.035464916908670145
1990,30-45 y.,3rd Quintile,Never,0.020761245674740483,18165,0.018687720223375715,0.02283477112610525
1990,30-45 y.,3rd Quintile,At least once per month,0.015570934256055362,18165,0.01377045583879135,0.017371412673319375
1990,30-45 y.,4th Quintile,Daily,0.74375,18165,0.7374013147477924,0.7500986852522077
1990,30-45 y.,4th Quintile,At least once per week,0.17291666666666666,18165,0.16741706249843064,0.1784162708349027
1990,30-45 y.,4th Quintile,Seldom,0.052083333333333336,18165,0.048852066405965976,0.055314600260700696
1990,30-45 y.,4th Quintile,At least once per month,0.020833333333333332,18165,0.018756287587008248,0.022910379079658417
1990,30-45 y.,4th Quintile,Never,0.010416666666666666,18165,0.00894018200442839,0.011893151328904943
1990,30-45 y.,5th Quintile,Daily,0.7169491525423729,18165,0.7103980442601371,0.7235002608246087
