year,quintil_oecd,regtyp,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,Urban regions,Daily,0.78367,1150,1420,0.76224,0.80509
1990,1st Quintile,Urban regions,At least once per week,0.14530,222,1420,0.12696,0.16363
1990,1st Quintile,Urban regions,Seldom,0.03622,48,1420,0.02650,0.04594
1990,1st Quintile,Rural regions,Daily,0.81843,348,405,0.78084,0.85602
1990,1st Quintile,Rural regions,At least once per week,0.12575,57,405,0.09342,0.15809
1990,2nd Quintile,Urban regions,Daily,0.82349,1201,1450,0.80386,0.84312
1990,2nd Quintile,Urban regions,At least once per week,0.10523,193,1450,0.08943,0.12103
1990,2nd Quintile,Urban regions,Seldom,0.05081,56,1450,0.03950,0.06212
1990,2nd Quintile,Rural regions,Daily,0.83256,327,366,0.79426,0.87087
1990,2nd Quintile,Rural regions,At least once per week,0.08341,39,366,0.05504,0.11178
1990,3rd Quintile,Urban regions,Daily,0.79655,1220,1502,0.77618,0.81692
1990,3rd Quintile,Urban regions,At least once per week,0.15009,232,1502,0.13202,0.16816
1990,3rd Quintile,Urban regions,Seldom,0.02864,50,1502,0.02020,0.03708
1990,3rd Quintile,Rural regions,Daily,0.81593,282,333,0.77424,0.85761
1990,3rd Quintile,Rural regions,At least once per week,0.13323,51,333,0.09668,0.16979
1990,4th Quintile,Urban regions,Daily,0.79635,1155,1440,0.77554,0.81715
1990,4th Quintile,Urban regions,At least once per week,0.15260,236,1440,0.13402,0.17118
1990,4th Quintile,Urban regions,Seldom,0.02746,49,1440,0.01902,0.03591
1990,4th Quintile,Rural regions,Daily,0.75657,352,436,0.71624,0.79690
1990,4th Quintile,Rural regions,At least once per week,0.18089,84,436,0.14472,0.21707
1990,5th Quintile,Urban regions,Daily,0.75745,1138,1489,0.73567,0.77923
1990,5th Quintile,Urban regions,At least once per week,0.16742,249,1489,0.14845,0.18639
1990,5th Quintile,Urban regions,At least once per month,0.02167,31,1489,0.01428,0.02907
1990,5th Quintile,Urban regions,Seldom,0.04535,71,1489,0.03477,0.05592
1990,5th Quintile,Rural regions,Daily,0.72542,231,290,0.67396,0.77688
1990,5th Quintile,Rural regions,At least once per week,0.19796,59,290,0.15202,0.24390
1995,1st Quintile,Urban regions,Daily,0.83562,1361,1550,0.81716,0.85408
1995,1st Quintile,Urban regions,At least once per week,0.10135,151,1550,0.08632,0.11638
1995,1st Quintile,Urban regions,Seldom,0.02702,38,1550,0.01894,0.03509
1995,1st Quintile,Rural regions,Daily,0.85753,788,867,0.83425,0.88081
1995,1st Quintile,Rural regions,At least once per week,0.07728,79,867,0.05949,0.09506
1995,2nd Quintile,Urban regions,Daily,0.88939,1592,1773,0.87479,0.90400
1995,2nd Quintile,Urban regions,At least once per week,0.07867,148,1773,0.06614,0.09121
