year,bula_h,pgisced97,pli0089,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Lower Secondary Level,Never,1.00000,43,7851,1.00000,1.00000
1990,Schleswig-Holstein,Upper Secondary Level,Seldom,0.36336,46,7851,0.36248,0.36425
1990,Schleswig-Holstein,Upper Secondary Level,Never,0.63664,87,7851,0.63575,0.63752
1990,Hamburg,Upper Secondary Level,Never,1.00000,56,7851,1.00000,1.00000
1990,Lower Saxony,Primary Level,Never,1.00000,33,7851,1.00000,1.00000
1990,Lower Saxony,Lower Secondary Level,Seldom,0.20250,49,7851,0.20180,0.20320
1990,Lower Saxony,Lower Secondary Level,Never,0.79750,157,7851,0.79680,0.79820
1990,Lower Saxony,Upper Secondary Level,At least once per week,0.07795,43,7851,0.07765,0.07825
1990,Lower Saxony,Upper Secondary Level,At least once per month,0.08603,50,7851,0.08571,0.08634
1990,Lower Saxony,Upper Secondary Level,Seldom,0.29553,145,7851,0.29502,0.29604
1990,Lower Saxony,Upper Secondary Level,Never,0.54049,259,7851,0.53993,0.54105
1990,Lower Saxony,First Stage of Tertiary Education,Never,1.00000,36,7851,1.00000,1.00000
1990,Lower Saxony,Second Stage of Tertiary Education,Seldom,0.45744,32,7851,0.45598,0.45890
1990,Lower Saxony,Second Stage of Tertiary Education,Never,0.54256,39,7851,0.54110,0.54402
1990,Bremen,Upper Secondary Level,Never,1.00000,37,7851,1.00000,1.00000
1990,North Rhine-Westphalia,Primary Level,Never,1.00000,153,7851,1.00000,1.00000
1990,North Rhine-Westphalia,Lower Secondary Level,At least once per week,0.04217,33,7851,0.04195,0.04239
1990,North Rhine-Westphalia,Lower Secondary Level,At least once per month,0.07969,49,7851,0.07939,0.07998
1990,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.17553,109,7851,0.17511,0.17595
1990,North Rhine-Westphalia,Lower Secondary Level,Never,0.70262,422,7851,0.70212,0.70312
1990,North Rhine-Westphalia,Upper Secondary Level,At least once per week,0.07272,91,7851,0.07254,0.07291
1990,North Rhine-Westphalia,Upper Secondary Level,At least once per month,0.09198,113,7851,0.09177,0.09219
1990,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.28536,342,7851,0.28504,0.28569
1990,North Rhine-Westphalia,Upper Secondary Level,Never,0.54993,662,7851,0.54957,0.55029
