"pli0089","year","bula_h","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1990","Schleswig-Holstein","Staedtischer Raum","","","",""
"Taeglich","1990","Schleswig-Holstein","Laendlicher Raum","","","",""
"Taeglich","1990","Hamburg","Staedtischer Raum","","","",""
"Taeglich","1990","Hamburg","Laendlicher Raum","","","",""
"Taeglich","1990","Niedersachsen","Staedtischer Raum","","","",""
"Taeglich","1990","Niedersachsen","Laendlicher Raum","3","","",""
"Taeglich","1990","Bremen","Staedtischer Raum","1","","",""
"Taeglich","1990","Bremen","Laendlicher Raum","","","",""
"Taeglich","1990","Nordrhein-Westfalen","Staedtischer Raum","8","","",""
"Taeglich","1990","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"Taeglich","1990","Hessen","Staedtischer Raum","","","",""
"Taeglich","1990","Hessen","Laendlicher Raum","1","","",""
"Taeglich","1990","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"Taeglich","1990","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"Taeglich","1990","Baden-Wuerttemberg","Staedtischer Raum","1","","",""
"Taeglich","1990","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"Taeglich","1990","Bayern","Staedtischer Raum","3","","",""
"Taeglich","1990","Bayern","Laendlicher Raum","2","","",""
"Taeglich","1990","Saarland","Staedtischer Raum","","","",""
"Taeglich","1990","Saarland","Laendlicher Raum","","","",""
"Taeglich","1990","Berlin","Staedtischer Raum","","","",""
"Taeglich","1990","Berlin","Laendlicher Raum","","","",""
"Taeglich","1990","Brandenburg","Staedtischer Raum","","","",""
"Taeglich","1990","Brandenburg","Laendlicher Raum","","","",""
"Taeglich","1990","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"Taeglich","1990","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"Taeglich","1990","Sachsen","Staedtischer Raum","","","",""
"Taeglich","1990","Sachsen","Laendlicher Raum","","","",""
"Taeglich","1990","Sachsen-Anhalt","Staedtischer Raum","","","",""
"Taeglich","1990","Sachsen-Anhalt","Laendlicher Raum","","","",""
"Taeglich","1990","Thueringen","Staedtischer Raum","","","",""
"Taeglich","1990","Thueringen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1990","Schleswig-Holstein","Staedtischer Raum","12","","",""
"Min 1x pro Woche","1990","Schleswig-Holstein","Laendlicher Raum","11","","",""
"Min 1x pro Woche","1990","Hamburg","Staedtischer Raum","2","","",""
"Min 1x pro Woche","1990","Hamburg","Laendlicher Raum","","","",""
"Min 1x pro Woche","1990","Niedersachsen","Staedtischer Raum","32","0.0689258881855055","0.0461682113547786","0.0916835650162324"
"Min 1x pro Woche","1990","Niedersachsen","Laendlicher Raum","42","0.0711322163231131","0.0485109260170088","0.0937535066292173"
"Min 1x pro Woche","1990","Bremen","Staedtischer Raum","4","","",""
"Min 1x pro Woche","1990","Bremen","Laendlicher Raum","","","",""
"Min 1x pro Woche","1990","Nordrhein-Westfalen","Staedtischer Raum","176","0.0643196975775666","0.0546606750189195","0.0739787201362138"
"Min 1x pro Woche","1990","Nordrhein-Westfalen","Laendlicher Raum","3","","",""
"Min 1x pro Woche","1990","Hessen","Staedtischer Raum","62","0.0712878359461198","0.0539082138925433","0.0886674579996962"
"Min 1x pro Woche","1990","Hessen","Laendlicher Raum","15","","",""
"Min 1x pro Woche","1990","Rheinland-Pfalz,Saarland","Staedtischer Raum","42","0.0749254347057055","0.0531008899756102","0.0967499794358009"
"Min 1x pro Woche","1990","Rheinland-Pfalz,Saarland","Laendlicher Raum","11","","",""
"Min 1x pro Woche","1990","Baden-Wuerttemberg","Staedtischer Raum","122","0.0642670717603156","0.0520351511008614","0.0764989924197697"
"Min 1x pro Woche","1990","Baden-Wuerttemberg","Laendlicher Raum","26","","",""
"Min 1x pro Woche","1990","Bayern","Staedtischer Raum","41","0.04626738684288","0.0318544058390815","0.0606803678466784"
"Min 1x pro Woche","1990","Bayern","Laendlicher Raum","67","0.0876490721334222","0.0677527936556074","0.107545350611237"
"Min 1x pro Woche","1990","Saarland","Staedtischer Raum","","","",""
"Min 1x pro Woche","1990","Saarland","Laendlicher Raum","","","",""
"Min 1x pro Woche","1990","Berlin","Staedtischer Raum","15","","",""
"Min 1x pro Woche","1990","Berlin","Laendlicher Raum","","","",""
"Min 1x pro Woche","1990","Brandenburg","Staedtischer Raum","","","",""
"Min 1x pro Woche","1990","Brandenburg","Laendlicher Raum","","","",""
