"pli0091_h","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1985","Städtischer Raum","","","",""
"Täglich","1985","Ländlicher Raum","","","",""
"Min 1x pro Woche","1985","Städtischer Raum","787","0.0873462235075386","0.08136365339542","0.0933287936196572"
"Min 1x pro Woche","1985","Ländlicher Raum","247","0.10111697993366","0.0889225169963112","0.113311442871009"
"Min 1x pro Monat","1985","Städtischer Raum","1192","0.138888048091233","0.131560225458375","0.146215870724091"
"Min 1x pro Monat","1985","Ländlicher Raum","269","0.104897781631377","0.0925035812461115","0.117291982016643"
"Seltener","1985","Städtischer Raum","2684","0.311460952857873","0.301648472642016","0.32127343307373"
"Seltener","1985","Ländlicher Raum","774","0.308634636604145","0.289950407435603","0.327318865772688"
"Nie","1985","Städtischer Raum","3893","0.462304775543355","0.451740371991577","0.472869179095133"
"Nie","1985","Ländlicher Raum","1058","0.485350601830818","0.465135191287603","0.505566012374032"
"Täglich","1986","Städtischer Raum","","","",""
"Täglich","1986","Ländlicher Raum","","","",""
"Min 1x pro Woche","1986","Städtischer Raum","720","0.0817973743652113","0.0758865289897095","0.0877082197407131"
"Min 1x pro Woche","1986","Ländlicher Raum","245","0.106143168558995","0.0933903209951606","0.11889601612283"
"Min 1x pro Monat","1986","Städtischer Raum","1231","0.144008352404342","0.136435852856013","0.151580851952671"
"Min 1x pro Monat","1986","Ländlicher Raum","282","0.120300432781026","0.106831662469785","0.133769203092266"
"Seltener","1986","Städtischer Raum","2593","0.308695355325541","0.298731889473329","0.318658821177754"
"Seltener","1986","Ländlicher Raum","722","0.30636908163503","0.287283128555199","0.32545503471486"
"Nie","1986","Städtischer Raum","3714","0.465498917904906","0.454740602214186","0.476257233595626"
"Nie","1986","Ländlicher Raum","992","0.46718731702495","0.446530663651284","0.487843970398615"
"Täglich","1987","Städtischer Raum","","","",""
"Täglich","1987","Ländlicher Raum","","","",""
"Min 1x pro Woche","1987","Städtischer Raum","","","",""
"Min 1x pro Woche","1987","Ländlicher Raum","","","",""
"Min 1x pro Monat","1987","Städtischer Raum","","","",""
"Min 1x pro Monat","1987","Ländlicher Raum","","","",""
"Seltener","1987","Städtischer Raum","","","",""
"Seltener","1987","Ländlicher Raum","","","",""
"Nie","1987","Städtischer Raum","","","",""
"Nie","1987","Ländlicher Raum","","","",""
"Täglich","1988","Städtischer Raum","","","",""
"Täglich","1988","Ländlicher Raum","","","",""
"Min 1x pro Woche","1988","Städtischer Raum","652","0.0767936597792607","0.0708907263215941","0.0826965932369272"
"Min 1x pro Woche","1988","Ländlicher Raum","211","0.0937694429316661","0.0811995102621734","0.106339375601159"
"Min 1x pro Monat","1988","Städtischer Raum","1204","0.148963153742697","0.141069657135882","0.156856650349513"
"Min 1x pro Monat","1988","Ländlicher Raum","317","0.145951958025471","0.130727948537914","0.161175967513027"
"Seltener","1988","Städtischer Raum","2431","0.32155801420516","0.31120321115436","0.33191281725596"
"Seltener","1988","Ländlicher Raum","656","0.305604146708547","0.28574017384727","0.325468119569824"
"Nie","1988","Städtischer Raum","3529","0.452685172272882","0.441650166685039","0.463720177860725"
"Nie","1988","Ländlicher Raum","882","0.454674452334316","0.433203014362928","0.476145890305704"
"Täglich","1989","Städtischer Raum","","","",""
"Täglich","1989","Ländlicher Raum","","","",""
"Min 1x pro Woche","1989","Städtischer Raum","","","",""
"Min 1x pro Woche","1989","Ländlicher Raum","","","",""
"Min 1x pro Monat","1989","Städtischer Raum","","","",""
"Min 1x pro Monat","1989","Ländlicher Raum","","","",""
"Seltener","1989","Städtischer Raum","","","",""
"Seltener","1989","Ländlicher Raum","","","",""
"Nie","1989","Städtischer Raum","","","",""
"Nie","1989","Ländlicher Raum","","","",""
"Täglich","1990","Städtischer Raum","8","","",""
"Täglich","1990","Ländlicher Raum","4","","",""
"Min 1x pro Woche","1990","Städtischer Raum","528","0.0510296661797803","0.0464568011249578","0.0556025312346029"
"Min 1x pro Woche","1990","Ländlicher Raum","379","0.070492633260082","0.0632572065868668","0.0777280599332973"
"Min 1x pro Monat","1990","Städtischer Raum","1323","0.143441122009157","0.136157185507804","0.15072505851051"
"Min 1x pro Monat","1990","Ländlicher Raum","593","0.118169727328561","0.109045176807693","0.127294277849428"
"Seltener","1990","Städtischer Raum","2894","0.324712225260493","0.314981516651827","0.334442933869158"
"Seltener","1990","Ländlicher Raum","2035","0.374960507946778","0.361276530330087","0.388644485563468"
"Nie","1990","Städtischer Raum","4143","0.480199130807464","0.469817157943524","0.490581103671405"
"Nie","1990","Ländlicher Raum","1797","0.435020584548365","0.421007392376196","0.449033776720534"
"Täglich","1991","Städtischer Raum","","","",""
"Täglich","1991","Ländlicher Raum","","","",""
"Min 1x pro Woche","1991","Städtischer Raum","","","",""
"Min 1x pro Woche","1991","Ländlicher Raum","","","",""
"Min 1x pro Monat","1991","Städtischer Raum","","","",""
"Min 1x pro Monat","1991","Ländlicher Raum","","","",""
"Seltener","1991","Städtischer Raum","","","",""
"Seltener","1991","Ländlicher Raum","","","",""
"Nie","1991","Städtischer Raum","","","",""
"Nie","1991","Ländlicher Raum","","","",""
"Täglich","1992","Städtischer Raum","","","",""
"Täglich","1992","Ländlicher Raum","","","",""
"Min 1x pro Woche","1992","Städtischer Raum","671","0.0724115156894068","0.0669138675138251","0.0779091638649886"
"Min 1x pro Woche","1992","Ländlicher Raum","390","0.0823168798923807","0.0742892389442935","0.090344520840468"
