year,sampreg,sex,pli0091_h,proportion,n,lower_confidence,upper_confidence
1985,Westdeutschland,weiblich,Nie,0.26766917293233083,14443,0.2604484579595312,0.27488988790513047
1985,Westdeutschland,maennlich,Nie,0.1950187969924812,14443,0.1885569231935431,0.2014806707914193
1985,Westdeutschland,maennlich,Seltener,0.16080827067669173,14443,0.15481709362575946,0.166799447727624
1985,Westdeutschland,weiblich,Seltener,0.15733082706766918,14443,0.15139251752758023,0.16326913660775813
1985,Westdeutschland,maennlich,Min 1x pro Monat,0.07490601503759399,14443,0.07061283955013833,0.07919919052504965
1985,Westdeutschland,maennlich,Min 1x pro Woche,0.05855263157894737,14443,0.05472351491909312,0.06238174823880162
1985,Westdeutschland,weiblich,Min 1x pro Monat,0.05460526315789474,14443,0.05089972569746379,0.05831080061832569
1985,Westdeutschland,weiblich,Min 1x pro Woche,0.03110902255639098,14443,0.028277578374776454,0.0339404667380055
1986,Westdeutschland,weiblich,Nie,0.2616256350136772,13742,0.25427695136160144,0.26897431866575294
1986,Westdeutschland,maennlich,Nie,0.19568190699491989,13742,0.18904874880866546,0.20231506518117431
1986,Westdeutschland,maennlich,Seltener,0.16148886283704572,13742,0.15533628941491262,0.16764143625917882
1986,Westdeutschland,weiblich,Seltener,0.1551387260648691,13742,0.14908554156175732,0.16119191056798085
1986,Westdeutschland,maennlich,Min 1x pro Monat,0.079620945681907,13742,0.07509480416940402,0.08414708719440998
1986,Westdeutschland,weiblich,Min 1x pro Monat,0.059984368894099256,13742,0.056014120453041334,0.06395461733515717
1986,Westdeutschland,maennlich,Min 1x pro Woche,0.0569558421258304,13742,0.053080890791868285,0.06083079345979252
1986,Westdeutschland,weiblich,Min 1x pro Woche,0.029503712387651426,13742,0.026674494655611006,0.03233293011969185
1988,Westdeutschland,weiblich,Nie,0.26104043851484127,12817,0.2534367010972437,0.26864417593243883
1988,Westdeutschland,maennlich,Nie,0.1926776295376978,12817,0.18584949578191062,0.19950576329348496
1988,Westdeutschland,maennlich,Seltener,0.16061640293722204,12817,0.15425960998789398,0.1669731958865501
