"pli0092_h","year","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Taeglich","1985","","","",""
"Min 1x pro Woche","1985","2460","0.238948795815859","0.230938779572735","0.246958812058982"
"Min 1x pro Monat","1985","540","0.0482790543149188","0.0442527348935424","0.0523053737362953"
"Seltener","1985","1431","0.127477871535291","0.121213468926267","0.133742274144315"
"Nie","1985","6457","0.585294278333931","0.576040242265046","0.594548314402817"
"Taeglich","1986","","","",""
"Min 1x pro Woche","1986","2532","0.246330372379318","0.23807595418975","0.254584790568887"
"Min 1x pro Monat","1986","564","0.0529808393072677","0.0486896687248003","0.057272009889735"
"Seltener","1986","1274","0.119386874873964","0.113175212417258","0.12559853733067"
"Nie","1986","6097","0.58130191343945","0.571850683195088","0.590753143683812"
"Taeglich","1987","","","",""
"Min 1x pro Woche","1987","","","",""
"Min 1x pro Monat","1987","","","",""
"Seltener","1987","","","",""
"Nie","1987","","","",""
"Taeglich","1988","","","",""
"Min 1x pro Woche","1988","2415","0.25050503755299","0.241954525230445","0.259055549875534"
"Min 1x pro Monat","1988","520","0.0534147601077802","0.0489775494089429","0.0578519708066176"
"Seltener","1988","1331","0.135750174772052","0.128991066627758","0.142509282916346"
"Nie","1988","5599","0.560330027567178","0.550535468320845","0.570124586813511"
"Taeglich","1989","","","",""
"Min 1x pro Woche","1989","","","",""
"Min 1x pro Monat","1989","","","",""
"Seltener","1989","","","",""
"Nie","1989","","","",""
"Taeglich","1990","392","0.0348586797797875","0.0317858048838037","0.0379315546757713"
"Min 1x pro Woche","1990","2774","0.223406411435715","0.216428287571619","0.230384535299812"
"Min 1x pro Monat","1990","949","0.0764880887925692","0.0720355048817276","0.0809406727034109"
"Seltener","1990","2417","0.185470643528462","0.178959085465344","0.191982201591579"
"Nie","1990","7155","0.479776176463466","0.471406504914967","0.488145848011965"
"Taeglich","1991","","","",""
"Min 1x pro Woche","1991","","","",""
"Min 1x pro Monat","1991","","","",""
"Seltener","1991","","","",""
"Nie","1991","","","",""
"Taeglich","1992","","","",""
"Min 1x pro Woche","1992","2786","0.22901965696547","0.221815746112969","0.236223567817971"
"Min 1x pro Monat","1992","762","0.0612123316777199","0.0571026002007682","0.0653220631546716"
"Seltener","1992","2182","0.159210545711904","0.15293805769024","0.165483033733568"
"Nie","1992","7340","0.550557465644906","0.542029435816991","0.55908549547282"
"Taeglich","1993","","","",""
"Min 1x pro Woche","1993","","","",""
"Min 1x pro Monat","1993","","","",""
"Seltener","1993","","","",""
"Nie","1993","","","",""
"Taeglich","1994","","","",""
"Min 1x pro Woche","1994","2651","0.226966427106088","0.219670559830241","0.234262294381936"
"Min 1x pro Monat","1994","774","0.059708651637563","0.0555815345657241","0.0638357687094019"
"Seltener","1994","2274","0.172923391001346","0.166336254284594","0.179510527718099"
"Nie","1994","6963","0.540401530255002","0.531721034910368","0.549082025599636"
"Taeglich","1995","615","0.0498505288478582","0.0461354176655531","0.0535656400301634"
"Min 1x pro Woche","1995","2854","0.230320774438639","0.223133530200242","0.237508018677035"
"Min 1x pro Monat","1995","955","0.072279901564832","0.0678595356248911","0.076700267504773"
"Seltener","1995","2928","0.211044595105518","0.204079062812865","0.218010127398171"
"Nie","1995","5831","0.436504200043153","0.428038156066372","0.444970244019935"
"Taeglich","1996","","","",""
"Min 1x pro Woche","1996","2877","0.242743659474329","0.235357660457607","0.250129658491052"
"Min 1x pro Monat","1996","917","0.0695443418048421","0.0651621379145157","0.0739265456951684"
"Seltener","1996","2693","0.1975300399769","0.190671292607807","0.204388787345993"
"Nie","1996","6457","0.490181958743928","0.481570036492154","0.498793880995703"
"Taeglich","1997","","","",""
"Min 1x pro Woche","1997","2958","0.250906699500774","0.243363449914071","0.258449949087477"
"Min 1x pro Monat","1997","757","0.0571781928300989","0.0531383505106207","0.0612180351495771"
"Seltener","1997","2473","0.184635473337306","0.177884477022507","0.191386469652104"
"Nie","1997","6501","0.507279634331821","0.498580854025331","0.515978414638311"
"Taeglich","1998","677","0.0501648052510993","0.0465632267169022","0.0537663837852964"
"Min 1x pro Woche","1998","3257","0.246319493309435","0.23921043252251","0.25342855409636"
"Min 1x pro Monat","1998","1102","0.0770525881507993","0.0726526022106584","0.0814525740909401"
"Seltener","1998","3191","0.210464556365607","0.203738747912364","0.217190364818851"
"Nie","1998","5884","0.415998556923059","0.40786609446236","0.424131019383757"
"Taeglich","1999","","","",""
"Min 1x pro Woche","1999","3270","0.256753483153527","0.249394335249137","0.264112631057918"
"Min 1x pro Monat","1999","919","0.0646986469949595","0.0605545844754803","0.0688427095144388"
"Seltener","1999","2775","0.190404428529165","0.183790256250812","0.197018600807517"
"Nie","1999","6572","0.488143441322348","0.479722691133969","0.496564191510727"
"Taeglich","2000","","","",""
"Min 1x pro Woche","2000","","","",""
"Min 1x pro Monat","2000","","","",""
"Seltener","2000","","","",""
"Nie","2000","","","",""
"Taeglich","2001","","","",""
"Min 1x pro Woche","2001","5853","0.271707879616705","0.265792234553359","0.27762352468005"
"Min 1x pro Monat","2001","1362","0.0618659708924338","0.0586622361747836","0.065069705610084"
"Seltener","2001","3675","0.160077618897236","0.155201401370542","0.164953836423931"
