year,pgisced97,quintil_oecd,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,3rd Quintile,At least once per week,0.0034542977988161762,31,9833,0.003437245728094703,0.0034713498695376497
1985,Primary Level,1st Quintile,Never,0.009000639346146552,275,9833,0.008973190632653076,0.009028088059640027
1985,Primary Level,2nd Quintile,Never,0.004548636145566385,164,9833,0.004529079280063124,0.004568193011069647
1985,Primary Level,3rd Quintile,Never,0.003113479005923378,124,9833,0.003097287230942673,0.0031296707809040825
1985,Primary Level,4th Quintile,Never,0.002700316497614804,96,9833,0.0026852341549878575,0.0027153988402417503
1985,Primary Level,5th Quintile,Never,0.0010538382673317553,49,9833,0.0010444083768121806,0.0010632681578513301
1985,Lower Secondary Level,1st Quintile,At least once per week,0.009107932058387629,105,9833,0.009080321722239465,0.009135542394535793
1985,Lower Secondary Level,1st Quintile,Seldom,0.006042954333834788,85,9833,0.0060204297336238,0.006065478934045776
1985,Lower Secondary Level,1st Quintile,Never,0.06453986911585517,620,9833,0.06446845643967591,0.06461128179203443
1985,Lower Secondary Level,2nd Quintile,At least once per week,0.010086841484816492,107,9833,0.01005779960167737,0.010115883367955613
1985,Lower Secondary Level,2nd Quintile,Seldom,0.005881896420502025,69,9833,0.005859672211915645,0.005904120629088404
1985,Lower Secondary Level,2nd Quintile,Never,0.05470572590117101,513,9833,0.05463963395610845,0.05477181784623357
1985,Lower Secondary Level,3rd Quintile,At least once per week,0.014396845063866329,136,9833,0.014362224563935629,0.014431465563797029
1985,Lower Secondary Level,3rd Quintile,At least once per month,0.0033570054346468434,36,9833,0.0033401943994136154,0.0033738164698800715
1985,Lower Secondary Level,3rd Quintile,Seldom,0.0049376945630014765,56,9833,0.0049173224594398985,0.0049580666665630544
1985,Lower Secondary Level,3rd Quintile,Never,0.04477995002547635,434,9833,0.04471984065991744,0.04484005939103526
1985,Lower Secondary Level,4th Quintile,At least once per week,0.009524839117776034,97,9833,0.009496609873892135,0.009553068361659933
1985,Lower Secondary Level,4th Quintile,Seldom,0.004579686895410221,50,9833,0.004560063698129731,0.0045993100926907116
1985,Lower Secondary Level,4th Quintile,Never,0.03144495894295324,311,9833,0.03139423811947545,0.03149567976643103
1985,Lower Secondary Level,5th Quintile,At least once per week,0.008795433549378048,80,9833,0.008768296732751783,0.008822570366004314
1985,Lower Secondary Level,5th Quintile,Seldom,0.003839304933007234,35,9833,0.00382133114432236,0.003857278721692108
1985,Lower Secondary Level,5th Quintile,Never,0.020927270466313864,202,9833,0.02088566863988757,0.020968872292740158
1985,Upper Secondary Level,1st Quintile,At least once per week,0.01388754126155301,137,9833,0.01385352985982931,0.01392155266327671
1985,Upper Secondary Level,1st Quintile,At least once per month,0.002952081598352961,35,9833,0.002936313808566624,0.002967849388139298
1985,Upper Secondary Level,1st Quintile,Seldom,0.010988188351444389,121,9833,0.010957890459403976,0.011018486243484801
1985,Upper Secondary Level,1st Quintile,Never,0.05929994926260817,550,9833,0.05923130545402315,0.05936859307119319
1985,Upper Secondary Level,2nd Quintile,At least once per week,0.0202049663521863,191,9833,0.02016407369707904,0.020245859007293556
1985,Upper Secondary Level,2nd Quintile,At least once per month,0.004126065864944149,42,9833,0.00410743560614529,0.004144696123743009
1985,Upper Secondary Level,2nd Quintile,Seldom,0.015098039188826462,149,9833,0.015062598234952339,0.015133480142700585
1985,Upper Secondary Level,2nd Quintile,Never,0.06713822652281101,611,9833,0.06706549172966986,0.06721096131595217
