,Unnamed: 0,year,age_gr,bula_h,pli0093_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,17-29 y.,Schleswig-Holstein,Never,1.0,39,8329,0.82241,1.179
1,1,1990,17-29 y.,Lower Saxony,At least once per week,0.21178,52,8329,0.18407,0.2462
2,2,1990,17-29 y.,Lower Saxony,At least once per month,0.15874,40,8329,0.12945,0.19139
3,3,1990,17-29 y.,Lower Saxony,Seldom,0.32369,91,8329,0.27931,0.37277
4,4,1990,17-29 y.,Lower Saxony,Never,0.30579,94,8329,0.2582,0.36023
5,5,1990,17-29 y.,North Rhine-Westphalia,At least once per week,0.17694,120,8329,0.15566,0.20219
6,6,1990,17-29 y.,North Rhine-Westphalia,At least once per month,0.12429,75,8329,0.1052,0.14434
7,7,1990,17-29 y.,North Rhine-Westphalia,Seldom,0.30927,199,8329,0.27756,0.33842
8,8,1990,17-29 y.,North Rhine-Westphalia,Never,0.38949,340,8329,0.35498,0.4258
9,9,1990,17-29 y.,Hesse,At least once per week,0.12479,36,8329,0.09343,0.15179
10,10,1990,17-29 y.,Hesse,At least once per month,0.15991,37,8329,0.12878,0.19432
11,11,1990,17-29 y.,Hesse,Seldom,0.26655,58,8329,0.22328,0.30051
12,12,1990,17-29 y.,Hesse,Never,0.44875,136,8329,0.38,0.53567
13,13,1990,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.35942,40,8329,0.29805,0.40568
14,14,1990,17-29 y.,"Rhineland-Palatinate, Saarland",Never,0.64058,96,8329,0.55143,0.72604
15,15,1990,17-29 y.,Baden-Wuerttemberg,At least once per week,0.20268,88,8329,0.17185,0.23782
16,16,1990,17-29 y.,Baden-Wuerttemberg,At least once per month,0.19765,85,8329,0.16569,0.22745
17,17,1990,17-29 y.,Baden-Wuerttemberg,Seldom,0.31405,154,8329,0.27145,0.35989
18,18,1990,17-29 y.,Baden-Wuerttemberg,Never,0.28561,209,8329,0.24339,0.32145
19,19,1990,17-29 y.,Bavaria,At least once per week,0.18478,90,8329,0.16781,0.20649
20,20,1990,17-29 y.,Bavaria,At least once per month,0.19691,79,8329,0.17055,0.22483
