,Unnamed: 0,year,sampreg,sex,pli0093_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,West,male,At least once per week,0.12622,533,9396,0.12036,0.13179
1,1,1990,West,male,At least once per month,0.1227,504,9396,0.11749,0.12787
2,2,1990,West,male,Seldom,0.30624,1303,9396,0.29771,0.31525
3,3,1990,West,male,Never,0.44485,2293,9396,0.43076,0.45685
4,4,1990,West,female,At least once per week,0.12526,565,9396,0.11989,0.1303
5,5,1990,West,female,At least once per month,0.12247,548,9396,0.11718,0.12832
6,6,1990,West,female,Seldom,0.27922,1258,9396,0.27146,0.28817
7,7,1990,West,female,Never,0.47305,2392,9396,0.45899,0.48756
8,8,1995,West,male,At least once per week,0.12731,510,13202,0.11974,0.13357
9,9,1995,West,male,At least once per month,0.09125,386,13202,0.08446,0.09748
10,10,1995,West,male,Seldom,0.28785,1248,13202,0.27773,0.29917
11,11,1995,West,male,Never,0.49359,2487,13202,0.47843,0.51086
12,12,1995,West,female,At least once per week,0.1385,632,13202,0.13082,0.14793
13,13,1995,West,female,At least once per month,0.09393,433,13202,0.08867,0.10047
14,14,1995,West,female,Seldom,0.27764,1329,13202,0.26637,0.28818
15,15,1995,West,female,Never,0.48994,2510,13202,0.47518,0.50528
16,16,1995,East,male,At least once per week,0.07193,125,13202,0.06438,0.07936
17,17,1995,East,male,At least once per month,0.07137,119,13202,0.06489,0.07967
18,18,1995,East,male,Seldom,0.30846,570,13202,0.29415,0.32491
19,19,1995,East,male,Never,0.54824,928,13202,0.52673,0.56752
20,20,1995,East,female,At least once per week,0.07689,163,13202,0.06962,0.08464
21,21,1995,East,female,At least once per month,0.0688,151,13202,0.0621,0.07569
22,22,1995,East,female,Seldom,0.29529,638,13202,0.28379,0.30843
23,23,1995,East,female,Never,0.55902,973,13202,0.53825,0.58185
24,24,1998,West,male,At least once per week,0.11274,487,14114,0.10616,0.1202
25,25,1998,West,male,At least once per month,0.07699,356,14114,0.07258,0.08141
26,26,1998,West,male,Seldom,0.26669,1241,14114,0.25708,0.27596
27,27,1998,West,male,Never,0.54358,2889,14114,0.53024,0.55784
28,28,1998,West,female,At least once per week,0.12609,630,14114,0.11872,0.13295
29,29,1998,West,female,At least once per month,0.09639,495,14114,0.08995,0.10331
30,30,1998,West,female,Seldom,0.26128,1359,14114,0.25193,0.27112
31,31,1998,West,female,Never,0.51624,2817,14114,0.50002,0.53103
32,32,1998,East,male,At least once per week,0.07536,132,14114,0.06836,0.08358
33,33,1998,East,male,At least once per month,0.07209,129,14114,0.06374,0.08002
34,34,1998,East,male,Seldom,0.27091,547,14114,0.25805,0.28673
35,35,1998,East,male,Never,0.58164,1048,14114,0.56415,0.6017
36,36,1998,East,female,At least once per week,0.07484,168,14114,0.06877,0.08135
37,37,1998,East,female,At least once per month,0.07773,170,14114,0.07151,0.08703
38,38,1998,East,female,Seldom,0.29348,625,14114,0.27832,0.30777
39,39,1998,East,female,Never,0.55395,1021,14114,0.53694,0.57789
40,40,2001,West,male,At least once per week,0.08014,610,21677,0.07591,0.08466
41,41,2001,West,male,At least once per month,0.05708,427,21677,0.05367,0.06006
42,42,2001,West,male,Seldom,0.22829,1766,21677,0.2223,0.23642
43,43,2001,West,male,Never,0.63449,5007,21677,0.62416,0.6449
44,44,2001,West,female,At least once per week,0.10215,898,21677,0.09797,0.10642
45,45,2001,West,female,At least once per month,0.07155,589,21677,0.06784,0.07514
46,46,2001,West,female,Seldom,0.22688,2007,21677,0.22091,0.23217
47,47,2001,West,female,Never,0.59943,4979,21677,0.58824,0.60963
48,48,2001,East,male,At least once per week,0.05047,141,21677,0.04625,0.05472
49,49,2001,East,male,At least once per month,0.04962,118,21677,0.0444,0.05502
50,50,2001,East,male,Seldom,0.20367,557,21677,0.19247,0.21344
51,51,2001,East,male,Never,0.69623,1791,21677,0.67391,0.71543
52,52,2001,East,female,At least once per week,0.07217,222,21677,0.06538,0.07888
53,53,2001,East,female,At least once per month,0.05277,156,21677,0.04832,0.05758
54,54,2001,East,female,Seldom,0.20342,629,21677,0.19337,0.21519
55,55,2001,East,female,Never,0.67164,1780,21677,0.65666,0.68964
56,56,2003,West,male,At least once per week,0.10918,934,22011,0.10317,0.11461
