year,age_gr,sampreg,pli0094_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,West,At least once per week,0.17395742875430328,2105,10936,0.17385240398401994,0.17406245352458663
1985,17-29 y.,West,At least once per month,0.051081858540801627,641,10936,0.05102086037792079,0.05114285670368246
1985,17-29 y.,West,Seldom,0.02591456707615063,325,10936,0.02587054814035523,0.02595858601194603
1985,17-29 y.,West,Never,0.0026582350281773104,40,10936,0.002643969504242924,0.002672500552111697
1985,30-45 y.,West,At least once per week,0.10704994362264787,1553,10936,0.10696428406221821,0.10713560318307754
1985,30-45 y.,West,At least once per month,0.09533279452700516,1194,10936,0.09525143009050381,0.09541415896350651
1985,30-45 y.,West,Seldom,0.05053999212772377,609,10936,0.05047930103474363,0.05060068322070391
1985,30-45 y.,West,Never,0.006051243705088759,103,10936,0.006029756825270253,0.006072730584907264
1985,46-65 y.,West,At least once per week,0.10261126029379145,1173,10936,0.10252718723387941,0.10269533335370348
1985,46-65 y.,West,At least once per month,0.11758375700574855,1176,10936,0.11749451291922043,0.11767300109227667
1985,46-65 y.,West,Seldom,0.07891804391199847,778,10936,0.078843346366953,0.07899274145704394
1985,46-65 y.,West,Never,0.015030999655510063,150,10936,0.014997288452646721,0.015064710858373404
1985,66 and older,West,At least once per week,0.06468805045380714,390,10936,0.06461990148192716,0.06475619942568712
1985,66 and older,West,At least once per month,0.046680697684804234,296,10936,0.04662225140163296,0.04673914396797551
1985,66 and older,West,Seldom,0.04446803310512787,288,10936,0.04441092265199551,0.044525143558260226
1985,66 and older,West,Never,0.01743309450731371,115,10936,0.017396833710449804,0.01746935530417762
1986,17-29 y.,West,At least once per week,0.1690388015552631,2042,10547,0.1689351990033976,0.1691424041071286
1986,17-29 y.,West,At least once per month,0.05519659487130456,660,10547,0.05513346807549424,0.055259721667114875
1986,17-29 y.,West,Seldom,0.023916457042736494,286,10547,0.02387422143038836,0.023958692655084626
1986,17-29 y.,West,Never,0.003947891147627009,62,10547,0.003930556680636602,0.003965225614617416
1986,30-45 y.,West,At least once per week,0.09968376628078353,1367,10547,0.09960095363933084,0.09976657892223621
1986,30-45 y.,West,At least once per month,0.10111436473951776,1240,10547,0.10103102626880794,0.10119770321022759
1986,30-45 y.,West,Seldom,0.04975924314068564,578,10547,0.04969913399054776,0.049819352290823515
1986,30-45 y.,West,Never,0.006004628491222374,80,10547,0.005983272382155832,0.0060259846002889165
1986,46-65 y.,West,At least once per week,0.08594394633544268,1021,10547,0.08586646788287974,0.08602142478800562
1986,46-65 y.,West,At least once per month,0.12595570504330283,1221,10547,0.1258639853654635,0.12604742472114217
1986,46-65 y.,West,Seldom,0.09055252126607125,825,10547,0.09047319336510598,0.09063184916703651
1986,46-65 y.,West,Never,0.01444532284398132,140,10547,0.01441233978998918,0.014478305897973462
1986,66 and older,West,At least once per week,0.05465655357899529,304,10547,0.054593718406972906,0.05471938875101768
1986,66 and older,West,At least once per month,0.05581440728779105,332,10547,0.055750948945780275,0.05587786562980183
1986,66 and older,West,Seldom,0.044580934683784844,271,10547,0.04452388432049598,0.04463798504707371
1986,66 and older,West,Never,0.019388861691490195,118,10547,0.019350745329299816,0.019426978053680575
1988,17-29 y.,West,At least once per week,0.16647780515029867,1984,9916,0.16637484907341146,0.16658076122718588
1988,17-29 y.,West,At least once per month,0.04924323139871036,582,9916,0.04918342836501367,0.04930303443240705
1988,17-29 y.,West,Seldom,0.022661944501595074,249,9916,0.022620811896016828,0.02270307710717332
1988,17-29 y.,West,Never,0.0035273173824642108,52,9916,0.0035109314862990693,0.0035437032786293523
1988,30-45 y.,West,At least once per week,0.11240919705179732,1362,9916,0.11232189538207547,0.11249649872151916
1988,30-45 y.,West,At least once per month,0.09755876951752178,1062,9916,0.09747676120944343,0.09764077782560013
1988,30-45 y.,West,Seldom,0.04347502600603223,459,9916,0.04341866440615236,0.0435313876059121
1988,30-45 y.,West,Never,0.0037971093601796777,54,9916,0.003780110661251464,0.0038141080591078914
1988,46-65 y.,West,At least once per week,0.09530754983212734,1106,9916,0.09522639220028714,0.09538870746396755
1988,46-65 y.,West,At least once per month,0.12583266013230454,1136,9916,0.1257409939366249,0.12592432632798417
1988,46-65 y.,West,Seldom,0.08290675556329141,720,9916,0.08283054469009483,0.08298296643648799
1988,46-65 y.,West,Never,0.01439829057691645,123,9916,0.014365365907619524,0.014431215246213375
1988,66 and older,West,At least once per week,0.0563922566885136,312,9916,0.056328500739341064,0.05645601263768614
1988,66 and older,West,At least once per month,0.059577257941090526,346,9916,0.05951183696080566,0.05964267892137539
1988,66 and older,West,Seldom,0.04575917927313547,252,9916,0.04570142510415747,0.04581693344211347
1988,66 and older,West,Never,0.020675649624021297,117,9916,0.020636321060053395,0.0207149781879892
1990,17-29 y.,East,At least once per week,0.11868961674678427,533,4370,0.11851102356150434,0.1188682099320642
1990,17-29 y.,East,At least once per month,0.08344859562212392,371,4370,0.08329588051339838,0.08360131073084946
1990,17-29 y.,East,Seldom,0.047494163900223964,211,4370,0.047376715252177265,0.04761161254827066
1990,30-45 y.,East,At least once per week,0.06515564988644286,339,4370,0.06501936748732487,0.06529193228556085
1990,30-45 y.,East,At least once per month,0.12059911190115416,676,4370,0.12041928296264245,0.12077894083966587
1990,30-45 y.,East,Seldom,0.07934942369350366,452,4370,0.07920017402365885,0.07949867336334847
1990,30-45 y.,East,Never,0.007713739531704295,39,4370,0.007665428640399362,0.007762050423009228
1990,46-65 y.,East,At least once per week,0.06675614684002863,268,4370,0.0666183188966878,0.06689397478336946
1990,46-65 y.,East,At least once per month,0.114950272276844,478,4370,0.11477414244740163,0.11512640210628637
1990,46-65 y.,East,Seldom,0.12087749253433665,496,4370,0.12069748466277579,0.12105750040589751
1990,46-65 y.,East,Never,0.021181925245747434,88,4370,0.021102414142099638,0.02126143634939523
1990,66 and older,East,At least once per week,0.03953136354478491,110,4370,0.039423764958023085,0.03963896213154674
1990,66 and older,East,At least once per month,0.036709876189816124,97,4370,0.0366060363308231,0.03681371604880915
1990,66 and older,East,Seldom,0.05957794645862759,167,4370,0.059447239640219335,0.05970865327703584
1990,66 and older,East,Never,0.01796467562787748,45,4370,0.017891331166951366,0.01803802008880359
1992,17-29 y.,West,At least once per week,0.11940686365187798,1799,13179,0.11932794093778128,0.11948578636597469
1992,17-29 y.,West,At least once per month,0.04119683965536399,598,13179,0.0411484673932806,0.041245211917447386
1992,17-29 y.,West,Seldom,0.014429041433265464,219,13179,0.014400017089621651,0.014458065776909276
1992,17-29 y.,West,Never,0.0027755529725007493,35,13179,0.0027627482274221256,0.002788357717579373
1992,17-29 y.,East,At least once per week,0.021334260236176655,429,13179,0.021299091585578602,0.02136942888677471
1992,17-29 y.,East,At least once per month,0.01600283047598938,322,13179,0.015972288646717347,0.01603337230526141
1992,17-29 y.,East,Seldom,0.007621640829044462,152,13179,0.007600473668678256,0.007642807989410669
1992,30-45 y.,West,At least once per week,0.09611648863077306,1244,13179,0.09604474970015252,0.0961882275613936
1992,30-45 y.,West,At least once per month,0.08997811035018881,1070,13179,0.08990846468802968,0.09004775601234793
1992,30-45 y.,West,Seldom,0.03782725694944647,434,13179,0.03778082374375268,0.037873690155140256
1992,30-45 y.,West,Never,0.003989433248743019,61,13179,0.003974091061011089,0.0040047754364749485
1992,30-45 y.,East,At least once per week,0.009929948931578818,230,13179,0.009905816216385234,0.009954081646772403
1992,30-45 y.,East,At least once per month,0.02664565388464918,669,13179,0.02660645728477709,0.026684850484521266
1992,30-45 y.,East,Seldom,0.018731119905509096,499,13179,0.018698122818408706,0.018764116992609485
1992,46-65 y.,West,At least once per week,0.0743332453992155,996,13179,0.0742694016182935,0.0743970891801375
1992,46-65 y.,West,At least once per month,0.10206729815802051,1056,13179,0.10199361556148522,0.10214098075455581
1992,46-65 y.,West,Seldom,0.06175705155015124,605,13179,0.0616984646325304,0.06181563846777208
1992,46-65 y.,West,Never,0.010231643414251057,106,13179,0.010207150571244617,0.010256136257257497
1992,46-65 y.,East,At least once per week,0.009914038931206381,161,13179,0.009889925363023104,0.009938152499389659
1992,46-65 y.,East,At least once per month,0.028609293988574678,501,13179,0.028568719761026637,0.02864986821612272
1992,46-65 y.,East,Seldom,0.028107993819634167,517,13179,0.02806776626364667,0.028148221375621663
1992,46-65 y.,East,Never,0.0029523774601974153,50,13179,0.0029391723019549917,0.002965582618439839
1992,66 and older,West,At least once per week,0.05079160965753463,360,13179,0.050738168421949385,0.05084505089311988
1992,66 and older,West,At least once per month,0.047026507151901216,341,13179,0.04697498292427503,0.0470780313795274
1992,66 and older,West,Seldom,0.031035479994272596,223,13179,0.030993273149314216,0.031077686839230977
1992,66 and older,West,Never,0.015555245158805905,113,13179,0.015525126625223309,0.0155853636923885
1992,66 and older,East,At least once per week,0.0077650089345938835,85,13179,0.007743645160977239,0.007786372708210528
1992,66 and older,East,At least once per month,0.01019253972753361,132,13179,0.010168093250274407,0.010216986204792814
1992,66 and older,East,Seldom,0.009799589688095748,126,13179,0.009775614323777784,0.009823565052413712
1992,66 and older,East,Never,0.0038760358109043006,46,13179,0.003860912380824844,0.003891159240983757
1994,17-29 y.,West,At least once per week,0.11136606154660186,1659,12763,0.11128996601597993,0.1114421570772238
1994,17-29 y.,West,At least once per month,0.03599510038792276,568,12763,0.035950041280290765,0.03604015949555475
1994,17-29 y.,West,Seldom,0.015371752041101841,233,12763,0.015341992988431386,0.015401511093772297
1994,17-29 y.,East,At least once per week,0.019600203689722748,400,12763,0.019566672175188125,0.01963373520425737
1994,17-29 y.,East,At least once per month,0.01555651435747339,312,12763,0.015526579802008122,0.015586448912938658
1994,17-29 y.,East,Seldom,0.0052374271463789855,115,12763,0.0052199673173259405,0.0052548869754320306
1994,30-45 y.,West,At least once per week,0.0961509517644174,1181,12763,0.09607964248996995,0.09622226103886486
1994,30-45 y.,West,At least once per month,0.09506324869611087,1079,12763,0.09499230125922599,0.09513419613299574
1994,30-45 y.,West,Seldom,0.0435141938365666,490,12763,0.04346484510353228,0.04356354256960092
1994,30-45 y.,West,Never,0.0037689388110221326,49,12763,0.0037541166729715995,0.0037837609490726657
1994,30-45 y.,East,At least once per week,0.009607666953381498,203,12763,0.009584071198487903,0.009631262708275093
1994,30-45 y.,East,At least once per month,0.02858271703072391,636,12763,0.02854241045172,0.02862302360972782
1994,30-45 y.,East,Seldom,0.018839077293608914,468,12763,0.018806190524682565,0.018871964062535263
1994,30-45 y.,East,Never,0.0015141399630552682,34,12763,0.0015047346069834672,0.0015235453191270692
1994,46-65 y.,West,At least once per week,0.07296206166036333,905,12763,0.07289915182135434,0.07302497149937232
1994,46-65 y.,West,At least once per month,0.09721406807877378,1022,12763,0.09714240784486623,0.09728572831268133
1994,46-65 y.,West,Seldom,0.07178702516261602,668,12763,0.07172458441891447,0.07184946590631758
1994,46-65 y.,West,Never,0.00746636759840264,80,12763,0.007445544345613242,0.007487190851192037
1994,46-65 y.,East,At least once per week,0.008444755910067958,140,12763,0.008422621228437004,0.008466890591698913
1994,46-65 y.,East,At least once per month,0.023850028336628033,426,12763,0.02381312004070395,0.023886936632552116
1994,46-65 y.,East,Seldom,0.030466180271783407,554,12763,0.030424607234326002,0.030507753309240812
1994,46-65 y.,East,Never,0.004251857537752255,65,12763,0.004236118239100347,0.004267596836404164
1994,66 and older,West,At least once per week,0.047947856121613716,348,12763,0.04789617448765924,0.04799953775556819
1994,66 and older,West,At least once per month,0.04862269729049018,350,12763,0.04857067167965234,0.04867472290132802
1994,66 and older,West,Seldom,0.04118679000337132,293,12763,0.04113872076417326,0.04123485924256937
1994,66 and older,West,Never,0.013225418665340535,93,12763,0.013197785224670277,0.013253052106010793
1994,66 and older,East,At least once per week,0.007742201048671747,83,12763,0.007720999589381898,0.0077634025079615955
1994,66 and older,East,At least once per month,0.009290703827639628,119,12763,0.00926749684388256,0.009313910811396696
1994,66 and older,East,Seldom,0.011640951675812175,149,12763,0.011615005528123164,0.011666897823501186
1994,66 and older,East,Never,0.0037330432925851264,41,12763,0.0037182916409525925,0.0037477949442176603
1996,17-29 y.,West,At least once per week,0.1078803006944076,1623,12905,0.10780542932719663,0.10795517206161857
1996,17-29 y.,West,At least once per month,0.03245866196648865,501,12905,0.03241589256270632,0.032501431370270985
1996,17-29 y.,West,Seldom,0.010440766804962856,171,12905,0.010416235524338542,0.010465298085587169
1996,17-29 y.,East,At least once per week,0.02266908750724198,507,12905,0.022633164642574255,0.022705010371909702
1996,17-29 y.,East,At least once per month,0.01176841549500706,237,12905,0.011742388652350529,0.011794442337663592
1996,17-29 y.,East,Seldom,0.003764239060136556,82,12905,0.003749459796816296,0.003779018323456816
1996,30-45 y.,West,At least once per week,0.11475206101164996,1481,12905,0.11467513984998517,0.11482898217331475
1996,30-45 y.,West,At least once per month,0.09088187648151069,1168,12905,0.09081250484728375,0.09095124811573764
1996,30-45 y.,West,Seldom,0.04215969098364084,487,12905,0.042111192474411994,0.04220818949286969
1996,30-45 y.,West,Never,0.0025972155643297704,36,12905,0.0025849320563725246,0.002609499072287016
1996,30-45 y.,East,At least once per week,0.013300045638279079,274,12905,0.013272398368864258,0.0133276929076939
1996,30-45 y.,East,At least once per month,0.026971816747167296,612,12905,0.026932719071925883,0.02701091442240871
1996,30-45 y.,East,Seldom,0.01436819660726702,354,12905,0.014339476132803983,0.014396917081730055
1996,46-65 y.,West,At least once per week,0.08703317296078718,1063,12905,0.0869651425595859,0.08710120336198846
1996,46-65 y.,West,At least once per month,0.10263539418037543,1030,12905,0.10256215117266436,0.1027086371880865
1996,46-65 y.,West,Seldom,0.05862271622833227,553,12905,0.058566020811758525,0.05867941164490601
1996,46-65 y.,West,Never,0.0063695996061346434,68,12905,0.006350399588533013,0.006388799623736274
1996,46-65 y.,East,At least once per week,0.010386586150379306,168,12905,0.010362117933265445,0.010411054367493167
1996,46-65 y.,East,At least once per month,0.027475824028113785,516,12905,0.027436372966792032,0.027515275089435538
1996,46-65 y.,East,Seldom,0.02495282195246861,455,12905,0.024915177084897964,0.024990466820039258
1996,66 and older,West,At least once per week,0.05470630747168128,411,12905,0.054651424804876884,0.054761190138485676
1996,66 and older,West,At least once per month,0.054838638709867174,392,12905,0.05478369355051348,0.054893583869220865
1996,66 and older,West,Seldom,0.03705025240512803,254,12905,0.03700466650630438,0.037095838303951675
1996,66 and older,West,Never,0.01001876820895028,67,12905,0.009994732675240547,0.010042803742660013
1996,66 and older,East,At least once per week,0.010035726509576454,114,12905,0.01001167084859364,0.010059782170559268
1996,66 and older,East,At least once per month,0.012215588937561103,154,12905,0.012189078224207606,0.0122420996509146
1996,66 and older,East,Seldom,0.00964622808855514,127,12905,0.009622639222282988,0.009669816954827293
1997,17-29 y.,West,At least once per week,0.10414441211049257,1556,12707,0.10407081819925007,0.10421800602173506
