year,pgisced97,sampreg,pli0094_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,West,At least once per week,0.013852160645276142,144,10748,0.01381955506025134,0.013884766230300945
1985,Primary Level,West,At least once per week,0.011158257099786153,419,10748,0.01112895330926735,0.011187560890304956
1985,Primary Level,West,At least once per month,0.0050676186089690265,214,10748,0.00504780968124265,0.005087427536695403
1985,Primary Level,West,Seldom,0.005915058473469973,144,10748,0.0058936663699227145,0.005936450577017232
1985,Primary Level,West,Never,0.0017229941924159341,50,10748,0.0017114242908496133,0.001734564093982255
1985,Lower Secondary Level,West,At least once per week,0.12030907297651254,1416,10748,0.12021831674171488,0.1203998292113102
1985,Lower Secondary Level,West,At least once per month,0.0827266344719875,868,10748,0.08264978616692352,0.08280348277705148
1985,Lower Secondary Level,West,Seldom,0.06169645183512984,597,10748,0.06162932997291492,0.06176357369734476
1985,Lower Secondary Level,West,Never,0.017313395550800033,152,10748,0.017277007326166702,0.017349783775433364
1985,Upper Secondary Level,West,At least once per week,0.22659929603844642,2377,10748,0.22648250923190058,0.22671608284499226
1985,Upper Secondary Level,West,At least once per month,0.1688924064326982,1650,10748,0.1687878872727642,0.1689969255926322
1985,Upper Secondary Level,West,Seldom,0.10345800564305052,953,10748,0.10337304269112019,0.10354296859498086
1985,Upper Secondary Level,West,Never,0.018506652006290578,165,10748,0.0184690535656761,0.018544250446905056
1985,Post-secondary Non-tertiary Level,West,At least once per week,0.014151176926872485,169,10748,0.014118226301236091,0.014184127552508878
1985,Post-secondary Non-tertiary Level,West,At least once per month,0.004891442377077479,61,10748,0.0048719791018120686,0.004910905652342889
1985,Post-secondary Non-tertiary Level,West,Seldom,0.002710752937223553,33,10748,0.002696247936321087,0.0027252579381260187
1985,First Stage of Tertiary Education,West,At least once per week,0.028811658834050197,264,10748,0.028764993101757487,0.028858324566342908
1985,First Stage of Tertiary Education,West,At least once per month,0.023484217705987694,211,10748,0.02344197128663746,0.023526464125337928
1985,First Stage of Tertiary Education,West,Seldom,0.014178180198721453,125,10748,0.014145198601587895,0.01421116179585501
1985,Second Stage of Tertiary Education,West,At least once per week,0.03613274172559806,370,10748,0.03608067967190062,0.03618480377929549
1985,Second Stage of Tertiary Education,West,At least once per month,0.02660426980077138,257,10748,0.026559376388812787,0.026649163212729973
1985,Second Stage of Tertiary Education,West,Seldom,0.011817555518864781,109,10748,0.011787408483099919,0.011847702554629644
1986,Pre-primary Level,West,At least once per week,0.01086818077673117,135,10381,0.010839354258605681,0.01089700729485666
1986,Pre-primary Level,West,At least once per month,0.00277843711815128,34,10381,0.00276380245294829,0.0027930717833542697
1986,Primary Level,West,At least once per week,0.011258648910780539,411,10381,0.011229314919265026,0.011287982902296052
1986,Primary Level,West,At least once per month,0.006091993100221052,206,10381,0.00607035896842523,0.006113627232016874
1986,Primary Level,West,Seldom,0.004603046456307169,114,10381,0.004584226981141959,0.004621865931472379
1986,Primary Level,West,Never,0.00235700233710636,43,10381,0.0023435203390255784,0.002370484335187142
1986,Lower Secondary Level,West,At least once per week,0.10564046905179278,1280,10381,0.10555501003238046,0.1057259280712051
1986,Lower Secondary Level,West,At least once per month,0.08374252207831304,876,10381,0.08366550829488408,0.083819535861742
1986,Lower Secondary Level,West,Seldom,0.06718472184795377,598,10381,0.06711512016159789,0.06725432353430964
1986,Lower Secondary Level,West,Never,0.016893217844249093,142,10381,0.016857388140903255,0.01692904754759493
1986,Upper Secondary Level,West,At least once per week,0.21066373281527057,2135,10381,0.21055035904445857,0.21077710658608256
1986,Upper Secondary Level,West,At least once per month,0.18518717465397122,1727,10381,0.18507917532524054,0.1852951739827019
1986,Upper Secondary Level,West,Seldom,0.10750307972839969,944,10381,0.10741696042838574,0.10758919902841364
1986,Upper Secondary Level,West,Never,0.02110531546292613,172,10381,0.02106535315294791,0.021145277772904352
